,Concerning,Text,URL
0,burma,"MP meets with minister to discuss Rohingya crisis

Mark Field MP (centre) at the meeting on the Rohingya crisis with Mrs Main (second from the left). Archant

Anne Main MP has met with Foreign Office minister Mark Field after lobbying his department to help the Rohyingya refugees.

Email this article to a friend To send a link to this page you must be logged in.

The minister met members of the all-party parliamentary group on Bangladesh and Burma, which Mrs Main chairs, to discuss the Myanmar minority who have been forced out of the country by its government.

Mrs Main said: “I am grateful the minister answered our calls and came to address the group. I have no doubt about his passion and desire to improve this awful situation. We must not let this dreadful humanitarian tragedy slip from the news.”

The St Albans MP visited Rohingya refugee camps in Bangladesh last September and has pushed the UK government to do more for them. The government has promised over £30m for the region.

At the meeting, Mr Field made a short speech then took questions from MPs and peers and spoke about the government’s commitment to finding a diplomatic solution for the Rohyinga, who were stripped of citizenship by Myanmar’s former military government in 1982, when the county was still called Burma.

He agreed with Mrs Main that greater pressure needed to be exerted on the Myanmar government by other countries, and raised the possibility of a UN Security Council resolution to hold them to account.

Two permanent members of the council, China and Russia, vetoed a resolution in the UN General Assembly last year which urged Myanmar’s military to end their campaign against the Rohyinga.

Mrs Main said after the meeting: “I was pleased with the minister’s frank responses. I can tell he cares deeply about this issue and he wants the best for the refugees.

“The fact we are the largest individual bilateral donor to the crisis speaks volumes. We must also look to make sure the staggering estimate of $1 billion in humanitarian aid needed for the camps next year goes to the right places, and not into the hands of people looking to exploit the Rohingya.

“I hope the government continue to lead on this and we see further international support for the Rohingya, especially with monsoon season on the way.”",http://www.hertsad.co.uk/news/st-albans-mp-rohingya-meeting-1-5454534
1,burma,"A long-time Aung San Suu Kyi loyalist has vowed to prioritise the rule of law, peace and reconciliation after being sworn in as the country's new president.

Win Myint will continue his predecessor's deference to Ms Suu Kyi as the de facto national leader.

Myanmar's President-elect Win Myint, left, with leader Aung San Suu Kyi, right, enters Parliament to take the oath of office. Pic: AP Photo/Aung Shine Oo

The 66-year-old, who is the former lower house speaker, took his oath of office during a joint session of parliament, pledging loyalty ""to the people and the republic of the Union"" of Burma.

First vice president Myint Swe, a military nominee and second vice president Henry Van Tio, an upper house parliament nominee, took oaths alongside him.

Ms Suu Kyi and powerful army chief Senior General Min Aung Hlaing watched the swearing-in.

For many years a political prisoner under the military that then ruled Burma, Ms Suu Kyi cannot become president because the junta-drafted 2008 constitution bars those with foreign family, which directly aimed to bar Ms Suu Kyi from becoming head of state. Her two sons are British.

#Myanmar State Counsellor #AungSanSuuKyi has just walked into #Parliament with #President-elect Win Myint who will be swearing in shortly pic.twitter.com/a7ShfNPw8S — May Wong (@MayWongCNA) March 30, 2018

Burma's military ruled with an iron fist before handing power to a civilian government led by Ms Suu Kyi in 2016.

The military still holds considerable power, with control of national security and other government functions and a quarter of the seats in Parliament.

Ms Suu Kyi said when her government took office that she would be ""above the president"". She led the government in that manner during the presidency of her close friend, Htin Kyaw, who retired last week because of ill health.

In his inaugural speech, Win Myint vowed to work on amending the constitution.

Myanmar's new President Win Myint waves to the media after taking oaths at Parliament in Naypyitaw, Myanmar. Pic: AP Photo/Aung Shine Oo

""As part of the priorities of the union government, amending the constitution is the most fundamental to build the federal democratic government,"" he said. ""I will prioritise to implement the rule of law, for the improvement of people's life, national reconciliation and internal peace.""

Burma's civilian government has come under international pressure for its handling of a crisis in northern Rakhine state, where security forces have been accused of ethnic cleansing and serious human rights violations that have caused about 700,000 Rohingya Muslims to flee to neighbouring Bangladesh.

""We are facing pressure, criticisms and misunderstandings at the international fronts and our country and our people are facing many challenges,"" Win Myint said in his speech. ""Though everything will not be solved easily, I will try my best to solve the problems and prioritise them.""

PA",https://www.breakingnews.ie/world/aung-san-suu-kyi-loyalist-sworn-in-as-new-president-of-burma-835018.html
2,burma,"Britain has said it is “highly regrettable” that members of a parliamentary committee were refused visas by Myanmar to visit the country as part of their inquiry into the Rohingya-related work of the Department for International Development (DFID).

The International Development Committee (IDC) of Parliament was scheduled to visit Myanmar and Bangladesh, where hundreds of thousands of Rohingya refugees have fled. Britain is one of the largest providers of aid for the refugees.

A report by the committee on the crisis published in January had expressed “grave concerns” over Myanmar’s treatment of the Rohingya, their mass displacement and plans to repatriate thousands of them back to Myanmar without safeguards.

Stephen Twigg, chair of the 11-member committee that includes senior Labour MP Veerendra Sharma, said: “We are extremely disappointed. It is hard to escape the conclusion that this is a direct consequence of our report on the Rohingya.

“The result is that planned meetings with government ministers and military personnel in the capital, Nay Pyi Taw, including with state counsellor, Daw Aung San Suu Kyi, have had to be cancelled.”

The Foreign Office minister for Asia, Mark Field, told the House of Commons: “Burmese officials have indicated three reasons for the refusal: first, that there is an extended public holiday in Burma; secondly, that access to Rakhine state remains restricted for security reasons; and finally…that they were unhappy that individual members of the IDC had signed a letter calling for the senior general of the Burmese army to be held to account for Burmese military behaviour in Rakhine.”

London continues to refer to Myamar by its colonial name of Burma.

Field added that the UK government remained committed to support Myanmar’s poorest and most vulnerable people.",https://www.hindustantimes.com/world-news/rohingya-crisis-uk-mps-refused-visas-to-visit-myanmar/story-NK2YXIHtqKZ3ffyGJd1uXP.html
3,burma,"Prominent human rights lawyer Amal Clooney has joined the legal team representing two Reuters reporters jailed in Burma, who are accused of possessing secret government papers, her office said on Thursday.

A court in Yangon has been holding preliminary hearings since January to decide whether Wa Lone, 31, and Kyaw Soe Oo, 28, will be charged under the colonial-era Officials Secrets Act, which carries a maximum penalty of 14 years in prison.

The journalists had been working on a Reuters investigation into the killing of 10 Rohingya Muslim men in western Burma's Rakhine state during an army crackdown that began in August, which has sent nearly 700,000 people fleeing to Bangladesh.

Lawyers for the two reporters on Wednesday asked the court to throw out the case, saying there was insufficient evidence to support charges against the pair in Burma, also known as Myanmar.

""Wa Lone and Kyaw Soe Oo are being prosecuted simply because they reported the news. I have reviewed the case file and it is clear beyond doubt that the two journalists are innocent and should be released immediately,"" Amal Clooney was quoted as saying in a statement released by her office.

""The outcome of this case will tell us a lot about Myanmar's commitment to the rule of law and freedom of speech,"" said Clooney, who is married to actor George Clooney.",https://www.telegraph.co.uk/news/2018/03/29/amal-clooney-represent-reuters-reporters-detained-myanmar/
4,burma,"

This combination of satellite images shows the village of Zone Kar Yar on Dec. 20, 2017, left, and Feb. 13, 2018, right. Predominantly Rohingya villages and hamlets have been completely leveled by authorities in recent weeks. (DigitalGlobe via Associated Press)

Scenes of the violent military crackdown in Burma’s Rakhine state, a restive area that for decades has been the site of ethnic strife, have become familiar since the violence erupted in August: plumes of smoke rising in the distance, thousands of Rohingya Muslims escaping to Bangladesh on foot, entire villages standing empty.

Now the Burmese government is hoping to paint a different picture.

Under de facto leader Aung San Suu Kyi, the government has pushed the nation’s most powerful business executives, many of them previously under U.S. sanctions, to pump millions of dollars into infrastructure projects, and tapped others to start Rakhine-

focused businesses, all while soliciting international donors.

But observers say these plans are fraught and likely to have few benefits for the Rohingya, nearly 700,000 of whom have fled to Bangladesh and who continue to cross the border even as preparations are underway for their return to Burma, which is also known as Myanmar. The efforts also have been insufficient in placating ethnic Rakhine Buddhists, who are deeply distrustful of the government’s plans.





The development push reflects the position of successive governments that the violence in Rakhine, which the United States and United Nations have labeled ethnic cleansing, is caused by a lack of economic opportunity.

“From our point of view, the issue in Rakhine is very much related to poverty,” said Ye Min Aung, the vice chairman of Burma’s chamber of commerce, who has been asked by the government to launch a rice business in Rakhine. “That is the very root cause of the problems.”

Business executives such as him hope to return Rakhine state to its “former glories,” he said.

The rebuilding efforts are led by the Union Enterprise for Humanitarian Assistance, Resettlement and Development in Rakhine (UEHRD), a group formed in October. Suu Kyi, who chairs the committee, said it aims to build a “peaceful and developed Rakhine state.”

Critics say the government’s development agenda is premature and dodges the issues of discrimination, statelessness and violence faced by the Rohingya for generations. Questions remain over whether the Rohingya, who before fleeing faced severe constraints on their movement, would benefit from infrastructure such as roads, which they might be barred from accessing.

“The UEHRD was formed to divert attention from violent ethnic cleansing,” said David ­Mathieson, an independent analyst in Rangoon. “Tasking cronies to construct Potemkin villages won’t wash away the stain of mass crimes. The government is either receiving very bad advice and believes this reconstruction will work, or it’s a cynical ploy to pretend the violence was simply a bad dream.”

The torched Rohingya villages have been bulldozed as part of the development and investment push, leading to outcries from the United Nations that Burma is trying to cover up atrocities.

In a report released Monday, Amnesty International said at least three new security force bases are under construction in the north of Rakhine, citing satellite images and interviews with Rohingya in Bangladesh. The sites are being built by members of the security forces.

Amnesty International said it was “deeply concerned that the Myanmar authorities are reshaping the region so as to accommodate more security forces and more non-Rohingya villagers, at the expense of homes, agricultural lands and villages where Rohingya have lived and farmed for generations.”

Aung Tun Thet, the UEHRD’s chief coordinator, dismissed concerns raised by Human Rights Watch and echoed last week by Zeid Ra’ad al-Hussein, the U.N. high commissioner for human rights.

“As far as our intention, it was not to clear up anything,” Aung Tun Thet said. “It was just merely to ensure that when the buildings are being built there is clear grounds on which the buildings can be constructed.”

With two repatriation centers completed, Burma is “ready to receive them,” he said of the Rohingya. Bangladesh and Burma signed a repatriation agreement in January, but no Rohingya have returned, as the implementation of the deal has stalled.



Workers toil in a muddy field near structures set up by Burmese authorities on the outskirts of Maungdaw in Rakhine state in January. (Agence France-Presse/Getty Images)

A facility for housing Rohingya Muslim refugees to be repatriated to Burma from Bangladesh in Rakhine state. (Kyodo News/Getty Images)

To help carry out its ambitious development plans, the government tapped the private sector, including a handful of the country’s most powerful business executives, some of whom had been sanctioned by the U.S. government for their relationships to the former military regime.

These economic strongmen were marshaled under the previous junta for projects such as the construction of the capital, Naypyidaw, and to broker arms deals, often in return for lucrative contracts and business deals. This time, some of those involved in the development plans have grown resentful of the expensive projects.

Groups tapped to rebuild the state include the Asia World Foundation, the philanthropic arm of Asia World, a conglomerate run by Steven Law, the son of a heroin kingpin. The company is constructing a 50-mile road through Rakhine, according to its website.

Law, who was branded a “top crony” of the previous ruling junta in a leaked U.S. diplomatic cable, was removed from the blacklist when the United States eased sanctions against Burma in 2016.

The Asia World Foundation did not respond to a request for comment.

Other formerly sanctioned tycoons who have contributed include property developers Khin Shwe and Zaw Zaw, whose business interests range from banking to hospitality and who traveled with Suu Kyi to Rakhine in November.

Khin Shwe declined to comment. Zaw Zaw did not respond to a request for comment.



Laborers work on the construction of the Taung Pyo Letwe receiving center, which is supposed to receive Rohingya refugees who fled to Bangladesh and who are willing to return to Burma in the near future. (Agence France-Presse/Getty Images)

A consultant on Burma investment familiar with the situation, who spoke on the condition of anonymity because of the sensitivity of the issue, said that some of the business executives were unhappy with being asked to contribute money and resources.

“Myanmar’s business tycoons were summoned up to Naypyidaw and were strongly urged — though some saw no choice — to contribute to a fund to develop Rakhine state,” the consultant said. “There was little in the way of details or clarity as to what the fund would do. And it smacked of the junta days of being summoned to do some wacky project, but this time, without concessions.”

For the ethnic Rakhine Buddhists, who, it appears, will be the major beneficiaries of the development push, the government’s efforts are insufficient and being implemented without enough input from the Rakhine community, they say.

“The government wants to show the international community how they are preparing things for the Bengalis, not for us [Rakhines],” said Soe Naing, a member of the Rakhine Social Network, a collection of activist groups, using a term that implies that the Rohingya are from Bangladesh. “The government is doing one-sided things for the Bengalis, not for the ­Rakhine people.”

As Bangladesh and Burma agree to complete the return of Rohingya Muslims, many refugees remain doubtful about the terms. More than half a million Rohingya have fled a violent military crackdown in Burma since Aug. 2017. (Reuters)

This story was supported by a grant from the Pulitzer Center on Crisis Reporting.

Read more

These orphaned brothers escaped a massacre. Now they have to survive a refugee camp.

Fake news on Facebook fans the flames of hate against the Rohingya in Burma

‘Blood flowed in the streets’: Refugees from one Rohingya hamlet recount days of horror

Today’s coverage from Post correspondents around the world

Like Washington Post World on Facebook and stay updated on foreign news",https://www.washingtonpost.com/world/asia_pacific/burma-is-pumping-millions-into-rebuilding-rakhine-but-is-it-for-the-rohingya/2018/03/12/02c3e6c2-2329-11e8-946c-9420060cb7bd_story.html
5,burma,"A portrait of Burmese leader Aung San Suu Kyi is seen as activists demonstrate against amendments to nation’s protest law on March 5. (Ye Aung Thu/AFP/Getty Images)

Burma’s government, struggling to handle accusations of ethnic cleansing over its treatment of Rohingya Muslims, is contemplating legislation that would seek greater oversight of the work of international nongovernmental organizations, including the United Nations, prompting concerns of a crackdown on their activities.

The Draft Law on International Non-Governmental Organizations, a copy of which was reviewed by The Washington Post, contains a vague definition of the groups it would regulate, proposes monitoring of aid groups’ work by Burmese staff and provides the affected organizations with few safeguards against the government suspending their work. This has led some groups to fear it could be used to restrict their work in Burma, which is also known as Myanmar.

The proposed law comes at a time of a wider crackdown on democratic freedoms under Nobel laureate Aung San Suu Kyi and her government, as they struggle to deal with the fallout of military operations that have sent nearly 700,000 Rohingya fleeing over the border to Bangladesh since August.

“The stated purpose of the law allows government to suppress activities they do not favor and undermines the efforts in advancing democracy and human rights,” according to a February presentation reviewed by The Post from the INGO Forum, a coalition of dozens of aid groups operating in Burma.

Representatives from international aid groups and diplomats are lobbying members of the parliamentary committee reviewing the draft to change the wording or to have it withdrawn. It was unclear whether the law would move past the commission or what provisions the final version would include.

Yanghee Lee, U.N. special rapporteur on the situation of human rights in Burma, speaks during a news conference on March 12. She has been barred from entering the country. (Salvatore Di Nolfi/EPA-EFE/Shutterstock)

It was also unclear who wrote the draft or if it was done at the direction of the president or state counselor’s office. Zaw Htay, a spokesman for the government, directed questions on the draft law to the Ministry of Planning and Finance. A deputy minister from the ministry did not respond to requests for comment.

Tin Maung Oo, a member of the commission that is working on the legislation, said the group was consulting with ministries, representatives from nongovernmental groups and experts.

He said that international aid groups were doing important work and that the government would like them to “flourish” but that a law was needed to oversee their work.

Critics warn that such laws are part of a disturbing trend in the region.

“Across Southeast Asia, a raft of laws, policies and practices over the last year have made it clear that the space for civil society and critical speech is shrinking,” said Richard Weir, a researcher for Human Rights Watch’s Asia division. “This trend is particularly pronounced in Myanmar, where the space for civil society was rapidly opened in 2011 and has shrunk since the National League for Democracy rose to power in 2016.”

Suu Kyi’s National League for Democracy, or NLD, government has also proposed amendments to the country’s protest law, including one that seeks to impose prison terms on those whose demonstrations could harm the “security, rule of law and stability of the state.”

In early March, hundreds of demonstrators marched through downtown Rangoon to protest the proposed changes, standing for a time in front of a massive portrait of Suu Kyi.

Two days later, the amendments were approved by the NLD-dominated upper house of parliament. The amendments are now in the lower house of parliament, where the NLD also holds a majority of seats.

A Western diplomat in Rangoon, who spoke on the condition of anonymity because he was not authorized to speak to the news media, said the revised protest law and the draft law on nongovernmental groups were “the first two active steps [they] have seen by the NLD to make Myanmar less democratic.”

International nonprofit groups have noted a wider pushback against their work as the government makes it more difficult to get visas and travel authorizations. Some attendees at the February meeting of the INGO Forum believed the draft law could “be a precursor to further restrictions of civil space, as has happened in some other countries,” according to meeting minutes reviewed by The Post.

An especially troublesome section of the draft law mandates that Burmese citizens working for an international nongovernmental group report “cooperation” with the law to the government, adding an additional layer of monitoring that could erode trust and have a negative impact on partner agreements, according to the INGO Forum presentation.

In an analysis of the draft legislation, the Washington-based International Center for Not-for-Profit Law wrote that it “cannot find comparative examples in other laws.”

According to Tin Maung Oo, the draft law would apply to the work of the United Nations in Burma. The government has blocked a U.N. fact-finding mission from entering Burma, barred its human rights investigator and denounced the United Nations’ statements on Burma’s treatment of Rohingya Muslims, which it has labeled a “textbook example of ethnic cleansing.”

Criticism of the United Nations and aid groups is particularly pronounced in Rakhine state, where ethnic Rakhine Buddhists have long accused them of favoritism toward the Rohingya.

It is unclear whether the government would be able to apply the law to the United Nations and its work in Burma. Stanislav Saling, spokesman for the Office of the U.N. Resident and Humanitarian Coordinator in Burma, said the country is already a signatory to “international conventions and agreements” that govern the United Nations’ work in the country.

But U.N. agencies implement many of their programs through nongovernmental groups, which could be affected by the law.

“The U.N. and other development cooperation partners have expressed concern that some of the provisions in the current draft of the law are arbitrary and excessive, and could restrict the ability of INGOs to play their important humanitarian and development role,” Saling said.

“We believe it will neither help government to regulate and manage INGOs, nor help INGOs to operate effectively, efficiently, transparently or accountably,” he added.

Beyond the newly proposed legislation, the NLD-led government has also continued punitive use of existing laws, such as the controversial Telecommunications Law, a piece of legislation signed by the previous government and often used to criminalize criticism of authorities.

The law was amended last year — reducing possible prison terms and narrowing those who could be charged — but fell well short of the full repeal demanded by activists. Free-speech advocacy group Free Expression Myanmar found that nine criminal complaints were filed between August 2017, when the bill was amended, and November 2017.

“They just amended article 66(d) to save appearances,” said Maung Saungkha, an activist and poet who was jailed for six months by the previous government under the law, referring to an article of the law. “They want to control free speech just as the previous government did.”

This article was supported by a grant from the Pulitzer Center on Crisis Reporting.

Read more

Burma is pumping millions into rebuilding Rakhine. But is it for the Rohingya?

These orphaned brothers escaped a massacre. Now they have to survive a refugee camp.

Fake news on Facebook fans the flames of hate against the Rohingya in Burma

Today’s coverage from Post correspondents around the world

Like Washington Post World on Facebook and stay updated on foreign news",https://www.washingtonpost.com/world/asia_pacific/burma-considers-law-that-could-restrict-work-of-united-nations-nongovernmental-groups/2018/03/18/d19dc5ca-2965-11e8-a227-fd2b009466bc_story.html
6,burma,"NAYPYITAW, Burma -- Burma's parliament on Wednesday elected as the country's new president a longtime loyalist of Aung San Suu Kyi who is expected to carry on his predecessor's practice of deferring to her as her nation's de facto leader.

The election of Win Myint comes as Suu Kyi's civilian government has struggled to implement peace and national reconciliation, with the powerful military still embroiled in combat with ethnic rebels and under heavy international criticism for its brutal counterinsurgency campaign against the Muslim Rohingya minority.

Burma's military ruled the country for a half-century during which it was accused of widespread abuses before partially handing power to a civilian government in 2016. It remains in charge of security matters and still faces accusations of rights abuses.

Win Myint, the vice president selected as presidential candidate by the lower house and backed by Suu Kyi's ruling party, received 403 votes from the combined houses. Myint Swe, the vice president with the military's backing, had 211 votes, and Henry Van Tio, the vice president selected by the upper house, had 18.

""I will try my best to the greatest degree I have and carry out my civic duties as best I can,"" the newly elected president told reporters as he left parliament after the vote.

Like his predecessor, Htin Kyaw, who retired last week for health reasons, Win Myint, 66, is a longtime Suu Kyi loyalist and a stalwart member of her National League for Democracy party, an affiliation that earned him a brief spell as a political prisoner more than two decades ago under the previous military government.

When Suu Kyi's government was installed in 2016, she explained that she would be ""above the president,"" a situation amenable to both the president and the public.

The job of state counsellor was created especially for Suu Kyi because she is constitutionally banned from the presidency. A clause in the 2008 military-drafted constitution bars anyone with a foreign spouse or child from holding the job. It clearly targeted Suu Kyi, whose two sons are British, as was her late husband.

Burma's president is elected by a joint sitting of the two houses of parliament from among the country's three vice presidents, representing the lower house, the upper house and the military. Under the constitution, the military holds special privileges in the country's administration, including a 25 percent share of parliamentary seats and the three security portfolios in the Cabinet.

The National League for Democracy's landslide election victory in late 2015 gave it large majorities in both houses.

Having been both a member of the party's Central Executive Committee and speaker of the lower house for two years shows Win Myint holds the skills to be president, said Win Zaw, a lower house lawmaker from the party.

""We hope that he will do great work as the president, and I am sure he will use his power to do the best he can for the country,"" he said.

Win Myint, who resigned as speaker of the lower house last week, was a successful parliamentary candidate in the 1990 general election, which was invalidated by the military, denying him his seat. He was elected in 2012 and again in 2015.

Born in the Irrawaddy Delta in 1951, Win Myint won his degree in geology in Rangoon and became a lawyer in the 1980s. His involvement with the National League for Democracy began when it was established during the failed anti-military uprising of 1988, which led to his brief term in prison. In 2010, he became a member of the Central Executive Committee of Suu Kyi's party.

Khin Zaw Win, director of the Tampadipa Institute, a policy advocacy group, questioned whether Win Myint's fealty to Suu Kyi was an asset.

""To those who are asking, he will be forever Aung San Suu Kyi's henchman,"" he said. ""I don't expect much change in the presidency, unless Win Myint puts the country's interests before Aung San Suu Kyi's and that of the military.""

Burma is often called Myanmar, a name that military authorities adopted in 1989. Some nations, such as the United States and Britain, have refused to adopt the name change.

A Section on 03/29/2018",http://www.arkansasonline.com/news/2018/mar/29/suu-kyi-loyalist-to-lead-in-burma-20180/
7,burma,"Double-decker bus bursts into flames near Thailand-Burma border

A double-decker bus carrying Burmese migrant workers to Thai factories crashed and caught fire on a highway in Thailand on March 30, killing at least 20 passengers.",http://www.washingtonpost.com/video/world/double-decker-bus-bursts-into-flames-near-thailand-burma-border/2018/03/30/716c9f9c-340e-11e8-b6bd-0084a1666987_video.html
8,burma,"Shikira Arifullah, a 22-year-old Rohingya woman is helped across the water after getting off a boat at a beach on the Bangladesh side of the Naf River at Shah Porir Dwip after fleeing from Guddumpara village, Bochidung in Burma's Rakhine state. Exhaustion and despair are almost palpable.

Since August 2017, more than half a million Rohingya people, a Muslim minority that Burma does not officially recognise as citizens, were forced to flee across the border to Bangladesh amid allegations of ethnic cleansing by Burmese forces. More than 688,000 of these refugees have reached Cox's Bazar, a district in southeast Bangladesh.

""The flow of people never seemed to stop,"" Getty Images photographer Kevin...",https://www.telegraph.co.uk/news/2018/03/25/behind-shutter-kevin-frayer-covering-rohingya-crisis-coxs-bazar/
9,burma,"Burma tops a list of countries where the ability of aid groups to reach people in need has worsened in the past six months, the Geneva-based research group ACAPS has said.

In examining 37 countries, ACAPS analysts considered nine indicators, including violence against humanitarian workers and restrictions preventing people from reaching aid.

“Myanmar is the country where humanitarian access has deteriorated the most, as access for the Rohingya population has become increasingly difficult,” the group said in a statement.

The ACAPS report preceded another released Tuesday by a British parliamentary committee, which warned floods and disease could kill thousands of Rohingya refugees in camps in neighbouring Bangladesh.

The chair of the International Development Committee, Stephen Twigg, said in a statement that time was running out, adding that donors “must work with the Bangladesh government.”

“Substantial numbers of refugees are about to face another crisis. With the weather about to turn, the fragile safety and sanctuary that the Rohingya have found in temporary camps provided by Bangladesh is in jeopardy,” Twigg said.

United Nations officials say nearly 700,000 Muslim Rohingya have fled Buddhist-majority Burma to Bangladesh.

That came after militant attacks in August sparked a crackdown, led by security forces, in Rakhine State that the UN and United States have said constitutes ethnic cleansing.

Burma has repeatedly denied reports implicating soldiers in widespread abuses of Rohingya civilians, particularly in Maungdaw, a border district in western Rakhine State.

Although the Burmese government had allowed some groups to access the district, it was “in a short-term and unpredictable manner,” said Pierre Peron, a spokesman for the UN Office for the Coordination of Humanitarian Affairs (OCHA) in Burma.

“Most humanitarian organizations that had been working in Maungdaw District for years have still not been able to resume life-saving programmes for some of the most vulnerable people in the world,” he told the Thomson Reuters Foundation via email.

A Burmese government spokesman was unavailable for comment.

The British parliamentary committee said the situation for Rohingya would likely worsen, with heavy rains expected to begin within days, followed by the cyclone season.

“Severe weather conditions and heavy rainfall could result in the deaths of thousands of Rohingya,” the IDC said.

The committee warned that the camps in Bangladesh are ill-equipped to withstand the 2.5 metres of heaviest rains predicted to fall from June through August. The camps were built quickly, with shelters in places prone to landslides and flooding.

Poor sanitation, as well as a low vaccination rate among Rohingya who had limited access to health care in Burma, meant flooding would likely bring disease, the IDC said.

ACAPS said humanitarian access had also deteriorated in Cameroon, Ethiopia, Libya, Mali, Pakistan and Turkey.",http://www.dvb.no/news/burma-worst-performing-country-aid-access-rohingya-refugees-face-monsoon-threats/80213
