,Concerning,Text,URL
0,china,"“The political object is the goal, war is the means of reaching it, and means can never be considered in isolation from purpose.” -- On War, Carl von Clausewitz,

The trade dispute between the US and China will deteriorate before it improves. The jarring re-pricing of technology stocks has further to run. And normalisation of central bank policy will continue to spook the bond market.

Why then, am I still positive towards risk? And why do I see currently weak investor sentiment and poor market price action as a buying opportunity?

Let me explain. Much of the current market uncertainty – including the tech wreck - relates entirely or partially to escalating trade tensions between the US and China, and the prevailing fear that an all-out trade war could tip the global economy into recession, causing subsequent carnage in the market.

It’s why – over the last week or so – the MCSI China Index is down 4.2 per cent, the Hang Seng is down 3.5 per cent, and the S&P is down 3.9 per cent.

And of course, were an all-out trade war between the world’s two largest economies erupt, then almost certainly the global economy would encounter severe headwinds. And almost certainly a bear market would ensue.

The thing is, I do not buy the “all-out trade war” narrative. I think the market has overreacted. Granted there are undeniable risks, but on balance, I envisage a negotiated trade settlement as being by far the more likely outcome, as I discussed in my previous column two weeks ago.

A silver lining is in the clouds if the economies of China, Asia can pull through the immediate squall

Like all investment decisions, there are both risks and rewards to balance and assess; but overall, my sense is risk appetite will recover, and in months, if not weeks from now, equity markets will be trading higher.

For all of the bluff and bluster by US President Donald Trump, I believe he has a clear political objective in mind: being the reciprocity of access.

This is why trade tariffs are being levied; it is why the Section 301 investigation was launched, and it’s why reciprocal, mirror taxes are being mooted.

In fact, I see the US’s trade war as one very large and very powerful crowbar designed to prise open China’s tightly guarded domestic market to greater foreign – read American – exports.

And the reason I think the US will succeed in achieving this aim is because Beijing realises how serious Washington and Corporate America are in seeking to fundamentally reset their bilateral terms of trade.

Trump won’t back down until US deficit narrows, Reince Priebus says

First, it’s important to understand the depth of animus held in the US towards China’s trade practices which are seen variously as distorted, predatory, and unfair. Under Trump, such frustrations have come to a head and found a voice. From rust belt workers to business leaders, from Silicon Valley IT firms to the halls of government, the impulse to “get tough on China” is broad-based and increasingly vocal.

Not surprisingly, China is treading cautiously. In response to the US plan to levy tariffs on up to US$60 billion of imports from China, Beijing responded with countermeasures equivalent to a rather timid US$3 billion, albeit with a promise to do more if further provoked.

The problem is, when you racked up a monster trade surplus with the US approximating US$280 billion in 2017, it’s a challenge to sound convincingly on the side of angels.

Yet ironically - for now at least - the US tariffs are a side show, a commercial irrelevance equivalent to less than 0.1 per cent of China’s gross domestic product (GDP). Much more important is the seven-month-old Section 301 investigation into China’s alleged infringement of intellectual property rights, the full results of which could be published as soon as next month.

Section 301 puts China’s critical hi-tech industries firmly in the cross hairs, and if the investigation identifies instances of state-led market-distorting efforts either to force, pressure or coerce US companies to disclose commercially sensitive technology, punishment - including restrictions on Chinese investments in the US - could follow.

Trump’s trade tensions could be the catalyst for the next financial crash

Limiting Corporate China’s ability to expand in the US would directly challenge President Xi Jinping’s Made In China 2025 vision, which – among other things - relies on China’s tech giants to drive and innovate the new economy in the coming years.

To the extent that exposure to US innovation and earnings is considered essential to execute on the 2025 ambitions, an inability to expand in the US market is a clear roadblock and could possibly see tensions rise between China’s IT bosses and the president’s office.

All of this points to China having every reason to negotiate with the US and provide for greater access to its domestic markets. As such, expect China to grant greater access to selected markets for US companies, set in place agencies and monitoring systems to increase protection of US intellectual property rights, and step up commitments to buy more US-made goods to reduce the trade deficit.

But progress in resetting the US-Sino trade regime needs to be seen to be done, not least by the US electorate. A conciliatory China and headway on market access will provide a clear boost to the Republicans’ prospects in November’s midterm elections and indeed, Trump’s own re-election chances.

Inevitably, a fine balancing act is required. Trump cannot afford to provoke Beijing too obviously or by too much, especially with North Korea apparently seeking to come in from the cold.

Trump has his flaws, but US trade with China is more unbalanced

Similarly, China is aware it needs to provide Trump with sufficient political face at home, or provoke a trade backlash with potentially worrisome economic consequences.

My overriding assumption is that sensible people tend to do sensible things; and that as such, sense will prevail.

Simultaneously I’m also aware the level of predictability falls sharply with less predictable people. The Trump administration has shown a good amount of sensibility on both the issues of exemptions to the steel tariffs, as well as the US-Korea Free Trade Agreement. But Trump has also brandished a radical streak, and Beijing seems to have taken note of it.

From our perspective, the more sensible bet would be on China and the US getting past these disagreements and coming to an arrangement that is more equitable, and therefore also more sustainable.

As such, the recent weakness in both Chinese and Korean equity markets simply increases the attraction that both already hold for us. Here, the radical might just be the more sensible: go against the grain and go overweight on both.

John Woods is the Chief Investment Officer, Asia-Pacific, at Credit Suisse",http://www.scmp.com/business/global-economy/article/2139687/how-does-astute-get-ahead-curve-china-and-us-get-past-their
1,china,"Since February 26, 2018, a 7.5 magnitude earthquake and several aftershocks struck central Papua New Guinea, which was the largest earthquake since 1922. By March 7, the earthquake has caused at least 122 deaths and over one hundred million yuan losses, and many buildings have been destroyed.

To show the Chinese government’s friendship and support for the government and people of Papua New Guinea as well as the international humanitarian spirit, the government of China initiated the emergency humanitarian assistance mechanism and decided to provide emergency humanitarian assistance to help Papua New Guinea deal with this disaster and post-disaster reconstruction.

Source: Ministry of Commerce Website",https://reliefweb.int/report/papua-new-guinea/chinese-government-provides-humanitarian-emergency-assistance-papua-new
2,china,"The numerous overlapping sovereign claims on islands, reefs, and rocks — many of which disappear under high tide — have turned the South China Sea into a virtual armed camp. And China has been quietly perfecting one of its key military outposts in the disputed waters.

The South China Sea, which is home to more than 200 specks of land, serves as a gateway to global sea routes through which approximately $3.4 trillion of trade passes annually.

China, the second-largest economy in the world, links its economic security closely to these waterways since more than 64 percent of its maritime trade transited through the region in 2016. The South China Sea is also a vital trade artery for Vietnam, Japan and South Korea.

The Spratly Islands, to which six countries lay claim, receive significantly more attention than other areas in the waters. Since there are more stakeholders involved with them, they are considered to be a more likely flashpoint for potential conflict.

Just north of the Spratly Islands lie the Paracels, where Beijing has quietly been building up a rugged power projection platform. Woody Island, the largest of the Paracels, lies at the center of China's strategy.",https://www.cnbc.com/2018/03/29/how-china-perfected-military-outpost-in-south-china-sea.html
3,china,"China is taking its first steps towards paying for imported crude oil in yuan instead of the U.S. dollar, three people with knowledge of the matter told Reuters, a key development in Beijing's efforts to establish its currency internationally.

Shifting just part of global oil trade into the yuan is potentially huge. Oil is the world's most traded commodity, with an annual trade value of around $14 trillion, roughly equivalent to China's gross domestic product last year.

A pilot program for yuan payment could be launched as early as the second half of this year, two of the people said.

Regulators have informally asked a handful of financial institutions to prepare for pricing China's crude imports in the yuan, said the three sources at some of the financial firms.

""Being the biggest buyer of oil, it's only natural for China to push for the usage of yuan for payment settlement. This will also improve the yuan liquidity in the global market,"" said one of the people briefed on the matter by Chinese authorities.

China is the world's second-largest oil consumer and in 2017 overtook the United States as the biggest importer of crude oil. Its demand is a key determinant of global oil prices.

Under the plan being discussed, Beijing could possibly start with purchases from Russia and Angola, one of the people said, although the source had no details of anything in the works.

Both Russia and Angola, like China, are keen to break the dollar's global dominance. They are also two of the top suppliers of crude oil to China, along with Saudi Arabia.

The move would mark a major step in reviving usage of the currency of the world's second-largest economy for offshore payments after several years of on-again, off-again measures.

If successful, it could also trigger shifting other product payments to the yuan, including metals and mining raw materials.

All three sources, who spoke to Reuters on the condition that they not be named, said the plans were at early stages. Officials at some of China's state oil companies said they had not heard of such plans.",https://www.cnbc.com/2018/03/30/china-is-reportedly-taking-the-first-steps-to-pay-for-oil-in-yuan-sources.html
4,china,"The Executive Director of Independent think tank McKell Institute told Sky News Australia that despite being the biggest worry for North Korea, China is too concerned about causing a humanitarian crisis with impoverished North Koreans asking for refuge in his country to cut all oil supplies to the rogue state.

He said: “At the end of the day, the big thing that North Korea is worried about is China.

“China can end the North Korean regime anywhere from about six to nine months by turning off the oil supplies that go into the country.

“That’s what the sword of Damocles hanging over Kim Jong-un’s head ultimately is.

“And, of course, what China is petrified of is a collapsed regime and tens of millions of impoverished North Koreans flooding into their country and bringing with them all of the humanitarian crisis that would issue.

“So, China has a real interest in keeping the border erected and keeping the regime in place.

“All of the global diplomatic efforts for years and years now, have all been focussed around this very thing.

“About getting China to lie the law down to North Korea and say no, nukes are too far.”",https://www.express.co.uk/news/world/938415/North-Korea-news-Donald-Trump-China-USA-end-Kim-Jong-un-regime
5,china,"BEIJING (Reuters) - China’s new banking and insurance regulator said on Thursday it will deepen the reform and opening up of the banking and insurance systems and will crack down on financial risk.

Guo Shuqing, China's newly appointed banking regulator, attends a news conference ahead of China's parliament in Beijing, March 2, 2017. REUTERS/Shu Zhang

In a statement, the regulator also said it would help clean up local governments’ hidden debts, crack down on shadow banking and push forward in orderly way lowering of corporate leverage ratios.

It will also support debt-to-equity swaps in a market-oriented and lawful way, it said, summarizing a meeting chaired by its head, Guo Shuqing, who is also the Communist Party chief and deputy governor of the central People’s Bank of China.

The regulator says they discussed “important documents” on strengthening the disposal and identification of non-performing banking assets, but did not give details.

China is among global economies viewed as most vulnerable to a banking crisis, according to the Bank for International Settlements. Beijing has maintained that debt risks are under control and its commitment to deleveraging will not waver.

The banking and insurance regulators were merged earlier this month as part of a broader re-organization of government departments.

The move to tighten oversight of China’s $42 trillion banking and insurance sectors comes as Beijing reins in riskier lending practices and cuts high corporate debt.

China has also cracked down on Chinese conglomerates for their aggressive acquisitions of overseas assets.

It has additionally launched a campaign to root out officials engaged in corrupt practices in the financial sector.",https://www.reuters.com/article/us-china-economy-regulator/new-china-financial-regulator-says-to-deepen-reform-fend-off-risk-idUSKBN1H51T8
6,china,"Alan D. Romberg, an Asia affairs specialist at the State Department who spent more than two decades in the Foreign Service and counseled a generation of China hands, died March 27 at his home in Bethesda, Md. He was 79.

The cause was renal cancer, said a son, Jon Romberg.

Mr. Romberg worked behind the diplomatic scenes to maintain good U.S. relations with China. As a member of the State Department policy planning office in the mid-1990s, he helped repair ties that had been strained by the 1989 Chinese crackdown on Tiananmen Square demonstrators.

“He was centrally involved in negotiations with the Chinese in 1997-1998 to plan the exchange of visits by U.S. President Bill Clinton and Chinese President Jiang Zemin that restored normalcy to U.S.-China relations eight years after the Tiananmen massacre,” Jeffrey A. Bader, who was the National Security Council’s senior director for Asian affairs under President Obama, wrote in an email.

Mr. Romberg also was one of the leading U.S. authorities on the special status of Taiwan, which the United States treated as a self-governing island even as Beijing insisted that it should be recognized as an integral part of China. It was, Mr. Romberg later wrote, a “sensitive triangular relationship” and parsing words was crucial to keeping the Taiwan issue from upsetting ties between Beijing and Washington.

Alan D. Romberg. (Courtesy of Stimson Center/Courtesy of Stimson Center)

“There are few more complicated or more important aspects of U.S. diplomacy than Washington’s widely misunderstood ‘one-China policy,’ the guiding set of principles behind America’s relationship with both Taiwan and mainland China,” said Thomas J. Christensen, an international relations scholar at Princeton University who served as deputy assistant secretary of State for Asia from 2006 to 2008. “Alan helped us keep the peace in that volatile period in cross-Strait relations.”

His advice was not always heeded — most notably when tensions led to the firing of Chinese missiles at Taiwan and a show of force by a flotilla of U.S. warships under President Clinton.

“Romberg was one of two or three officials who warned the secretary of state in 1995 that a visit to the U.S. by Taiwan president Lee Teng-hui was a bad idea and would trigger a crisis in U.S.-China relations,” Bader recalled. “Developments proved him right.”

Alan Demuth Romberg was born in White Plains, N.Y., on Dec. 1, 1938. He attributed his early interest in Asia to his father, a doctor who ran an Army field hospital in western China during World War II. He received a bachelor’s degree in 1960 from the Woodrow Wilson School of Public and International Affairs at Princeton University and a master’s degree in Soviet affairs from Harvard University in 1964.

After completing his undergraduate studies, he served two years in the Navy and was assigned to Taiwan.

His first marriage, to Elaine Ehrenfeld, ended in divorce. Survivors include his wife of 24 years, Nancy Henningsen of Bethesda; two children from his first marriage, Jon Romberg of Jersey City, and Laura Romberg of Cleveland; a stepson, Alex Southwell of Manhattan; a brother; and four grandchildren.

In addition to his Foreign Service career, from 1964 to 1985, Mr. Romberg served as director of the State Department’s Japan office and principal deputy director of the department’s policy planning office. He also was a State Department deputy spokesman, did stints on the National Security Council staff, was senior adviser to the U.S. Permanent Representative to the United Nations and was special assistant to the secretary of the Navy. He received Superior Honor and Distinguished Honor awards from the State Department.

1 of 59 Full Screen Autoplay Close Skip Ad × Notable deaths so far this year View Photos Remembering those who have died in 2018. Caption Remembering those who have died in 2018. H. Wayne Huizenga H. Wayne Huizenga, a college dropout who built a business empire that included Blockbuster Entertainment, AutoNation and three professional sports franchises, died March 22 at his South Florida home. He was 80. Read the obituary Wilfredo Lee/AP Buy Photo Wait 1 second to continue.

Amid his government service, Mr. Romberg was a senior fellow at the Council on Foreign Relations from 1985 to 1994. In 2000, he joined the Stimson Center, a nonpartisan policy research center focused on national security where he was a distinguished fellow and co-directed the East Asia program.",https://www.washingtonpost.com/local/obituaries/alan-d-romberg-china-expert-at-state-department-and-think-tanks-dies-at-79/2018/03/30/185e80fe-3414-11e8-94fa-32d48460b955_story.html
7,china,"Juba — China's emergency relief assistance has enhanced the South Sudanese government's ability to reach out to vulnerable people, South Sudan's relief agency said on Friday.

Santino Bol Muoter, Deputy Chairperson of South Sudan Relief and Rehabilitation Commission (RRC), told Xinhua that Beijing's food and non-food contribution last year enabled them to assist tens of thousands of needy people.

Last year, China provided tonnes of assistance including rice, tents, mosquito nets and blankets as emergency relief package to the war-torn East African nation.

Muoter said the RRC was still holding over 69,000 bags of Chinese rice in its stores and they would be distributed to vulnerable people.

""China is one of the friendly countries to South Sudan and we benefit from China in various aid including food aid and other material aid. We are grateful and we thank China for being a good friend especially in this hard time for South Sudan,"" Muoter said.

South Sudan has been embroiled in more than four years of civil strife that has have taken a devastating toll on the people.

The UN estimates that 2.3 million South Sudanese have fled into neighboring countries and another 1.9 million were displaced internally.",http://allafrica.com/stories/201803270385.html
8,china,"The Government of the Republic of Liberia and the People’s Republic of China, Friday, March 9, signed an Emergency Humanitarian Food Assistance grant to Liberia. The food assistance is aimed at consolidating and strengthening the existing bilateral cooperation between the two countries.

According to a Foreign Ministry release, the signing of the Certificate of Handover and Acceptance note for the China-aid grant under which China donated 50 containers of 1,243 metric tons of rice, took place in the Foreign Minister’s conference room.

Acting Foreign Minister B. Elias Shoniyin signed on behalf of the Liberian Government while Chinese Ambassador, H.E. Fu Jijun, signed for his Government.

The donation was made possible following a request from the Liberia government.

In brief remarks, Chinese Ambassador Fu stated, “On behalf of the Government of the People’s Republic of China, I have the honor to hand over 50 containers in the tone of 1,243 metric tons of rice to the Liberian Government and people.”

Ambassador Fu indicated that the donation is another gift from the Chinese Government; adding, “The rice has arrived in the country at the right time.”

He recalled that since the inauguration of President George Manneh Weah on January 22nd, the President and his administration have been working hard to stabilize the price of the country’s staple food, with the intend to ensure that Liberians especially unprivileged Liberians can afford to buy their staple at a reasonable price.

“I believe this batch of rice will help alleviate some of the difficulties the current administration is faced with,” Ambassador Fu hoped.

The Chinese Envoy further hoped that the rice donated would be allocated to the needy; adding, “As a friend of Liberia, China is willing to share its experiences and help Liberia in the recovery of its agriculture and increase its grain production.”

For his part, the Acting Foreign Minister, Honorable B. Elias Shoniyin, lauded the Government and People of the People’s Republic of China for the bilateral gesture.

Mr. Shoniyin recounted China’s numerous bilateral aids to the People of Liberia.

He also, on behalf of President Weah and Liberia, extended Liberia’s deepest appreciation to the Government and People of the People’s Republic of China for what he called the ‘usual and genuine gift’ from China to Liberia.

The Honorable Acting Foreign Minister hopes that the food assistance would go a long way in alleviating hardship on the ordinary Liberians.

He thanked the Chinese for supporting Liberia under the previous administration of former President Ellen Johnson Sirleaf and now under the CDC-led administration.

I am extremely appreciative that China has continued to consistently maintain its relationship with Liberia.

“In the last seven days, china has signed four major agreements to support Liberia. This is a demonstration of its commitment to deepening the relationship with Liberia.”

Acting Foreign Minister Shoniyin recommitted Liberia to the “One China Policy” with the aim to strengthen the bilateral cooperation and ties with Beijing. He pledged Liberia’s willingness to work closely with China at both bilateral and multilateral levels for the mutual benefits of the two peoples.

Also speaking at the occasion, Commerce Minister Professor Wilson Tarpeh thanked the Chinese Ambassador and through him, to the Government and People of the People’s Republic of China for the humanitarian gesture and added that the donation is consistent with the pivotal role China has played in the recovery effort of Liberia.

He stressed that the donation to Liberia is extremely laudable.

Minister Tarpeh hoped that the PRC will continue to do more for Liberia; adding, “We appreciate it very much. You can be assured that the Liberian Government would utilize this particular intervention in a responsible manner.”

The ceremony was graced by the Director General of the General Services Agency, Hon. Mary Broh, and the Deputy Minister for Legal Affairs at the Ministry of Foreign Affairs, Cllr. Deweh Gray.",https://reliefweb.int/report/liberia/liberia-china-sign-emergency-humanitarian-assistance-aid-rice-grant
9,china,"A ramp up in U.S.-China trade tensions — which many are predicting in the wake of a new round of tariff threats from both sides — would immediately result in an economic crisis, according to Nobel Prize-winning economist Robert Shiller.

The Yale economist criticized U.S. President Donald Trump during a Saturday interview in Beijing, calling the U.S. commander-in-chief ""a showman"" who ""obviously relishes"" celebrity, but acts in a way that's ""totally unbecoming for a president.""

But he saved his strongest critique for the apparently increasing likelihood of a trade war between the U.S. and China. U.S. companies, he warned, are not prepared to have China cut out of their supply chains or business models.

""The immediate thing will be an economic crisis because these enterprises are built on long-term planning, they've developed a skilled workforce and ways of doing things. We have to rediscover these things in whatever country after the imports are cut off,"" he told CNBC at the annual China Development Forum.

""It's just chaos: It will slow down development in the future if people think that this kind of thing is likely,"" he added.",https://www.cnbc.com/2018/03/25/trade-war-risks-may-cause-economic-crisis-robert-shiller-at-china-development-forum.html
