,Concerning,Text,URL
0,ethiopia,"ADDIS ABABA (Reuters) - Ethiopia’s prime minister-elect Abiye Ahmed will be sworn in on Monday, its parliament said, after the ruling coalition chose him to succeed Hailemariam Desalegn as its chairperson.

FILE PHOTO: Abiye Ahmed addresses a news conference in Addis Ababa, Ethiopia December 4, 2015. REUTERS/Stringer

The ruling Ethiopian People’s Revolutionary Democratic Front coalition on Tuesday voted in the 42-year-old, a retired lieutenant general from Ethiopia’s largest ethnic group, the Oromo, to take over the government.

Ethiopia is Africa’s second most populous country and has had the fastest growing economy on the continent for the past decade, but protests that began in 2015 have caused the biggest threat to the EPRDF since it took power in 1991.

“The House of People’s Representatives will hold an extraordinary session on April 2 to swear in Dr. Abiye Ahmed,” the body said in a statement.

His predecessor Hailemariam, from the small Wollayta ethnic group, resigned last month after sustained protests in the Oromiya and Ahmara regions where people say they are politically and economically marginalized.

Abiye will now face pressure to appeal to legions of disaffected youth and to push through promised reforms.

The event was initially scheduled for Saturday. The statement did not give a reason for the postponement.",https://www.reuters.com/article/us-ethiopia-politics/ethiopia-to-swear-in-new-prime-minister-on-april-2-idUSKBN1H52A3
1,ethiopia,"On 13 March, the government of Ethiopia and humanitarian partners officially released the Humanitarian and Disasters Resilience Plan (HDRP) for 2018. Ethiopia is facing a third successive exceptional year of drought-related humanitarian crisis. Acute needs are expected to continue in areas assisted through the 2017 response. Most of the 2017 humanitarian needs are carried over into 2018 given insufficient recovery opportunities, compounded by the underperformance of the 2017 autumn rains; the prevalence of risk factors for communicable disease outbreaks such as AWD and measles; as well as large scale displacement due to drought and conflict. The Appeal seeks US$1.66 billion to reach 7.88 million people with emergency food/cash and non-food assistance, mainly in the southern and south-eastern parts of the country. Activities and requirements are presented against three pillars, reflective of a disaster risk management approach.",https://reliefweb.int/report/ethiopia/ethiopia-2018-humanitarian-and-disaster-resilience-plan-hdrp-snapshot-march-2018
2,ethiopia,"The Advox Netizen Report offers an international snapshot of challenges, victories, and emerging trends in Internet rights around the world.

On March 26, Ethiopian authorities arrested journalists Eskinder Nega and Temesghen Desalegn, Zone 9 bloggers Befekadu Hailu and Mahlet Fantahun, and De Birhan Blog author Zelalem Workagegnehu. All have previously been jailed for their work as journalists or human rights activists.

They weren’t the only ones to be targeted during the week of March 26. A local source of Global Voices, who asked not to be named, estimated that more than 20 journalists, academicians, and prominent opposition figures were arrested. Civil society advocates from around the world called for the release of 11 journalists in a letter issued by the Association for Human Rights in Ethiopia.

Nega, who is a prominent political journalist, had previously spent nearly seven years behind bars on terrorism charges. He was released from prison several weeks ago, on February 14, only to be re-arrested this week.

Nega sent a message from prison describing the “inhumane” condition in which they are being held:

…our condition in prison is inhuman, to say the least. Better to call it jam-packed than imprisoned. About 200 of us are packed in a 5 by 8 meter room divided in three sections. Unable to sit or lay down comfortably, and with limited access to a toilet. Not a single human being deserves this, regardless of the crime, let alone us who are detained unjustly. The global community should be aware of such a case and use every possible means to bring an end to our suffering.

Temesghen was taken from the prison to Zewditu hospital “due to severe back pain he developed during his jail time in recent past.”

Hailu and Fantahun have both worked with the Global Voices community. In 2014, they were arrested along with seven of their blogger and journalist colleagues, all due to their participation in the Zone9 collective blog, where they wrote about their government's obligations to human rights and constitutional law.

After 12 weeks of arbitrary detention, the writers were charged under Ethiopia’s anti-terrorism proclamation and spent more than a year behind bars. Shortly before a state visit by then-US President Barack Obama in July 2015, some were released without explanation. The rest were acquitted and released in October 2015.

Since then, both bloggers have lived under close surveillance by state authorities.

All this has taken place in a tumultuous political environment. Since mid-2015, thousands of Ethiopians have begun to demand more political freedoms and social equality and a stop to government land grabs in the Oromia region, which is home to Ethiopia's largest ethnic group. The government response has been brutal: Hundreds have been killed, thousands have been arrested, and critical voices — both on and offline — have been systematically silenced.

In late 2017, Ethiopia’s ruling coalition began to splinter, resulting in political fallout and the January 2018 resignation of Hailemariam Desalegn as prime minister.

So far, 7,000 people have either had charges against them dropped or been pardoned — but as of this week, some of those released have been re-arrested. Their fate remains uncertain.

Next stop on the Cambridge Analytica fallout train: India

Data scientist-turned-whistleblower Christopher Wylie, the former head of research for Cambridge Analytica, told UK parliamentarians that the Indian National Congress, a prominent opposition party in India, was a client of the controversial data mining firm.

Allegations that other Indian political parties (including Prime Minister Narendra Modi’s BJP party) had contracts with the UK company are also circulating.

In his deposition before a UK parliamentary committee on March 28, Wylie described various activities of the data mining firm, which has dominated headlines since mid-March, when journalists from The Observer and The New York Times revealed that the firm exploited Facebook users’ behavioral and psychographic data — without their knowledge — in service of the US presidential campaign of Donald Trump.

In his deposition, Wylie was critical of the company’s work in India and in Kenya, where Cambridge Analytica was hired by the ruling Jubilee party. In a tweet, he compared it to “modern-day colonialism.”

Cambridge Analytica was also involved in election data mining with the intent to undermine elections in Nigeria, Africa’s most populous nation.

Data doubts hit Japan

On the heels of the Cambridge Analytica revelations, Prime Minister Shinzo Abe’s chief cabinet secretary told reporters on March 27 that the Japanese government is investigating unlawful use of personal data gathered from Facebook. Japan’s Personal Information Protection Act prohibits companies from sharing user data with third parties without explicit consent from users.

Protect your Facebook account from data miners

Shortly after news broke of Cambridge Analytica’s non-consensual exploitation of Facebook user data, the Electronic Frontier Foundation published a short guide to help Facebook users limit the degree to which third-party apps can access your data. Check it out here.

Turkey tightens online video laws

Turkey’s parliament passed a new law that empowers the country’s broadcast regulator to impose a licensing scheme for online video platforms (such as YouTube, Periscope and likely Facebook) that will allow the regulator to monitor and sanction platforms that do not promptly comply with content removal requests from the government. All platforms will be required to obtain a license from the regulator — those that fail to do so will risk being blocked altogether.

Syria creates special courts for cybercrime

Syria’s Council of Ministers passed an amendment to Cybercrime Law 17/2012, which penalizes “anyone who incites or promotes crime through computer networks” with prison sentences ranging between one and three years and a fine of up to US$1,500. The amendment creates a specialized court of first instance for cybercrime cases, whose rulings can then be challenged at the Court of Appeal. Previously, individuals charged under the Cybercrime Law could be tried in any court, including military tribunals.

Myanmar activists push back against defamation law

Responding to Myanmar’s notorious criminal defamation law, local tech hub Phandeeyar has launched an online database called #SayNOto66d, in partnership with a coalition of 22 civil society organizations. Under Article 66D, a person can be fined and/or imprisoned for up to three years if they are found guilty of “extorting, coercing, restraining wrongfully, defaming, disturbing, causing undue influence or threatening to any person by using any Telecommunications Network.”

According to the database, 61% of those who have been prosecuted under the law were “raising awareness of issues and holding others to account.” Half of the cases involved criticism of the state. All those who have been charged under the law have also been convicted.

Australian legislators want to protect encryption (really)

Australian Green Party Senator Jordan Steele-John put forth a motion to support laws protecting strong encryption in digital communication technologies and to fortify requirements for investigators to obtain a warrant before undertaking digital surveillance of citizens suspected of criminal activity.

New Research",https://globalvoices.org/2018/03/30/netizen-report-ethiopia-arrests-leading-journalists-and-activists-in-state-of-emergency/
3,ethiopia,"Overview

Given the recurrent nature of climate-driven humanitarian crises in Ethiopia, Government and partners have agreed that a significant shift in approach is required.

This Humanitarian and Disaster Resilience Plan(HDRP) represents a first step towards the development of a multiyear planning framework that will seek to: increase the quality and predictable delivery of required multi sectoral humanitarian response; mitigate future needs in areas that experience recurrent climate induced shock; support the strengthening of national service provision to address chronic and acute needs; and, the recovery of communities affected by drought and conflict.

The Government and partners are working to establish an overarching vision and strategy for resilience and recovery in many of the recurrently drought-prone areas.

Whilst this document focuses primarily on immediate response requirements for 2018, it also lays out the basis for a three-pillared model that will allow for further planning and development investments, in line with a disaster risk management approach.

Pillar 1 concerns prevention and mitigation: Some limited activities in this regard are already reflected here, particularly those that humanitarian partners believe to be immediately critical in the context of the required humanitarian response in 2018 – for support via humanitarian or development funding used flexibly. The need for broader, large-scale resilience-type investments are described in many of the sector chapters, though not yet presented in detail.

Pillar 2 concerns preparedness and response. Largely relief commodities and partners presence in hot-spot areas.

Pillar 3 concerns National System Strengthening and Recovery:

Practically all humanitarian assistance in Ethiopia is delivered with or through national systems at point of delivery; some activities to increase the capacity of these systems within Line Ministries at Federal and local levels (particularly that enable the overall response) are included here, along with some limited, sector-specific recovery activities. As with Pillar 1, major recovery investments are not yet presented in detail, though some early recovery activities are incorporated.

Ethiopia is entering a fourth year of exceptional drought emergency. In 2017, severe drought conditions continued in lowland, mostly pastoral areas, rendering hundreds of thousands destitute and displaced. The southern autumn rains again underperformed, though not at the level of ‘drought’, meaning that levels of food insecurity and acute malnutrition in the lowlands remain high. Meteorologists, including the National Meteorological Agency (NMA), are predicting that the current La Nina phenomenon may lead to reduced performance of spring rains, particularly over southern and eastern lowland areas.

The well-managed, Government-led, lifesaving response will need to be sustained across southern and eastern parts of the country through much of 2018. Across highland areas there was a generally strong meher harvest, with some pockets of poor performance. Disease outbreaks are further expected to continue in 2018.

Additional humanitarian needs have arisen due to conflict, with 857,000 Ethiopians displaced over the past year around the border areas of Oromia and Somali Regions. Many of those displaced over the course of 2017 are likely to require continuing relief assistance and recovery support in 2018.

Indicative modelling and projections show that humanitarian needs and financial requirements are likely to remain similarly high for the following two years (2019-2020), though could be mitigated through the introduction of some of the shifts in strategic and operational approach described here.",https://reliefweb.int/report/ethiopia/ethiopia-2018-humanitarian-and-disaster-resilience-plan
4,ethiopia,"Photo: Radio Okapi

(File photo).

It was only a few days that Ministry of Finance and Economic Cooperation divulged that the recent devaluation of Birr by 15 percent is leading to increasing export and remittance earnings over the last few months. Particularly the latter has also increased as many people start sending money via formal channels.

Remittance is usually considered as low-hanging fruit for country's forex demands. The amount of remittance earning sometimes equates with and other times exceeds the country's export earnings.

But, still 70 percent of the total remittance transaction takes place via informal channels, as sources show.

And this would pose possible risks of foreign currency shortage to the country, making fierce fight against this channel a timely task.

Black market is even fomenting some of the main challenges of the country facing in terms of contraband. The government also stressed that illicit and black market has been source of rivalry and conflicts in some corridor of the country.

According to Developing Market Associates (DMA) Global Chief Executive, Leon Isaacs, sending money to the sub-Saharan Africa is too expensive compared to other parts of the world. Sending money to Ethiopia is still lower than other African countries but it is still higher than the average outside of the continent, he wrote.

If it is reduced less than 2 up to 3 percent from the average 10 percent, customers will start to use more formal way, according to him.

Informal ways still stands a prominent way for Ethiopians to send money back home, according to Isaacs. Informal flows not only present a loss of foreign exchange for the government, but also reduce the opportunities to encourage investment while complicating the effort of tackling money laundering and terrorist financing.

As it may seem rational for some reasons that the Ethiopian Diaspora tend to use informal channel due to lack of access to services in the sender and receiver markets. High direct and indirect costs associated with formal channels force people to send remittance informally in addition to the regulatory barriers for undocumented migrants to use formal ways.

Some countries do not allow undocumented people to send money formally even if they wish to. In case of Ethiopia, many Ethiopians could be face the same fate to send money legally. In this regard, Ethiopia, under many conditions can, negotiate agreements with other countries to find the means for its illegal migrants to be documented in the first place and then send money back home via formal channels.

To address the problem some banks including Commercial Bank of Ethiopia are trying to open agents oversees.

""In a move to discourage the use of informal channels and encourages formal ones and facilitates issues relating to money transfer cost, local banks are made to rule out commission payments. Remittance money service providers are also made to post their fees on the website of the National Bank of Ethiopia (NBE) so that the senders could choose the best available option,"" NBE Senior Adviser Elias Loha told The Ethiopian Herald.

According to him access to bank is improving through time. The volume of remittance has already reached four billion USD. Diaspora's engagement in terms of investment and remittance is seeing upward trajectories as well.

NBE is making policy adjustments to encourage the use of formal channels of money transfer. Of course, the informal channel has significant share at this time. ""We need to improve accessibility and reliability of banking services there by increasing the number of people using informal ways to switch to formal ones.""

Introducing new methods of money transfer with the help of modern technology should be at the top of agenda of institutions working on the area, he added.

Diaspora Engagement Directorate Director at the Ministry of Foreign Affairs, Demeke Atenafu for his part stated, the move emboldens the Diaspora to send money through formal channel and increase the volume of remittance .

""One of the priorities of our embassies is to strengthen link between money transferring agents and Ethiopian banks. The competition will reduce transaction costs and the Diaspora can also have access to bank services easily,"" he said.

Conducting awareness raising works and showing the risks involving in using informal channels are also part of the objectives of the embassies in addition to effort of strengthening the link between the money transfer agents where the Diaspora reside and the local banks. This would widen alternative banking services for the Diaspora community, he indicated.

By strengthening the measures taken so far, there are more rooms to increase remittance income and use it for the socio-economic development of the country and its investment activities.",http://allafrica.com/stories/201803300424.html
5,ethiopia,"The United States Senator for Florida, Marco Rubio, has waded into the recent re-arrest of Ethiopian journalists and other political prisoners, urging the Ethiopian government to release them.

Tweeting the AP report on the re-arrest, Rubio’s PressShop wrote on Friday: “Ethiopian journalist Eskinder Nega, who was recently released after 7 years in prison on false charges, was just re-arrested.

“I urge the Ethiopian government to release him and other political prisoners. #expressionNOToppresion.” The Senator joins a long list of other rights groups – local and international, piling pressure on the regime to release the detainees.

I urge the Ethiopian government to release him and other political prisoners. #expressionNOToppresion.

They were arrested for attending an unauthorized gathering and use of a banned national flag. The gathering in question was a welcome party for recently released prisoners in the capital of Amhara regional state, Bahir Dar.

Aside Nega, others picked up during the gathering were, Andualem Aragie, leader of Ethiopian opposition UDJ party, journalist Temesgen Desalegn and bloggers Befeqadu Hailu and Zelalem Workagegnehu.

The multiple-award winning Nega who was jailed in 2011 on terrorism charges is on record to have said he was ready to return to jail if the democracy was not respected.

“I am prepared to go back to prison. What I am not prepared to do is give up. We will continue to press and struggle for freedom of expression and democracy,” the 47-year-old said in an interview days after he was freed.

According to regulations of the Command Post overseeing the latest state of emergency declared in mid-February, people are prohibited from gatherings that do not have the approval of relevant authorities.

On the subject of the flag, the gathering used the Ethiopian plain flag, which does not have the blue disc contrary to law.

A proclamation regarding the use of the Ethiopian flag prohibits the display of the flag without the emblem at its center and those contravening the law could be sentenced to up to a year and a half in prison.

Some Ethiopian opposition groups have on several occasions expressed their displeasure with the new flag arguing that the ruling coalition, EPRDF blue disc star symbolises ethnic division.

The country is to swear in a new Prime Minister Abiy Ahmed from the protest-hit Oromia region. He takes the mantle after the resignation of Hailemariam Desalegn who quit to allow promised reforms to be pursued.",http://www.africanews.com/2018/03/31/ethiopia-govt-must-free-eskinder-nega-other-political-prisoners-us-senator-rubio/
6,ethiopia,"An Ethiopian lawyer and lecturer with the Keele University in the United Kingdom says the re-arrest of journalists and politicians back home is a sign that the government was clueless about how to exit the current political crisis.

RFI

Awol Allo in an interview with Radio France International () held that the development which took place over the weekend was, however, not a surprise to most watchers of Ethiopian politics over the past few years.

He said for the government to order the fresh detention of these people was a sign that it lacked the ideas to steer the country away from the current crisis. Ethiopia is without a substantive Prime Minister and is currently under a six-month state of emergency imposed on February 16.

“… the fact that this is happening at a time that we have a state of emergency and these are highly popular individuals, very high profile politicians re-arrested again says very clearly (I think) to everyone that is watching that the government has no clear vision, clear policy to get out of the current crisis,” he said.

And they are taking such a long long time to appoint a new Prime Minister shows very clearly that the former Prime Minister wasn't really in control at the time and that there were other people who call the shots behind the scene.

About a dozen politicians and journalists were arrested during a gathering in the town of Bahir Dar in the Amhara regional state. A lawyer associated with some of them said they were held for displaying a banned national flag and meeting without permit contrary to state of emergency rules.

According to Allo, the conflicting and contradictory signals sent by the regime all but lacked logic given the basis for the release of the re-arrested group and the incidents that followed their release.

Commenting on the lack of a Prime Minsiter, he said it was indicative of the fact that outgoing Hailemariam Desalegn was not in control over the last five years. “The fact that the ruling establishment didn’t care much about the resignation of the Prime Minister, he added.

“And they are taking such a long long time to appoint a new Prime Minister shows very clearly that the former Prime Minister wasn’t really in control at the time and that there were other people who call the shots behind the scene.”",http://www.africanews.com/2018/03/26/ethiopia-re-arrests-shows-govt-has-no-clear-policy-to-exit-crisis-lawyer/
7,ethiopia,"HIGHLIGHTS

• The Government of Ethiopia and the UN presented the 2018 humanitarian and disaster resilience plan (HDRP) to member states.

• The HDRP seeks at least $1.6 billion to provide emergency and long-term assistance for 7.88 million people affected by drought, floods and conflict.

Gov’t and UN brief Member States on Ethiopia humanitarian situation

On 21 March 2018, the Government of Ethiopia and the UN presented the 2018 humanitarian and disaster resilience plan (HDRP) to member states in Geneva. The HDRP seeks US$1.6 billion to provide emergency and long-term assistance for 7.88 million people affected by drought, floods and conflict with relief food or cash, and 8.49 million people with non-food assistance. According to the U.N. resident and humanitarian coordinator for Ethiopia Mrs. Ahunna Eziakonwa-Onochie, all the needs to be addressed through the HDRP are immediate, and acute and massive.

Assistant Secretary-General (ASG) for Humanitarian Affairs and Deputy Emergency Relief Coordinator. Ms. Ursula Mueller who chaired the briefing reaffirmed the Secretary-General’s remarks at the High-Level event held in Addis Ababa in January 2017 that ‘Solidarity is not a matter of generosity. It is a matter of justice and self-interest.’ The ASG reminded member states of the need for early action as the alarm bells are ringing by the end of March. “Today, the World Food Program’s ability to cover the emergency food needs of 1.8 million people in the Somali Region is in peril. Some $50 million is required to cover the costs of two rounds of emergency food assistance for those affected by drought – and, increasingly – conflict along the Oromia-Somali regional border. Supplies to treat moderate acute malnutrition are also at risk should timely and adequate funding not be secured.” The Government of Ethiopia has already committed $182 million for drought and IDP response and rehabilitation.

Government and partners re-activate DRM Gender working Group

Following the decision by the National Disaster Risk Management Technical Working Group (DRMTWG) to re-activate the DRM Gender Working Group (DRMGWG), the DRMGWG held its first meeting on 20 March 2018. The group discussed and agreed on producing a draft action plan by 28 March 2018 that will help to facilitate, coordinate and advocate for gender mainstreaming throughout the entire humanitarian program cycle. The working group will support humanitarian actors to develop tools and systems for implementing gender dimensions while addressing the humanitarian needs of some 7.88 million people, including 1.2 million conflict-induced IDPs and close to 500,000 climate induced IDPs- most of whom are women and children. The group will work to ensure that the concerns of women and children are considered as an integral dimension of the design, implementation, monitoring and evaluation of policies and programs in the humanitarian sector.

The DRMGWG comprises of members drawn from Government, UN Agencies and NGOs including all clusters/sectors. The DRMGWG will be co-chaired by NDRMC and UN Women while OCHA will serve as secretariat.",https://reliefweb.int/report/ethiopia/ethiopia-humanitarian-bulletin-issue-49-12-25-march-2019
8,ethiopia,"Ethiopia to vote in new prime minister, though political protests and arrests persist

On Tuesday, the ruling Ethiopian People’s Revolutionary Democratic Front voted Dr. Abiy Ahmed the new chairman of the four-party coalition, replacing Prime Minister Hailemariam Desalegn after his February resignation. Abiy, the 42-year-old leader of the Oromo People’s Democratic Organization and former lieutenant general, will officially be sworn in as prime minister on April 2.

Author Amy Copley Research Analyst and Project Coordinator - Africa Growth Initiative

The elevation of Abiy, who is largely viewed as a reformer, was greeted positively by many. Hopes are high that Abiy’s election will bring calm to increasing unrest across the country. He will be the first head of state in modern times from Ethiopia’s largest ethnic group, the Oromo, whose region has experienced major strikes, protests, and violence in recent years. According to Bloomberg, following the ruling party’s selection of Abiy, yields on the country’s eurobonds due 2024 fell markedly by 22 basis points to 6.31 percent, suggesting an increase in the bond’s value and a surge in investor demand for the asset compared to the previous week.

So far this year, Ethiopia has seen both progress and retreat in the protection of human and political rights. In January, in response to the unrest in the Oromia and Amhara regions, the government released 114 political prisoners as well as senior opposition leader Merera Gudina. Charges against another 414 people were also dropped. These releases were done “in order to improve the national consensus and widen the democratic platform,” according to then-Prime Minister Desalegn.

Then again, Ethiopia has been under a state of emergency since Desalegn’s resignation. Since then, the country has seen an increased crackdown on journalists and protesters, with 12 people arrested on just Monday, March 26, for violating a ban against using a prohibited national flag and illegally gathering without the knowledge of authorities.

MTN’s initial public offering is the largest ever in Ghana; Central Bank cuts rates

The upcoming initial public offering (IPO) of the Ghanaian unit of telecom service provider MTN is expected to become the largest listing on the Ghana Stock Exchange. According to Bloomberg, the company will be selling a 35 percent stake through the listing for about $787 million at an overall valuation of $2.2 billion. The listing is part of the firm’s 2015 agreement with the government signed when MTN won the right to use 4G spectrum to launch high-speed mobile data services in the country. The size of the IPO is 10 times the size of the previous largest IPO of the Agriculture Development Bank in December 2016. The IPO is expected to garner global interest and, according to Alex Boahen of Databank Group, “demand from foreign investors attracted by MTN’s profitability should ensure the IPO is a success.”

In other business news, the Bank of Ghana cut its policy rate from 20 to 18 percent this week. This represents a four-year low for the policy rate, which has been reduced by 8 percentage points since 2016 in line with the falling inflation, which has almost halved over the last two years to 10.6 percent in February. Current inflation levels are close to the central bank’s medium term target of 6-10 percent and could lead to further policy rate cuts according to an analyst interviewed by Bloomberg.

Angolan prosecutors accuse former president’s son of fraud

On Monday, the U.K.’s National Crime Agency stated that it had seized $500 million—transferred from the Angolan Central Bank to a corporate account at HSBC in the U.K.—on suspicions of fraud. Deputy Attorney General of Angola Luis Benza Zanga formally accused José Filomeno dos Santos, the son of Angola’s ex-president José Eduardo dos Santos and former head of Angola’s sovereign wealth fund, of involvement in the illegal transfer. The former central bank governor of Angola, Valter Filipe da Silva, has also been implicated. HSBC had frozen the U.K. account several weeks ago and reported the transaction to U.K. authorities due to the size and nature of the transfer. Although HSBC has come under fire in recent years for allegedly managing transactions for Mexican drug cartels, the company has invested heavily in upgrading its anti-money laundering compliance systems. The U.K. authorities announced that the $500 million would be returned to Angola through a process in the U.K. courts.

Notably, Filomino is not the only member of the dos Santos family who has come under investigation in recent months. Late last year, Filomino’s half-sister Isabel dos Santos was dismissed from her position as head of Sonangol, the state oil company, and this month authorities opened an inquiry into funds that went missing during her time leading the firm.",https://www.brookings.edu/blog/africa-in-focus/2018/03/30/africa-in-the-news-ethiopias-new-pm-ghanas-record-ipo-and-angola-and-uk-uncover-fraud/
9,ethiopia,"A Kenyan conflict analysis resolution expert says Kenya must employ diplomatic channels to help Ethiopia out of the current political crisis it finds itself in.

According to Hassan Khannenje, the current state of affairs was just a matter of time after decades of iron fist rule by the Ethiopia Peoples Revolutionary Democratic Front (EPRDF).

Speaking on a political talk show hosted by NTV Kenya channel he stressed that Ethiopia was nearing the end of authoritarian rule. “I don’t see the current Ethiopian crisis as the beginning of democracy (actually) I see it as the beginning of the end of autocracy.

Ever since the days of Hailesellasie to Mengistu Hailemariam and then after he was overthrown (really), there has never been a debate in Ethiopia or political space, essentially it has been a police state.

“Ever since the days of Hailesellasie to Mengistu Hailemariam and then after he was overthrown (really), there has never been a debate in Ethiopia or political space, essentially it has been a police state,” he stressed.

He averred that in the absence of a substantive head of government, i.e. a Prime Minister, the country was confused, adding that the state of emergency did not help matters because it is often used to repress opposition groups.

“And this is a culmination of many years of autocracy and authoritarianism. Now, in the absence of the Prime Minister at the moment or at least the state control of power in certain places, a lot of time the opposition tends to suffer, it gets scapegoated, it gets repressed.

“… the Oromo being the largest ethnic group in Ethiopia and having been resistant to the status quo for many years, of course they are going kto get the first flak. Now, Kenya had seen this coming and we cannot pretend we were unaware of the goings on in Ethiopia.

Kenya until recently had not actively waded into the Ethiopian situation. The recent influx of thousands of refugees following a botched military operation in the border town of Moyale has forced the media to discuss Ethiopia.

“This was bound to happen sooner or later and what I am hoping is our Minister of Foreign Affairs or Interior have a moral bust approach both diplomatically with Ethiopia to make sure that thing does not overflow.

“But also to use its influence on the current rulers within at least on the Ethiopian circles, at least, to try and calm things down. Today Ethiopia needs help. They are still trying to figure out a direction where to go from here, they are confused,” he said.",http://www.africanews.com/2018/03/16/ethiopia-crisis-is-the-beginning-of-the-end-of-autocracy-kenyan-security-expert/
