,Concerning,Text,URL
0,india,"ISLAMABAD: Pakistan has approved humanitarian proposals made by India regarding exchange of civilian prisoners incarcerated in both the countries.

The proposals include exchange of three categories of prisoners, women, mentally challenged or with special needs and those above 70 years of age.

In addition, New Delhi had proposed the revival of judicial committee mechanism and facilitating the visit of medical experts (from both sides) to meet and examine the mentally challenged prisoners for their repatriation.

According to a statement issued by the Foreign Affairs Ministry on March 7, Foreign Minister Khawaja Asif has extended two more humanitarian proposals regarding exchange of prisoners above 60 years of age and child prisoners below 18 years of age.

He expressed the hope that India would positively reciprocate Pakistan’s proposals.

The foreign minister stated that it was his desire that through such initiatives, Pakistan and India would embark on the road to a comprehensive dialogue, and make a conscious effort to de-escalate the extremely vitiated current environment and the situation on the Line of Control and the Working Boundary.

Earlier this year, Pakistan had handed over a list of 457 Indian prisoners being held in the country to India. – SAMAA

Published in Pakistan

Story first published: 7th March 2018",https://www.samaa.tv/pakistan/2018/03/pakistan-accepts-indias-humanitarian-proposals-prisoner-exchange/
1,india,"NEW DELHI: While the Abdulla Yameen government has lifted Emergency in the Maldives, India remains upset with Male for the opaque manner in which it is carrying out not just its China policy but also its overtures to Pakistan. The latest issue niggling India is Male's decision to discuss with Islamabad a visit by Pakistan army chief Qamar Javed Bajwa without first bringing it to the notice of South Block.Despite its stated India First policy, the Yameen government has not bothered, unlike all other previous governments in Male, to take India into confidence on major issues in the spirit of mutual trust whether it's the Chinese investments in the Maldives or the ocean observatory Beijing wants to build right under India's nose.""As usual, the current Maldivian regime remains secretive about the dealings with the Chinese and Pakistanis unlike previous governments which took us into confidence in advance on such issues,’’ said a top Indian official on condition of anonymity when asked about Bajwa’s visit to Pakistan. He added that India was closely following reports that Bajwa was going to visit Male on March 31.As TOI had first reported on February 26, China is looking to build what the Maldives officially describes as a Joint Ocean Observation Station on the westernmost atoll of Makunudhoo in northern Maldives, not far from Lakshadweep. Even as it seeks to convince India that the observatory will have no military application, it has refused to share a copy of the agreement for the observatory with the Indian government.Official sources here said that former foreign secretary S Jaishankar had sought a clarification from the Maldivian ambassador, Ahmed Mohamed, over the issue. Mohamed is learnt to have told Jaishankar that China was only looking to build a meteorological ocean observation centre in the Maldives.A senior official of the Maldivian government told TOI too that the agreement signed was for meteorological purposes but refused to share a copy saying it was not a public document.While the President’s official website calls the agreement The Protocol on Establishment of Joint Ocean Observation Station between the Maldives and China, the Maldivian official claimed that the website probably ""forgot"" to add the word meteorological to it.A marine observatory, as strategic affairs expert Brahma Chellaney says, is an important tool to gather information on ocean state, phenomena and processes in order to have a better understanding of ocean dynamics and grasp regional characteristics and vulnerabilities.""A Chinese-built marine observatory in the Maldives will yield a variety of physical, chemical and biological data to better understand the specific characteristics of that part of the Indian Ocean and Arabian Sea so as to optimally deploy nuclear-powered attack submarines (SSNs) and nuclear-powered ballistic missile submarines (SSBNs) in India’s maritime backyard. This will complete India’s strategic encirclement,’’ he says.As Vice Admiral (Rtd) Jagjit Singh Bedi had tweeted, in response to the TOI story on the proposed observatory, China needed accurate and reliable hydrological data for sub surface operations. ""Precursor to prolonged deployment of SSBN/ SSN operations in the Arabian Sea. To be read in conjunction with surveys conducted off Gwadar (the Pakistan port which China has built and controls) to analyse tectonic activity,’’ tweeted Bedi",https://timesofindia.indiatimes.com/india/maldivess-engagement-with-china-pakistan-too-secretive-for-india/articleshow/63523883.cms
2,india,"New Delhi (CNN) Is India distancing itself from the Tibetan exile community six decades after the Dalai Lama fled to the country?

That's the question many are asking after celebrations to mark the 60th anniversary of the spiritual leader's arrival in India have been moved or canceled, as Beijing and New Delhi seek to reboot ties in the wake of a tense year in bilateral relations.

From March 31, Tibetans in India are holding a year-long ""Thank You India"" event as a prelude to celebrating the Dalai Lama's time in the country and to show gratitude to the Indian government and its people for their support of Tibetan refugees.

But what should have been a moment of joy has been overshadowed by a flurry of speculation about the future of the exiled Tibetan community -- and especially the freedom they have enjoyed in India since the late 1950s.

""It looks like the Government of India is changing its policy,"" said Claude Apri, an India-based expert on Tibet and author of several books on Tibetan issues.

After an unsuccessful revolt against the Chinese occupation of Tibet, the 14th Dalai Lama, Tibet's spiritual leader, fled the capital Lhasa in secret.

He crossed into India on March 31, 1959 and has made India his home ever since.

A living god-like figure for millions of Buddhists, India officially calls him ""the most esteemed and honored guest of India."" China accuses of him of being a ""a wolf in monk's robes,"" engaged in ""anti-China separatist activities under the cloak of religion with the aim of breaking Tibet away from China.""

Photos: The Dalai Lama begins his exile The Dalai Lama, Tibet's spiritual leader, sits under a canopy in Mussoorie, India, on May 19, 1959. It was the first time he had posed for photographers since fleeing from the Chinese army in March of that year. China invaded Tibet in 1950, making historical claims on the region. Hide Caption 1 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama is seen with his mother outside the Birla House, his residence in Mussoorie. In 1960 he moved to Dharamsala, India, which remains his home today. Hide Caption 2 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama is actually the 14th Dalai Lama and the 74th manifestation of Avalokiteshvara Bodhisattva, the enlightened Buddha of compassion. During his life, he has traveled to numerous countries with a message of tolerance and peace. He won the Nobel Peace Prize in 1989. Hide Caption 3 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama's mother and his younger brother Ngari Rimpoche are photographed at the Birla House. Hide Caption 4 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama comes out of his house to address a religious congregation on May 22, 1959. He was 24 years old. Hide Caption 5 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama celebrates Buddha's birthday in Mussoorie. Hide Caption 6 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama sits under a portrait of Buddha as he gives an address at the Birla House. Leading Tibetan monks sit on his left. His tutors sit on his right. During his address, the Dalai Lama expressed hope that the strife in his country was only a passing phase, and he urged the gathering to pray for a return of peace to Tibet. Hide Caption 7 of 9 Photos: The Dalai Lama begins his exile The Dalai Lama was just 15 when he became Tibet's head of state and government in 1950. From 1954-1959, he participated in unsuccessful peace talks with Chinese leaders. Hide Caption 8 of 9 Photos: The Dalai Lama begins his exile Indian Prime Minister Jawaharlal Nehru visits the Dalai Lama at the Birla House. Hide Caption 9 of 9

'Very sensitive'

attending events planned by exiled Tibetans in India. In early March, news emerged that the Indian Foreign Secretary penned a classified advisory asking senior leaders and government officials to refrain fromattending events planned by exiled Tibetans in India.

The note reportedly said the events, in March and April, came at a ""very sensitive time in the context of India's relations with China.""

A week later, the Tibetan Central Administration -- the government in exile -- decided to move a major cultural event that was originally planned to be held in the Indian capital New Delhi with a speech by the Dalai Lama, to Dharamsala, where the exiled community is based.

A Dalai Lama-led inter-faith prayer ceremony was also scrapped, the Tibetan Central Administration said, as was the Seventh World Parliamentarians Convention on Tibet that was meant to be held on April 26-28 in Delhi.

The Tibetan Parliament-in-exile, the organizers of the convention, declined to give a reason for the cancellation of the high-profile event.

Sonam Dagpo, a spokesman for the Tibetan Central Administration said that there has been no direct communication from the Indian authorities and that the plans were changed out of respect to the Indian government's position.

""Once we (heard about the note), we decided to shift the venue,"" he said. ""There are no ill feelings. If you weigh what the Indian government has done for us, that is far more than this.""

The Indian foreign ministry issued a statement this month saying there is no change in India's position, and that ""His Holiness is accorded all freedom to carry out his religious activities in India.""

According to the latest data from the government in exile, more than 128,000 Tibetans live outside of their homeland. Of those, 94,000 live in India, around three quarters of the total. Another 10.6% live in Nepal and the remaining have resettled in more than 30 countries around the world.

Since 1974, the Dalai Lama has said he does not seek independence from China for Tibet, but a ""meaningful autonomy"" which would allow Tibet to preserve its culture and heritage.

India maintains that Tibetans in India ""do not conduct political activities from Indian soil.""

Dance, not fight

Recent statements from Beijing and Delhi show the two governments are seeking to mend ties after a turbulent year in bilateral relations.

Last year, troops from both countries were involved in a months-long border standoff in Doklam , up in the Himalayas near Bhutan.

At a press conference last month, Chinese Foreign Minister Wang Yi said the two countries leaders ""have developed a strategic vision for the future of our relations: the Chinese 'dragon' and the Indian 'elephant' must not fight each other, but dance with each other.""

India's Foreign Secretary Vijay Gokhale visited Beijing in February, where he said both sides noted the need to ""address differences on the basis of mutual respect and sensitivity to each other's concerns, interests and aspirations.""

Manoj Joshi, a fellow at the Observer Research Foundation, said India is keen to keep ties balanced, especially with China growing closer to rival Pakistan.

""Relations stand at an uneasy place, with India trying to backtrack somewhat and mend fences that were broken in the last two years,"" he told CNN.

He added China was also seeking progress as it didn't want ""India to drift back into the American camp.""

Indian Prime Minister Narendra Modi and Chinese President Xi Jinping are expected to meet on the sidelines of the Shanghai Cooperation Organization summit in June.

Tibetans may be the big losers if India and China do mend things up, said Tshering Chonzom Bhutia, associate fellow at the Institute of Chinese Studies in New Delhi.

""If policymakers in India continue to be guided by the perception that serving up the Tibet issue on the diplomatic plate to China is the most efficient way to improve India-China relations, then we can anticipate more restrictions on Tibetan activities in India,"" she said.

Against the backdrop of China's rising dominance in India's neighboring countries, Tibet is a minor issue for Delhi, said Tsering Shakya, a Tibet scholar and research chair at the University of British Columbia in Canada.

""India is sensing Tibet's appeal in the West is declining,"" Shakya said, freeing Delhi to play to Beijing's feelings on the issue.

Uncertainty

Adding to all this uncertainty is the confusion of what happens after the Dalai Lama dies.

In 2011, in a move to democratize the system of government, the Dalai Lama gave up his political and administrative powers and chose to remain as just a spiritual leader, but he is still far and away the community's most influential figure.

When the current Dalai Lama dies, Tibetans will be in a state of disarray, said Phunchok Stobdan, a former Indian diplomat and a senior fellow at the Institute for Defence Studies and Analyses in New Delhi, although he stressed that India will continue to support the Tibetan refugees on humanitarian grounds.

""India will do (this) because India is a democratic country. That is separate from the political side of it,"" he said.

But many Tibetans in India are concerned about their future in the country when the most influential figure in their community is no longer there to speak out on their behalf.

Ultimately, what might matter most is geopolitics.

""How the political issue of Tibet will pan out in the post-Dalai Lama era depends to a huge extent on the bilateral India-China dynamics as well as the regional and global situation,"" Bhutia said.",https://www.cnn.com/2018/03/30/asia/india-tibet-china-dalai-lama-intl/index.html
3,india,"Masood strongly condemns killing of 6 innocent Kashmiris by Indian troops

President says India’s draconian black laws empower occupation forces to commit war crimes

Azad Jammu and Kashmir President Sardar Masood Khan has strongly condemned killing by Indian occupation forces of 6 innocent civilians in Shopian and subsequent lockdowns and crackdowns in Indian-Held Kashmir.

Speaking on the recent killings taking place in IHK, the president said, “Six young civilian men were gunned down in cold blood and now they are being called militants. India has flouted international humanitarian laws applicable in the conflict situations which prohibits the killing of non-combatants. India has once again committed a heinous war crime.”

The president made these remarks during his two-day official visit to Italy while addressing various events in the cities of Brescia, Bergamo, and Cremona organised by the Pakistani-Kashmiri community-based in the administrative region of Lombardy.

President Masood Khan said that India’s draconian black laws – the Armed Forces Special Powers Act and Public Safety Act – empower occupation forces to commit such war crimes with impunity. India, the president said, must be held accountable by the UN Security Council, International Committee of the Red Cross (ICRC), and the Human Rights Council.

He said that India by using unbridled brute force has denied the unarmed innocent Kashmiris their right to self-defence and instead demonised their indigenous freedom struggle as acts of terrorism and labeling the defenseless protestors as terrorists.

Emphasising the fact that there was no terrorism in IHK, he said, “The Kashmiris are the most unarmed populace on the face of the earth and are leading a peaceful unarmed struggle for their right to self-determination which had been guaranteed under the resolutions of the United Nations Security Council. The only terrorism in IHK is the state terrorism under the patronage of Delhi.”

During his interaction at the community events, he complimented the Pakistani-Kashmiri community-based in Italy for their commitment and resolute struggle for the cause of Kashmir; especially commending their efforts in closing their ranks and forging unity.

Lauding the successes of the Pakistan-Kashmir diaspora community, he urged them to continue working for a stronger and prosperous Pakistan because only a strong Pakistan can guarantee the realisation of the right to self-determination of the people of Jammu and Kashmir. He thanked the people and Government of Pakistan for its continued moral, political and diplomatic support for the Kashmiris.

Paying tribute to the valiant civilians living along the LoC, he assured his audience that the issues concerning compensation to the people living near the LoC and relocation of some of the population exposed to extremely dangerous zones are being addressed.

In his exchange of views with the Italian lawmakers and other interlocutors, the president said that Pakistan and Italy enjoyed excellent relations and work closely on various issues at the United Nations. The members of the Pakistan-Kashmir community in Italy, he said, were acting as ambassadors between Pakistan and Italy building and strengthening diplomatic and social bridges between the two countries.",https://www.pakistantoday.com.pk/2018/03/06/india-flouting-international-humanitarian-laws-ajk-president/
4,india,"NEW DELHI: In a significant move to ease tensions, India and Pakistan are looking to put a lid on recent incidents of harassment of diplomats by reiterating a code of conduct arrived at in 1992 to ensure diplomatic staff are not subject to rough treatment that has accelerated a downturn in relations.The understanding under the code of conduct (CoC) for treatment of diplomatic/consular personnel signed in 1992 after a spate of incidents of harassment indicates that India and Pakistan seem to have decided they should not sink any further in diplomatic quicksand over instances of intimidation.The two sides have taken steps to minimise such cases in the past 5-6 days and called on each other to abide by the August 1992 CoC in dealing with diplomats in talks held here and in Islamabad . Interestingly, the announcement comes even as Indian high commissioner to Pakistan Ajay Bisaria assured businessmen at the Lahore Chamber of Commerce and Industry that he would try to maximise visas issued for trade.“Traders on both sides of the Indo-Pak border face visa issues which is among the reasons why the two sides have failed to actualise the potential $30 billion trade mark estimated by the World Bank,” Bisaria said. “I will try that maximum number of Indian visas are issued to traders,” he said.In Delhi, the MEA said, “India and Pakistan have mutually agreed to resolve matters related to the treatment of diplomats and diplomatic premises, in line with the 1992 code of conduct.”There have been instances of aggressive tailing of Indian diplomats in Islamabad and Pakistani diplomats have reported similar incidents in Delhi.Talking about the significance of the CoC, former Indian HC to Pakistan TCA Raghavan said it was signed at a tense period in India-Pakistan relations and was a pragmatic attempt to ring fence diplomats from frequent turbulence in ties. “Though frequently infringed through tit-for-tat responses, it remains a standard to be invoked to reset things at more stable levels,” he said.Both sides agreed there was at least a hint of de-escalation in the past week or so. The last incident of harassment reported by Pakistan was on March 22. India though did issue a note verbale to Pakistan earlier this week and sources here said there were still “minor’’ cases of tailing of Indian staff taking place in Islamabad. According to Indian authorities, Pakistan has often claimed harassment of its personnel in India in a bid to establish equivalence.The two countries have again sought to bring humanitarian issues to the fore with India, as reported by TOI on March 26, seeking visas for a team of doctors that will visit Pakistan soon to examine mentally unsound Indian prisoners.The CoC clearly lays down that the dignity and personal inviolability of diplomatic/ consular personnel of the Sending State and their families shall be guaranteed and fully respected by the Receiving State.It also states that intrusive and aggressive surveillance and actions such as verbal and physical harassment, disconnecting of telephone lines, threatening telephone calls, pursuit in cars and unauthorised entry into residences shall not be resorted to.The two countries are also looking to arrive at an understanding to facilitate unhindered construction work by either side. While Indian diplomats can still live without the membership of elite Islamabad Club – Pakistan interior ministry is yet to approve Indian envoy Ajay Bisaria’s membership – India is not willing to brook any obstruction in the ongoing work for a residential complex for Indian staff in Islamabad. A raid on the complex on February 15 was one of the triggers for the chain of events which eventually led to allegations of intimidation of diplomats and other staff.",https://timesofindia.indiatimes.com/india/india-pakistan-turn-to-code-of-1992-to-put-a-lid-on-envoys-harassment/articleshow/63551262.cms
5,india,"OUR SPECIAL CORRESPONDENT

Kumar (left) with Modi

New Delhi: Ashwani Kumar, former Union minister for law and justice, has met Prime Minister Narendra Modi and urged him to enact a legislation to prevent custodial torture.

""Instances of custodial torture, reported almost on a daily basis, clearly demonstrate that pervasive acts of torture of helpless individuals in custody continue unabated. Some of these instances are heartrending and must shock the conscience of every citizen,"" Kumar said in a letter to the Prime Minister.

The former minister appealed to Modi to explore the possibility of mandating a legislation against custodial torture during the ongoing budget session of Parliament.

Against the backdrop of the ongoing debate on date security, Kumar also requested the Prime Minister to pursue the necessary legal framework for a standalone law to protect privacy.

Kumar said in a statement that Modi agreed in principle with the humanitarian issues raised by the former minister and that such issues needed to be addressed in the framework of the human rights philosophy enshrined in the Constitution.

The Prime Minister assured him of his ""personal, urgent and positive attention"" on the need for enacting purposive legislation to protect the individual's right to dignity, privacy and reputation, Kumar said in a statement.

Kumar, who is also a senior advocate of the Supreme Court, met the Prime Minister in his Parliament House office on Tuesday to follow up on a public interest litigation petition filed by the former minister in the Supreme Court.

The apex court had left the matter to the government and disposed of the petition on the basis of the attorney-general's assurance that the Centre was considering such legislation.

In 2010, a select committee of the Rajya Sabha, chaired by Kumar, had proposed a comprehensive bill on the prevention of torture which was con sidered compliant with the provisions of the UN Convention Against Torture.

India has not ratified the UN Convention, which enables the ""international community to question our commitment to the protection and promotion of human rights and the rule of law. Inaction on this score diminishes our soft power and denies us the moral authority when voicing humanitarian concerns in the international fora"", Kumar said in the letter to Modi.",https://www.telegraphindia.com/india/ex-minister-plea-for-anti-torture-law-219716
6,india,"more-in

At the National Brain Research Centre (NBRC) here, a group of scientists is preparing a one-of-its-kind database of brain images that, when compiled together, could result in a so-called Indian Brain Template (IBT).

This archetype, to be constructed from a composite of Magnetic Resonance Imaging (MRI) scans from 150 adult Indians, will likely include at least one person from every State and Union Territory, and serve as a guide to neuroscientists and surgeons, who have so far based their knowledge of intricate brain anatomy on Caucasian models.

Significant variations

Over the years, scientists from across the world have been pointing out that there are significant variations in the location of key brain regions and the density of neurons in various brain areas between racial types.

Drawing from this, several countries, including China, South Korea and Canada, have brain templates of their population and it is time, say researchers, that India had one of its own, too.

“There are variations in the size, volume and location of certain brain regions in Indian populations compared to, say, the Canadians,” said Pravat Mandal, a neuroscientist and project leader at the National Brain Research Centre here.

A tough job

Of the 150 healthy participants that they hope to recruit over the year, “about 40%,” according to Dr. Mandal’s estimates, are expected to be scanned at the NBRC in the next two months.

“It’s a tough job recruiting and cajoling participants to spend 10 minutes inside an MRI scanner, which is about the time required for a detailed scan,” he added.

By way of comparison, China’s template rests on a bank of about 1,000 volunteers and the Canadian template (called the Montreal Neurological Institute template and a key reference point in the field) is built on about 300 healthy volunteers.

The IBT is funded by the Department of Science and Technology. While other research groups in India have attempted similar databases, none have aspired to the geographical and chronological spread of participants envisaged by Professor Mandal’s initiative.

Naren Rao, a neuropsychiatrist at the Bengaluru-based National Institute of Mental Health and Neurosciences (NIMHANS), and his colleagues had embarked on building an IBT. They, however, had only 27 recruits, all from Aurangabad and this was, said Dr. Rao, “due to logistical challenges.”

In that study of 17 men and 10 women — all certified as mentally fit by a neuropsychiatrist — it emerged that Indian brains “significantly differed” in length and width, but not in their height, from Caucasian brains, according to a 2016 report in Psychiatry Research: Neuroimaging, a peer-reviewed journal. “They were smaller but that doesn’t mean Indians have lesser intelligence,” Dr. Rao clarified to The Hindu in a phone conversation.

While the comparison of brain sizes among people of various ethnicities was an obsession of the 19th century physiology, contemporary researchers are keener on variations in the innards of the brain and whether it could hold clues to neuropsychiatric diseases.

Dr. Mandal, who has completed a few scans in the course of the IBT project, said that while it’s early to say if there’s anything typical about Indian brains, a key factor that he will be looking out for is the quantity of a molecule called glutathione, an antioxidant known to help repair cell damage. Dr. Mandal avers that reduced glutathione concentrations in the parietal cortical region — near the back of the brain near where the skull bulges — may help predict Alzheimer’s disease.

“We will be looking at glutathione concentrations and how they vary with age in the people we study,” he added. The other outstanding question, said Dr. Rao, would be to establish if the brain variation within Indians, given the country’s complex history of migrations, was greater than among other countries.",http://www.thehindu.com/sci-tech/science/manesar-scientists-to-create-indian-brain-template/article23395277.ece
7,india,"China said today it will resume sharing with India the hydrological data of the Brahmaputra river as top water resource officials of the two countries wrapped up two-day talks, the first after Beijing last year stopped providing the data crucial to predict floods.

""On the basis of humanitarian spirit and our shared will to develop bilateral ties we will continue with the cooperation on hydrological information cooperation,"" Chinese Foreign Ministry spokesman Lu Kang told a media briefing here.

He was responding to a question whether China will resume sharing of the hydrological data on Brahmaputra river, which Beijing suspended last year stating that it could not share it with India due to upgradation of data collection station in Tibet.

China's announcement to not to share the data came soon after the 73-day long stand-off between Indian and Chinese troops at Dokalam over Chinese military's plans to build a road close to India's Chicken Neck corridor connecting North-Eastern states.

A team of officials of India's Ministry of Water Resources held talks with their Chinese counterparts on the cooperation of trans-border rivers in the last two days at the Chinese city of Hangzhou, the first after Beijing last year stopped providing the data.

Lu said during the talks the two sides reviewed the achievements of the previous meetings as well as bilateral cooperation on emergency and response and hydrological information.

""The two sides have agreed to continue with such cooperation. On the grounds of humanitarian principles and the basis of bilateral relations China will continue with this cooperation with the Indian side on the provision of hydrological information and emergency response cooperation,"" Lu said.

Asked whether China would resume the data, Lu said ""since you made it quite clear"", China will continue with the cooperation on hydrological information cooperation.

The two-day talks of the 11th meeting of the India-China Expert Level Mechanism (ELM) on Trans-Border Rivers concluded yesterday at Hangzhou, a statement from the Indian Embassy here said today.

The Indian side was led by Teerath Singh Mehra, Commissioner (B&B), Ministry of Water Resources and the Chinese side by Yu Xingjun, Consul, Department of International Cooperation Science and Technology, Ministry of Water Resources.

The meeting which was held in a ""cordial and friendly"" atmosphere reviewed the progress made since the earlier meetings of the ELM and their continued cooperation on provision of hydrological information and emergency management in respect of trans-border rivers, the press release said.

The officials also reviewed the data utilisation report upon provision of hydrological information provided by China to India in flood season on Brahmaputra and Sutlej Rivers.

The institutional mechanism of the ELM was established in 2006 to discuss various issues related to trans-border rivers.

Under existing bilateral Memorandums of Understanding, China provides to India hydrological information of Brahmaputra River (Yarlong Zangbo) and Sutlej River (Langqen Zangbo) during the flood seasons.

Under the arrangement, China provides flood season data of the Brahmaputra river between May 15 and October 15 every year.

China has been building major dams on Brahmaputra river to generate hydel power. It operationalised Zangmu hydroelectric project in October, 2015 and three more are under construction.

While dams raised concerns of water shortages in India and Bangladesh, which are lower riparian states of Brahmaputra river, China said its dams were aimed at generating power and not storing water.

The data shared by upper riparian state, China, to lower riparian states, India and Bangladesh is essential every monsoon to allow anticipation of the flow of the water and take necessary measures to deal with flooding in India's Northeastern states.",http://www.dnaindia.com/india/report-china-cites-humanitarian-spirit-to-resume-sharing-hydrological-data-with-india-on-brahmaputra-2598817
8,india,"One of India's busiest cities could soon run out of water.

Bangalore is a hub of high technology, but urban growth, neglect and unpredictable rainfall are combining to make the city dry.

The city's population has doubled over the last 15 years to more than 10 million, as young IT workers arrive to take up hi-tech jobs.

But about half of them have to rely on tankers for their water supply.

Al Jazeera's Katia Lopez-Hodoyan reports.",https://www.aljazeera.com/news/2018/03/indias-bangalore-running-dry-water-crisis-180317152433638.html
9,india,"NEW DELHI: Foxconn’s India arm stepped up its local manufacturing efforts by starting the assembly of printed circuit boards (PCBs), which will likely benefit clients such as Chinese phone company Xiaomi and HMD Global , the makers of Nokia devices, as it will give them a price advantage over rivals that have to pay duty on imported PCBs, widely expected to be levied from April.PCBs make up about 50% of the cost of making a phone. South Korea’s Samsung is among the only major brand that assembles PCBs in India.“They ( Foxconn ) have begun assembling PCBs in India,” said a person with knowledge of the development. Foxconn’s move is a boost for Make in India . India had raised basic customs duty (BCD) on smartphones to 20% in the Union Budget from 15% earlier, which became effective February 1. Import duties have acted as a catalyst for the establishment of nearly 120 mobile phone manufacturing companies since 2014. However, many of these were assembling handsets at less than 10% value addition.With PCB assembly and manufacturing of some other components, local value addition is set to rise to 15%, analysts said.Foxconn Technology Group said it “follows a strict company policy of not commenting on any matters related to current or potential customers, or any of their products.”The world’s largest contract manufacturer, also the biggest contract manufacturer for phones in India, has acquired machinery that enables surface mounting on PCBs from the now-defunct Nokia plant in Sriperumbudur, near Chennai The company currently has a phone manufacturing facility at Sri City, Andhra Pradesh , located on the border with Tamil Nadu, employing about 6,000 people to produce more than 15 million phones a year for companies such as Xiaomi, HMD Global, which makes Nokia-branded phones, and Gionee.“Companies like Xiaomi and HMD Global will benefit, as they won't have to increase prices, while others who will continue to import PCBs will have to raise prices of mobile phones,” said Navkendar Singh, research director at International Data Corporation (IDC) India.Xiaomi may be able to sell a model for less than Rs 5,000 since it has volumes and the saving on local assembly will give it greater margins for marketing and distribution, making it a stronger player, Singh said. This is critical in a price-sensitive market like India, where most smartphones are sold in the under Rs 10,000 band.Xiaomi, which recently replaced Samsung as the country’s No 1 smartphone maker by shipments, declined to comment. HMD Global didn’t respond to ET’s queries.Ajey Mehta, head of India operations at HMD Global, had told ET earlier that the company was working with its partners to manufacture more components in India. “SMT is definitely on the card for us,” he said. SMT, or surface mounting technology, lines are used for assembling PCBs.",https://economictimes.indiatimes.com/tech/hardware/foxconns-local-printed-circuit-boards-push-to-give-make-in-india-a-boost/articleshow/63552812.cms
