,Concerning,Text,URL
0,philippines,"It’s been over six months since powerful back-to-back storms left “catastrophic” damage in Puerto Rico.

The federal recovery effort in this American territory has been under fire nearly every day since then. Critics note that hurricane relief in Texas and Florida last year was quicker, more robust and more effective.

At the Harvard Humanitarian Initiative, we study the the role of the armed forces in disaster relief and humanitarian emergencies worldwide. So we decided to examine the U.S. military’s deployment to Puerto Rico after hurricanes Irma and Maria.

Limited by posse comitatus

Hurricane Maria hit the island on Sept. 20, 2017. The first soldiers arrived in Puerto Rico eight days later and would stay until mid-November. Eventually, 17,000 troops – including active duty, reserves and National Guard – were deployed to both Puerto Rico and the U.S. Virgin Islands.

Their mission: to conduct search and rescue missions, provide medical care and restore power. Soldiers also delivered food and water to both residents and emergency responders there.

Our first question was why it took the military over a week to get to Puerto Rico. By comparison, U.S. troops were in Haiti two days after its 2010 earthquake.

The answer has to do with an 1878 law called the Posse Comitatus Act, which prohibits American armed forces from performing domestic law enforcement duties. In other words, the U.S. military does not respond to disasters on home soil unless ordered to do so by an act of Congress or for a “humanitarian assistance mission.”

When, in late September, Sen. Marco Rubio, R-Fla., suggested that the military should take over aid distribution in Puerto Rico from the Federal Emergency Management Agency – which was clearly stretched thin by its simultaneous responses to hurricanes Harvey, Irma and Maria – Lt. Gen. Jeffrey S. Buchanan, commander of the U.S. Army North, rejected the idea. His response invoked the limits imposed by the Posse Comitatus Act.

“This is not a dictatorship,” he said. “The military does not take charge of these kinds of operations in the homeland.”

The Department of Defense had sent several FEMA liaisons to the Caribbean before Maria. But, by law, it could not mobilize troops until it was determined that civilian agencies were unable to manage the disaster response. For this reason, the U.S. military can actually respond more quickly to international emergencies than it can at home.

By Sept. 27, FEMA had requested help and the military was preparing to dispatch its first brigade of soldiers to Puerto Rico. Buchanan was named chief of the mission.

Deployments abroad and at home

Though it rarely does disaster relief at home, the U.S. military frequently responds to emergencies abroad. Between 1970 and 2000, American troops provided international humanitarian assistance and disaster relief 366 times, mostly in the Pacific. In the same period, they engaged in combat just 22 times.

We used these foreign deployments as a basis of comparison for evaluating the U.S. military’s Puerto Rico mission. And though some experts have recommended more training for these missions, our prior research has generally found that U.S. troops are quite good at international disaster response.

The U.S. Armed Forces score well on what we’ve identified as critical indicators of military success in a relief mission. They typically deploy quickly, bring a specialized skill set, coordinate well with aid agencies on the ground and plan their arrival and exit appropriately.

We modified these indicators slightly to assess the military’s humanitarian response in Puerto Rico, a domestic emergency. And, beyond the relatively slow mobilization, we found the military performed about as well in the Caribbean as it has abroad.

The deployment of 17,000 troops, 82 aircraft and three combat support hospitals was comparable in size to the U.S. military’s mission in the Philippines after 2013’s Typhoon Haiyan. There, 13,400 troops were deployed to some 450 disaster zones across the country.

As critics have observed, that is far smaller than the Haiti earthquake response, when 22,000 troops and 33 U.S. military ships were sent to the island.

This makes sense when given the death tolls of these various disasters, though. Some 230,000 people died in Haiti’s earthquake. Roughly 12,000 died in the Philippines. When the U.S. went to Puerto Rico, the government there maintained that just 16 people had died in the storm – though that would turn out to be a very low count.

Critically, however, fewer other organizations were working in post-hurricane Puerto Rico than were present in Haiti or Philippines.

After Typhoon Haiyan, 23 militaries jointly responded, including 23,000 Filipino troops, 13,400 U.S. troops and at least another 10,000 soldiers from other countries.

Dozens of international organizations also typically rush in to help after a disaster in the developing world. Groups like the International Committee of the Red Cross, CARE and Save the Children provide emergency assistance alongside soldiers.

International armies and charities do not undertake humanitarian relief in the United States. As a result, just a handful of national aid groups – among them the American Red Cross, Caritas de Puerto Rico and Habitat for Humanity – deployed to the islands after Hurricane Maria. They were soon joined by the military.

But, in the end, there simply was not enough manpower to get the job done.

Coordination is key

Our research suggests that the most critical factor in any humanitarian response — whether in a post-disaster scenario or in a conflict setting — is coordination. To succeed, military responders must work together with the civilian groups and government agencies on the ground.

One big reason why the 2005 Hurricane Katrina response in New Orleans failed, for example, was lack of coordination between the Department of Defense – which oversees the U.S. military – and FEMA. That disaster spurred the DOD to create a liaison position integrated with FEMA.

The Puerto Rico response shows that this new system has in fact improved coordination. Our study determined that when military personnel arrived, they complemented – rather than duplicated – the efforts of the federal officials, local authorities and humanitarian organizations already on the ground.

The military brought manpower to the island, including engineers, medical staff and airlift capabilities. This aided in the search and rescue, health care and power restoration work underway. The military also provided translators, mortuary affairs teams and tower climbers.

Coordination was not flawless. A recent report from the Center for Army Lessons Learned finds that FEMA and the military were not always “aligned and synchronized.” Sometimes, for example, they competed to conduct airlifts.

But, in our assessment, the DOD-FEMA liaisons effectively ensured the coordination necessary for the Puerto Rico mission.

Scale of damage was an obstacle

Even so, Puerto Rico’s recovery has clearly lagged. Power has yet to be entirely restored and over a thousand people died from storm-related causes in the weeks after Maria.

What went wrong?

Our interviews with Department of Defense responders suggest that the biggest challenge was the sheer scale of the damage left by Hurricane Maria.

Puerto Rico’s government was completely overwhelmed, making it very difficult for FEMA and the U.S. military to get a clear picture of what was most urgently required – and where – in the first days after the storm.

The island’s total power outage, in particular, hobbled emergency aid. Troops and FEMA staff deployed across the island could not communicate with affected communities.

The rundown condition of the power grid, already fragile before Maria, also made it massively harder to get the lights turned back on. No brigade of soldiers, no matter how well trained, can overhaul the energy infrastructure of a place as big as Puerto Rico in days.

Finally, because Puerto Rico is an island territory with no neighboring states, first responders like the National Guard struggled to arrive quickly. When parts of Texas were badly hit by Hurricane Harvey in September 2017, the National Guard was simply dispatched from elsewhere in Texas and from nearby states.

Lessons learned

Overall, we believe that the U.S. military itself performed as well in Puerto Rico as it does in its international relief missions.

But our assessment reveals real shortcomings in planning for disasters – especially considering that hurricanes occur regularly in the Caribbean.

Puerto Rico is not the first time the U.S. military has been called in to provide humanitarian assistance on domestic soil. It won’t be the last.",http://theconversation.com/military-mission-in-puerto-rico-after-hurricane-was-better-than-critics-say-but-suffered-flaws-91558
1,philippines,"Manila (ICRC) – Five months after the end of the clashes in Marawi City, Lanao del Sur province, humanitarian organizations working on the ground estimate that 81,000 evacuees and returnees are still struggling to meet their basic needs: water, food, sanitation and education. The International Committee of the Red Cross (ICRC) has been working together with the Philippine Red Cross (PRC) and the local authorities to aid the affected communities, particularly with clean water.

“At the Saguiaran evacuation centre, 400 families have been reliant on the water we have been delivering by truck for nearly a year now,” Alessandro Giusti, head of the ICRC water and sanitation team in the Philippines, speaking on the occasion of World Water Day.

Last week, the ICRC finished building a system that will regularly supply clean water for these evacuees who face prolonged displacement. ""Water is closely linked to public health. Waterborne diseases such as diarrhea and cholera, as well as sanitation issues, can be prevented if there is regular supply of potable water,"" said Mr Giusti.

Two new generator sets were recently donated to the Marawi City Water District (MCWD) to guarantee a regular supply during unexpected power outages. The generators kept two pumping stations functional during the initial phase of residents’ return, before the power supply was restored.

The ICRC will support the authorities’ broader rehabilitation efforts, including a three-month study to assess the current condition of the water system in Marawi City. “The result of this assessment will give us baseline data to define and plan the rehabilitation of Marawi’s water network,” said MCWD acting general manager Dr Ali Descallar. The study will commence in April and be conducted in coordination with the MCWD, the Local Water Utilities Administration and Task Force Bangon Marawi.

A neutral, impartial and independent humanitarian organization, the ICRC has assisted more than 100,000 people displaced by the armed conflict in Marawi, in partnership with the PRC. It also works to promote respect for humanitarian law and universal humanitarian principles through bilateral dialogue with weapon bearers and visits to people detained in relation to the conflict.

For further information, please contact:

Allison Lopez (in Iligan), mobile:0908 868 6884

Lany de la Cruz (in Davao), mobile: 0999 887 0985

Heidi Anicete (in Manila), mobile: 0928 504 7648

or visit our website: www.icrc.org/ph",https://reliefweb.int/report/philippines/philippines-focus-delivering-clean-water-marawi-evacuees-and-returnees
2,philippines,"Photo: JIM LO SCALZO/EPA-EFE/REX/Shutterstock

President Trump on Thursday came closer than ever to publicly endorsing the death penalty for drug dealers, a policy he has reportedly advocated for in private.

“Some countries have a very, very tough penalty — the ultimate penalty,” Trump said at a White House summit on the opioid crisis. “And, by the way, they have much less of a problem.”

Speaking at the White House opioid summit, Trump said countries with the “ultimate penalty” have less of a drug problem than the US pic.twitter.com/npkFcjk4ah — BuzzFeed News (@BuzzFeedNews) March 1, 2018

“If you shoot one person, you get life in prison,” he added. “These people kill 1,000, 2,000 people and nothing happens to them.”

Among the countries that execute drug traffickers are Singapore and the Philippines, whose authoritarian president, Rodrigo Duterte, has earned Trump’s admiration. “I just wanted to congratulate you because I am hearing of the unbelievable job on the drug problem,” Trump said to Duterte on a phone call last year. “Many countries have the problem, we have a problem, but what a great job you are doing and I just wanted to call and tell you that.”

Under Duterte’s rule, 12,000 suspected drug users and dealers have been killed in the Philippines, some by police and some by vigilantes, according to Human Rights Watch.

Trump’s interest in executing drug dealers fits a pattern that’s seen him advocate for law enforcement solutions to the opioid crisis, without giving equal attention to treatment and prevention efforts. As he said in his first State of the Union address, “We must get much tougher on drug dealers and pushers if we are going to succeed in stopping this scourge.”",http://nymag.com/daily/intelligencer/2018/03/trump-solve-the-opioid-crisis-by-executing-drug-dealers.html
3,philippines,"ALAMOSA -- The Rev. Carl Andrews, retired Canon to the Ordinary for the Diocese of Colorado, will celebrate Eucharist at a special Easter Sunday service at the Bridge, 3407 Carroll St., Alamosa, 11 a.m. April 1.

Andrews, a United States Air Force Chaplain, Colonel, and now retired Canon to the Ordinary for the Diocese of Colorado, served in Vietnam, where he was called to be a priest, then a military chaplain. His career includes time in Australia; Alaska; the Philippines, where he lead humanitarian efforts following the eruption of Mount Pinatubo; at the Pentagon during the attacks of 9-11 and ultimately serving as Command Chaplain for all USAF personal in Europe. Today, as retired, he is pleased to live out his personal motto of “serving others in ministry where the rubber meets the road.” His personal interests and passions are mentoring chaplains, working with Post-Traumatic Stress and brain-injured patients, teaching young people, sharing the Gospel and fly fishing.

Born March 5, 1948, to the late Lieutenant Colonel Thomas Joseph and Kathleen Agnes Andrews, his early life was strongly influenced by the multiple countries and locations he lived as a military child, including a period attending an English boarding school. He graduated from Central High School, London, England, and from Colorado State University, Colorado, with a bachelor’s degree. Upon graduation in 1970, and following in the footsteps of his American father who flew Spitfires for the British during World War II, Andrews was commissioned a Lieutenant in the United States Air Force and trained as a Weapons Officer. His first duty station was Phan Rang, Vietnam, with follow-ons to Da Nang, Vietnam and Takhli, Thailand. During his time in Vietnam, Carl wrestled with the vocation to priesthood; upon ordination in 1977, he returned to Colorado as a curate to St Timothy’s, Littleton, and then to the Western Slope of Colorado as a mission priest.

During his five years in Craig, Andrews responded to a call to become an active duty US Air Force chaplain. His assignments have included Colorado, Thailand, Montana, Australia, the Republic of the Philippines, California, Illinois, the Pentagon, Germany, and Texas. Like most service members, he spent short tours in Turkey, France, Spain, Iceland, the Azores, Bosnia, Korea, Afghanistan, Iraq, Italy, Norway, Holland, and Belgium.

The zenith of Andrews’ military ministry was his assignment to Ramstein Air Base, Germany, where he served as Command Chaplain to all USAF personnel serving in Europe. While assigned at Ramstein he also served as an intensive care chaplain at Landstuhl Hospital, ministering to wounded returning from Iraq and Afghanistan. A personal high point of Andrews’ Air Force career occurred during his last assignment as senior chaplain, Basic Military Training, Lackland AFB, Texas. In this capacity, Carl authored the Air Force’s Spiritual Fitness program for over 5,000 Basic Military Training recruits attending chapel each weekend, providing them a spiritual foundation and ensuring the program’s fourth “tie-down of spirituality.”

Lynne, Andrews’ wife of 45 years, will accompany him to Sunday’s service. All are welcome at the service. There will be no Easter service at St. Thomas Church this year.",https://alamosanews.com/article/the-rev-carl-andrews-to-celebrate-easter-at-the-bridge-in-alamosa
4,philippines,"Maryjane Sazon, a 39-year-old beauty salon worker, grimaces as she gets nailed to the cross as part of Good Friday rituals in the village of San Pedro Cutud, Pampanga province, northern Philippines Friday, March 30, 2018. Sazon said she has joined the tradition for seven years in the hope of being cured of severe headache and nervous breakdown. Thousands of Filipino Roman Catholic devotees and tourists descended Friday on a farming village north of Manila to witness the crucifixion of several men in a reenactment of Jesus Christ’s sufferings, a gory annual tradition church leaders frown upon. (Aaron Favila/Associated Press)

SAN PEDRO CUTUD, Philippines — Seven Filipino Roman Catholic devotees, including a woman, were nailed to wooden crosses in a Good Friday reenactment of Jesus Christ’s suffering that was watched by thousands of spectators but frowned upon by church leaders.

Three devotees wearing crowns of twigs were nailed to crosses by villagers dressed as Roman centurions on a dusty hill in San Pedro Cutud village, and four others were nailed to crosses in nearby farming villages in San Fernando city north of Manila, tourism officer Ching Pangilinan said.

The spectacle reflects a unique brand of Catholicism that merges church traditions with folk superstitions. Many of the mostly impoverished penitents undergo the ritual to atone for sins, pray for the sick or for a better life, or give thanks for what they believe were God-given miracles.

The Lenten rituals are frowned upon by church leaders in the Philippines, Asia’s largest Roman Catholic nation, especially if the events are used to boost tourism and business. The reenactments of the crucifixion, however, have persisted and become a tourist attraction in the largely unknown villages in Pampanga province, about 80 kilometers (50 miles) north of the capital.

While the crucifixions have become a tradition for villagers, they still leave many foreign tourists bewildered.

“It’s terrible,” said Luke Henkel from Florida. “You wanna stop it.”

Mayor Edwin Santiago of San Fernando, where San Pedro Cutud lies, said more than 400 police officers were deployed and first-aid stations set up to look after the huge crowds.

“We provide assistance because we can’t stop the influx of tourists,” Pangilinan said. “We don’t promote it as a festival but it’s rather a show of respect to a local tradition.”

Villagers used the crowd-drawing events to peddle food, water, fans, umbrellas and souvenirs and rent out parking slots and toilets. A leading cellphone company provided tents for shade with its name embossed on them.

Archbishop Socrates Villegas said it’s best for Catholics to mark Lent with prayers and acts of love and charity.

“Instead of spilling your blood on the streets, why not walk into a Red Cross office and donate blood? Choose to share life. Share your blood,” Villegas said in remarks posted on a Catholic church website.

Friday’s reenactment of Christ’s crucifixion was the 32nd for Ruben Enaje, a 57-year-old sign painter who began his yearly rite after surviving a fall from a building. He plans to stop when he turns 60.

Maryjane Sazon, a 39-year-old beauty salon worker, said she joined the reenactments seven years ago in the hope of being cured of severe headaches and a nervous breakdown. Her act Friday was dedicated to her sick sister.

Prior to the cross nailings, dozens of male penitents walked several kilometers (miles) along village streets while beating their bare backs with sharp bamboo sticks and pieces of wood. Some had their backs cut to keep them bloody.

Foreigners have been banned from taking part since an Australian comic was nailed to a cross under a false name a few years ago near Pampanga. Authorities also believe that a Japanese man was nailed to cross as part of a porn film in 1996.

___

Associated Press writer Jim Gomez in Manila contributed to this report.

Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.washingtonpost.com/world/asia_pacific/filipino-devotees-reenact-good-friday-crucifixion/2018/03/29/8ff397ec-33cb-11e8-b6bd-0084a1666987_story.html
5,philippines,"STAND where the warm sea laps the gleaming white sand of the 4km-long beach on the resort island of Boracay and whip out your selfie stick. You can capture an image of yourself against the impossibly beautiful backdrop of an orange sun dropping from a pink sky into a deep blue sea. Or you could, if the parasailors and banana-boat riders would only get out of the way. And then there is the local feature that your camera cannot capture: the peculiar whiff wafting up from the water at your feet.

“Boracay is a cesspool,” President Rodrigo Duterte declared, with customary frankness, in a speech last month. “You go into the water, it’s smelly. Smells of what? Shit.” Look down, and your toes curl up in the green algae washed ashore from the shallows where it grows, fed by sewage that seeps untreated into the sea from the resorts and ancillary businesses that cram the island. Look up, and you see the start of the evening parade of tourists up and down the beach-front. They are Chinese or Koreans, mostly, a horde in search of the perfect place to drink, eat and be merry after a day of fun in the water. They appear unperturbed.

Get our daily newsletter Upgrade your inbox and get our Daily Dispatch and Editor's Picks.













Resort-owners, in contrast, are alarmed. “I will close Boracay,” the president has threatened. He claims to have told his environment secretary, Roy Cimatu, “I’ll give you six months. Clean the goddamn thing.”

Boracay’s beach has earned the island world renown. Over 2m tourists visited in 2017, spending 56bn pesos ($1.1bn). Yet businesses here seem reluctant to invest in disposing of their sewage in the way required by law. Mr Cimatu’s inspectors found that only 383 of the 578 places they had checked by late February were connected to the sewage system and that, anyway, the system needed repairs.

The legend among backpackers is that two Swiss discovered Boracay in the age of the Hippie Trail. The ensuing trickle of escapees from suburbia were delighted to have to wade straight onto the beach from an outrigger boat, dine on the barbecued catch of local fishermen and sleep in thatched huts. These days planeloads of visitors step ashore on a concrete jetty, from which motor-tricycles whisk them to concrete hotels complete with air conditioning, cable and Wi-Fi.

By threatening to close this flawed paradise, the president is perhaps just trying to scare resort-owners into spending some money to preserve their main asset, the beach. But as his bloody campaign against drug-dealers proves, not all Mr Duterte’s threats are hollow.",https://www.economist.com/news/asia/21739703-or-least-treat-its-sewage-president-philippines-wants-close-paradise
6,philippines,"If you care about the planet, don’t recycle.

Because there’s a very good utilitarian argument our 50-year practice of reducing, recycling and reusing does more harm to the environment than good.

In other words, it makes ideological not necessarily environmental sense.

China has been the dumping ground for much of the world’s unwanted recyclables. That changed in January when China imposed strict new restrictions effectively banning imports of recyclable foreign paper and plastic.

Much of what was coming to China was contaminated and difficult to process. And while recycling may no longer make sense as an industry in a country with 1.3 billion people and a significant trash issue of its own, China never should have been the world’s recycling dumping ground.

How does it make environmental sense for the city of Halifax, for example, to ship 80% of the plastic water bottles and grocery bags it collects, as the CBC reported this week, halfway around the world by truck, rail and ship then truck again to China?

What is the carbon footprint of that journey?

What is the carbon footprint here, in Ontario, of having two sets of garbage trucks make rounds, spewing greenhouse-gas creating emissions, to pick up trash destined to be shipped thousands of miles away?

Different studies offer conflicting views of whether recycling causes net harm or benefit to the environment. Recycling aluminum for example is far more efficient than mining aluminum to produce new products.

It would seem to defy common sense that there’s much net carbon footprint and benefit to collecting then shipping paper and plastics vast distances for processing. However, recycling ideologues can twist a good tale to support doing that.

Whether doing so is ethical, the right thing to do, is an entirely different question.

Prime Minister Justin Trudeau found himself on the uncomfortably pointed end of questions during a Philippines trip last fall over why Canada dumped some 2,500 tons of soiled diapers and rancid household trash in 103 shipping containers there five years ago, claimed it was recyclables and then refused to take responsibility when the Filipinos objected.

Why was Canada doing shipping recyclables to the Philippines in the first place?

Because we’re not dealing with the waste we create.

Cities have struggled since the early 1970s when municipal recycling began to take off over how to process the stuff they saved from landfill. Now that China has shut its borders, dump sites across North America face a recycling crisis and are being forced to stockpile mountainous bales of paper and plastic.

But in crisis there is also opportunity, in this case to take responsibility for waste at its source.

Provincial governments, if they actually want to be environmentally responsible, should ban the shipment of recyclables outside their borders.

Among the possible outcomes — investment in local recycling technology and business and jobs. Or provinces could consider using trash as fuel for power generation.

That’s being done elsewhere in the world using clean incineration technology, that while not completely without environmental impact it’s clearly preferable over shipping containers full of waste on tanker ships burning high-sulphur and CO2 heavy oil. And it places responsibility for dealing with waste with those who create it.

Other parts of the puzzle potentially include packaging laws, and packaging is becoming more of a problem in world where Amazon ships everything in a box or paper envelope.

Our oceans are awash in plastic trash – and dumping from ships is part of the problem.

China has forced the world to confront the dirty secret hidden by recycling’s clean, environmentally friendly public image.

It’s time to stop viewing the world through an ideological lens and indiscriminately associating virtue with popular causes.

Doing the right thing is more than a matter of good intentions. It matters to ensure what we’re doing is right.

jawallace@postmedia.com",http://canoe.com/opinion/columnists/wallace-time-to-take-responsibility-for-trash-we-create/wcm/9ba69f9b-0ed8-4851-ba11-e67ab80c241b
7,philippines,"Overseas Filipino workers say their goodbyes to their loved ones before leaving for another country to work. ABS-CBN News file photo

PAMANTINGAN - When the rains failed in 2015 and drought gripped southern Mindanao in the Philippines, Corazon Vegafria knew what she had to do: move to the city of Koronadal, about an hour away by bus, and find work as a domestic helper to support her family.

Her husband looked after the children while Vegafria sent home most of the P2,000 ($38) she earned every month cooking and cleaning at her employer's home.

""We had no choice – we needed the money, and I could easily find a job in the city,"" she said. Six months later, she returned home ""when the situation improved"".

In the past two decades, the Philippines has emerged as one of the world's leading source countries for migrant workers, particularly as more powerful typhoons and other harsh weather make life at home harder.

More than 10 million Filipinos currently work abroad, according to the Philippine Statistics Authority. But in the last few years, the gender balance has shifted, with about 55 percent of overseas workers now women, its data shows.

That makes the Philippines an outlier in a world where most migrant workers are men.

Globally, migration is growing, especially among families hit by disasters, conflict or weather shifts - and that growth does not always adhere to traditional patterns.

In some places, seasonal migration is slowly leading to permanent relocation. In others, migrants are heading to new destinations. In the Philippines, one of the biggest changes is that migration is gradually taking on a female face.

Each day, hundreds of rural women pack their bags for jobs as maids and care-givers, largely in the Middle East and the United States. Others go to Singapore and Hong Kong.

Thousands of women also flock to Philippine cities including Manila, Davao and Koronadal, where they work as domestic helpers or in malls and restaurants, sending money home to pay for their children's schooling or to invest in farms their husbands tend.

""Migration is linked to low agricultural productivity, natural disasters such as droughts and typhoons, failed deals to secure land rights, and conflicts,"" said Alvin Chandra, a research fellow at the University of Queensland in Australia.

""Increasingly, it is a coping strategy for young women to diversify family income and overcome poverty,"" said Chandra, who has studied migration in Mindanao, where an armed conflict has raged for decades.

HIGHER SALARIES

Across Southeast Asia, people are migrating in rising numbers, with the wealthier countries of Singapore, Malaysia and Thailand the top destinations, according to the World Bank.

Singapore's average monthly wage is more than 30 times that of Cambodia, while Malaysia's is triple that of Indonesia and the Philippines, it said.

Migration plays an outsize role in the Philippines' economy, where remittances from overseas workers make up about a 10th of gross domestic product - the highest share in the region.

Women are leaving home in greater numbers, as they can get long-term jobs more easily. Men, by comparison, usually land short-term, seasonal work.

Some migrants, like Vegafria, move for a few months at a time to get their families through a lean period. But many end up staying on, as a cycle of frequent storms and drought makes it harder to live off the land.

Elisabeth Pacaldo, for instance, moved to Manila in 2002 to work as a nanny after income from fishing and farming fell in the Visayas region where she came from. Her husband stayed behind to care for their five children.

After four years, Pacaldo, now 55, was able to send for three of her kids. Her husband moved to Manila in 2008 to work as a driver.

""It's easier for women to find work in the city, and the salaries are higher. I can't go back,"" said Pacaldo, who now works as an administrative assistant in a non-profit.

'EXTREME CHOICES'

Worsening extreme weather is an important driver of migration in rural parts of the Philippines, a country seen by experts as highly vulnerable to climate change.

""There are some climate impacts where adaptation and risk reduction efforts are no longer a feasible option. People have to make extreme choices, and migration is one of them,"" Chandra said.

The Philippines and other developing nations must acknowledge migration as one way of coping, and develop ""a comprehensive strategy that ensures the safety and dignity of their most vulnerable people"", he told the Thomson Reuters Foundation.

The Philippines has a well-established system for workers looking to move overseas: the government lists job opportunities and offers orientation courses.

Recruitment agents operating in the country must attend a seminar before getting a licence, and a refresher course when renewing.

But there is little support for - or data on - the millions of women who move inside the country, a group at risk of abuse and low wages, according to Gabriela, a rights group based in Manila that records cases of abuse.

There have also been complaints about the treatment of Filipino maids overseas. President Rodrigo Duterte earlier this year banned workers from going to Kuwait following the discovery of the body of a Filipino worker in a freezer.

Earlier this month, the two countries reached an agreement regulating conditions for domestic workers.

Last year, Indonesia agreed to continue sending domestic helpers overseas, after temporarily banning them from going to 21 Middle Eastern countries following cases of abuse.

GENDER RELATIONS

The benefits of migration are undeniable for most Filipino families - and for the country's economy.

""Even members of the household who do not migrate benefit from remittances that boost budgets and reduce poverty,"" the World Bank said in an October report.

""In the Philippines, households that are able to send a member abroad have two-fold or three-fold greater odds of escaping poverty,"" it added.

Filipinos overseas sent home a record $28 billion in cash remittances last year, money that helped fuel spending and sustain expansion in one of the world's fast-growing economies.

But the movement of women is also having an unhappier impact on households in a country where men have long been the main earners, and often had a bigger say in the family.

""With the migration of women, there is a shift in community values, lifestyles and gender relations that has led to greater domestic conflicts and violence,"" Chandra said.

""With women being away, their right to participate in community life and decision-making is challenged. They are also vulnerable to abuse and trafficking,"" he said.

President Duterte has said his long-term aim is to slow the exodus of workers by boosting the domestic economy and creating jobs that provide sufficient income.

In Sultan Kudarat district in Mindanao, some migrants are finding ways to return home - and stay.

When Geneline Castillo, 47, got back after working seven years as a domestic helper in the Middle East, she joined a cooperative that trains farmers in organic growing methods.

She now cultivates rice and vegetables on the 2-hectare plot she and her husband lease, and has bought a motorbike for trips to the market.

""It's better here with the family, and I now have a livelihood option, even if the money is less,"" she said.

""But my daughter has gone to Dubai to work. I could not stop her - there is nothing for her here,"" she said.",http://news.abs-cbn.com/focus/03/30/18/philippine-migration-takes-on-a-female-face
8,philippines,"Make informed decisions.

Become an FT subscriber.

Keep abreast of significant corporate, financial and political developments around the world. Stay informed and spot emerging risks and opportunities with independent global reporting, expert commentary and analysis you can trust.",https://www.ft.com/content/4561c904-2dfb-11e8-97ec-4bd3494d5f14
9,philippines,"SUMMARY

On 13 January 2018 at 4:21 PM, Mayon Volcano generated a phreatic eruption (steam-driven) that propelled a grayish steam and ash plume approximately 2,500 meters high that was drifted to the southwest. Based on seismic records the activity lasted approximately 1 hour and 47 minutes.

Due to Mayon’s decreased tendency towards hazardous eruption, the Alert Level status of the volcano has been downgraded to Level 2 as of 8AM today, March 29, 2018.

Source: DOST-PHILVOCS (Philippine Institute of Volcanology and Seismology)

1. Status of Affected Families / Persons

23,786 families or 91,055 persons in 61 barangays in Albay are affected by the phreatomagmatic eruption of Mount Mayon (see Table 1; details in annex A).

2. Status of Displaced Families

a. Inside Evacuation Centers

487 families or 1,930 persons are currently taking temporary shelter in 5 evacuation centers (see Table 2; details in annex A).

b. Outside Evacuation Centers

284 families or 1,243 persons are currently staying with their relatives / friends in Camalig, Guinobatan, and Malilipot, (see Table 3; details in annex A).

3. Cost of Assistance

480,423,648.95 worth of assistance has been provided to affected families; of which, 162,667,318.72 came from DSWD, ₱56,388,107.86 came from LGUs, ₱57,197,545.08 came from NGOs, and ₱204,170,677.29 came from other humanitarian assistance providers including NGAs (see Table 4).",https://reliefweb.int/report/philippines/dswd-dromic-report-85-mayon-phreatomagmatic-eruption-29-march-2018-5pm
