,Concerning,Text,URL
0,puerto+rico,"It’s been over six months since powerful back-to-back storms left “catastrophic” damage in Puerto Rico.

The federal recovery effort in this American territory has been under fire nearly every day since then. Critics note that hurricane relief in Texas and Florida last year was quicker, more robust and more effective.

At the Harvard Humanitarian Initiative, we study the the role of the armed forces in disaster relief and humanitarian emergencies worldwide. So we decided to examine the U.S. military’s deployment to Puerto Rico after hurricanes Irma and Maria.

Limited by posse comitatus

Hurricane Maria hit the island on Sept. 20, 2017. The first soldiers arrived in Puerto Rico eight days later and would stay until mid-November. Eventually, 17,000 troops – including active duty, reserves and National Guard – were deployed to both Puerto Rico and the U.S. Virgin Islands.

Their mission: to conduct search and rescue missions, provide medical care and restore power. Soldiers also delivered food and water to both residents and emergency responders there.

Our first question was why it took the military over a week to get to Puerto Rico. By comparison, U.S. troops were in Haiti two days after its 2010 earthquake.

The answer has to do with an 1878 law called the Posse Comitatus Act, which prohibits American armed forces from performing domestic law enforcement duties. In other words, the U.S. military does not respond to disasters on home soil unless ordered to do so by an act of Congress or for a “humanitarian assistance mission.”

When, in late September, Sen. Marco Rubio, R-Fla., suggested that the military should take over aid distribution in Puerto Rico from the Federal Emergency Management Agency – which was clearly stretched thin by its simultaneous responses to hurricanes Harvey, Irma and Maria – Lt. Gen. Jeffrey S. Buchanan, commander of the U.S. Army North, rejected the idea. His response invoked the limits imposed by the Posse Comitatus Act.

“This is not a dictatorship,” he said. “The military does not take charge of these kinds of operations in the homeland.”

The Department of Defense had sent several FEMA liaisons to the Caribbean before Maria. But, by law, it could not mobilize troops until it was determined that civilian agencies were unable to manage the disaster response. For this reason, the U.S. military can actually respond more quickly to international emergencies than it can at home.

By Sept. 27, FEMA had requested help and the military was preparing to dispatch its first brigade of soldiers to Puerto Rico. Buchanan was named chief of the mission.

Deployments abroad and at home

Though it rarely does disaster relief at home, the U.S. military frequently responds to emergencies abroad. Between 1970 and 2000, American troops provided international humanitarian assistance and disaster relief 366 times, mostly in the Pacific. In the same period, they engaged in combat just 22 times.

We used these foreign deployments as a basis of comparison for evaluating the U.S. military’s Puerto Rico mission. And though some experts have recommended more training for these missions, our prior research has generally found that U.S. troops are quite good at international disaster response.

The U.S. Armed Forces score well on what we’ve identified as critical indicators of military success in a relief mission. They typically deploy quickly, bring a specialized skill set, coordinate well with aid agencies on the ground and plan their arrival and exit appropriately.

We modified these indicators slightly to assess the military’s humanitarian response in Puerto Rico, a domestic emergency. And, beyond the relatively slow mobilization, we found the military performed about as well in the Caribbean as it has abroad.

The deployment of 17,000 troops, 82 aircraft and three combat support hospitals was comparable in size to the U.S. military’s mission in the Philippines after 2013’s Typhoon Haiyan. There, 13,400 troops were deployed to some 450 disaster zones across the country.

As critics have observed, that is far smaller than the Haiti earthquake response, when 22,000 troops and 33 U.S. military ships were sent to the island.

This makes sense when given the death tolls of these various disasters, though. Some 230,000 people died in Haiti’s earthquake. Roughly 12,000 died in the Philippines. When the U.S. went to Puerto Rico, the government there maintained that just 16 people had died in the storm – though that would turn out to be a very low count.

Critically, however, fewer other organizations were working in post-hurricane Puerto Rico than were present in Haiti or Philippines.

After Typhoon Haiyan, 23 militaries jointly responded, including 23,000 Filipino troops, 13,400 U.S. troops and at least another 10,000 soldiers from other countries.

Dozens of international organizations also typically rush in to help after a disaster in the developing world. Groups like the International Committee of the Red Cross, CARE and Save the Children provide emergency assistance alongside soldiers.

International armies and charities do not undertake humanitarian relief in the United States. As a result, just a handful of national aid groups – among them the American Red Cross, Caritas de Puerto Rico and Habitat for Humanity – deployed to the islands after Hurricane Maria. They were soon joined by the military.

But, in the end, there simply was not enough manpower to get the job done.

Coordination is key

Our research suggests that the most critical factor in any humanitarian response — whether in a post-disaster scenario or in a conflict setting — is coordination. To succeed, military responders must work together with the civilian groups and government agencies on the ground.

One big reason why the 2005 Hurricane Katrina response in New Orleans failed, for example, was lack of coordination between the Department of Defense – which oversees the U.S. military – and FEMA. That disaster spurred the DOD to create a liaison position integrated with FEMA.

The Puerto Rico response shows that this new system has in fact improved coordination. Our study determined that when military personnel arrived, they complemented – rather than duplicated – the efforts of the federal officials, local authorities and humanitarian organizations already on the ground.

The military brought manpower to the island, including engineers, medical staff and airlift capabilities. This aided in the search and rescue, health care and power restoration work underway. The military also provided translators, mortuary affairs teams and tower climbers.

Coordination was not flawless. A recent report from the Center for Army Lessons Learned finds that FEMA and the military were not always “aligned and synchronized.” Sometimes, for example, they competed to conduct airlifts.

But, in our assessment, the DOD-FEMA liaisons effectively ensured the coordination necessary for the Puerto Rico mission.

Scale of damage was an obstacle

Even so, Puerto Rico’s recovery has clearly lagged. Power has yet to be entirely restored and over a thousand people died from storm-related causes in the weeks after Maria.

What went wrong?

Our interviews with Department of Defense responders suggest that the biggest challenge was the sheer scale of the damage left by Hurricane Maria.

Puerto Rico’s government was completely overwhelmed, making it very difficult for FEMA and the U.S. military to get a clear picture of what was most urgently required – and where – in the first days after the storm.

The island’s total power outage, in particular, hobbled emergency aid. Troops and FEMA staff deployed across the island could not communicate with affected communities.

The rundown condition of the power grid, already fragile before Maria, also made it massively harder to get the lights turned back on. No brigade of soldiers, no matter how well trained, can overhaul the energy infrastructure of a place as big as Puerto Rico in days.

Finally, because Puerto Rico is an island territory with no neighboring states, first responders like the National Guard struggled to arrive quickly. When parts of Texas were badly hit by Hurricane Harvey in September 2017, the National Guard was simply dispatched from elsewhere in Texas and from nearby states.

Lessons learned

Overall, we believe that the U.S. military itself performed as well in Puerto Rico as it does in its international relief missions.

But our assessment reveals real shortcomings in planning for disasters – especially considering that hurricanes occur regularly in the Caribbean.

Puerto Rico is not the first time the U.S. military has been called in to provide humanitarian assistance on domestic soil. It won’t be the last.",http://theconversation.com/military-mission-in-puerto-rico-after-hurricane-was-better-than-critics-say-but-suffered-flaws-91558
1,puerto+rico,"It’s been six months since Hurricane Maria’s 155 mph winds plowed through Puerto Rico, leaving the island severely crippled and desperate for help.

The storm — which knocked out all power and most cellphone service — was the worst disaster ever to hit the Caribbean island, home to 3.4 million American citizens.

The island is still a long way from recovery. Federal workers there are still in emergency mode: The Federal Emergency Management Agency (FEMA) is still distributing food and water supplies; the Army Corps of Engineers is still picking up hurricane debris and installing blue roofs on damaged homes.

Helping Puerto Rico recover is a gargantuan task — FEMA has called it the “largest federal response to a disaster” in American history. But this response has also been unusually painful to watch, with shady contracting deals, a drinking water crisis, and the army of federal responders stretched too thin to effectively get help to everyone quickly. FEMA is also under intense scrutiny for hiring inexperienced contractors, including one company that failed to deliver thousands of meals.

Money is another problem. The government of Puerto Rico was bankrupt before the hurricane hit and needs a lot more cash to rebuild. In February, Congress approved $15.8 billion in FEMA aid specifically for Puerto Rico and the US Virgin Islands — far less than the estimated $94 billion needed just for Puerto Rico. (Within six weeks of Hurricane Katrina, by comparison, Congress had authorized $60 billion in aid to disaster zones.)

Restoring electricity has been another headache, though progress has been slow. About 7 percent of the island’s electricity users still don’t have power, and it’s unclear when power will be fully restored. The lack of basic services has fueled a mass exodus from the island, which demographers expect will only worsen. More than 250,000 people have left Puerto Rico for the US mainland — possibly for good.

Here are five important things to know about Puerto Rico six months after Maria.

1) Rural areas still don’t have electricity

The government of Puerto Rico says 93 percent of island’s electricity customers now have power, mostly in urban areas such as San Juan. This is a huge improvement from three months ago, when only 65 percent were connected to the grid. However, these official figures have been disputed by four mayors, according to Puerto Rico’s El Nuevo Día newspaper. They accused the utility company in January of inflating the numbers of customers in their cities who had power.

Regardless of the statistics, the lack of power is still affecting many Puerto Ricans.

The teachers association of Puerto Rico said dozens of schools still haven’t been connected to the power grid, according to an Oxfam report released this week.

“These schools often run on generators, which results in teachers holding classes for only four hours in the morning due to fuel costs, instead of the usual seven hours per school day,” the report explains.

There are many reasons it’s been so hard to restore power. For one, the power grid was a mess before the storm hit. The public utility company, PREPA, had been putting off repairs for years as the island sank into a deep economic recession. The utility company is also bankrupt and understaffed, as thousands of electrical workers have retired or moved to the US mainland in the past decade to find better jobs.

While the storm didn’t destroy the entire power grid, it did knock down 80 percent of the island’s utility poles and all transmission lines. And because Puerto Rico’s government is broke, it didn’t have the money to start repairing the grid right away. Instead, the head of PREPA at the time, Ricardo Ramos, signed two questionable contracts with little-known private American energy companies that required little payment up front. Ramos planned to pay the rest of the contracts with reconstruction grants from FEMA.

The main energy contract never got that far. It was a massive $300 million deal with Whitefish Energy, a tiny Montana company that had two employees at the time.

A congressional investigation later found that Whitefish Energy ended up charging Puerto Rico more than double the regular wages for utility crew line workers and higher-than-normal daily meal rates, and included clauses making it hard for PREPA to enforce a timeline.

The public backlash led Ramos to cancel the contract and resign from his job, and PREPA had to find a new contractor.

Now the US Army Corps of Engineers is overseeing grid repair contracts with more experienced utility crews from the mainland. But the logistics are still a mess. Building and shipping thousands of utility poles and power lines to the island, then setting them up on mountainous terrain, has become a headache for utility crews. And some of the equipment is so old that manufacturers had to make parts just to work for Puerto Rico’s system. That has slowed everything down.

The Army Corps’ last estimate was to have 100 percent of customers hooked up to the grid by the end of May.

2) Few Puerto Ricans can return home

Thousands of Puerto Ricans still don’t have a place to live.

Buildings in Puerto Rico were not made to withstand 155 mph winds. The governor says Maria completely destroyed 87,094 homes, with another 385,703 sustaining major damage.

More than 3,500 Puerto Ricans are still living in hotels on the island and across the United States with temporary housing vouchers provided by FEMA. The program has been extended twice by the agency because few homes have been fixed.

That’s another problem. FEMA has approved less than 40 percent of the 1 million applications for money to help disaster victims fix their homes, according to NPR. The reason is that many, many Puerto Ricans do not hold the deeds to their homes. In rural areas in particular, the process of buying a home can be quite casual, based on verbal agreements or handshakes. Others built homes on public land, essentially living as squatters. But FEMA requires homeowners to show proof that they own their homes to qualify for assistance.

That’s one major reason thousands of Puerto Ricans might never return home.

3) The island is dealing with a suicide crisis

Puerto Rico is dealing with a serious mental health emergency.

The number of people on the island who have reportedly tried to kill themselves since Hurricane Maria hit the island has more than tripled. From November 2017 through January 2018, a crisis hotline run by Puerto Rico’s Department of Health received 3,050 calls from people who said they had attempted suicide. That’s an astounding 246 percent increase compared to the same time last year.

This data was released in a report in January by the health department’s Commission for Suicide Prevention, with additional reporting from El Nuevo Día, Puerto Rico’s largest newspaper.

Even more people called the hotline to report suicidal thoughts (as opposed to those who attempted suicide). About 9,645 people who called the hotline in the past three months said they’d thought about killing themselves — an 83 percent jump from the same time last year.

These numbers offer a snapshot of the mental health crisis unfolding in Puerto Rico.

The rate of Puerto Ricans who chose to end their lives is also on the rise. The suicide rate in 2017 was the highest it has been since 2013, and men and older Puerto Ricans were much more likely to kill themselves.

It’s hard to tell how much of the spike is directly related to the aftermath of Hurricane Maria. But the likely connection is difficult to ignore.

Julio Santana Mariño, a psychology professor at Universidad Carlos Albizu in Puerto Rico, said that Hurricane Maria made a lot of problems in Puerto Rico far, far worse, particularly high unemployment and homelessness. These are common risks factors for suicides, he told El Nuevo Día.

The devastation from the hurricane likely pushed many people over the edge, he added. “It’s normal for there to be family conflicts, but when you add the stress of more than five months without power, without food, living patterns change ... it makes it harder for people to manage daily life,” Santana Mariño told the newspaper.

4) Hundreds of thousands of Puerto Ricans have fled the island

The blackout, food shortages, and unreliable running water plaguing Puerto Rico in Maria’s aftermath have triggered an exodus from the island.

It’s impossible to know exactly how many Puerto Ricans have left, but more than 269,000 people have arrived in Florida on flights from Puerto Rico since the hurricane, according to the Florida Division of Emergency Management.

Some people are staying with relatives; some have decided to relocate to the US mainland; others are staying at hotels paid for by FEMA.

Before the hurricane, the Orlando area had seen a surge of migration from Puerto Ricans leaving the island for job opportunities in the United States as a result of the recession.

Demographers expect Maria to trigger an even larger migration in the long term. The Center for Puerto Rican Studies at the City University of New York estimates that Puerto Rico will lose up to 470,335 residents by the end of 2019 — about 14 percent of the population.

They believe that many of them will move to Florida — up to 82,000 people a year.

The migration has already affected Florida. More than 10,000 Puerto Rican children have enrolled in Florida’s public schools in the past three months.

5) The death count recount

Six months after the hurricane hit, the government has no idea how many people died as a result of the storm. The governor ordered a recount three months ago, which should be completed in April.

The official hurricane death toll has been a source of controversy since President Trump visited the island on October 3 and congratulated Gov. Ricardo Rosselló for the low number of deaths. At that time, the number was six. The official death count — now at 64 — has since been disputed by the press (including Vox), by academics, and by members of Congress.

In November, Vox published an analysis by social science researchers who used mortality data from the Puerto Rico Vital Statistics System to compare the historical death averages for September and October and found that the number of people who died from the storm is closer to 1,085. A New York Times analysis of similar data found that the death toll could be at least 1,052.

In December, two members of Congress, Reps. Nydia Velázquez (D-NY) and Bennie Thompson (D-MS), requested a federal investigation by the Government Accountability Office. In a letter to the head of the GAO, they said they worried that the death toll had been “artificially suppressed.”

Five days after the letter was sent, Rosselló ordered a recount of all hurricane deaths.

Staff from Puerto Rico’s Public Safety Department and Demographic Registry will investigate each death recorded in the hurricane’s aftermath, regardless of the official cause of death listed on the death certificate, Rosselló said. He did not give details about how the investigation will work or how long it will take.

But many are skeptical of Rosselló’s ability to provide accurate estimates at this point. Velázquez said she will continue to press for an independent federal review.",https://www.vox.com/policy-and-politics/2018/3/20/17138990/puerto-rico-hurricane-maria-6-months
2,puerto+rico,"01:19 135,000 Puerto Ricans Now Living on Mainland 6 Months After Maria A look at Puerto Rico six months after Hurricane Maria ravaged the island.

At a Glance Six months after Hurricane Maria devastated Puerto Rico, residents are struggling with mental illness amid the devastation.

A suicide prevention hotline center has had more than 4,500 calls since January, double those before Maria.

Tens of thousands are still without power.

Mental health issues have made a concerning rise in Puerto Rico as residents continue to grapple with massive losses and crippled infrastructure six months after their island home was devastated by Hurricane Maria.

“I sit and cry all day ,” 42-year-old Magdaliz Medina, who has been without power or water all this time, told USA Today. “I was depressed before the storm. Maria made it worse.”

In 2017, 253 Puerto Ricans committed suicide , according to a report released by the local government’s Commission for the Prevention of Suicide. Twenty suicides occurred in December, three months after the storm's landfall. Roughly 86 percent of the deceased were men and 14 percent were women.

The island nation was already battling surging mental health issues after a decade-long recession that left many unemployed and divided families due to people moving away. Maria’s blow and the devastation left behind only added to the distress.

(MORE: Massive Crack Forms in Kenya's Great Rift Valley After Rainfall )

Many are still without the resources they need to resume their lives. Resident Victor Manuel Belen Santiago lost his mother, Zoraida Santiago Torres, in February after the lack of power prevented her from using an oxygen machine .

A suicide prevention hotline center near San Juan told USA Today it received up to 600 calls daily from people who reach out to discuss their losses, economic situations, or family departures for the U.S. mainland. They are also receiving an alarming influx of people discussing thought-out suicide plans.

In January, the hotline saw calls related to suicide double from 2,046 in August to 4,548. Attempts also jumped from 782 to 1,075 within the same timeframe.

Mental health issues can arise during power outages due to the stress of being cut off from essentially everything: from food to transportation,and life-saving devices, according to the Kim Foundation, an organization dedicated to mental illness awareness and suicide prevention. Additionally, outages mean people are unable to communicate with others, which can cause feelings of isolation. Living in the dark can trigger fear and anxiety.

Ponce Health Sciences University Vice President Kenira Thompson told USA Today that many residents have been coming to the institution’s mental health center with depression, anxiety and suicidal thoughts triggered by the storm. The six-month mark after Maria saw a surge in post-traumatic stress disorder (PTSD) and depression, in addition to the thoughts of self-harm.

“We’re very concerned with the suicide rates,” she added. “It’s nerve-racking.”

Health professionals’ concerns are rising as the June 1 start of hurricane season approaches.

“When it starts raining, they have episodes of anxiety because they think their house is going to flood again ,” clinical psychologist Dr. Carlos del Toro Ortiz told the New York Times in a November 2017 article. “They have heart palpitations, sweating, catastrophic thoughts. They think ‘I’m going to drown,’ ‘I’m going to die,’ ‘I’m going to lose everything.’”

(MORE: Mount Etna is Sliding Toward the Sea, Scientists Find )

Recovery on the island has gone slowly. Remaining shelters on the island shut down on March 9. Residents who were still homeless were given a different form of temporary government-funded housing.

Research conducted by University of Puerto Rico Behavioral Sciences Research Institute Director Glorisa Canino showed Puerto Rican residents who escaped to the mainland U.S. tended to exhibit fewer symptoms of anxiety and depression than those on the island, NBC News reports.

“When you adjust certain characteristics like unemployment and poverty, which are drastically higher on the island, you see that the rates of depression and anxiety are lower on the island,” she told the network.

Hurricane Maria made a Category 4 landfall in the town of Yabucoa on Sept. 20, 2017, packing maximum sustained winds of 155 mph. The monstrous hurricane killed 64 people on the U.S. territory, according to the Puerto Rican government, but in the months that followed, investigations by news organizations concluded the death toll was likely at least 1,000 .

Islandwide, the lights were supposed to come back on by mid-December, according to a promise made weeks earlier by Gov. Ricardo Rosselló.

More than 89,000 remain without power in Puerto Rico as of Monday.",https://weather.com/news/news/2018-03-26-puerto-rico-hurricane-maria-suicide-depression-mental-health-issues
3,puerto+rico,"Close Get email notifications on Annie Charnley Eveland daily!

Your notification has been saved.

There was a problem saving your notification.

Whenever Annie Charnley Eveland posts new content, you'll get an email delivered to your inbox with a link.

Email notifications are only sent once a day, and only if there are new matching items.",http://www.union-bulletin.com/local_columnists/etcetera/corps-of-engineers-deploys-aid-to-puerto-rico/article_06687ece-32aa-11e8-8d0a-2b6c36c33ecc.html
4,puerto+rico,"Chicago Mayor Rahm Emanuel and Congressman Luis Gutierrez are in Puerto Rico to deliver aid and to inspect the damage left behind by Hurricane Maria last year.

Emanuel delivered medical supplies from Chicago hospitals and also presented checks to help in the relief efforts in multiple cities, including Loiza and the capital of San Juan.

The mayor and his social media team have been posting photos on social media as they tour the island:

The city has helped efforts in Puerto Rico through a variety of methods, including sending Chicago firefighters to help provide assessments for future relief efforts. Puerto Ricans in Chicago have also been given access to various services, including food and health assistance.

Chicago Public School students will also be heading to the island beginning on Sunday, with another weeklong trip scheduled for late June and early July.

Finally, the city has also set up a website for Chicago residents to donate funds to help in relief efforts on the island.",https://www.nbcchicago.com/blogs/ward-room/rahm-emanuel-luis-gutierrez-visit-puerto-rico-477829703.html
5,puerto+rico,"Puerto Rican veterans will be reuniting for the first time in 30 years Saturday, and they’ll be raising awareness about the current situation on the island.

For most of the veterans, this will be the first time seeing each other since they were stationed at Naval Station Roosevelt Roads in Ceiba, Puerto Rico, in the 1980s and 1990s.

According to a press release, it will be an opportunity to not only reunite old friends but also to show unity and support for fellow Puerto Ricans.

""Puerto Rico has been suffering through an economic crisis prior to Hurricane Maria and we are continuing our effort no matter how small to bring positive change to the island,"" said Roberto Antonio Germain, veteran and co-organizer of the event.

Last year, Hurricanes Irma and Maria devastated Puerto Rico, destroying homes, roads and bridges, triggering heavy flooding, and causing a power outage on the entire Island.

Six months later, approximately 150,000 homes and businesses - 11 percent of the territory - is still without power.

The reunion will be held at 10 a.m. Saturday at George Steinbrenner Field in Tampa before the spring training game between the New York Yankees and the New York Mets.",http://wusfnews.wusf.usf.edu/post/veterans-reuniting-raise-awareness-about-puerto-rico-crisis
6,puerto+rico,"Roughly six months after Hurricane Maria slammed into Puerto Rico, the island's governor signed into law ""education reform"" legislation that he says ""puts our students first"" but that critics say stinks of a privatization plan that will do nothing to help students.

The plan will consolidate schools and allow for charter schools and vouchers—ideas that are not endorsed by the Puerto Rico Teachers Association (Asociación de Maestros de Puerto Rico).

Another teacher's union, the Federación de Maestros de Puerto Rico, vowed that it, alongside teachers, parents, and students, would ""defeat the false reform with the struggle on the street and in schools.""

Offering background, education historian Lauren Lefty wrote at Jacobin:

In the wake of twin disasters—one man-made in the form of a vulture fund-fueled debt crisis, and one natural in the form of last September's Hurricane María — Puerto Rican leaders are attempting to implement a vast austerity program, claiming it will solve the island's economic woes. In the eyes of many Puerto Ricans, however, this is textbook ""disaster capitalism"": capitalizing on a moment of crisis, when the population is weak and unable to mobilize, to ram through pro-market austerity measures.

Although the government has slowly been rolling out austerity measures since the debt crisis began, post-hurricane, it's doubled down. And the island's public school system is one of the leading targets.

Among critics' targets is Julia Keleher, Puerto Rico's non-Puerto Rican Education Secretary, who, in the wake of the hurricane said the storm was a ""real opportunity to press the reset button."" Her role, Lefty argued, ""highlights the island's precarious colonial status and harkens to even less sovereign days.""

As NPR reported earlier this month,

teachers' unions in Puerto Rico have responded to the government's proposed overhaul with protest, anger, and derision. Since Gov. Ricardo Rossello presented it to the legislature last month, critics have said he and Keleher are using the damage that Hurricane Maria inflicted on the island and its schools as justification to push privatization, much like the governor recently announced his intention to sell off Puerto Rico's publicly owned electric grid.

""We are disappointed the powers that be in Puerto Rico have bought the wrongheaded DeVos and Trump spin that charters and vouchers are a panacea,"" American Federation of Teachers president Randi Weingarten said recently.

Responding to the new law, education historian Diane Ravitch writes that it marks ""a sad day for Puerto Rico."" She continues:",https://www.commondreams.org/news/2018/03/30/seizing-upon-post-hurricane-damage-puerto-ricos-new-education-reform-law-paves-way
7,puerto+rico,"Major League Baseball started the season with its most players born in Puerto Rico since 2011.

Nineteen players on opening-day rosters were born on the island, an increase of three from last year, the commissioner's office said Friday.

The overall percentage of players born outside the 50 states was 29 percent, down from last year's record 29.8 percent figure. This year's percentage tied 2007 for third behind last year and 2005 (29.2 percent).

Toronto infielder Gift Ngoepe is the first player from South Africa on an opening-day roster and Pittsburgh pitcher Dovydas Neverauskas is the first from Lithuania.

The Dominican Republic led with 84, down from 93 last year. Venezuela was next with 74, followed by Puerto Rico, Cuba (17), Mexico (11), Japan (eight), Canada and South Korea (six each), and Colombia and Curacao (five apiece).

Australia, Brazil, Nicaragua and Panama had three apiece. Aruba, Germany, Lithuania, Netherlands, South Africa, Taiwan and the U.S. Virgin Islands each had one.

The Texas Rangers (14) had the most for the second straight year, followed by the Chicago White Sox and Miami (13 each).

Figures include 750 active players on opening day rosters, 118 on disabled lists, eight on the restricted list and one on the paternity list.

———

More AP baseball: https://apnews.com/tag/MLBbaseball",http://abcnews.go.com/Sports/wireStory/mlb-starts-players-puerto-rico-2011-54128784
8,puerto+rico,"When Hurricane Maria battered their home island in September, Puerto Ricans on the U.S. mainland activated immediately. At a Johns Hopkins panel discussion Tuesday that assessed Puerto Rico's recovery six months after the devastating storm, scholars described how Puerto Ricans in the diaspora ignited an wave of grassroots support through social media and personal favors, leading to mass deliveries of supplies to the island.

It's a ""complete shift in the paradigm of emergency response,"" said Yale infectious disease specialist Marietta Vazquez, one of the panelists.

""What you have is just people, regular citizens, who were able to organize and establish an effective grassroots response that was timely and replicable,"" she said. ""They were able to deliver life-saving supplies and medication … in a way that government officials and federal agencies could not do.""

In the days following the hurricane, Vasquez launched Puerto Rico Rising Connecticut, which tapped into word-of-mouth connections to deliver 18,000 pounds of medicine and supplies, she said.

In Baltimore, Yonaira Rivera—a Bloomberg School of Public Health PhD candidate—helped found her own relief group, Puerto Rico Stands. Rivera served as moderator of Tuesday's panel, part of the JHU Forums on Race in America. The event also featured Juan Giusti-Cordero, a history professor at the University of Puerto Rico; and Antonio Trujillo, a professor of health economics at the Bloomberg School.

Their wide-ranging discussion touched on a number of topics.

How information spreads

In the telecommunications blackout during and immediately after the Sept. 20 storm, only one radio station was still transmitting on the island, becoming the lone media lifeline for Puerto Ricans.

The AM station, WAPA, took ""desperate calls from persons who still had phone connections"" and at one point delivered a life-saving warning of rising floodwaters, Codero said.

For Puerto Ricans who were not on the island, social media provided critical connections.

""Social media [was] unequivocally … instrumental in the way we were able to communicate,"" said Rivera, who used Facebook Live to track Maria's impacts. ""We were watching.""

Giusti-Cordero, speaking of the relief efforts that sprouted up on the mainland in the storm's wake, said the hurricane could be a groundbreaking case study for ""the role of social media in disaster recovery and making available supplies.""

Maria in context

Major hurricanes are a part of Puerto Rico's history, Giusti-Cordero said, noting that Maria was the 10th such storm of the past 200 years. He spoke of a string of especially damaging storms in the late 1920s to early 1930s, leading Puerto Rico to establish new government mechanisms for relief and reconstruction.

But the Category 4 storm caught everyone by surprise, panelists said. Giusti-Cordero said the local government was ""as well-prepared for Maria as it was for a snowstorm"" and called federal relief funds insufficient.

Puerto Rico's estimated $91 billion in losses add to a fragile economic mix of crippling debt and high unemployment rates on the island, Trujillo said.

Giusti-Cordero pointed to further complications in the territory's ""colonial relationship"" to the mainland U.S., which he said ""creates its own problems with the colonial government,"" including corruption.

Public health impacts

In Maria's wake, pressing concerns include water safety, mitigating infectious disease, providing access to services, and addressing mental health issues, panelists said.

""Suicide ideation and attempts have skyrocketed in Puerto Rico since the storm,"" Rivera said. ""There's a sense of despair among pretty much everyone, especially those who are lacking essential services.""

Even before Maria, Puerto Rico was suffering from an ""exodus of physicians,"" Vazquez said. Trujillo noted that some populations were already vulnerable, particularly the island's large number of elderly residents.

Displacement

For the thousands of Puerto Ricans who have sought refuge on the mainland U.S., there's a lack of coordination and resources, Vazquez said.

""Who runs the show?"" she said of housing efforts. ""It's local officials with nonprofits and human rights organizations, and it's not very organized, and we're all quite anxious about what's going to happen.""

Giusti-Cordero noted that government housing vouchers are only temporary.

""They're offering return tickets"" as the solution, he said.",https://hub.jhu.edu/2018/03/28/puerto-rico-maria-panel/
9,puerto+rico,"More than three years ago, I led a team preparing a report on Puerto Rico's economy at the request of the Commonwealth. Puerto Rico was in dire straits: real GDP had been falling since 2006; migration out was accelerating; and the Commonwealth's debt had risen to the point where further borrowing could take place, if at all, only at a very high interest rate. The situation has gotten worse. But Puerto Rico now has a once in a generation opportunity to change course.

Recent governments controlling the island believed that Puerto Rico was in recession, and sought to remedy the situation with increased government spending. But Puerto Rico was not in recession: it was in decline. Years of fiscal stimulus failed abysmally. We found that a panoply of growth-inhibiting policies adopted by Puerto Rico and others imposed by the US government had contributed to the dismal performance.

It remains clear to this day that changes in economic policies need to be made, and there will be difficult years of transition. When countries find themselves in such severe difficulty, they can approach international organizations for support.

Puerto Rico, however, has no such lifeline. There is virtually no prospect of a resumption of sustainable growth without policy reforms, funding for pensions has run out, the government is no longer creditworthy, and the tax burden is already relatively high. PROMESA, which mandated the establishment of an Oversight Board to, among other things, oversee the budget and debt-servicing relief, did not authorize any new money.

The situation is further complicated by Irma and Maria. The electric utility, PREPA, inefficient and costly, which had failed to invest in maintenance and resiliency and is saddled with unsustainable debt, has failed completely. Add to this the damage to other infrastructure and productive capacity, and it is no surprise that an additional 200,000 persons have left the island.

Yet there is an opportunity in the midst of this tragedy. The significant hurricane assistance authorized by Congress and continued suspension of debt service could cushion the impact of much-needed reforms through the short-term rebound from the undertaking of construction and other activities.

The most important prescription for change is in Puerto Rico's labor market. Labor force participation is estimated to be under 40 percent (versus 63 percent on the mainland). Reasons for this include costly regulations governing conditions of work and disincentives for participating in the formal labor market (no earned income tax credit and full access to federal welfare programs).

Puerto Rico is also subject to the federal minimum wage, which is harshly binding, deterring employment (Puerto Rico's per capita income of about two-thirds that of the poorest state, hence the requirement bites hard); a required Christmas bonus of one-month's pay compounds the problem. Other areas of structural reform that are needed include improving the business climate, relaxing regulations governing youth employment, and infrastructure modernization (especially the provision of reliable and competitively priced electricity).

Puerto Rico will also have to overcome disadvantages relative to U.S. states and territories. If it were a state, per capita federal support for Medicare and Medicaid (which covers 60 percent of the population) would be 2.5 times larger than present levels. Puerto Rico receives less than half the lowest supported state (Nevada) and the total shortfall (excluding exceptional financing) is about $2 billion a year. The Jones Act requires that Puerto Rico (but not the U.S. Virgin Islands) use more costly U.S. vessels to ship to and from the mainland.

Puerto Rico must seize the opportunity at hand. Federal disaster relief money gives the Island breathing room to offset deflationary pressures from needed targeted fiscal downsizing. Deep structural policy reforms can reverse the negative economic spiral and spur growth. At the same time, debt restructuring should give room for deep economic reforms to put Puerto Rico on a new growth trajectory. The return to creditors will be higher and reforms can turn the Island into the jewel of the Caribbean.

If, however, federal funds are expended without reforms, the prospects will be dismal. The one-time stimulus from the infusion of cash for reconstruction and other relief efforts will have dissipated. The island's economy and population will return to a world of economic contraction.

Commentary by Anne O. Krueger, senior research professor of International Economics, School of Advanced International Studies at Johns Hopkins University.

For more insight from CNBC contributors, follow @CNBCopinion on Twitter.",https://www.cnbc.com/2018/03/26/puerto-ricos-best-shot-at-economic-recovery.html
