,Concerning,Text,URL
0,somalia,"Highlights

In 2018, 44,790 severely malnourished children, including 2,516 children with medical complications, have been admitted in UNICEF supported treatment programmes. The number of admissions to date exceeds the number of admissions during the same period in 2017 by 33 percent. The increasing trend in admissions highlights a sustained risk to of malnutrition.

UNICEF and partners have launched a national measles vaccination campaign aiming to reach 4.7 million children. The campaign started in Puntland in January, where 933,406 children were reached (93 percent coverage). The campaign is now planned to continue in south and central states, as well as Somaliland where an additional 3.7 million children will be targeted.

In response to continued critical needs for emergency access to safe water, UNICEF and partners supported an additional 40,500 people from 28 displaced person settlements through emergency water trucking and water voucher provision in Nugaal, Bay, and Banadir regions.

UNICEF held inception workshops in Puntland and Somaliland for a new Children on the Move programme aimed at mitigating against the effects of child migration, and provide services for children at risk of violence, exploitation and abuse whilst on the move. The workshops trained ministry and civil society child protection workers on key strategies to identify children at risk and on the development of case management for children who are moving within Somalia and across borders.

Situation Overview & Humanitarian Needs

The humanitarian situation in Somalia remains critical due to ongoing impacts of drought, displacement and conflict. As per the FSNAU-FEWSNET 2017 Post Deyr findings, 5.4 million people are still in need of urgent assistance, including 2.8 million children. An estimated 1.2 million children are or will be acutely malnourished over the next year, including 232,000 children at risk of life-threatening severe acute malnutrition (SAM). Over 4.4 million people need humanitarian WASH services, with 3.5 out of 5 people without adequate water to meet basic needs. More than 5.7 million people require basic health services, including critical needs in maternal and child health, as one in seven Somali children die before the age of five. Disease outbreaks such as acute watery diarrhoea (AWD)/cholera and measles continue to represent a major threat to children, with over 1,000 cases of AWD/cholera (56 per cent children under 5) and 2,500 cases of measles reported in 2018. Over 3 million children, out of 4.9 million in country, are estimated to be out of school. More than 2.1 million people have been displaced, including over 1 million in the last year alone; and displacement flows continue at critical levels into areas such as Baidoa in Bay Region, which has received between 500 and 2,000 new arrivals per week since mid-January, 2018. 4 Exclusion and discrimination of socially marginalized groups continue to exacerbate high levels of acute humanitarian needs. More than 76 percent of recorded gender-based violence (GBV) survivors are reported to be from IDP communities. Grave violations against children continue at worrying rates, with 402 cases, mostly abductions, recruitment and use, and killing/maiming reported in January 2018.",https://reliefweb.int/report/somalia/unicef-somalia-humanitarian-situation-report-2-1-28-february-2018
1,somalia,"SHF funds are prioritized and managed locally by those closest to people in need. This is one of the central pillars of the Fund, which was set up to support the highest-priority needs by the best-placed responders. The SHF thus works hand in hand with its implementing partners, with a view to support and understand their needs and expectations.

Consequently, the primary objective of the 2017 SHF Implementing Partners’ survey was to determine the non-governmental implementing partners’ satisfaction with the services provided by the SHF and factors that cause satisfaction or dissatisfaction, which may lead to changes and adjustments in the management of the Fund, where possible or necessary. In the future, the SHF may solicit similar feedback from other stakeholders.

The survey was carried out from 27th of December 2017 until 31st of January 2018. Of 109 eligible SHF non-governmental partners invited to respond, feedback was received from 82 non-governmental organizations.

Responses received indicate high level of satisfaction. More than 80 per cent of organizations are satisfied with the focus of the Fund’s 2017 allocations and almost 75 per cent participated in the strategic prioritization processes resulting in allocation strategies.

The overwhelming majority of respondents (96 per cent) are satisfied with documents guiding the application process; eight in ten organizations find it good or excellent. The vast majority of respondents – more than 90 per cent – stated that working with the SHF has an impact in the capacity strengthening of the organization.

These results confirm the importance of the SHF in the humanitarian response in Somalia, not only by providing timely and flexibly resources to respond to humanitarian needs, but also contributing to strengthening the capacity of implementing partners and, through this, to the overall effectiveness and accountability of humanitarian response in Somalia.

Some areas of improvement recommended by the respondents, touched on the communication process and the need for trainings on finance management, project submission, among others. Some measures are already being placed and the SHF team will conduct an in-depth/further analysis of the findings to make sure the majority of suggestions can be incorporate in the operation to strengthen the Fund.",https://reliefweb.int/report/somalia/somalia-humanitarian-fund-shf-2017-implementing-partners-survey-final-report
2,somalia,"HIGHLIGHTS

Priority areas for humanitarian response.

Humanitarians boost response to contain disease outbreaks.

IDPs living in fear of eviction

International community pledges humanitarian aid for Somalia.

Priority areas for humanitarian response

Humanitarian situation deteriorates as drought worsens.

The State-by-state drought analysis released by OCHA in February, shows that drought continued to contribute to the deterioration of the humanitarian situation in the first quarter of 2018. Most areas have experienced at least four successive seasons of below normal rainfall, resulting in water shortages, loss of livestock and crop failure, and leading to widespread acute food insecurity. Download the State-by-state analysis here: https://tinyurl.com/ycgkae4b This analysis identifies the priority areas for response and provides an overview of the operational presence of humanitarian partners across the country. It notes that areas such as Awdal, Bari, Sanag, Nugal, Sool and Woqooyi Galbeed have experienced four consecutive seasons of below normal rains.

Consequently, of the one million people in the priority areas, more than half are in Emergency (IPC 4). Urgent nutrition support is required as most of these places have critical levels of Global Acute Malnutrition (GAM) of 15 per cent or higher. Some areas in Galgaduud and Mudug have seen massive displacement of pastoralists to urban and periurban areas in search of assistance due to the loss of their livestock. Over half of the population of Galmudug is in need of aid. By the end of 2017, the Gaalkacyo IDP population had the highest malnutrition rates in the country of 21.9 per cent.

A high concentration of extremely vulnerable displaced persons has made the Banadir region one of the priority areas for humanitarians. It hosts more than 700,000 IDPs. Nearly 270,000 displaced people face acute food insecurity (IPC 3 and 4), while most of the IDPs in Mogadishu face critical levels of acute malnutrition (16.1 per cent GAM prevalence).

About 154,000 IDPs were forcefully evicted in Mogadishu in 2017.

Baidoa, in Bay region, continues to be one of the areas requiring urgent and sustained humanitarian response. Displaced people continue to arrive, fleeing drought and armed hostilities. In February alone, 12,600 people arrived in Baidoa and the number is expected to grow, according to the UNHCR-led Protection and Return Monitoring Network (PRMN).

Malnutrition among the IDPs is at critical levels of 15.1 per cent GAM prevalence. Loss of assets and livelihood opportunities have severely exacerbated their vulnerability, and made them largely dependent on aid. Without assistance, they risk sliding into further crisis, undermining the prospects for reintegration and long term recovery",https://reliefweb.int/report/somalia/humanitarian-bulletin-somalia-march-2018
3,somalia,"Key Messages

Humanitarian situation: The drought situation in Somalia still persists with below normal rainfall being recorded across Somalia. However, food security improved slightly due to the continued large-scale humanitarian assistance and the short term impact of the rains. The number of people in need of humanitarian assistance and protection has reduced from 6.7 million in October 2017 to 5.4 million in February 2018.

• Malnutrition status: A slight improvement in nutritional status in Somalia has been observed with national mean Global Acute Malnutrition rate reducing from 17.4% in October to 13.8% in December 2017. However, 301,000 children under the age of 5 are acutely malnourished, including 48,000 who are considered severely malnourished and may face increased risk of disease and death.

• Displacements by drought: While 2 million people have been displaced in Somalia since January 2017 according to IOM’s Displacement Tracking Matrix of December 2017, a significant reduction in the monthly average of new displacement has been recorded since July 2017.

• World Vision continues to respond: The programme supported 253,472 adults (86,607 male and 166,863 female); and 148,412 children (65,305 boys and 83,107 girls) through our food security, health, nutrition, water and hygiene, education and Gift-in-kind interventions.

• Adaptations in programming: The programme has established the Context Monitoring and Analysis System (CMAS). This system is aimed at improving the programme responsiveness by providing critical context changes in real time.",https://reliefweb.int/report/somalia/world-vision-somalia-east-africa-hunger-crisis-situation-report-feb-01-feb-28-2018
4,somalia,"SITUATION OVERVIEW

Severe drought conditions continue to compound the humanitarian situation in parts of Somalia. Some areas in the north are experiencing intensifying drought condition. Somaliland and Puntland authorities have called for urgent humanitarian assistance. Water shortages have led to stress induced migration of pastoralist communities in search of water and pasture in several areas. US$717 million is required between January and June 2018 to sustain famine prevention efforts. This is part of the $1.5 billion required for the 2018 Humanitarian Response Plan. Timely provision of resources is critical to prevent a deterioration in the second quarter of the year. An ongoing nationwide measles campaign aims to reach more than 4.7 million children between the age of six months and 10 years.",https://reliefweb.int/report/somalia/somalia-humanitarian-dashboard-february-2018-issued-16-march-2018
5,somalia,"YAOUNDÉ, Cameroon – The head of Caritas Somalia is calling on the international community not to forget the Horn of Africa country as other crises divert the world’s attention.

“I believe it is urgent not to forget the Somali people,” María José Alexander told Crux in an e-mail interview.

“We should advocate [our] home governments about humanitarian aid allocations and help the Somali government and institutions to become stronger. Somalia needs to become stronger and stop depending so much on international aid,” she said.

She told Crux the situation in Somalia has been “fragile” since the fall of President Mohamed Siyad Barre in 1991, which led to collapse of all government institutions and the rise of competing militias in the country.

“The country has been facing civil war, calamity, and difficulties to solve ordinary state problems such as the provision of personal security, proper education, and food security. Added to this, extraordinary issues related to environmental matters and terrorism have now been a constant in the country,” Alexander said.

Although the situation is more stable in the northern part of the country, the risk of famine has continued to threaten several parts of Somalia – a situation made worse by the fact that “many parts are controlled by Al-Shabaab and now in Puntland [in the north of the country] there is also presence of elements affiliated to ISIS.”

Al-Shabaab – “The Youth” in Arabic – is an Islamic jihadist organization which once controlled the capital Mogadishu, and still exerts influence over large parts of the country. In 2012, the organization pledged its allegiance to al-Qaeda.

At the end of 2017, the United Nations said some 6.2 million people were in need of humanitarian and protection assistance and more than half that number required urgent life-saving assistance.

The world body also said 2017 saw the displacement of a further one million Somalis, taking the total across the country to more than two million.

Since that time, the number of people in need of humanitarian assistance has fallen to 5.4 million, but Alexander said that is still a staggeringly high number.

“Out of the 5.4 million people, 2.7 million are still in crisis and emergency and the other 2.7 in stress. In this sense, the number of people in the stress phase has reduced but not the number of people in crisis and emergency.”

In all this, the government has remained too powerless to act.

“If a government is unable to provide security, then there will never be a proper economic or social development. The humanitarian efforts are important, but we will never solve this crisis by ourselves: We need political will. Also, the on-going war between terrorist groups and the coalition led by the U.S. has caused deaths of civilians and terror among the society,” Alexander said.

She said Caritas has been mainly working with the country’s over 2 million internally displaced persons.

“[Caritas] opened a small office in Hargeisa, Somaliland, to provide both, education support to poor children, and food and nutritional assistance to drought affected people,” Alexander said.

Somaliland is the northernmost portion of Somalia which is self-governing. Unlike the rest of Somalia, which was previously Italian-ruled, Somaliland was ruled by the British in the colonial era.

It declared independence in 1991 after the fall of the Barre regime, but it remains unrecognized by the international community. Despite its quasi-legal status, it is the most stable and safest part of Somalia.

Alexander said from this base, Caritas was carrying out projects such as offering emergency assistance for the drought and conflict-related emergencies, like the Oct. 14 bombing attack on Mogadishu by Al-Shabaab.

“We also have an education project for selected children from two IDP camps in Hargeisa, where we pay for their education and logistic support to get them to school,” she said.

“Furthermore, in the same area, we provide medical assistance for poor people in Daami that cannot afford to go to the hospital or pay for the treatment. Then, together with a local partner, BREC, we have a school in Baidoa for girls and boys living in Aboore IDP camp. And finally, a fishing school managed by Perigeo NGO in Puntland,” she explained.

On March 6, the United Kingdom and the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) convened an event in London to draw urgent attention to the humanitarian crisis in Somalia and the need for a swift and substantial response.

“The importance of further strengthening links between relief, recovery and development efforts was highlighted as vital to building Somalia’s resilience to extreme shocks and breaking the link between drought and humanitarian crisis in Somalia,” said a report from the OCHA.

They also agreed on the need to rebuild Somalia’s broken institutions by creating “stronger partnerships between international organizations and national NGOs,” crucial to developing better aid delivery.

Alexander said the troubles in Somalia are enough to break even the most committed of those involved in humanitarian aid, but what keeps her going is her faith in God.

“One must remember how faithful the Lord is, and how great his love is,” she said.",https://cruxnow.com/global-church/2018/03/21/catholic-charity-says-world-cannot-forget-somalia-crisis/
6,somalia,"Cholera – Somalia

The ongoing cholera outbreak in Somalia started in December 2017. As of 18 March 2018, a total of 1613 cholera cases, including nine deaths (case fatality rate = 0.6%), have been reported from four regions: Hiraan, Banadir, Lower Juba and Middle Shabelle.

The outbreak started in Beletweyne, Hiraan Region; it spread to Banadir Region in early January 2018, to Lower Juba in early February 2018, and to Middle Shabelle in early February 2018. Of the 66 stool samples tested in 2018, 19 were positive for Vibrio cholerae serogroup 01 serotype Ogawa. Banadir Region is one of the regions with the highest concentration of internally displaced persons (IDPs). Lower Juba has experienced cholera outbreaks in the past; on the border with Kenya and the region has many people who have been displaced by conflict in Middle Juba. Middle Shabelle has also previously had cholera outbreaks. Access to safe water and sanitation is limited in all of the affected regions.

Figure 1. Number of confirmed and suspected cholera cases in Somalia reported from February 2017 through February 2018

Source: Situation Report for Cholera, Ministry of Health, Somali Federal Republic

Public health response

The Ministry of Health (MoH), with support from WHO and partners, has implemented the following ongoing response measures:

Established weekly meetings between the MoH and Health Cluster partners.



Strengthened surveillance and case investigations, where security permits.



Trained and deployed community health volunteers to provide basic patient care in affected communities.



Conducted training for national, state and regional level integrated rapid response teams.



Dispatched cholera and diarrhoeal disease kits to local response partners and hospitals.



Trained evaluators for systematic monitoring of cholera treatment centres to assess capacity and quality of care and recommend reinforcement where necessary.



Developed and implemented cholera case management sessions with the support of the Global Cholera Task Force partners.



Distributed hygiene kits to inaccessible areas through community health volunteers and different non-governmental organizations.



Carried out social mobilization and community education activities by State and Regional Government authorities.



Prepared and disseminated Information, Education, and Communication (IEC) materials on acute watery diarrhoea (AWD)/cholera prevention.



Implemented oral cholera vaccine (OCV) campaigns. From 11 through 18 February 2018, an OCV campaign was conducted in Hudur district and Afmadow district. The second OCV has taken place from 11 through 18 March 2018.

WHO risk assessment

Cholera is an acute enteric infection caused by the ingestion of Vibrio cholerae bacteria. It is primarily linked to insufficient access to safe water and adequate sanitation. Cholera is a potentially serious infectious disease and can cause high morbidity and mortality. It has the potential to spread rapidly, depending on the frequency of exposure, the population exposed, and the context.

Cholera is endemic in Somalia and continuous transmission was reported in the last few years. The last outbreak, which occurred in 2017, was one of the largest cholera epidemics the country has experienced: 78 000 cases, including 1159 deaths (case fatality ratio = 1.5%) were reported from 16 regions. The outbreak reached its peak in April 2017 and gradually declined from June until August 2017, and only few sporadic suspected cases were recorded between October and November 2017.

Despite the control and prevention measures implemented during the last large cholera outbreak in 2017, the risk of the current outbreak is considered high at the national level because of the following:

Only 16% of the at-risk population was vaccinated during last year’s OCV campaign, which is too low to provide population-level immunity;

There are large population movements in the affected areas due to drought, conflict and floods;

The regions affected have the highest concentration of IDPs where access to safe water, hygiene and sanitation (WASH) is limited;

Funding for cholera control and treatment measures will continue through to 2018, which include activities related to WASH and OCV campaigns. The lack of longer-term funding, however, remains a concern as the seasonal recurrence patterns require more predictable financing for more effective prevention and mitigation.

At the regional and global levels, the level of risk was assessed by WHO to be low.

WHO continues to monitor the epidemiological situation and conduct risk assessments based on the latest available information.

WHO advice

WHO recommends improving access to safe water and sanitation to prevent cholera transmission. Reinforcing surveillance, particularly at the community level, is advised. Access to appropriate case management should be improved in the affected areas to decrease mortality. The use of oral cholera vaccine to limit the spread should also be considered.

WHO does not recommend any restrictions on travel or trade to Somalia based on the information available.

For more information on cholera, please see the links below:",http://www.who.int/csr/don/29-march-2018-cholera-somalia/en/
7,somalia,"Highlights

In most parts of Somalia, Jilaal (January–March) season dry weather conditions persisted in February 2018, characterized by mostly dry winds and elevated temperatures. Few stations such as Qulenjeed (Awdal), Daraweyn (W. Galbeed) and Beletweyn (Hiran) recorded some rainfall (Map 1 and table 1). According to FSNAU field reports, there has been little rainfall in parts of Togwajaale, Gabiley and Lughaya in northwest, Bakool (Hudur, Wajid and Elbarde) and M. Shabelle (Adenyabal,

Cadale, Mahaday). Shebelle river level is very low and it has nearly dried up around Sablale, in the lower catchments of the river, leaving brackish water which is not suitable for human and animal use.

Satellite derived rainfall estimates (RFE) confirms prevalence of dry weather conditions across the country during the month of February (Map 2-5). According to the United States Geological Survey (USGS) land surface temperatures (LST) for February remained elevated in West Golis, Northern Inland Pastoral (NIP) and in parts of Addun,

Hiran agropastoral, Cowpea belt, Southern rainfed maize and Juba pastoral livelihood zones.

Vegetation cover measured through the Normalized Difference Vegetation Index (NDVI) for February indicates continued deterioration of pasture and vegetation conditions especially in parts of Guban,

Golis of Sanaag, Allula District in Bari region in northern parts of the country. In southern Somalia, Middle and Lower Shabelle, Bay, Bakool, Gedo, Middle Juba and Lower Juba show small to large decreases in vegetation cover compared to average. Large decrease of vegetation is evident in parts in Cowpea Belt, Southern Rained, and Juba Pastoral livelihoods (Map 10).

Consistent with seasonal trends, during the current Jilaal dry season, poor pasture and inadequate water availability has been reported in most parts of the country due to prevailing dry weather conditions and high evaporation rates. Increased water prices from permanent water sources have been reported in Addun, Coastal Deeh, NIP and Hiran Agropastoral livelihood zones.

Opportunistic livestock migration towards more favorable permanent water sources is evident across the country.

Further deterioration in pasture and water conditions, consequent increase in water prices, increased livestock migration and continued reduction in Shablle river levels are expected until the start of Gu (AprilJune) rains in April, especially in areas that have been highlighted above. These adverse impacts are expected to be more pronounced in areas that have experienced poor 2017 Deyr (October-December) season rainfall.",https://reliefweb.int/report/somalia/somalia-climate-update-january-2018-monthly-rainfall-and-ndvi-issued-march-26-2018
8,somalia,"MOGADISHU, Somalia (Horn Observer) The Speaker of the Federal Parliament of Somalia Mohamed Osman Jawaari on Saturday said that the expected parliamentary session has been postponed following meeting with the Somali President, local media reports.""I and my deputies met with the Somali President Mohamed Abdullahi Farmaajo and accepted jointly his suggestion to postpone the parliamentary session.” Speaker Mohamed Abdullahi Farmaajo said in a press conference in Mogadishu.Mr. Jawaari said the postponement has been linked with respect to the unity of Somalis and avoid further confusion to the Somali people whom the parliament and the government represents, saying that the later dates will be released later.The Somali Parliament has been deeply divided over a motion against Speaker Jawaari, which created political and security instability in Somalia Mogadishu. The Shabab, a Somali militant group affiliated to Alqaeda has been carrying out daily attacks in Mogadishu in recent days.- Horn Observer -",http://hornobserver.com/articles/779/Somalia-Speaker-says-President-Farmaajo-and-Speakers-Agree-on-Postponing-Parliamentary-session-following-Political-Crisis
9,somalia,"For years, Somalia's northern Puntland state has been more stable than the country's volatile south, but that picture may be changing. Police in Puntland remain on alert amid a string of attacks over the past year by Al-Shabab and another group of fighters who have joined the Islamic State terror group. For VOA, Jason Patinkin reports from Puntland city of Bossaso.",https://www.voanews.com/a/puntland-police-alert-somalia-terror-threat-moves-north/4323747.html
