,Concerning,Text,URL
0,south+sudan,"March 29, 2018 (WASHINGTON) – The European Union (EU) should more clearly and consistently assert leadership and develop much-needed financial leverage that could support a truly reinvigorated peace process in South Sudan, a country “hijacked by corrupt elites and marred by brutal conflict and urgent humanitarian crises”, the U.S-based advocacy group (Enough Project) said in a new report.

The High Level Revitalization Forum (HLRF) at the African Union Hall, Addis Ababa (Getty)

Entitled “EuroPressure: EU Financial Leverage for Impact in South Sudan,” the report says the EU’s principal answers to the South Sudan crisis have been financial aid and humanitarian support, rather than a comprehensive approach with meaningful leverage to drive change.

Brad Brooks-Rubin and Jonathan Benton jointly authored the report.

Last year alone, the EU reportedly provided over 350 million euros in aid to South Sudan, focusing particularly on assistance to South Sudan’s neighbours facing serious challenges related to caring for the over 2 million refugees, who have crossed the border for safety.

In addition, however, the United Kingdom plays a leading role in international diplomacy on South Sudan through its place in the “Troika” (along with Norway and the United States), and a number of EU member states also play critical roles in providing development assistance and support to South Sudan and the broader region.

The reports urges a modernized approach, including financial leverage and associated incentives, the likes of which have never been used by the EU with respect to conflicts in sub-Saharan Africa, to demonstrate to violent kleptocrats in South Sudan who are bent on violence and corruption that leverage exists to stop them.

“The international community is slowly developing an evolving strategy of applying pressures to the spoilers of the South Sudanese peace process and those whose networks are profiting from diversion of oil wealth and other resources,” said Brooks-Rubin, co-author and Managing Director at the Enough Project and The Sentry.

He added, “The tide is shifting, and clear action by the European Union can press this effort forward and provide negotiators with real leverage to start to bring about real change in South Sudan.”

Early this month, the EU said it was ready to impose an arms embargo on South Sudan if its warring parties do not immediately cease hostilities and continue ignoring ongoing peace talks.

The threat of an arms embargo came a day after the United States on circulated a draft United Nations Security Council resolution that threatens to impose an arms embargo on South Sudan and to take ""all appropriate measures"" against those blocking its peace efforts.

“The European Union and its member states have led many elements of the evolving international architecture devoted to combating corruption and conflict around the world,” said Benton, report co-author and Operations Director at The Sentry in the report.

“There is now a clear opportunity for the EU to build on this leadership and apply new financial pressures to the crisis in South Sudan, where grand corruption is driving so much of the humanitarian crisis that Europe is spending hundreds of millions of euros every year to ease,” he added.

Meanwhile, the report lays out short, medium, and long term tools that the EU can deploy as part of a thoughtful and coordinated strategy to help end the crisis and suffering in war-torn South Sudan.

Among the measures, it says, are designating for sanctions key spoilers of the peace process and their business networks.

“Sanctions placed on only a few individuals and that lack enforcement are ineffective,” the report, adding that “Sanctions measures must impact not only individuals, but also their networks”.

Also, the EU has been urged to engage neighboring government by putting pressure on the key countries in the region, notably the financial intelligence units, central banks, and ministries of foreign affairs in Uganda and Kenya to monitor funds got from South Sudan.

The advocacy group further recommended “Imposing sectoral-based restrictive measures on economic sectors that are under the control of certain political and military elites, such as the extractive industries, banking, and transport sectors”.

Now in its fifth year, the conflict in South Sudan has left tens of thousands of people dead, more 2 million displaced and half of the population at threat of facing severe starvation, aid agencies say. A recent report by the United Nations and South Sudan government said up to 150,000 people could slip into severe famine this year.

(ST)",http://www.sudantribune.com/spip.php?article65064
1,south+sudan,"March 30, 2018 (JUBA) - South Sudanese government Friday warned it would conduct elections to avoid illegitimacy and power vacuum if peace revitalizations talks with the opposition groups fail to reach a deal.

Salva Kiir casts his vote in the 2010 elections.

A South Sudanese presidential adviser blamed the armed groups for obstructing the political process the IGAD is mediating to settle the more than four-years crisis in the country.

“The rebels are intransigent because the American sanctions have emboldened them. We know they are not going to engage in good faith in the next round of talks because they think the present government, the mandate of the transitional government of national unity expires in August,"" Tor Deng Mawien Presidential Adviser on Decentralization and Intergovernmental linkage told Sudan Tribune on Friday.

Mawien further predicted that the opposition would not sign a peace agreement and until August and then they will say that the ""government is illegitimate and then go around the region and the world preaching it"".

That will not happen. If the current efforts, including the revitalization process, fail to culminate into a new arrangement, the government will conduct elections”, he said.

In line with the 2015 peace agreement

Last Wednesday the First Vice President Taban Deng Gai said the gap between government and the opposition on security arrangements and power-sharing remains wide

""The gap between what the government proposes as the way to resolving the current situation and what the opposition is proposing is huge and wide. It is difficult to close,"" said Taban Deng Gai

The parties to the revitalization process are expected to meet next April to discuss a series of proposals the mediation will submit based on the positions of the two sides during the talks last February.

The presidential adviser reiterated the commitment of the government to end the war adding that any U.S.-instigated sanctions would exacerbate the situation if they are implemented.

Washington, the protector and close supporter of the young nation, now is accused by the South Sudanese officials of backing the opposition groups and

(ST)",http://sudantribune.com/spip.php?article65065
2,south+sudan,"Tens of thousands of families are at risk of starvation, says country director for Norwegian Refugee Council

FILE PHOTO

By Munira Abdelmenan Awel

ANKARA

Unless speedy international support is granted to South Sudan, half of its population -- or 6.3 million people -- face a food crisis, while the number of people at risk of starvation could rise by another one million in the next three months, an international relief official said Thursday.

According to Rehana Zawar, the Norwegian Refugee Council’s country director in the Eastern African country, the country faces an acute food crisis. “Tens of thousands of families are at risk of starvation,” she said in a press release.

“Besides the challenges of restricted access to aid, the current level of aid can only help less than 50 percent of people in need,” she said.

“If things keep going the way they are, food sources will be extremely low, as food stocks run out in many parts of the country while the lean season of May to July approaches.”

“Our Rapid Response Teams are working overtime to deliver lifesaving aid to devastated areas, but needs are still overwhelming,” said Zawar, explaining the additional massive arrivals of displaced communities which resulted in mounting pressure on already limited resources.

Zawar urged the international community to act in time to save lives, saying: “We urgently need increased international support and resources for humanitarian aid, as well as free access to bring food and other emergency assistance to hard-hit communities. The only way to prevent a widespread famine is to act now before it’s too late.’’

Since 2013, South Sudan, which seceded from Sudan following a 2011 popular referendum, has remained the scene of a bloody civil war pitting government forces against armed opposition groups.

Despite a 2015 peace deal signed between the two sides, the conflict -- in which some 10,000 people are thought to have been killed -- remains ongoing.

The impact of the fighting has worsened the food crisis by causing the destruction of food production. Some two million people have fled their homes within the country, and another two million have fled as refugees.",http://aa.com.tr/en/africa/63m-south-sudanese-face-food-crisis-relief-official/1096571
3,south+sudan,"“South Sudan’s food crisis levels are shocking,” said Rehana Zawar, Norwegian Refugee Council’s Country Director in South Sudan. “Alarm bells are ringing as the threat of famine is now more widespread than this time last year. Tens of thousands of families are at risk of starvation.”

An estimated 6.3 million people – or half the population – currently face ‘crisis’, or worse, food security levels. That number will likely increase by another 1 million in the next 3 months, according to the latest projections. This is a significantly higher percentage of the population than was in need of humanitarian aid at same time last year.

Current levels of aid are expected to reach less than 50 per cent of people in need across the country. In addition, restricted access to aid and other food sources will be extremely low, as food stocks run out in many parts of the country while the lean season of May to July approaches.

The main reasons for the worsening situation is the compounded impact of 4 years of fighting, the destruction of food production, cattle being stolen or left behind, farmers afraid to access their lands, and high inflation due to economic crisis. These resulted in two million people that fled their homes within the country, and another two million who fled as refugees.

Since this time last year, violence has spread to more parts of the country. Areas worst affected by the food crisis are also those affected by the armed conflict, including central and southern Unity, northwestern Jonglei, and Wau in Western Bahr el Ghazal, according to the Famine Early Warning Systems Network (FEWSNET).

Other areas are seeing massive arrivals of displaced communities, increasing pressure on already limited resources. Despite the challenges, humanitarian agencies continue to save lives by distributing food and other necessities to over 2.5 million people in need across South Sudan each month.

“Our Rapid Response Teams are working overtime to deliver lifesaving aid to devastated areas, but needs are still overwhelming,” said Zawar. “We urgently need increased international support and resources for humanitarian aid, as well as free access to bring food and other emergency assistance to hard hit communities. The only way to prevent a widespread famine is to act now, before it’s too late.’’",https://www.nrc.no/news/2018/march/south-sudan-inches-closer-to-famine/
4,south+sudan,"CONTEXT AND METHODOLOGY

Renk town is located in Renk County, Upper Nile State, near South Sudan’s border with Sudan. Since independance in 2011, Renk has become a major destination and transit point for returnees from Sudan and, since the beginning of the current conflict in 2013, for internally displaced persons (IDPs) fleeing conflict in Upper Nile State.

This factsheet provides results from the REACH road monitoring exercise in Renk town, Renk County. REACH monitors one entry point in Renk to record the arrivals and departures of South Sudanese returnee and IDP households (HHs) on a daily basis. Daily data is synthesized into a monthly factsheet to provide an overview of wider movement trends, including push/pull factors and intentions.

The following findings are based on primary data collected throughout January 2018, during which 67 departing HHs (260 individuals) and 35 arriving HHs (154 individuals) and 84 transiting HHs (301 individuals) were recorded. Enumerators interviewed respondents who were arriving in and departing from Sukjima bus station. Travellers interviewed by REACH in January were all going to and from Sudan. Respondents were selected based on pre-survey questions on motives of travel to ensure that only displaced people or returnees were interviewed. Not all entry points to Renk town were covered systematically, and most arrivals reportedly took place after data collection hours (9:00 a.m - 5:00 p.m). As such, the data presented in this factsheet is not representative, rather indicative of movement trends for the assessed population.",https://reliefweb.int/report/south-sudan/south-sudan-displacement-crisis-renk-road-monitoring-renk-county-upper-nile-2
5,south+sudan,"PEOPLE IN NEED IN 2017: 7.6 M

PEOPLE TARGETED IN 2017: 6.2 M

PEOPLE REACHED BY THE END OF 2017: 5.4 M

In 2017, South Sudan’s conflict was in its fourth year, with civilians continuing to bear the brunt of a crisis marked by displacement, hunger and disease. Nearly 4.3 million people – one in three South Sudanese – have been displaced, including more than 1.8 million who are internally displaced and about 2.5 million who are in neighbouring countries. About 700,000 people left South Sudan in 2017.

Major offensives in Jonglei and Upper Nile forced tens of thousands of people to flee fighting in Wau Shilluk, Tonga, Maiwut and Pagak. In Unity, the crisis was driven by both intensified clashes in Koch and Mayendit and food insecurity, which reached dire conditions. The Equatorias were hardest hit by conflict, with Yei, Lainya, Wonduruba, Kajo-keji, Magwi and Torit counties most affected. Hundreds of thousands of people fled to Uganda, where the population of South Sudanese refugees peaked at over one million in August.

Food insecurity and malnutrition in South Sudan reached record levels in 2017. In February, famine was declared in parts of Unity, meaning some 100,000 people faced starvation. Even though a concerted multi-sector response was able to halt the localized famile in Leer and Mayendit, some 4.9 million people were severely food insecure in South Sudan during that period. Diseases such as cholera, malaria, measles and kala-azar continued to spread in 2017. Cholera was most severe, with over 20,000 cases reported, including 436 related deaths.

Thirty aid workers were killed in 2017, making it the deadliest year for aid workers on record. At least 1,159 humanitarian access incidents were reported, the highest number of incidents in a year, representing a significant increase, compared to 908 in 2016 and 909 in 2015. Active hostilities impacted humanitarian operations, with 612 aid workers relocated in 54 incidents from multiple locations across the country.

Despite these challenges, aid agencies assisted over 5.4 million people in 2017. This included: more than 5.1 million people who received food assistance; over 2.8 million people vaccinated against communicable diseases; 2.8 million people who were helped to access clean water; 930,000 people assisted with vital non-food items; around 950,000 children and pregnant and lactating women treated for acute malnutrition; and 420,000 children facing crisis who were supported with access to education.

The 2017 Humanitarian Response Plan was 73 per cent funded, with US$1.2 billion received. Clusters with the most significant funding gaps included Health, Protection, and Emergency Shelter and Non-food Items.",https://reliefweb.int/report/south-sudan/2017-south-sudan-humanitarian-response-review
6,south+sudan,"3,000+ Refugees and IDPs received material support and training during the reporting period.

1,269 Refugee new arrivals registered in Unity during the reporting period.

6,000 Tree seedlings raised in Upper Nile during the reporting period.

KEY FIGURES

INSIDE SOUTH SUDAN

287,375 Refugees in South Sudan as of 28 February 2018.

1.8 million IDPs in South Sudan including 203,980 in UNMISS Protection of Civilians sites

US $809.4 million Funding requested by UNHCR for the South Sudan situation in 2018.

Updates on Achievements

PROTECTION

Achievements and Impacts

Unity

In Yida refugee settlement, UNHCR registered 1,269 new arrivals (684 women, 585 men), which represents 132% increase against the same period last year when 545 new arrivals were registered. Food shortage in South Kordofan is the main driver for new arrivals.

During the reporting period, UNHCR relocated 1,520 refugees to Jamjang camps, including 488 to Ajuong Thok and 1,032 to Pamir. This number also includes 387 refugees previously settled in Yida and 1,133 new arrivals. As of 15 March, the refugee population across Jamjang camps and settlement was as follows: Ajuong Thok - 42,646, Pamir - 23,526, Yida refugee settlement - 52, 775.

In Pamir and Ajuong Thok refugee camps, UNHCR in collaboration with its partner Humanitarian Development Consortium (HDC) trained 50 Community Outreach Volunteers (COVs) to increase their understanding on their roles and responsibilities, code of conduct, as well as UNHCR mandate and policies.

In Pamir, UNHCR partner Danish Refugee Council (DRC) identified 151 (90 women, 61 men) Persons with Special Needs (PSNs) during General Food Distribution (GFD) and helped them receive food avoiding long queues. 60 PSNs were identified during the ongoing quality assessment by the DRC team. DRC also identified 8 (7 women, 1 man)

PSNs and supported them with psychosocial services and basic supplies such as soap, shoes, etc. after verification in Ajuong Thok.

In Ajuong Thok and Pamir refugee camps, UNHCR’s partner Lutheran World Federation (LWF) identified 123 separated and two unaccompanied children at the respective reception centres; so far, 27 were placed under foster parents care, nine were referred for other services, and 25 were reunified with parents.

During the reporting period, UNHCR partner Lutheran World Federation (LWF) conducted 11 Best Interest Assessments (BIAs) bringing the total number of BIAs so far completed to 50. UNHCR reviewed 34 BIAs of separated children and provided recommendations on areas for improvement to enhance the quality of assessment. The assessments revealed that the majority of family separations were due to the ongoing conflict and the need for education which is provided in refugee camps.",https://reliefweb.int/report/south-sudan/south-sudan-unhcr-operational-update-1-15-march-2018
7,south+sudan,"YIDA, South Sudan -- Even as millions of South Sudanese flee their country in what the United Nations has called the world's fastest-growing refugee crisis since the Rwandan genocide, hundreds of thousands of people from Sudan's South Kordofan region have found a haven there.

Their presence raises concerns that their improvised camps are a hiding place for militants, and aid workers say they find it increasingly hard to do their jobs.

One such camp, home to more than 50,000 people, was ordered closed by South Sudan's government almost two years ago. It continues to thrive, and officials worry that the rainy season that begins in May will draw more of the militants who have been fighting for more regional autonomy from Sudan's government.

""We believe Yida is proactively being used as a base or as a [rest and relaxation] location for fighters,"" said Veton Orana, head of the United Nations refugee agency's office in South Sudan's northern town of Jamjang.

He said the continuous flow of people across the border to the camp just 12 miles away poses a problem for the agency, which is in charge of delivering aid to civilians who aren't linked with combatants.

Almost 300,000 Sudanese refugees are sheltering in South Sudan, according to the agency. About 116,000 are in Unity State, the location of Yida and two other camps.

While South Kordofan is officially part of Sudan, the area remained home to many pro-South Sudanese communities after South Sudan won independence in 2011. Today, fighters loyal to South Sudan still shelter in the Nuba Mountains, allowing people from both countries to move freely across the border.

Romea Osma arrived at the Yida camp five years ago, after her cousin and nephew were killed in fighting that broke out in 2011 between the government and opposition fighters in the Nuba Mountains. The 24-year-old escaped with her daughters, 2 and 6 years old.

Osma said her husband fights with the rebels in Sudan but crosses the border several times a year to see her and their children in Yida.

""He leaves his gun and uniform outside and comes in civilian clothes,"" she said.

Locals say 50 percent of food distributed to the camp by the U.N's World Food Program is carried north to feed families in Sudan, including fighters.

In order to maintain good relations with Sudan, South Sudan's President Salva Kiir in 2016 announced the closure of Yida. Refugees were given the option to move to two nearby U.N.-run camps that are farther from the border and comply with international regulations.

Two years on, however, Yida remains a bustling and vibrant hub. Several community members there said they refuse to leave.

""I heard about the relocation but I have vulnerable family back in Nuba so I'm staying. I won't move,"" said one resident, Aisha Tutuk. The 28-year-old mother of five said Yida's proximity to Sudan is invaluable as it allows her husband to visit easily.

South Sudan's government and the U.N. refugee agency said the camp isn't safe. Although the current cease-fire in the Nuba Mountains is holding, they fear that renewed clashes would target Yida's civilians.

But the camp's local authorities disagree.

""Now security is good and there's no need to move,"" said William Manyiel, the assistant commissioner for refugees for Ruweng state. If the refugees leave so will the humanitarian aid, he said, and his government doesn't have the capacity to provide for its people.

Humanitarian groups have been providing food, shelter and medical care to both the Sudanese refugees and their South Sudanese hosts for years.

South Sudan's government said it is in discussions with Yida's local officials to put ""strategies in place"" to assist with the transition to other camps, said John Dabi, deputy commissioner for refugee affairs.

Yet those familiar with the situation in Sudan question the move.

""The signs of any military presence within Yida camp seem nominal,"" said Tom Rhodes, former editor at Nuba Reports, an independent media outlet that focuses on Sudan.

Sudanese filmmaker and Nuba Mountain resident Hajooj Kuka said the U.N. ""felt that they didn't have a high level of control over the population in Yida so they wanted to move it and take over.""

Both the U.N. and South Sudan's government say they won't forcibly remove people, and currently the situation is at a standstill.

As long as there's aid, the probability of anyone leaving is slim, said resident James Kiir.

""Until you stop something hard like water or food, people will stay,"" he said.

A Section on 03/31/2018",http://www.nwaonline.com/news/2018/mar/31/concerns-voiced-as-south-sudan-takes-in/?news-world
8,south+sudan,"In February 2018, Integrated Phase Classification (IPC) analysis estimated that in the worst case scenario, 6.3 million people, or 57 per cent of the population of South Sudan, would be severely food insecure from February to April 2018. In Unity, Jonglei, Upper Nile, and Central Equatoria, which are affected by recurring outbreaks of violent conflict and displacement, the proportion of people suffering from severe food insecurity ranges from 52 to 62 percent - more than half the states' combined population. Population displacement was reported in Unity, following fighting between government and opposition forces in Bauw, Koch County from 16 to 17 February, where there were also reports of civilian deaths and burning of homes. Brief clashes were also reported in Leer town. In Central Equatoria, over 3,360 IDPs (653 households) were displaced from Makaia to Yei town, after fighting broke out. In Eastern Equatoria, health partners reported suspected cases of meningitis, with 162 suspected cases and 30 deaths in Iyire and Imurok payams, Torit County. As of the end of February, partners were still investigating whether the illness and the deaths were as a result of meningitis.",https://reliefweb.int/report/south-sudan/south-sudan-humanitarian-snapshot-february-2018
9,south+sudan,"Key messages

• Centrality of protection: The protection crisis is the primary force behind rising hunger and malnutrition.

Trends continue to show that food insecurity rises wherever significant and/or prolonged violent conflict occurs. Intensified violence was most present in central Greater Bahr el Ghazal.

• Food insecurity: Roughly 5.1 million individuals experiencing IPC phases 3, 4, and 5, and represent the greatest proportion of South Sudanese to ever experience such levels of hunger and malnutrition. If the status quo remains, famine is likely to be present in many locations across South Sudan in the coming months.

• Optimize the response: Scaling interventions in a conflict sensitive way while increasing investment in recovery and resilience programing where possible will have the greatest impact on South Sudanese ability to face and bounce back from the numerous vulnerabilities they are currently facing.

• Economic situation: The deteriorating economic environment plays a significant role in preventing many South Sudanese from reaching their basic food needs.

• Over 138,000 displaced people in need of humanitarian assistance in Mundri East and West counties. An interagency team assessment conducted identifies the main needs as emergency shelter, medical supplies, water facilities, school materials, food and protection.

• Rift Valley fever outbreak declared in Awerial, Yirol East and West counties of Lakes. The Ministry of Health and the Ministry of Livestock and Fisheries have declared a Rift Valley fever (RVF) outbreak in three counties.",https://reliefweb.int/report/south-sudan/world-vision-south-sudan-east-africa-hunger-crisis-situation-report-feb-01-feb-28
