,Concerning,Text,URL
0,sri+lanka,"Many of you will have heard the very sad news of the recent passing of our dear friend and colleague, Ms. Una McCauley, UN Resident Coordinator and UNDP Resident Representative in Sri Lanka.

Ms. McCauley’s funeral took place on 2nd March and included two beautiful memorials; one for UN staff and another for the members of the Government of Sri Lanka, for development partners, civil society and friends. The large crowds who attended both memorials attest to the number of people that Una McCauley touched during her life.

As the first female UN Resident Coordinator in Sri Lanka, Ms. McCauley was a bold, inspiring, and strong leader. As the most senior UN Official in the country, Ms. McCauley led the UN Country Team of 21 Resident and Non-Resident UN Agencies and acted as the representative of the UN Secretary-General in Sri Lanka. She was a passionate and caring humanitarian, and dedicated her life to serve people of the world.

Ms. McCauley served in Sri Lanka for six years; two years as UN Resident Coordinator and UNDP Resident Representative, and prior to this, four years as the UNICEF Representative in Sri Lanka. Previously, she was the UNICEF Representative for Panama and Togo, and worked at the UNICEF offices in Sudan, Kenya, and Angola. With 17 years of service within the United Nations System and an additional 7 years of service working with children in the development sector, Ms. McCauley was instrumental in developing policies and strategic frameworks on leading global issues in a number of countries.

A national of Ireland and the United Kingdom, Ms. McCauley, was the loving mother of two sons.

The United Nations family will miss her dearly, especially her sense of humour, humility, passion, energy, and unwavering commitment to make lives better for all. Our deepest condolences are shared with her family.",http://www.undp.org/content/undp/en/home/news-centre/announcements/2018/un-mourns-passing-of-the-resident-coordinator-in-sri-lanka.html
1,sri+lanka,"The UN says it has allocated 11 million dollars (about N4 billion) to help 60,000 internally displaced people in Borno and other humanitarian operations in North-east Nigeria.

The UN Office for the Coordination of Humanitarian Affairs (OCHA) said nine billion dollars (about N3.2 billion) would be used to provide life-saving aid for some 60,000 people displaced by ongoing Boko Haram crisis in Borno.

The UN relief agency explained that the money was an allocation from the UN-managed country-based humanitarian assistance fund.

The UN quoted Mr Edward Kallon, the UN Humanitarian Coordinator in Nigeria, as saying: “The crisis continues to displace thousands of vulnerable women, children and men every week.

“Many have gone through unspeakable hardship and the UN and its partners remain committed to help alleviate their suffering.’’

Set up through the Nigeria Humanitarian Fund (NHF), the assistance includes two million dollars (about N720 million) in support to the UN Humanitarian Air Service for frontline responders in the region.

“This UN fund give us the flexibility to prioritise those who are most in need of aid and act swiftly for the good of the people of north-east Nigeria,” Kallon said.

The UN said the North-east region’s humanitarian crisis, sparked mainly by Boko Haram’s years-long insurgency, remained one of the most severe globally.

“In the worst-affected states of Borno, Adamawa and Yobe, at least 7.7 million people are in need this year, with about 80 per cent, or 6.1 million, targeted for humanitarian assistance.

“The nine million dollars allocation will help fund 15 projects supporting humanitarian rapid response in areas affected by large-scale conflict-related displacements, particularly in the northern parts of Borno, along the Maiduguri-Monguno axis.

“In just three months, the close to 30,000 people who have fled violence in hard-to-reach areas are in dire need of food, water, shelter, clothes and medical services.

“Additionally, the funds will help scale up the response near the border with Cameroon in eastern Borno – Gwoza, Bama, Dikwa, Kala-Balge, Monguno, Askira/Uba – and northern Adamawa – Madagali – where approximately another 30,000 have arrived following military operations.

“Finally, the funds will also help maintain UN Humanitarian Air Service operations, crucial to reach and deliver aid in remote areas of the North-east, especially where roads are unusable,” the UN said.

It explained that under the leadership of Kallon, the UN Humanitarian Coordinator in Nigeria, the NHF is managed by the UN Office for the Coordination of Humanitarian Affairs (OCHA).

This is to provide flexible and timely funds for basic life-saving support, the UN said, adding to date it has raised 48 million dollars (over N17 billion) in contributions and pledges.

The NHF is one of 18 country-based pooled funds and was launched during the Oslo Humanitarian Conference for Nigeria and the Lake Chad Region in February 2017.

The contributions and pledges were realised through the generous support of Sweden, Germany, the Netherlands, Denmark, Belgium, Norway, Ireland, Switzerland, the Republic of Korea, Canada, Spain, Luxembourg, the Arab Gulf Program for Development, Malta, Azerbaijan and Sri Lanka.

Of that 48 million dollars, 33 million dollars (about N12 billion), including this latest N3.2 billion allocation – has now been allocated to various organisations in support of the humanitarian response in North-east Nigeria. (NAN)",http://thenationonlineng.net/boko-haram-un-allocates-n4bn-for-humanitarian-aid-in-northeast/
2,sri+lanka,"MyCorps trains and empowers Malaysian youth by sending them on humanitarians missions to help marginalised communitieas in 10 countries worldwide.

The world is filled with pressing issues all the way from sanitation, housing to the bare necessities like proper food and clean water. And no one experiences these issues more than the marginalised communities across the globe.

As such MyCorps trains young, skilled and passionate humanitarians with the hope that they could eventually tackle these challenging issues. MyCorps provides a platform for Malaysian youths to serve and to have a positive impact all across the globe.

They organise frequent missions overseas where their volunteers live amongst the marginalised communities, and they work to solve the issues that they face.

Here are a few things you need to know about MyCorps, and their revolutionary missions.

1. Open for Malaysians between the ages of 18–30 years old.

MyCorps holds the belief that everyone has the potential to positively impact their community, and the world at large.

As such their only requirement is that you’re a Malaysian citizen (between 18–30 years old), and you should be passionate about working with the underprivileged and the marginalised.

You can either apply to be a volunteer in a specific vocation like Health, Construction, Education, Media and Social Entrepreneurship or you could opt to be a General Volunteer.

The MyCorps team would then determine the number of volunteers that they need in each field depending on the specific needs of the mission.

You could have an edge over other applicants if you have prior experience in volunteering or in the humanitarian field.

2. Each mission spans for 3 months.

This includes 1 month of intensive Pre-Departure Training, and 2 months of International Deployment.

Two weeks into their deployment, the volunteers conduct a needs assessment analysis where they identify gaps and problems faced by the community by speaking to the people themselves, their NGO partners, and even the local authorities.

Furthermore, there’ll be one week of project review and report writing once the team returns back to Malaysia.

After the programme is completed, all the volunteers are recognised for their efforts during the Ignition Night.

Parents, family and friends attend this event, and it’s also officiated by Malaysia’s Minister of Youth and Sport, YB Hairy Jamaluddin.

3. Participants have to attend one month of intensive training.

Known as Pre-Departure Training, participants are taught various hands-on skills related to Humanitarian and volunteerism, and are also introduced to their host countries.

These skills include fundraising, trauma healing and therapy skills, community engagement, networking, first aid skills (First Aid Examination and card granted) by top notch speakers.

The Pre-Departure Training also touches on topics like International Humanitarian Law, Sustainable Agriculture, Poverty, Malnutrition, Economy and Livelihood, Social Enterprises, Sustainable Development Goals, Water, Sanitation and Hygiene (WASH).

Pre-Departure Training equips the participants with the relevant skills that are key for their mission, and it also helps them come up with creative and viable ideas.

“They can gain various knowledge and skills from the Pre-Departure Training. They can also expand networking with key players in humanitarian industry in Malaysia, and and abroad.”

“We’re very delighted because our volunteers are recognised and recruited to work with several NGOs upon completion of this program,” the MyCorps team added.

4. MyCorps wants to produce 100 volunteer leaders each year.

MyCorps usually recruits and deploys 40–50 volunteers for each of their missions.

“Our main objective is to train and develop young humanitarian leaders. By exposing them to a very challenging environment abroad, the volunteers would be able to learn and expand their knowledge and skills greatly.”

“Indirectly, MyCorps volunteers also become Social Ambassadors in the mission country, and this will further strengthen the bond between the both countries,” the team said.

“We wish to leave behind a good name and create a Malaysian legacy throughout all the countries that we’ve been to.”

They recruited and deployed 39 volunteers for their Pilot Mission, 49 and 48 volunteers for their first and second missions in Cambodia respectively, 44 were deployed in the Middle East, 49 in South Asia, and 46 in Africa.

In total they’ve conducted 6 missions with 265 volunteers.

5. So far, they’ve sent volunteers to serve in 10 countries.

Since 2015, volunteers have been sent to serve in Cambodia, Turkey, Lebanon, Jordan, Sri Lanka, Bangladesh, and they’re also currently working in Sudan, Tanzania, Uganda and Kenya.

“One of the main reasons as to why we send help to other countries is that we create projects that benefits the communities in need.”

“Our purpose and aim is not a one-time programme but we aim to create projects that are sustainable even after we leave the country, for example income generating projects, educational projects, water catchment projects for better supply of water, etc,” the MyCorps team told Jireh’s Hope.

“In MyCorps we don’t believe in giving but we believe in empowering. The community will be involved in implementing the project because we want to encourage the sense of ownership from the very beginning, and they need to learn how to manage it without the assistance of the volunteers.“

6. Volunteers completely immerse themselves and experience the challenges the underprivileged communities often face.

“We’ve always placed the volunteers within communities that lack basic needs such as water and electricity. Our volunteers in Lebanon for example stayed in refugee camps, experiencing both cold weather and harsh environments along with its occupants,” the team mentioned.

“In Bangladesh, they showered in the water ponds like the locals do. This mutual experience not only allows them to understand the community better but helps them to connect and accepted by the community, thus, making it easier for them to work together.”

MyCorps however works with various government agencies in Malaysia like the Ministry of Foreign Affairs (MOFA) and embassies on both parts to ensure that the selected countries are safe enough for them to deploy their volunteers.

“While on the working ground, our local NGO partners are responsible to ensure safety and security of the volunteers. Of course, being away for 2 months is not an easy task but we trained them to work as 1 unit and to keep supporting each other.”

7. This year, MyCorps will be focusing on helping marginalised communities in Malaysia

“We call this project MyCorps @ Malaysia, and it is being run by MyCorps alumni who have completed their international deployment. They’ll work alongside the local community, various government, and non-government organisation to create sustainable projects all over the country,” the team promised.

“With the experiences they’ve gained from working abroad, we believe that our alumni can create great impact within our own community.”

At the same time, MyCorps will also be conducting two international missions just like the previous years.

You can follow their FB page to keep updated with their latest happenings.

This article was first published on Jireh’s Hope. You can read it here.

Also Read This Free Online Seminar Will Bring You From Noob To Property Investor In 5 Days

Feature Image Credit: MyCorps FB Page",https://vulcanpost.com/636574/mycorps-malaysia-humanitarian-training-social-impact/
3,sri+lanka,"Source: Xinhua| 2018-03-29 14:26:22|Editor: Liangyu

Video Player Close

COLOMBO, March 29 (Xinhua) -- Bank of China opened its first branch in Sri Lanka's capital Colombo on Wednesday evening.

Sri Lankan Prime Minister Ranil Wickremesinghe, who was the Chief Guest at the ceremony said the opening of the Colombo branch was an important step in strengthening the island's economy and it opened a new chapter in the modern history of bilateral relations.

""The Bank of China is opening in Sri Lanka at a time when Colombo city is transforming into a megapolis. Bank of China has a crucial role to play in helping this island by strengthening our local businesses while also being able to attract more Chinese investments into the country,"" Wickremesinghe said.

The prime minister added Bank of China's success was also a testament to the rapid economic growth of China in the past three decades and while it was the fourth largest bank globally, it would not be too long before it emerged as the leading bank in the world.

Governor of the Sri Lankan Central Bank Indrajit Coomaraswamy, speaking at the ceremony, hailed the entry of the Bank of China into Colombo as a ""major landmark"" in the history of the Sri Lankan economy.

He said the bank, with its large network of branches in China and other parts of the world, will not only help expand trade in Sri Lanka but help small and medium enterprises grow and tie up with manufacturers overseas as part of international supply chains.

Chairman of the Bank of China Wang Xiquan said that the hundred-year-old institution now has 600 branches overseas and links with 1,600 financial institutions across the world.

He said, the opening of its Colombo branch will mark the beginning of a new era for the Chinese financial industry to serve Sri Lanka and its Colombo branch was an opportunity to closely focus on the overall strategic cooperation between China and Sri Lanka.

Chinese Ambassador Cheng Xueyuan described Sri Lanka as a ""time tested friend"" of China and thanked Prime Minister Wickremesinghe for the support he had given to set up a branch in Colombo.",http://www.xinhuanet.com/english/2018-03/29/c_137074423.htm
4,sri+lanka,"During the violence in Kandy, which left three people dead and caused millions of dollars in damage, Kariyawasam emerged as one of the most prolific online activists reporting accounts with names such as ""Sinhala Racist,"" which claimed that Sri Lanka was ""the exclusive domain of the Sinhalese race."" But Facebook chose to not block that and many other accounts, she said, while hers was peppered with death threats.",http://www.latimes.com/world/asia/la-fg-srilanka-facebook-20180329-story.html
5,sri+lanka,"On March 29, this year’s iteration of the annual U.S.-led Pacific Partnership, the largest annual multilateral humanitarian assistance and disaster relief preparedness mission in the Asia-Pacific, moved to Southeast Asia beginning with Indonesia. The ongoing exercise has once again put the spotlight on the evolution of U.S. drills in the region as part of its broader defense engagement.

As I have noted before, there are a whole range of U.S. or U.S.-led exercises involving Asia in general and Southeast Asia and particular, from the Cooperation Afloat Readiness and Training (CARAT) exercise to the smaller Southeast Asia Cooperation and Training (SEACAT) exercise. Over the past few years, we have seen Washington and regional partners work on expanding some aspects of these exercises amid changing strategic realities (See: “What Did the Latest US Asia Maritime Security Exercise Achieve?”).

Pacific Partnership itself began in 2006 following the December 2004 tsunami that devastated parts of Southeast Asia. Led by the U.S. Navy in partnership with other like-minded countries and non-governmental organizations, it sees the combined force visiting several host nations every year and engaging in a variety of local outreach efforts to improve boost capabilities, build relationships, and bolster collective ability to respond to natural disasters.

The list of countries under the annual Pacific Partnership missions tends to feature a mix of continuity and change depending on the year. This year’s Pacific Partnership, which was planned for months culminating in the planning conference in mid-January, was set to feature military and civilian personnel from the United States as well as Canada, the United Kingdom, Australia, France, Peru, and Japan, with mission stops including Micronesia, Sri Lanka, Japan as well as a few Southeast Asian countries such as Indonesia, Malaysia, Thailand, and Vietnam out to June.

Several of the other distinguishing features we have seen in previous years were also set to continue this year, including the utilization of a multinational command-and-control structure (this year with a deputy mission commander from the United Kingdom and a mission chief of staff from Australia) and the highlighting of the role of women in HA/DR efforts in line with the Women Peace and Security Program initiative.

This year’s iteration of Pacific Partnership officially got underway in February, with the USNS Mercy departing the home port of San Diego on February 23, where it, along with the expeditionary fast transport ship USNS Fall River, would make separate mission stops as is usually the case.

On March 28, the U.S. Navy officially announced that Pacific Partnership was moving to Indonesia. The exercise activities in Bengkulu, Indonesia, which will last through April 12, will include civil engineering projects, conducting humanitarian assistance and disaster relief (HA/DR) readiness drills, and partnering in community outreach engagements in the local Bengkulu community.

But of the various Southeast Asian stops, the one that has grabbed the most headlines thus far has been the Vietnam one. That is no surprise. As I have been noting in these pages, the high level of activity in U.S.-Vietnam defense ties, with some historic moves including the recent visit of a U.S. aircraft carrier there, have focused more attention to naval interactions tied to the bilateral relationship (See: “Why a First US Aircraft Carrier Vietnam Visit Matters”).",https://thediplomat.com/2018/03/us-pacific-partnership-2018-moves-to-southeast-asia/
6,sri+lanka,"2018-03-24 06:05:47

UNP MP Ravi Karunanayake yesterday slammed the Central Bank saying it was responsible for the bond scam and the present economic crisis.

“The President, Prime Minister, the former president and the politicians are blamed for the economic crisis but no one speaks of the wrong doings which Central Bank officials are involved in"" the MP said.

He said the Central Bank officials were to be blamed for the interest rate hikes. “Can a person run a business by borrowing at 16 per cent,"" he asked.

Joint opposition MP Ranjith Soysa then asked whether the MP was saying that politicians should run the Central Bank and give the Officials of the bank to run the country,

“Sri Lanka will become another Uganda if Central Bank officials run the country,"" he said.

Mr Karunanayake said the main issue was that central bank officials remained though governments changed. (Yohan Perera and Ajith Siriwadana)",http://www.dailymirror.lk/147730/Ravi-blames-CB-for-economic-crisis
7,sri+lanka,"At the ongoing 37th Session of the United Nations Human Rights Council (HRC) in Geneva, Deputy UN High Commissioner for Human Rights Kate Gilmore reiterated her concerns over the slow progress on the human rights situation in Sri Lanka.

While presenting the High Commissioner’s report on promoting reconciliation, accountability, and human rights in Sri Lanka, Gilmore stated that in absence of willingness by the government to tackle impunity and gross violations of human rights, the High Commissioner’s office calls upon the member states to exercise universal jurisdiction.

The report specifically highlights the delays in constituting the long promised transitional justice mechanism on the atrocities and human rights abuses committed by both the Government of Sri Lanka and the Liberation Tigers of Tamil Eelam (LTTE).

The Deputy High Commissioner’s deepening concern comes from the continual lack of compliance in implementing the comprehensive transitional justice agenda originally mandated by the Council resolution 30/01 in 2015.

This 2015 resolution was adopted following the Office of the High Commissioner for Human Rights’ Investigation report on Sri Lanka (OISL) in 2015, concerning the grave human rights violations and related crimes committed by both parties during the conflict. Last year, at the 34th Session, Sri Lanka asked for a further extension of two years to fulfill its prior commitments to the HRC.

So what has Sri Lanka achieved so far? In the last two years, Sri Lanka self-sponsored resolution 30/1, which committed to: review and repeal the Prevention of Terrorism Act; establish a Truth, Justice and Reconciliation Commission; and set up an Office for Mission Persons and an Office for Reparations.

Unfortunately, until now the Sri Lankan government has only shown progress by setting up the Office for Missing Persons in September 2017, almost two years later, and the Office members were not appointed until two weeks before the presentation of the report in the current session.

The Sri Lankan Government has shown no sign of progress on setting up the Truth and Reconciliation Commission and Reparation Programme. The government had not yet made public the draft Bills for a Reparations Office and a Truth and Reconciliation Commission.

Furthermore, the Prevention of Terrorism Act is still in operation and used by the law enforcement agencies. In January 2017, the Committee against Torture noted that the Act is misused to curb the dissent of individuals and politicians and also restricted access to lawyers to facilitate enforced disappearances. Torture continues to be a common practice and is routinely used by police during investigations. The culture of impunity remains deeply entrenched in the system.

When ratifying the Convention on Enforced Disappearances, Sri Lanka had accepted the competence of the Committee on Enforced Disappearance (the Committee), but rendered the ratification ineffective by not accepting the individual complaint procedure; this would have allowed individual victims to file complaints to the Committee. Further, the domestic penal code is yet to criminalize enforced disappearance.

The report suggests that key preconditions for transitional justice remain unfulfilled. Assaults, death threats, surveillance and harassment of human rights defenders and victims of violations have continued.

The Sri Lankan government has been promising and seeking extension for implementation without showing any effective measures taken as echoed in the High Commissioner’s report. Furthermore, in repeatedly delaying and diluting the possibility of fixing accountability for gross violations of international human rights law and international humanitarian law, it is effectively ensuring impunity.

Victims of grievous harms remain voiceless and perpetrators can inhabit communities and go about their lives freely, thereby eroding the trust so vitally needed for sustained peace and development on the Island.

If Sri Lanka wants the international community to believe in its good intention, it must use the remaining period effectively and by 2019 implement the pledges made in the past. The government’s efforts must not aim to appease the international community but to fulfill its promise to its own minority that peace will be based on justice.",https://thediplomat.com/2018/03/transitional-justice-in-sri-lanka-from-denial-to-delay/
8,sri+lanka,"Leading News from Sri Lanka::

* Sri Lanka Navy takes delivery of the second advanced warship made in India

Fri, Mar 23, 2018, 10:30 pm SL Time, ColomboPage News Desk, Sri Lanka.

Mar 23, Goa: The Sri Lankan Navy on Thursday ceremonially took delivery of its second warship, built in India under a US$ 155 million contract inked for two such vessels.

The 2nd Advanced Offshore Patrol Vessel (AOPV) constructed at the Goa Shipyard Ltd (GSL) for the mission requirements of Sri Lanka Navy, was officially handed over in India yesterday (22nd March).

Sri Lankan High Commissioner to India, Chitranganee Wagiswara and Chairman and Managing Director of the GSL, Rear Admiral (Rtd) Sheker Mithal formally handed over the vessel to the Chief of Staff of Sri Lanka Navy Rear Admiral Neil Rosayro.

The construction work of the second AOPV commenced at the GSL in 2014 and the state of the art vessel is capable of conducting patrols, policing, reconnaissance, surveillance, search and rescue, Humanitarian Assistance and Disaster Relief (HADR) and pollution control missions in Sri Lanka's maritime zones.

The first AOPV built at the Goa Shipyard was commissioned by the President Maithripala Sirisena on 2 August 2017.",http://www.colombopage.com/archive_18A/Mar23_1521824446CH.php
9,sri+lanka,"Sri Lankan President Maithripala Sirisena on Wednesday reduced the responsibilities of Prime Minister Ranil Wickremesinghe in the backdrop of the ongoing political turmoil in the country.

The unity government of the Sri Lanka Freedom Party (SLFP) and the United National Party (UNP) was thrown into a crisis after former president Mahinda Rajapaksa’s new party pulled off a stunning victory in local elections seen as a referendum on the ruling alliance.

Sirisena removed the control of Central Bank of Sri Lanka from Wickremesinghe in a further manifestation of the political crisis the unity government is currently faced with.

The Securities and Exchange Commission, which was also under the Prime Minister, has been brought under the Finance Ministry by Sirisena.

The changes, which sources said were against the wishes of the Prime Minister, were published in a gazette notification issued today.

The move came ahead of the next week’s no confidence motion against Wickremesinghe handed by the Joint Opposition of Rajapaksa. It is to be debated on April 4.

Wickremesinghe’s action to bring the Central Bank under his control was one of the main charges in the no confidence motion which alleges that it was a deliberate action to commit the fraud in the issues of Central Bank bonds in 2015.

Wickremesinghe’s handpicked governor of the Central Bank Arjuna Mahendran’s son-in-law’s firm was accused of committing a fraud in Bond deals.

Mahendran was sacked by Sirisena in 2016 and a Commission appointed had ruled that Mahendran’s son-in-law’s firm had made undue profits due to Mahendran’s action of providing them with inside information.

Mahendran, a Singapore national, has been issued with an arrest warrant while his son-in-law and the CEO of the firm have been in custody since early February.

Rajapaksa’s new political party, Sri Lanka People’s Party (SLPP), defeated Sirisena’s SLFP and Wickremesinghe’s UNP, winning 225 councils or two-thirds of the 340 councils which went to polls in February.

After registering the landslide win, Rajapaksa was quick to demand a snap general election which is scheduled to be held after August 2020.

Since the defeat, Sirisena has been seeking the removal of Wickremesinghe as the prime minister, attempting to form his own SLFP government, analysts have said.

However, in the absence of required numbers, Sirisena has to accept Wickremesinghe, they said.

Wickremesinghe has said that the result of the local body polls was a wake up call for the government.",https://www.hindustantimes.com/india-news/sirisena-cuts-pm-s-duties-amid-ongoing-political-crisis-in-sri-lanka/story-xGOzbG8aJvlKlHqNz4gxJN.html
