,Concerning,Text,Title,URL
0,burundi,"• With support from UNICEF, 7,065 unaccompanied and separated refugee children have been provided with psychosocial support, referrals and access to basic services based on the Best Interest Determination.

• UNICEF in collaboration with partners ensured provision of safe water and sanitation facilities for 93,926 refugees including children in schools, Child Friendly Spaces and in health facilities.

• UNICEF supported the treatment of 265 children under five with severe acute malnutrition, and the cure rate was 81 per cent

• Between January and February, UNICEF supported vaccination of 2,936 refugee children against measles and polio to contain childhood illnesses.

• UNICEF and partners have supported the enrollment of 70,235 (65 per cent) of school aged children in pre and primary schools.

SITUATION IN NUMBERS

318,480

# of refugees and asylum seekers; Burundians and Congolese in three camps (UNHCR, January 2018)

181,534 (57 per cent)

# of refugee children in need of humanitarian assistance

70,066 (22 per cent)

# of under 5 children living in the three refugee camps

16,130

# of refugees voluntarily returned to Burundi of the 43,060 registered.

Situation Overview & Humanitarian Needs

Tanzania hosts the largest number of Burundian refugees in the region with a total of 318,202 refugees as of end January 2018. Over 234,000 are Burundian refugees hosted in three camps in Nyarugusu, Mtendeli and Nduta, and 84,202 are Congolese refugees who are also in Nyarugusu. The majority of the refugees from DRC have been in the country for the past 20 years. All the camps are overcrowded with overstretched basic services.

More than 60 per cent of the refugees are still in mass shelters. Children make up 57 per cent of the refugee population and more than 7,000 children are unaccompanied and separated. Protection concerns such as sexual and gender-based violence are significant. There is an inadequate number of schools, a shortage of water especially in Mtendeli camp, and health and nutrition facilities are overstretched. Malaria is the leading cause of morbidity, accounting for 33 per cent of all Out Patient Department (OPD) attendances.

No new asylum seekers have been received from Burundi in 2018, but Tanzania received over 2,000 refugees from the Democratic of Congo between November 2017 and January 2018. Voluntary repatriation of Burundian refugees resumed in the second week of February 2018, and so far 2,460 refuges have been assisted to voluntary return between January and February 2018. This makes a total of 16,130 refugees repatriated out of the registered 43,060 since the commencement of the assisted Voluntary return in September 2017.

Kigoma is endemic to cholera due to recurring outbreaks. The latest outbreak started in November 2017 that affected over 300 people was brought under control in January 2018. Cholera is still a major threat in the refugee camps and host communities. There were a few suspected cholera cases reported from the new asylum seekers arriving from DRC at Kibirizi reception centre in January 2018 who were admitted at Gungu CTC and later discharged.

Under the coordination of the Resident Coordinator’s Office, UNICEF continues to support the refugee hosting districts in Kigoma region through the UN Kigoma Joint Programme and is leading two Outcomes; Violence against Women and Children (VAWC) and Water, Sanitation and Hygiene (WASH). In addition, UNICEF is part of outcome 4: Empowering adolescent girls through education. The government notified all development partners on 23 January 2018 that they will no longer continue to engage in the pilot initiative under the Comprehensive Refugee Response Framework (CCRF). UNICEF and partners will continue to engage with the government to ensure that the refugee response and the needs of host communities are addressed holistically.

While the socio-political situation in Burundi and DRC remains unpredictable, cross–border influxes are expected to continue throughout 2018. Without counting new arrivals and even with the ongoing voluntary repatriations, the refugee population continues to grow with over 1500 babies born every month in the three camps.",Tanzania Humanitarian Situation Report (January - February 2018),https://reliefweb.int/report/united-republic-tanzania/tanzania-humanitarian-situation-report-january-february-2018
1,burundi,"Bujumbura — ILL-equipped humanitarian groups fear a deadly outbreak of diseases after over 800 pit latrines overflowed following heavy rains in southern Burundi.

Some 500 latrines in the village of Gatabo and 300 latrines in Buga village of Kayogoro Commune in Makamba province have overflowed in the wake of the inclement weather last week.

The dirty water from these latrines poured into these neighboring villages and residents who are fearing for their health.

Volunteers from the Burundi Red Cross have mobilise themselves to sanitise the affected localities but are ill-equipped.

""The Makamba Branch faces an insufficient stock of aquatabs and chlorine for water treatment at home as well as pumps, overalls and boots to successfully perform the spraying activities,"" said a spokesperson.

The lack of sufficient equipment also hinders the conduct of hygiene awareness sessions.

Heavy rains have pummeled the entire East African country in recent days.

Last week, a least four people, including three children, drowned in the floods afflicting the capital Bujumbura.

Hundreds of residents have been left homeless.

Over 50 people were injured when a landslide caused by heavy rain left at least six people dead in Bujumbura in March. - CAJ News",Burundi: Collapsing Toilets Spark Disease Fears,http://allafrica.com/stories/201804300487.html
2,burundi,"An official of Burundi's ruling party was sentenced to three years in jail on Monday for urging government supporters to throw opponents into a lake ahead of a May 17 referendum on extending President Pierre Nkurunziza's term in office.

Authorities in Burundi arrested Melchiade Nzopfabarushe after he made the comments on Sunday at a party rally in his native village.

Nzopfabarushe was summarily convicted of making a ""verbal threat against the population, inciting people to revolt against the administration and the spreading of rumours"" in a rare punishment for a ruling party official.

His lawyer told reporters his client would appeal against the judgment.

The incident came amid increased political jitters in Burundi, whose modern history has been marred by ethnically-charged civil war.",Burundi jails official for saying president's foes should be thrown in lake,https://www.timeslive.co.za/news/africa/2018-04-30-burundi-jails-official-for-saying-presidents-foes-should-be-thrown-in-lake/
3,burundi,"JOHANNESBURG — The United States is denouncing “violence, intimidation, and harassment” in Burundi against people thought to oppose a referendum this month that would allow the president to stay in power for another 14 years.

The State Department statement expressed concern about the “non-transparent process” of changing the constitution in the May 17 referendum. It says incumbents’ efforts to stay in office beyond term limits weaken democratic institutions.

The East African nation has seen political violence since President Pierre Nkurunziza sought a disputed third term in 2015. An estimated 1,200 people have been killed. More than 400,000 people have fled the country.

The referendum’s proposal could extend the president’s term from five years to seven, meaning Nkurunziza could rule for another 14 years when his current term expires in 2020.

Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",US denounces Burundi violence ahead of referendum on power,https://www.washingtonpost.com/world/africa/us-denounces-burundi-violence-ahead-of-referendum-on-power/2018/05/01/7d164ece-4d4a-11e8-85c1-9326c4511033_story.html
4,burundi,"Spotlight

Conflicts in Africa often reflect a breakdown of peace agreements that have been methodically dismantled by politicians intent on evading checks on power while oversight is weak. Vigilance is vital as early progress is not a guarantee of long-term success.

Many of the conflicts in Africa today are resumptions of earlier conflicts. These conflicts, therefore, reflect a breakdown, to some degree, of previously negotiated peace agreements. A review of the experiences from three of these cases—Lesotho, Burundi, and the Democratic Republic of the Congo—offers lessons that can help inform future such accords.

Coalition-Building in Lesotho

For decades, Lesotho’s political system used the first-past-the-post electoral system as a means of selecting leaders. Owing to poorly designed voting districts, this method generated outcomes where winning parties gained a disproportionate share of parliamentary seats and left losers without representation. Lesotho had already experienced coups in 1970, 1986, 1991, and 1994 when the 1998 elections sparked yet another crisis as a result of the then–ruling Lesotho Congress for Democracy winning 79 of 80 parliamentary seats despite garnering only 60 percent of the vote.

Anger over this lopsided result culminated in a violent coup attempt and weeks of fighting between soldiers linked to the opposition and regional peacekeepers. The Southern African Development Community (SADC) established an Interim Political Authority (IPA) to oversee reforms that would break Lesotho’s cycle of instability. Among them was adoption of a mixed member proportional (MMP) electoral system that expanded parliament to 120 seats—80 contested through first-past-the-post voting (tied to constituencies) and 40 filled using proportional representation—to ensure that the number of seats held by each party would more or less reflect its proportion of the national vote.

The MMP was intended to compensate for the underrepresentation of political parties seen in the previous system, a key driver of the crisis in 1998. The 2002 polls, the first to implement the new process, saw a significantly higher voter turnout, gave smaller parties a voice in government, and introduced more equitable representation. The new system also limited single-party dominance by creating incentives for competitors to create coalitions once elected.

What Went Wrong?

Despite these reforms, Lesotho saw an election marred by allegations of massive fraud and violent riots in 2007, a coup attempt in 2014, the attempted assassination of Prime Minister Tom Thabane in 2015, the murder of two army chiefs of staff and several senior police officers in 2015 and 2017, and numerous clashes between elements in the army and police loyal to political factions. What happened?

Politicians began to find loopholes in the new rules that allowed them to manipulate the electoral system to gain greater control of government than was allowed. For instance, one provision of the SADC-negotiated system stipulates that the more first-past-the-post seats a party wins, the fewer it can earn through proportional representation. Thus, bigger parties began to forge coalitions with smaller surrogates and fraudulently field the same people on two separate ballots. This undermined the integrity of the entire system and the legitimacy of election results.

Another frequently used tool is “floor crossing”—when members switch party allegiances on the floor in Lesotho’s highly factional parliament. Through floor-crossing, disgruntled members can punish their parties by depriving them of numbers, engineering new opposition coalitions—most of them short-lived—and forcing elections. Members of the military aligned to different factions are often background players in these schemes, pledging allegiances on party lines and preferred election outcomes. In Lesotho, floor-crossing has been a fundamentally destabilizing tactic that has led to the collapse of three governments since 2012. The result has been political leaders effectively operating under the old rules in the pursuit of power.

Power-Sharing in Burundi

The August 2000 Arusha Peace and Reconciliation Agreement sought to put an end to Burundi’s recurring episodes of conflict, including two genocides and a 13-year civil war that killed more than 300,000 civilians. Its protocols on power sharing, checks and balances, equitable participation in government, and equal representation in the military were designed to encourage coalition-building across ethnic lines, minority overrepresentation as a security provision, and accountable governance.

The idea of imposing institutional caps to discourage the concentration of power in a single party was borrowed from the Lesotho model, and indeed, some of the drafters of the IPA arrangements also drafted the Arusha Accords. Under the new system, the ruling party and its allies cannot control more than 67 percent of central and local government posts and 60 percent of national institutions even if they secure majority votes. In the military, not more than 50 percent can be drawn from any one ethnic group in view of the need to achieve ethnic balance and inclusion. Furthermore, the Ministry of Defense, which oversees all aspects of the military, was made institutionally independent from the rest of the executive branch to protect it from interference and partisan politics.

What Went Wrong?

While the Arusha Accords are widely credited with advancing peace, stability, and reform in Burundi for more than a decade, the situation has sharply deteriorated since 2015. The crisis triggered by President Pierre Nkurunziza’s quest for a disputed third term generated protests, a failed coup, thousands of deaths, and the discovery of several mass graves. Government officials are being investigated for crimes against humanity, and more than half a million citizens have fled the country or been internally displaced.

The first signs of trouble in Burundi appeared in 2006, just a year after the Implementation Monitoring Committee wound up its work. Elements of the military, intelligence, and police carried out a wave of targeted killings in an attempt to suppress opponents. This pattern would repeat itself in 2008 and in the run-up to the 2010 and 2015 polls.

In 2016, a state commission aligned with the ruling party recommended the lifting of presidential term limits and reverting to a majoritarian system—effectively dismantling the Arusha Accords. The changes would allow the ruling party to gain majority control at the local, provincial, and national level.

Other changes dilute the independence of the Defense Ministry, give the ruling party greater control over the force, and create auxiliary forces that many fear provide a cover to formally integrate the state-sponsored ethnic militia, the Imbonerakure, into the security sector. These sweeping changes will be put before a referendum on May 17, 2018, despite warnings by the African Union (AU) that the breakdown of these Accords will lead to civil war.

Regional guarantors that helped shape the Arusha Accords and usher in their implementation have, however, failed to act to stop them from unraveling. The United Nations and African Union have condemned the government’s moves and accused the Imbonerakure of conducting widespread mass atrocities. Yet, little action has been taken to back up their reproaches. In January 2017, the AU reversed an earlier decision to deploy a protection force into Burundi to avert mass atrocities following the killing of more than 300 people in a single day in the capital, Bujumbura. Both the AU and UN have failed to secure the consent of the Burundian authorities to deploy unarmed police units to create a protective presence on the ground short of deploying a peacekeeping force. The UN closed its political mission in 2014, and peace talks led by the East African Community remain frozen largely due to disagreements among member states.

The upshot has been that the ties intended to sustain the Arusha Accords have been insufficient to withstand the pressures to break out of the agreement.

Checks and Balances in the Democratic Republic of the Congo

The 2002 Sun City Accords that negotiated the end of the Democratic Republic of the Congo’s devastating civil wars created a powerful legislative branch to act as a crucial check on power of the executive branch and overcome the legacy of kleptocratic rule dating back to DRC’s independence. The government at the time was a minority in the new parliamentary set-up, with 94 out of 500 seats. The rest were held by opposition parties and civil society, with the former controlling the strategic Office of the Speaker and the latter the oversight committees. Because of its minority status, the ruling party was forced to build coalitions. By the end of the Accords’ interim period in 2006, a culture of accountability was taking root, with the new parliament starting to conduct rigorous oversight of the presidency. By early 2009, parliamentarians had raised more than 43 oral questions of government officials and state-owned firms, prompting 28 independent investigations into misconduct.

What Went Wrong?

By the middle of 2009, loyalists of President Joseph Kabila had contrived to remove the Speaker to frustrate investigations into the executive branch. The next year, they were able to increase their share of seats to 341 through gerrymandering and patronage. This supermajority allowed them to then push through a raft of partisan bills tilted in Kabila’s favor, including a bill scrapping the two-round runoff rule and another allowing Kabila to remain in office if elections were delayed. The former allowed Kabila to win the 2011 polls with just 49 percent of the vote while the latter provided a veneer of legitimacy for his continued stay in office after his second term had expired in December 2016.

The Constitutional Court called for in the Sun City Accords only became operational in 2015—10 years after its creation. All of its judges are Kabila loyalists (three elected by him, three by the regime-dominated parliament, and three by the judicial council, which is staffed by ruling party cadres). In 2016, it ruled that the bill allowing Kabila to stay in office in case of a poll delay was constitutional. That same year, the Supreme Court allowed him to appoint governors to 26 new provinces created under a 2006 constitutional provision to divide the country’s 11 provinces. Its sudden and chaotic implementation 10 years later guaranteed that elections would not be held on time.

When Kabila predictably refused to step down at the end of his two-term limit, it galvanized many of the estimated 70 armed groups currently active in anti-government strongholds in the east, Kasai, and Katanga and has sparked widespread protests and government crackdowns.

Lessons

A key takeaway from this review is that successful peace agreements are anchored on leaders honoring their commitments. This was the case in the South African, Namibian, and Mozambican peace processes. However, such committed leadership cannot be assumed. In Lesotho, Burundi, and DRC, political leaders methodically dismantled key elements of the agreements that they saw as impediments to their pursuit of power. Regional and international partners, in turn, failed to enforce the peace processes’ provisions when these were being violated. This underscores the indispensable role that external guarantors play in the years after an agreement is signed. This is more than a perfunctory responsibility.

Given the tendency of political elites to challenge new norms and revert to entrenched legacies of malpractice, institutional strengthening and robust oversight are fundamental ingredients in the success of peace agreements. Yet, nearly all countries emerging from conflict have weak institutions.

Peace agreements, therefore, must be explicitly bolstered and protected against anticipated executive branch interference. In short, domestic political actors will want to test these limits. Experience shows that clear, early responses from guarantors to these tests is warranted to keep peace processes on track.

Agreements should include strong protections of civil liberties since civil society and the media play a critical role in providing domestic oversight and upholding institutions. Restrictions on civil society and the media, therefore, should be an early warning signal to external actors of threats to the implementation of the peace process. Protections of civil liberties should be accompanied by clearly defined and strict term limits for political leaders. Such limits are especially important in these early years when norms of succession have not yet been established and restraining institutions are weak.

Another important lesson that emerges from these cases is that successful consolidation of peace agreements takes time. Early progress is not a guarantee of long-term success. As sustaining the peace process relies on resilient institutions, success requires ongoing engagement by domestic, regional, and international actors. This consolidation process typically requires at least a decade.

Regional enforcement through collective action may appear cumbersome. However, as the cases cited above show, inaction opens the seam for the unravelling of the rest of what may be a well-knit peace agreement. The cost of this inaction, moreover is invariably higher—for the designated country and its neighbors.

Africa Center Experts

Joseph Siegle, Director of Research

Dorina Bekoe, Associate Professor of Conflict Prevention, Mitigation, and Resolution

More on: Conflict Prevention or Mitigation​ Burundi​ Democratic Republic of Congo​","When Peace Agreements Fail: Lessons from Lesotho, Burundi, and DRC",https://africacenter.org/spotlight/when-peace-agreements-fail-lessons-from-lesotho-burundi-and-drc/
5,burundi,"IOM, the UN Migration Agency, has successfully decommissioned four internally displaced persons (IDPs) camps in Burundi: Cashi, Gitaza, Mushasha I and Mushasha II. The four camps have been home to 5,022 people – including over 4,000 women and children – who were victims of natural disasters, including landslides and floods, that greatly impacted parts of western Burundi in 2015 and 2016. The decommissioning process began in January 2018 to improve the living conditions of IDPs in these displacement camps.

When flash floods swept her home away, Julienne, a mother of eight was among those displaced to Gitaza camp where she lived for two years. “We were in very poor conditions, in torn down tents as small as bird nests. With eight children, it was very tough,” she explains.

The natural disasters not only forced people to seek shelter in the camps, but also to abandon their initial source of livelihoods such as agriculture, commerce and other income-generating activities. They were robbed of their means to support their families, leading to widespread food insecurity and eventually, malnutrition. IDPs learned to adapt to their new lives to the best of their ability, despite the difficulties of the living conditions inside the camps.

“This place caused a lot of diseases, particularly amongst children. There was a lot of malaria, diarrhea, and lack of hygiene because of many people living together. It was very difficult,” says Julienne.

Although the camps were initially established as temporary solutions for the region’s displaced populations, budgetary constraints and various external challenges caused them to remain active well beyond the intended sixmonth duration. The tents quickly became tattered as they bore the brunt of Burundi’s harsh weather, including torrential rain and wind. The deterioration of the tents left families exposed and contributed to the spread of diseases within the camps.

With the support of the Swedish government, in collaboration with the Government of Burundi and humanitarian actors, more than 5,000 of Burundi’s most vulnerable IDPs are receiving shelter support, aid packages, transportation and reintegration assistance – providing them not only with a roof over their heads but more importantly, giving them hope for a better tomorrow.

Julienne could not hide her joy at having a new home. “I am now excited to have a house, a room for children, a room where I can relax and a room for guests. I was no longer able to host visitors as there was no room for them,” explains Julienne. “We are now very grateful that we are going to have enough space, a toilet for each household and enough security.”

A palpable sense of delight could be felt at the ceremony held to mark the end of the camp decommissioning process. “I am so grateful and joy overflows my heart and I feel exceeding peace to see this work happening,” said Julienne.",Decommissioning Burundi’s IDP Camps: A Story of Hope,https://reliefweb.int/report/burundi/decommissioning-burundi-s-idp-camps-story-hope
6,burundi,"BUJUMBURA, May 1 (Xinhua) -- At least 15 persons were injured in a grenade explosion that happened on Monday night in Kayanza province, northern Burundi, a police spokesman said Tuesday.

An unidentified criminal blasted a grenade around 7 p.m. at Karurusi village in Gatara district, said Burundian Police Spokesman Dismas Manirakiza, adding that seven of the injured were wounded seriously.

Manirakiza said one suspect, identified as a soldier who was recently in the African Union Peacekeeping Mission to Somalia (AMISOM), has been arrested.",Grenade explosion injures 15 in northern Burundi: police - Xinhua,http://www.xinhuanet.com/english/2018-05/01/c_137149211.htm
7,burundi,"A Burundian activist was sentenced on Thursday to 32 years in prison for taking part in protests against President Pierre Nkurunziza, sources said, a punishment rights groups said was ""eminently political"".

Germain Rukuki was given ""32 years of penal servitude"" at Bujumbura's district court, a civil society member who was at the hearing told AFP on condition of anonymity, adding that neither Rukuki, who is in detention, nor his lawyers were present at the hearing.

A judicial source confirmed to AFP Rukuki was convicted for ""having participated in an insurrectional movement in order to change the constitutional regime, to have participated in the assassination of police and soldiers from 13 May 2015 and to have defaced both public and private property"".

Burundian authorities use the term 'insurrectional movement' to describe the unrest against the controversial decision of President Pierre Nkurunziza to run for a third term in 2015, which he won in July that year.

Hundreds of Burundians have since been convicted on the charge.

The announcement of Nkurunziza's candidacy in April 2015 plunged Burundi into a political crisis that has left at least 1 200 people dead and more than 400 000 displaced, and on which the International Criminal Court has opened an investigation.

Prosecutors on 6 April called for Rukuki to be given a life sentence, while his defence lawyers pleaded for his acquittal.

Rukuki was arrested on 13 July 2017 by the feared National Intelligence Service (SNR) and held in isolation in Bujumbura for over a month before being transferred to Ngozi Prison in the north of the country, where he has been detained ever since.

Justine Duby from the International Federation of Human Rights (FIDH) said: ""The conviction of Germain Rukuki for 32 years in prison is one of the heaviest sentences ever pronounced in Burundi against a human rights defender and this decision, which falls three years to the day after the outbreak of the Burundian crisis, is eminently political.

""It is a message from the authorities to all those who dare to oppose the regime and denounce the crimes it commits, one month before a highly disputed constitutional referendum.""

The referendum, scheduled for the 17th of May, would allow 54-year-old Nkurunziza, president since 2005, to stay in power until 2034.

* Sign up to News24's top Africa news in your inbox: SUBSCRIBE TO THE HELLO AFRICA NEWSLETTER

FOLLOW News24 Africa on Twitter and Facebook",Burundi activist given 32 years for anti-president demo,https://www.news24.com/Africa/News/burundi-activist-given-32-years-for-anti-president-demo-20180427
8,burundi,"Hundreds of Burundians have since been convicted on the charge.

A Burundian activist was sentenced Thursday to 32 years in prison for taking part in protests against President Pierre Nkurunziza, sources said, a punishment rights groups said was ""eminently political"".



Germain Rukuki was given ""32 years of penal servitude"" at Bujumbura's district court, a civil society member who was at the hearing told AFP on condition of anonymity, adding that neither Rukuki, who is in detention, nor his lawyers were present at the hearing.



A judicial source confirmed to AFP Rukuki was convicted for ""having participated in an insurrectional movement in order to change the constitutional regime, to have participated in the assassination of police and soldiers from May 13, 2015 and to have defaced both public and private property"".



Burundian authorities use the term 'insurrectional movement' to describe the unrest against the controversial decision of President Pierre Nkurunziza to run for a third term in 2015, which he won in July that year.



Hundreds of Burundians have since been convicted on the charge.



The announcement of Nkurunziza's candidacy in April 2015 plunged Burundi into a political crisis that has left at least 1,200 people dead and more than 400,000 displaced, and on which the International Criminal Court has opened an investigation.



Prosecutors on 6 April called for Rukuki to be given a life sentence, while his defence lawyers pleaded for his acquittal.



Rukuki was arrested on 13 July 2017 by the feared National Intelligence Service (SNR) and held in isolation in Bujumbura for over a month before being transferred to Ngozi Prison in the north of the country, where he has been detained ever since.



Justine Duby from the International Federation of Human Rights (FIDH) said: ""The conviction of Germain Rukuki for 32 years in prison is one of the heaviest sentences ever pronounced in Burundi against a human rights defender and this decision, which falls three years to the day after the outbreak of the Burundian crisis, is eminently political.



""It is a message from the authorities to all those who dare to oppose the regime and denounce the crimes it commits, one month before a highly disputed constitutional referendum.""



The referendum, scheduled for May 17, would allow 54-year-old Nkurunziza, president since 2005, to stay in power until 2034.",Burundi activist given 32 years for anti-president demo,https://www.newvision.co.ug/new_vision/news/1476505/burundi-activist-anti-president-demo
9,burundi,"MOGADISHU, Somalia - Somali President, Mohamed Abdullahi Farmajo has on Sunday called off his planned trip to Burundi on Sunday to coordinate flood relief efforts at home, Garowe Online reports.

The President was scheduled to attend the final match of the 2018 U-17 CECAFA tournament between Somalia and Tanzania that will be played on Sunday, April 29 in Gitega, Burundi, according to sources at Villa Somalia.

The Federal government of Somalia dispatched a high-level delegation to Burundi on Saturday to encourage the under -17 national soccer team win the CECAFA Cup for the first time ever.

Farmajo is expected to spearhead the 22-member of National Disaster Response committee to respond the humanitarian catastrophe in some parts the country as result of the floods.

The UN and International aid agencies say ""hundreds of thousands"" were left homeless as a result of torrential rains and floods that hit the central and southern regions of Somalia.

Beledweyne, the regional capital of Hiran is the most flood-hit city in central Somalia, where more than 100,000 of people are now in dire need of humanitarian aid after the river flooding washed away their houses.

The local health officials say thousands of flood victims, mostly children are at risk of water-borne diseases.

As the situation worsens, HirShabelle State President, Mohamed Abdi Waare while standing in the water appealed the International aid agencies and Somali government to urgently respond and help the flood victims to avert further suffering.

GAROWE ONLINE",Somalia: Farmajo cancels trip to Burundi because of floods,https://www.garoweonline.com/en/news/somalia/somalia-farmajo-cancels-trip-to-burundi-because-of-floods
