,Concerning,Text,Title,URL
0,cameroon,"The unrest in Cameroon's English-speaking areas continues as separatists attack government officials and soldiers burn villages. DW's Adrian Kriesch reports many are now looking to the Catholic Church for help.

Agbor Gilbert Ebot has slept no more than two hours, he is exhausted.

Nevertheless, the organizer of the Cameroon International Film Festival has been up since 6 a.m, headed to the police station in Buea, capital of the Southwest region of Cameroon, in the pouring rain.

read more: Both sides in Cameroon's escalating separatist crisis turn on journalists

Three members of an actors' workshop were forced to spend the night at the station because they had forgotten their papers. ""If you go to the bathroom, or just walk from the living room to the kitchen, you need to bring your ID card,"" Ebot says, adding that security forces don't take infringements lightly; they immediately arrest people and put them behind bars. Ebot negotiates with the police, and a few hours later, the acting students are free to go again.

Raking in money during the crisis

Most Buea locals have similar stories to tell. Ever since the conflict in Cameroon's English-speaking areas escalated, security forces are omnipresent. Truckloads of heavily armed soldiers patrol the city at night. It's a militarized state, says a local journalist who asked to remain anonymous for fear of reprisal. Residents suspected of being members of the so-called Ambazonia Defense Forces who are fighting for independence from Yaounde are arrested all the time, he says, adding that he has visited people held at the police station, where the conditions are a disaster. Those detained could not expect an actual trial, and bribes to get them released are common, the reporter told DW. ""A lot of money is being made from this crisis.""

The country's colonial past is still today behind the tensions.

Cameroon gained independence in the 1960s, when the former French-speaking mandated territory was joined with the English-language regions. The country has two official languages, two education systems, two legal systems. However, the minority in the Anglophone southwest has felt disadvantaged and marginalized for years. In 2016, lawyers in the English-speaking region took to the streets, followed by a teacher strike and more protests. The government ignored their demands and instead reacted with a security crackdown. Several protesters were killed, the Internet was switched off for three months while strikes paralyzed schools, and businesses closed one day a week for special ""ghost town days.""

President declares war on separatists

Paul Biya, Cameroon's President who's been in power for more than 35 years, instituted a Commission for Bilingualism and Multiculturalism, but many English-language speakers argue that is not enough. Demonstrations flared again in late 2017, and security forces killed at least 40 people. The protest became radicalized, various separatist groups formed, killing security and state officials they believed to be police informers. The president has since declared war on the separatists.

read more: Cameroon's private media defy ban on political debate

Now the battles lines are drawn. More than 100 civilians and 40 security officers have died. The International Crisis Group (ICG) has urged the Catholic Church to mediate in the conflict. The church represents one out of three Cameroonians, it is a powerful force.

""I agree, but it will be very difficult under the present circumstances,"" Buea bishop Emmanuel Busho told DW, adding that the top authority in the country isn't prepared to enter into a dialogue. ""They are trying to dictate the conditions for a dialogue but we believe we need to speak as equals - if you pose conditions, there can be no dialogue.""

Church is divided

The government has refused to speak to the radical groups. DW asked for but was not granted an interview with a government representative. In 2016, the Catholic bishops wrote the president a letter detailing the Anglophone Cameroonians' worries but the government accused the bishops of fueling the conflict. Moreover, even the Francophone and the Anglophone bishops don't see eye to eye. ""We trust the Catholic Church in the Anglophone areas, but not the bishops in the French-speaking areas,"" an activist who supports the separatists told DW. The Francophone bishops are regarded loyal to the government he added: ""Before the crisis, both chose sides.""

Whether or not the church can act as mediator will depend on whether the bishops can agree. If they can't, the conflict threatens to escalate further. Separatists have told DW they would do everything in their power to prevent presidential elections scheduled for October — hoping to force the government to the negotiating table.",Cameroon: Can the Catholic Church Mediate in the Anglophone Crisis?,http://allafrica.com/stories/201805080211.html
1,cameroon,"Cameroonians swept up in a conflict between anglophone separatists and the government are facing a humanitarian crisis, aid groups say as they struggle to reach people in remote areas that have become virtually off-limits.

They have ""numerous humanitarian needs"", said Allegra Maria Del Pilar Baiocchi, the UN's humanitarian coordinator for Cameroon. ""Beyond the violence, (the crisis) has an impact on health, on employment,"" she told AFP.

Separatist ambitions have long simmered in two minority anglophone regions in the west of the country, where people complain of being marginalised by the French-speaking elite.

The push for separation was galvanised by a heavy deployment of government troops last August, spurring a low-intensity conflict with sporadic attacks on symbols of the state.

""As with any armed conflict, civilians suffer the consequences of the violence, insecurity and fear,"" said Alberto Jodra Marcos, who heads the Swiss branch of the humanitarian group Doctors Without Borders (MSF) in Cameroon.

According to UN estimates, tens of thousands of people are internally displaced in the English-speaking regions of Cameroon, a one-time German colony that was divided between France and Britain after World War I.

In the worst-hit areas of Mamfe and Kumba in the southwest, some 40,000 people are estimated to have fled their homes.

But some fear the numbers affected could be much greater, with one humanitarian worker saying it was impossible to quantify the displacement given the limited access. The government has imposed curfews on civilians in both regions, and aid groups are rarely allowed in.

'War situation'

""It's difficult for organisations like ours to carry out missions on the ground,"" said Agbor Bala Nkongho, director of the NGO Centre for Human Rights and Democracy in Africa. ""We are in a war situation. We can't send people everywhere.""

As well as those who are internally displaced, many Cameroonians have fled the violence to neighbouring Nigeria. SEMA, a Nigerian relief agency, said some 34,000 have taken refuge in Nigeria's Cross River State.

The state has said it will set up and fund a refugee camp with UN backing, but for now local communities are sheltering the majority of the Cameroonian refugees, according to SEMA chief John Inaku.

""The situation is very difficult for us,"" said Peter Kechi, the village chief of Bashu, which is some five kilometres (three miles) from the border and whose population has ballooned from 1,500 to 4,000 in a few months.

""We are taking refugees into our homes and our bedrooms, with sometimes 20 people sleeping in the same room,"" Kechi said.

Locals say the refugees cross the border on foot through heavily forested mountainous areas, making it difficult to record their arrival.

The UN has registered 20,485 Cameroonians in Nigeria, according to Baiocchi, who added that ""the arrivals are continuing"".

Following a fact-finding mission in Cameroon's anglophone regions, ""we know more or less where the needs are... the next step is how to respond to them,"" she said, reached by telephone from the Gabonese capital Libreville.

Jodra Marcos of MSF said its workers had carried out training on how to care for the ""wounded and traumatised"" and donated medicines and equipment in anglophone areas.

However, ""many communities (are) in a precarious situation"" after staff have fled and some clinics have closed, he noted.

Separatists have been blamed for the torching of schools in the areas, while aid groups and residents also regularly accuse the army of carrying out abuses against civilians.

Early this month a human rights activist charged that soldiers killed several civilians by setting fire to their homes.

A security source, for his part, accused ""some aid groups"" of spreading disinformation.

The government in Yaounde has repeatedly denied accusations of excessive violence and extortion.

Date created : 2018-04-13",Cameroon's isolated Anglophones face humanitarian crisis,http://www.france24.com/en/20180413-cameroon-isolated-anglophones-english-speaking-humanitarian-crisis
2,cameroon,"Highlights

UNHCR appreciates the contribution of EUR300,000 by the European Commission's department for overseas humanitarian aid (ECHO) towards the response to the Cameroon refugee situation in Nigeria.

NCFRMI and UNHCR completed registration in Sardauna LGA, Taraba state on 20 April bringing the total figures of Cameroonian refugees in Nigeria to 21,291. In Boki LGA, Cross River, seven new villages are reportedly hosting an unverified number of new refugees. UNHCR and NCFRMI are planning registration missions to the said villages.

On 24 April, UNHCR chaired the monthly technical coordination meeting in Calabar on Cameroonian refugees to assess the multi-sectoral response to the refugee influx in Nigeria’s southeastern states. As key outcomes of the meeting, the Ministry of Health (MOH) committed to taking measures to ensure that refugees receive free primary healthcare services in Cross River state. Also, the Cross River state Primary Health Care Development Agency indicated that it is recruiting additional healthcare workers to meet increasing demand as a result of the refugee influx across the state.

The UNHCR Office organised a two-day training for partners from 26 to 27 April in Ikom LGA. Some 25 UNHCR partner staff including, BENGONET, FJDP, HIFAS, Rhema-Care, Caritas and Mediatrix, took part in the training, which focused on strengthening their knowledge on humanitarian principles, protection monitoring, prevention of sexual exploitation and abuse, among others. Meanwhile, a registration training was organised from 25 to 27 April for 10 NCFRMI staff. These trainings aim to enable an effective response to the Cameroon refugee situation.

UNHCR Response

During the reporting period in Cross River state, UNHCR partner, HIFAS, provided health care assistance to 17 refugees referred to three health centres in Ikom and Etung LGAs. The Ikom LGA has provided power supply for the borehole water pumping system at the transit shelter in Ikom as a temporary measure to assist some 300 refugees.

The absence of specialized healthcare services at referral health centres in Oban and Akamkpa LGAs will lead to referrals of special health cases to tertiary health centres in Calabar LGA. This will result in higher transportation costs and require an increase in health response envelope.

Negotiations for a refugee relocation site in Sankwala, Obanliku LGA were concluded during the reporting period. UNHCR partner, Rhema-Care, requested that local authorities seal the deal with a formal letter indicating the donation of the land site.

Some 171 unregistered refugees were identified during protection monitoring in Cross River. It was also noted that refugees in Cross River are undertaking secondary movements within the state in search of assistance and better living conditions. Meanwhile, new arrivals were reported in Boki, Ikom, Etung, and Akamkpa LGAs.

Despite response to the refugee influx in Cross River, gaps in assistance remain significant. The refugee shelter in Amana and Ikom are overcrowded and needs identified include lamps, mattresses, blankets and kitchen sets.

In Benue, Kwande LGA, UNHCR and partners undertook a multifunctional team mission to Abande and Anyake villages, Kwande LGA, on 2 May to continue refugee sensitization on relocation and mobilize host community support for relocation. The team included partners namely, MSF, FJDP, BENGONET and SEMA. Two bridges in the host community on the relocation route need urgent repairs. Host community requested renovation of the school where refugees are hosted and a borehole, among others, as a demonstration of appreciation for hosting the refugees.

The relocation of the refugees in Abande is tentatively set to start on 15 May, meanwhile, the digging of five wells has begun at the location, where three of the wells will serve the host community and two will serve the refugees.",Nigeria – Flash Update - Nigeria/Cameroon situation 23 April - 4 May 2018,https://reliefweb.int/report/nigeria/nigeria-flash-update-nigeriacameroon-situation-23-april-4-may-2018
3,cameroon,"The situation in the two English-speaking regions of Cameroon was not at its best over the weekend with several incidents recorded though calm has gradually returned to most parts.

It is the case in Buea this morning where denizens got up to a relative calm after sounds of gunshots were heard in the town on Sunday night though it is still unclear who were the authors.

It is the same calm reigning in Belo, North West Region of Cameroon as reports from the area say the Divisional Officer of the locality Nkongho Nicholas Manchang is now working from his residence after his office was burnt down by unidentified men on Friday.

Reports streaming from Belo on Monday morning say the DO’s residence is heavily guarded following Friday’s incident while the town is deserted as a result of recent happenings in the town.

Mbengwi also got up on Monday morning to relative calm after squirmishes between security forces and armed men at the market square forced villagers to desert the area while motorcycles were reportedly set ablaze.

Back in the South West Region, pictures of the lifeless, mutilated and beheaded body of a soldier circulated on social media as sources say the soldier was killed in Muyengue. The area has since been deserted by villagers following heavy fightings between security forces and gun men. It is the same scenario in Mbalangi where movement was paralysed for hours following heavy fighting that led to several villagers taking refuge in the bushes.","Anglophone crisis: Soldier beheaded in Muyuka, Belo DO’s office burnt",https://www.journalducameroun.com/en/anglo-crisis-soldier-beheaded-muyuka-belo-dos-office-burnt/
4,cameroon,"The free surgery brought some 25 medics and seven volunteers from India under the Rotary banner.

Cameroon is once more blessed with the presence of yet another group of medical practitioners to help the needy with 500 surgeries. Anaesthesias, gynaecologists, orthopaedics, ophthalmologists, surgeons, urologists, a neurosurgeon, a plastic surgeon and an ENT, alongside seven volunteers from Indian under the Rotary Foundation of the Rotary International, District 9150, are at the end of their 10-day humanitarian mission in Cameroon.

During a cocktail reception of the team of surgeons by the Honorary Consul of India to Cameroon, J. Ravikumar, it filtered out that they have carried out 400 surgeries two days to the end of their mission. According to Rajendra K Saboo, former Rotary International President, the doctors who are at the top of their specialities in India are committed to serve Cameroonians free of charge.

""The General Hospital, Gynaeco-obstetrician and Paediatric Hospital in Douala as well as the Laquintinie hospital involved do not have to collect money from patients"", he reiterated. The free surgery is accompanied with free drugs, fluids, consumables and some equipment, he added.

In the presence of Team Leader and Project Chair, PDG Ranjit K Bhatia, the former Rotary International President said the medics have done remarkable work going by the kind of prostate, mask and cataracts removed among others.

Glade with the opportunity given them to reach out to people below poverty line, Rajendra Saboo said they have been carrying out such missions for 19 years and it is their first time in Cameroon. ""We have been to over 20 African countries including Congo, Gabon and Ruanda demonstrating our slogan, 'Rotary: making a Difference'"", he disclosed.

On his part, the Honorary Consul, J. Ravikumar, acclaimed the medics selfless philosophy for the health and wellbeing of Cameroonians. He said India has one million doctors of modern medicine and spends only one per cent of GDP on medical facilities for citizens.",Cameroon: Humanitarian Work - Indian Doctors Operate Over 400 Needy Patients,http://allafrica.com/stories/201804190607.html
5,cameroon,"Agbor Gilbert Ebot has slept no more than two hours, he is exhausted.

Nevertheless, the organiser of the Cameroon International Film Festival has been up since 6 am, headed to the police station in Buea, capital of the Southwest region of Cameroon, in the pouring rain.

Three members of an actors’ workshop were forced to spend the night at the station because they had forgotten their papers. “If you go to the bathroom, or just walk from the living room to the kitchen, you need to bring your ID card,” Ebot says, adding that security forces don’t take infringements lightly; they immediately arrest people and put them behind bars. Ebot negotiates with the police, and a few hours later, the acting students are free to go again.

Raking in money during the crisis

Most Buea locals have similar stories to tell. Ever since the conflict in Cameroon’s English-speaking areas escalated, security forces are omnipresent. Truckloads of heavily armed soldiers patrol the city at night. It’s a militarised state, says a local journalist who asked to remain anonymous for fear of reprisal. Residents suspected of being members of the so-called Ambazonia Defence Forces who are fighting for independence from Yaounde are arrested all the time, he says, adding that he has visited people held at the police station, where the conditions are a disaster. Those detained could not expect an actual trial, and bribes to get them released are common, the reporter told DW. “A lot of money is being made from this crisis.”

The country’s colonial past is still today behind the tensions.

Cameroon gained independence in the 1960s, when the former French-speaking mandated territory was joined with the English-language regions. The country has two official languages, two education systems, two legal systems. However, the minority in the Anglophone southwest has felt disadvantaged and marginalised for years. In 2016, lawyers in the English-speaking region took to the streets, followed by a teacher strike and more protests. The government ignored their demands and instead reacted with a security crackdown. Several protesters were killed, the internet was switched off for three months while strikes paralysed schools, and businesses closed one day a week for special “ghost town days.”

President declares war on separatists

Paul Biya, Cameroon’s President who’s been in power for more than 35 years, instituted a Commission for Bilingualism and Multiculturalism, but many English-language speakers argue that is not enough. Demonstrations flared again in late 2017, and security forces killed at least 40 people. The protest became radicalised, various separatist groups formed, killing security and state officials they believed to be police informers. The president has since declared war on the separatists.

Now the battles lines are drawn. More than 100 civilians and 40 security officers have died. The International Crisis Group (ICG) has urged the Catholic Church to mediate in the conflict. The church represents one out of three Cameroonians, it is a powerful force.

“I agree, but it will be very difficult under the present circumstances,” Buea bishop Emmanuel Busho told DW, adding that the top authority in the country isn’t prepared to enter into a dialogue. “They are trying to dictate the conditions for a dialogue but we believe we need to speak as equals - if you pose conditions, there can be no dialogue.”

Church is divided

The government has refused to speak to the radical groups. DW asked for but was not granted an interview with a government representative. In 2016, the Catholic bishops wrote the president a letter detailing the Anglophone Cameroonians’ worries but the government accused the bishops of fuelling the conflict. Moreover, even the Francophone and the Anglophone bishops don’t see eye to eye. “We trust the Catholic Church in the Anglophone areas, but not the bishops in the French-speaking areas,” an activist who supports the separatists told DW. The Francophone bishops are regarded loyal to the government he added: “Before the crisis, both chose sides.”

Whether or not the church can act as mediator will depend on whether the bishops can agree. If they can’t, the conflict threatens to escalate further. Separatists have told DW they would do everything in their power to prevent presidential elections scheduled for October — hoping to force the government to the negotiating table.",Can the Catholic Church mediate in Cameroon's Anglophone crisis?,https://mg.co.za/article/2018-05-08-00-can-the-catholic-church-mediate-in-cameroons-anglophone-crisis
6,cameroon,"The fund is intended to address the critical needs of more than 20 million people affected by drought and ongoing conflicts in the Lake Chad Basin.

On behalf of the Honourable Marie- Claude Bibeau, Minister of International Development and La Francophonie, Matt DeCourcey, Parliamentary Secretary to the Minister of Foreign Affairs has announced the donation of 27 million dollars (estimated at FCFA 11.3 billion) as funding to humanitarian assistance to support people in Cameroon, Chad, Niger and Nigeria. This was the subject of discussion ,besides examining bilateral ties between both countries, in an audience granted the Canadian envoy and his delegation on April 10, 2018 by the Minister Delegate at the Ministry of External Relations in charge of Cooperation with the Islamic World, Adoum Gargoum. Accompanied by the Canadian High Commissioner to Cameroon, Nathalie O'Neil, amongst others, Matt DeCourcey said bilateral relations between Cameroon and Canada are evolving on a very good note given their bilingualism character. Highlighting on the reason for the aid, he said Cameroon is host to several refugees from neigbouring countries and therefore in need of humanitarian assistance. ""In Cameroon, Chad, Niger and Nigeria, millions of people are in need of life-saving assistance as a result of conflict, natural disasters and epidemics.

In Cameroon in particular, more than half a million people are displaced because of conflicts in the Lake Chad Basin and the Central African Republic, adding pressure to already scarce resources and limited basic services in host countries,"" he stated. Information from a factsheet handed to journalists indicates that Canada's contribution will provide vulnerable communities with food, clean water, health care, protection services including psychological and livelihoods support. ""Populations in the Lake Chad Basin are facing a dire humanitarian situation as conditions continue to deteriorate because of conflict, food insecurity and natural disasters. Canada is proud to provide humanitarian assistance to meet the needs of the most vulnerable and ensure those requiring emergency assistance are reached. This support will save lives and help to alleviate the suffering of people living in Cameroon, Chad, Niger and Nigeria,"" DeCourcey is quoted in the document.",Cameroon: Humanitarian Assistance - Canada Donates Fcfa 11.3 Billion,http://allafrica.com/stories/201804120192.html
7,cameroon,"A social worker in the South West Region has raised an alarm of an impending humanitarian crisis that may hit the Region, if nothing is done to rescue some 30,000 villagers drawn from three cocoa producing villages in Fako Division of the South West Region of Cameroon from the wild.

The social worker, who spoke to Journalducameroun.com on condition of anonymity on Thursday, May 5, 2018, said if Government does not step in to rescue the people of Munyenge, Ikata and Bafia, who have been wondering in cocoa farms and the wild, following clashes between the military and the separatist forces, then she should be prepared to face the worst humanitarian crisis in the history of Cameroon.

According to her, most of those who are fleeing from the clashes between the security and restorationist forces are mostly pregnant women, children and the elderly.

The social worker further revealed that the situation is further compounded by the fact that all medical facilities in the three villages have been shutdown, as the medics themselves are running away into safety.

“Both the military and civilians alike are dying because medical facilities both private and public within these affected villages have been shut down. Healthcare givers in these health institutions forcefully discharged their patients and ordered them to leave their respective hospitals as they struggled to safe their own lives first.”

She said even churches are not spared as security forces are ransacking everywhere to fish out any suspected element of the Ambazonia Defence Forces.

“As the military went in search of the separatist forces, houses were razed to ashes, including Palaces of Chiefs and ancestral. This is what is going to trigger a humanitarian crisis in the South West Region because the entire Region is being reduced to ashes and the Government, Ministers, Senators, Parliamentarians are not saying anything. It stated in Kembong and then proceeded to Kwa-Kwa and Ndian. Kupe-Muanenguba recently experienced the inferno and now Munyenge in Fako, where do the Government through the military want this people to go? There is need for for an urgent solution to this crisis and burning down villages is not helping the situation,” the social worker stated.

It would be recalled that Munyenge, Bafia and Ikata have been volatile battle grounds in the ongoing Anglophone Crisis between Ambazonia Defence Forces and Government security operatives.

But matters degenerated again on Saturday, April 28, 2018, when the military launched an onslaught in the three villages, forcing thousands in this cocoa producing basin to escape into their cocoa farms.

These locals have reportedly been spending their nights around cocoa ovens for the fear of rains, while others have migrated to neighbouring Muyuka, Ekona, Ediki, Kumba, Malende, Buea among other towns as the wait on Government to solve this problem once and for all.","Humanitarian crisis feared in SW, as Munyenge, Bafia locals wonder in forest",https://www.journalducameroun.com/en/humanitarian-crisis-feared-sw-munyenge-bafia-locals-wonder-forest/
8,cameroon,"Published on 08.05.2018 at 21h54 by AFP

Despite military successes scored against Boko Haram jihadists, it will take years to “completely eliminate” the group, a United Nations envoy told AFP Tuesday.

“Boko Haram has proven to be a resilient group…I think it will take time to totally eliminate,” said Muhammad Ibn Chambas, special envoy to the UN secretary general for West Africa and the Sahel.

“What we are seeing is that Boko Haram has become part of an international terrorism network.”

Chambas was speaking on the sidelines of a Lake Chad regional summit in Maiduguri, the capital of Borno state and birthplace of Boko Haram.

Governors from four countries straddling the lake —- Nigeria, Niger, Chad, Cameroon — are meeting for two days to discuss regional cooperation on stabilisation, peace building and sustainable development in the area.

His remarks come at a time the Nigerian government and military is insisting that the war against Boko Haram is over, despite a recent spate of attacks by the extremists.

On May 1 at least 86 people were killed in twin suicide attacks targeting a mosque and a nearby market in the town of Mubi in Adamawa state.

Chambas said that the Islamist insurgents were likely still holding on to territory in the region.

“It is relative,” he said in response to reports that Boko Haram was holding territory in the northeast states of Yobe and Borno.

“As long as they are not totally defeated obviously they are present in some areas”.

The Islamist insurgency has killed at least 20,000 people in nine years of violence that has spilled from northeast Nigeria into Niger, Chad and Cameroon, creating a dire humanitarian crisis.

The four countries formed the Multinational Joint Task Force (MNJTF) to fight the Islamic extremists who criss-cross the porous borders in the remote region.

Chambas commended the MNJTF counter terrorism fight as “appreciably successful” but warned it was far from over.

“We of course ask that the MNJTF remains vigilant in its fight against Boko Haram, we cannot take it for granted and assume they have been totally defeated”.

In December 2015, President Muhammadu Buhari declared Boko Haram had been “technically defeated” after reclaiming swathes of territory back from the jihadists.

But claims that the jihadists are a spent force have been put under scrutiny as the jihadists continued to launch deadly suicide and gun attacks on military and civilian targets.",Boko Haram will take years to ‘eliminate’: UN envoy,https://www.journalducameroun.com/en/boko-haram-will-take-years-to-eliminate-un-envoy/
9,cameroon,"Cameroonians today join the world over to commemorate World Red Cross day.

According to official statistics, the day is celebrated on every May 8, because it marks the birth anniversary of Henry Dunant, founder of the Red Cross and International Committee of the Red Cross (ICRC). The day is celebrated annually in order to commemorate principles of International Red Cross and Red Crescent Movement. It is meant to pay tribute to the participants of the event and their contribution for helping people in need. After World War I, Red Cross was introduced in order to call for peace. This was done as part of international commission of 14th International Conference of the Red Cross. Red Cross Truce principles were approved at 15th International Conference at Tokyo in 1934.

The permission to make World Red Cross Day an annual event was by the International Federation of the Red Cross Societies (IFRC) General Assembly to League of the Red Cross Societies (LORCS). The day was first celebrated in 1948, when it was officially named as World Red Cross and Red Crescent Day.

The day is celebrated internationally in order to reduce suffering and enable people live a more dignified life. The idea is to protect them from emergencies and natural disasters such as epidemics, earthquakes and floods. The day is celebrated in Red Cross Organisations across the world by helping people with independence, humanity, impartiality, universality, unity and neutrality – the fundamental principles of the organisation.

As part of the celebration of the day, International Committee of Red Cross and its members organise programmes and events that encourage volunteers to promote their humanitarian activities. The volunteers are supposed to help people who are suffering from any kind of problem. The day motivates people to protect their own lives and ensure dignity of victims.",Cameroon joins world to commemorate red cross day today,https://www.journalducameroun.com/en/cameroon-joins-world-commemorate-red-cross-day-today/
