,Concerning,Text,Title,URL
0,central+african+republic,"YAOUNDÉ, Cameroon – After five years of crisis, the people of the Central African Republic are tired of conflict.

Christophe Droeven, the Catholic Relief Services country representative for CAR, told Crux that although the situation is improving in the capital Bangui, the violence is getting worse in the rest of the country.

“What’s especially concerning is that violence against civilians is increasing, driving even more people from their homes,” he said.

The country has experienced instability since 2013, when Seleka, a Muslim-majority militia movement, overthrew the government. The Christian-dominated Anti-Balaka militia then formed to fight the Seleka. French and African peacekeepers were deployed in January 2014 and drove the Seleka forces from the capital, Bangui.

With a newly elected government unable to move beyond Bangui, armed groups and militias have taken control of more than 70 percent of the country.

The United Nations says the conflict has left at least 1.1 million people destitute and homeless, with about 2.5 million people – more than half of CAR’s four million inhabitants – now in need of humanitarian assistance.

RELATED: Priest’s death shows fragility of peace in Central African Republic

Droeven said access for humanitarian workers is almost completely cut off in certain areas, and it is becoming more dangerous to operate in the country.

In 2017, 16 humanitarian workers were confirmed to have been killed in the country.

“That’s 16 too many,” Droeven told Crux.

The CRS staffer said the people in the country are scared that anything could happen to them at any time.

“This is a place where armed groups roam freely and there are rarely consequences to their actions. What people here want more than anything is to go back home to a normal life and to a restored peace. They want to send their children to school and to cultivate their land,” Droeven said.

Catholic Relief Services has been trying as best it can to bring respite to the affected people. The U.S.-based aid agency has partnered with other relief agencies in an interfaith effort to build the peace in the Central African Republic.

RELATED: What it’s like to be a missionary in Central African Republic

These partners include the CAR Interreligious Platform, Aegis Trust, Islamic Relief Worldwide, and World Vision International to support sustainable social cohesion through the CAR Interfaith Peace building Partnership (CIPP).

“Through CIPP, CRS and our partners have reached more than 8,000 people with services ranging from trauma healing and inter-communal dialogues to livelihoods recovery. Perhaps more importantly, our interventions are supporting grassroots civil society and religious organizations of all faiths to implement community peace- building initiatives – ensuring that those closest to the problem are empowered to solve it,” Droeven told Crux.

Pope Francis visited Bangui in 2015 and met with Muslim leaders, emphasizing the need for inter-religious peace and dialogue.

Christians make up about 80 percent of the population of the Central African Republic, and Muslims about 15 percent.

The Muslim population is concentrated in the north of the country, touches on the Sahel region of Africa, although there are many Muslim traders in the south.

The southern city of Bangassou has become a flashpoint in the conflict. Rebels attacked a Muslim quarter on May 13, 2017, leaving 115 dead, including six UN peacekeepers.

RELATED: Central African bishop accuses U.N. forces of rape, abuse

The Catholic cathedral in the city has become home to some 2,000 Muslims who live under the protection of the Catholic bishop, Spaniard Juan José Aguirre Muñoz.

In trying to forge a peace, CRS and its partners have to deal with people suffering from trauma, some of whom have already lost faith in life itself.

“CRS’s trauma healing approach focuses on helping people understand the causes and symptoms of their trauma as well as how to manage those symptoms,” Droeven said to Crux.

He told the story of a woman whose home was recently destroyed, but who was able to overcome the traumatic experience, thanks to one of CRS’s workshops on how to deal with such experiences.

“If I hadn’t participated in the (trauma healing) workshop, I don’t know if I would have been able to handle this loss. But I’m keeping my courage, and I keep reminding myself ‘after everything, life continues,’” Droeven quoted the woman as saying.

He said preliminary results from an impact study conducted by Palo Alto University on CIPP’s trauma healing and peace education approaches showed that the interventions reduced anxiety, depression, and Post Traumatic Stress Disorder (PTSD) symptoms among participants.

RELATED: Cardinal laments deadly year for Church in Central African Republic

While the needs for humanitarian assistance continue to rise, the capacity of both the UN and the government of the CAR to intervene are limited, said Droeven.

“The UN Peace mission is trying to secure the countryside and bring back peace, but it’s stretched beyond capacity by the growing violence in this vast country,” he said. “It needs more support from the international community because its mandate and mission are not comparable to the amount of support it receives.”

Droeven emphasized the need for the government, UN peace mission, relief agencies, civil society and religious leaders to work together to bring back peace and hope to the population of “this forgotten country.”","Central African Republic “tired” of conflict, fearful for future",https://cruxnow.com/global-church/2018/04/14/central-african-republic-tired-of-conflict-fearful-for-future/
1,central+african+republic,"CENTRAL AFRICAN REPUBLIC

AID CONVOY UNDER ATTACK NEAR KAGA BANDORO

Armed men on 23 April robbed a vehicle in an aid convoy near the northern Kaga Bandoro town, but were later intercepted some 100km away. Insecurity remains prevalent in several regions of CAR and aid convoys are the target of robberies and armed attacks. These incidents are a constant hindrance to relief operations and civilian movement and safety.

MALI

AID WORKERS FACE RECURRENT ATTACKS IN TIMBUKTU REGION

On 22 April, three unidentified armed men robbed aid workers in their accommodation in the town of Gossi, in the northern Timbuktu region. The assailants then looted the premises of the NGO these aid workers belong to, after firing at the guard, who managed to escape. The armed robbers stole motorcycles, phones and computers. This is the fifth incident in Gossi area since the beginning of the year. Earlier, on 19 April assailants attacked four aid workers near Gossi and robbed one of their vehicles. The incident forced an international NGO that recently launched mobile clinic consultations for new IDPs and asylum seekers to suspend the activity.

NIGERIA

MAIDUGURI SHAKEN BY WORST ATTACK IN MONTHS

On 26 April, a Non-State Armed Group launched a multi-pronged attack on Born state capital, Maiduguri, triggering panic among the population and causing residents to flee. Reports indicate that blasts and gunfire could be heard across the city as the raid was carried out, reportedly, by around 100 attackers, including suicide bombers. The military repelled the attack and encouraged residents to return home. The incident is amongst the most significant in recent months, amid a worrying increase in security incidents in Borno state. Maiduguri is at the epicentre of the humanitarian crisis in the north-east of Nigeria and currently hosts over 260,000 internally displaced persons.

NIGER

MENINGITIS CASES MORE THAN DOUBLE IN TWO WEEK

As of 22 April, 930 cases of meningitis, including 70 deaths, were reported with a fatality rate of 7.5 per cent. The number of reported cases has doubled over two weeks. However, they are lower than in the same period in 2017 (2,587 cases and 117 deaths). The health district of Keita in Tahoua region has reached the epidemic threshold, and four other health districts in the Maradi, Tahoua and Tillabéri regions are in alert phase. Epidemiological surveillance, pre-positioning of medical supplies and a vaccination campaign targeting people between 2 and 29 years of age are all ongoing.

HUMANITARIAN AID IMPEDED BY MILITARY OPERATIONS

The ongoing military offensive by the Joint Multinational Task Force (MNJTF) against armed groups presumably affiliated with Boko Haram on the islands of Lake Chad and areas along the Komadougou river is restricting humanitarian operations in the area. Planned missions to Bosso as well as a vaccination campaign and mobile clinics were cancelled.

DR CONGO

NEARLY 12,000 CHILDREN RISK MISSING MAJOR EXAM

Some 12,000 children are at risk of not sitting their end of primary school cycle exams due to the violence in Djugu Territory, in the northeastern Ituri province, which has forced them to miss school since December 2017.

The Education Cluster is in talks with the Ministry of Education for solutions to allow these children to pass the exam. It is estimated that 50 of the 511 schools in Djugu are occupied by internally displaced people, disrupting classes for 16,000 students.",West and Central Africa: Weekly Regional Humanitarian Snapshot (24 - 30 April 2018),https://reliefweb.int/report/central-african-republic/west-and-central-africa-weekly-regional-humanitarian-snapshot-24-1
2,central+african+republic,"• At least 20 civilians killed

• Two burnt to death in reprisal attacks

• Witness: ‘There were dead bodies everywhere’

Those responsible for the killing and injuring of civilians in Central African Republic (CAR) must not be allowed to hide from justice, Amnesty International said today.

According to reports, at least 20 civilians including a priest were killed and more than 90 injured following fresh sectarian violence which targeted places of worship on 1 May in the capital, Bangui.

In a country where the images from months of horrific violence are still fresh in the memories of people, these renewed tensions could stoke more attacks and bloodshed if those responsible are not stopped once for all Balkissa Ide Siddo, Amnesty International’s Central Africa researcher Share this Twitter

Facebook

Email

“In a country where the images from months of horrific violence are still fresh in the memories of people, these renewed tensions could stoke more attacks and bloodshed if those responsible are not stopped once for all,” said Balkissa Ide Siddo, Amnesty International’s Central Africa researcher.

“Central African authorities and MINUSCA must send an immediate and clear message to all armed groups and their allies in CAR: No attack against civilians will be tolerated and all those suspected of committing war crimes and other serious human rights violations and abuses will be brought to justice.”

According to information collected by Amnesty International, the violence erupted after security forces attempted to arrest a member of an armed “self-defense” group in the neighborhood of PK5.

Members of the armed “self-defense” group opened fire on security forces in an attempt to rescue their member and in reprisal for the arrest. The situation escalated quickly and members of the armed “self-defense” group, targeted civilians during a mass at the Notre-Dame de Fatima church in Bangui.

There were dead bodies everywhere… There were many people injured and bleeding on the ground. Boys from the neighborhood pierced the wall behind the church and we escaped from there. A 46-year-old woman who was in the church in Bangui yesterday told Amnesty international Share this Twitter

Facebook

Email

A 46-year-old woman who was in the church yesterday told Amnesty international:

‘…We were in the middle of the mass around 11 am when we heard gunshots. At first, it was weak and little by little, it got worse. There were even sounds of grenades. We were attacked. Just in front of me, a boy and a girl fell dead. A girl behind me had her right eye injured. We fled to the presbytery of the abbes. There were dead bodies everywhere… There were many people injured and bleeding on the ground. Boys from the neighborhood pierced the wall behind the church and we escaped from there. We saw many young boys coming from PK5 with weapons... We ran into the neighborhood and we took the bike to go home.’

Another witness said: “… We heard gunshots. We were helpless. There were some FACA who prevented the attackers from entering the parish. If they had entered, we would all be dead.”

She added: “Abbot Toungoumalé Baba was killed. Abbot Lazare was shot and wounded. The priests did their best calling for help but none came. There was no escape route. UN peacekeepers came two hours later, surrounded the parish and we were able to escape. The good people in the neighborhood made a hole in the wall. This is where we escaped from. There was blood everywhere. It was serious. People say 16 people died but I believe there are more than 16 dead. I saw so many people on the ground when we were fleeing.’

According to reports, the same day, at least two Muslims civilians were burnt to death in reprisal attacks.

Since yesterday, the mainly Muslim neighborhood PK5 is shutdown.

A PK5 inhabitant told Amnesty International today: ‘Everyone stays at home. If you go out, to the other side, you will be killed.’

Another women leader from PK5 added: ‘all this is so sad. It’s been like three weeks now that peace returned. We leaders have been raising awareness. Now we are discouraged.’

There’s been an uptick in violence in CAR in the last month with attacks on the village of Tagbara which hosts a MINUSCA temporary base. 11 UN peacekeepers were wounded and more than 22 anti-Balaka armed group members were killed.

“The international community should remain committed, as new names are added to the already long list of victims of violence in the country,” said Balkissa Ide Siddo.

Background

Since December 2013, the conflict in CAR killed thousands of people, displaced hundreds of thousands more, and destroyed countless villages.

The deployment of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA), on 15 September 2014, raised hopes for positive change.

Despite the presence of UN force, armed groups are carrying out a range of abuses. Reports of sexual exploitation and abuses by UN peacekeeping troops are also reported.

Amnesty International had launched last year the campaign Justice Now! Towards lasting peace in CAR calling on authorities to commit to a tougher stance against impunity by holding those responsible for serious crimes to account.",Central African Republic: Those responsible for renewed bloodshed must be brought to justice,https://www.amnesty.org/en/latest/news/2018/05/central-african-republic-those-responsible-for-renewed-bloodshed-must-be-brought-to-justice/
3,central+african+republic,"BANGUI, Central African Republic — A priest was among at least 16 people killed Tuesday as new sectarian violence targeted a church, mosques and health facilities in Central African Republic’s capital, an aid group, hospital and the United Nations said.

Medecins Sans Frontieres, which reported six dead, called for calm after some Bangui residents threatened the SICA hospital, where some of the more than 50 people shot and wounded were being treated.

Medical workers have a duty to treat people “regardless of their background, religious or political affiliations,” Anne-Marie Boyeldieu, MSF’s head of mission in Central African Republic, said.

Anger has been high among some in the capital since U.N. peacekeeping mission and local security forces launched a joint operation in the largely Muslim neighborhood of PK5 in early April to arrest members of armed criminal groups after their leaders refused to disarm. The dead bodies of 17 civilians were laid in front of the U.N. peacekeeping offices shortly afterward.

Tuesday’s violence erupted in the PK5 and Fatima neighborhoods, MSF said.

Armed groups are suspected of carrying out the attacks, but citizens fed up with violence are making their anger known in other ways. Residents brought the bodies of the priest and some of the other people killed to the presidential Renaissance Palace. Members of the Presidential Guard dispersed the crowd by firing shots in the air.

In the Lakwanga district, a group of young people ransacked a mosque that had just been rehabilitated as part of a social cohesion project.

At least 10 bodies were brought to the community hospital morgue Tuesday, the head of the facility said. He spoke on condition of anonymity because he was not permitted to speak to the press.

The Catholic St. Joseph Movement, an action group, confirmed that there were 10 dead in addition to the six reported by MSF.

The U.N.’s humanitarian coordinator for Central African Republic, Najat Rochdi, said the people killed included Abbot Albert Tougoumale-Baba, a fervent defender of a non-aggression accord that allowed Muslims to hold burial ceremonies in accordance with their religions.

Tougoumale-Baba’s church in Fatima was attacked, Rochdi said, along with other places of worship, including mosques.

“Once again it is the civilian population, especially women and children, who pay the price of violence,” Rochdi said, calling on women to raise their voices against the recruiting of youth as fighters.

David Brownstein, chargé d’affaires at the U.S. Embassy in Bangui, condemned the killings as a “cowardly and violent act.” He called for “calm and the cessation of revenge” attacks, which he said would only perpetuate the cycle of violence.

Bangui Mayor Emile Gros Raymond Nakombo appealed to communities to recognize such violence “is the work of those who do not want peace to return to the country.”

Deeply impoverished Central African Republican has faced deadly interreligious and intercommunal fighting since 2013, when predominantly Muslim Seleka rebels seized power in Bangui. Mostly Christian anti-Balaka militias fought back, resulting in thousands of people killed and hundreds of thousands displaced.

A period of relative peace followed in late 2015 and 2016, but violence has intensified and spread in the past year.

___

Petesch reported from Dakar, Senegal.

___

Follow Africa news at https://twitter.com/AP_Africa

Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",16 dead as fighting strikes Central African Republic capital,https://www.washingtonpost.com/world/africa/6-dead-in-new-fighting-in-central-african-republics-capital/2018/05/01/d6691a38-4d59-11e8-85c1-9326c4511033_story.html
4,central+african+republic,"2017 IN REVIEW

HUMANITARIAN CONTEXT

Humanitarian situation in 2017

The year 2017 was characterized by a series of crises that has led to an unprecedented increase in humanitarian needs since 2014. It also raises the risk of a return to a major humanitarian crisis. While the 2017 Humanitarian Response Plan initially targeted to 2.2 million people in need of humanitarian assistance, the humanitarian community was forced to revise it in June 2017 to meet the needs of 2.4 million people. Of the 402,240 displaced in January, the Central African Republic registered 600,000 as of July 31, 2017, as much as in August 2014. This trend continued and reached the 688,700 at the end of December, representing 71 per cent increase in one year. At the same time, 545,497 Central Africans sought refuge in neighbouring countries, while the trend was to return in early 2017. Today, 1.1 million people or 1 out of 4 Central Africans are internally displaced or refugees.

This increase was the result of the resurgence of violence and the multiplication of hotspots across the country. Some areas previously known as islands of relative stability have shifted into violence and others that tended to return to calm have fallen back into instability. Growing insecurity due to activism of armed groups has increased tensions and heightened the vulnerability of communities already affected by the ongoing humanitarian crisis, forcing thousands of people to leave their homes and seek protection – often around MINUSCA bases and bigger agglomerations – throughout the country.

Impact of violence on humanitarian activities

2017 has also been one of the deadliest years for humanitarians. Security incidents involving aid workers have increased considerably (332 in 2017 against 131 in 2016), placing the Central African Republic among the most dangerous countries in the world. Fourteen humanitarian workers lost their lives in 2017 (6 in 2016). The multiple peaks of violence have also forced humanitarian workers to temporarily suspend their activities on several occasions, and sometimes to relocate their teams. The United Nations Humanitarian Air Service (UNHAS) relocated 297 humanitarian actors from 29 organizations on 23 occasions.

These suspensions, driven by unprecedented levels of insecurity since 2013, have exacerbated the vulnerability of thousands of people whose survival depends heavily on humanitarian assistance. In Bangassou the majority of humanitarian actors had to suspend their activities and withdraw their permanent presence from the city. The same goes for the city of Batangafo (Ouham Prefecture) where humanitarian actors have been trying to return since early December after the majority of them had to withdraw in September. At 60 kilometers from Batangafo, in the city of Kabo, in December 2017, the cessation of humanitarian activities directly or indirectly affected approximately 100,000 people, including displaced persons.

Restriction of humanitarian access

The reduction of humanitarian space was the result of several factors, including the deterioration of the security situation and the deterioration of road infrastructure throughout the country. Access to certain areas required large-scale logistical and operational resources that were partly lacking for a humanitarian community faced with the growing challenge of underfunding. The increased use of air assets for the delivery of humanitarian assistance was necessary to reach remote populations. Despite these significant constraints, humanitarian workers were able to deliver more than 6,700 tons of humanitarian assistance cargo, by road and by air, from January to September 2017. Despite its prohibitive price, several times, the actors had to give priority to the air route to help the populations inaccessible by terrestrial means and more and more isolated.

Underfunded humanitarian crisis

The Central African Republic is one of the few countries in the world where half of the population needs humanitarian assistance. Adequate funding of humanitarian action was therefore a top priority. However, by the end of 2017, only 39 per cent of the $ 497 million Humanitarian Response Plan was funded of which $22.1 million (11.5% of the 2017 HRP funding) channeled through the CAR HF. Despite this deficit, the humanitarian community was able to provide emergency assistance to more than one million vulnerable people. Over the last years, funding levels have steadily declined from 68 per cent in 2014 (right after the December 2013 outbreak), to 39 per cent in 2017. In this context of chronic humanitarian underfunding, recovery funds were also slow to be materialized on the ground. Surveys in the affected areas revealed alarming socio-economic indicators signs at the end of 2017. The number of people in need of humanitarian assistance was estimated at 2.5 million (54%) out of a population of 4.6 million. The overall socio-economic situation of the country is alarming with: 70% of households having no access to potable water, 80 per cent without latrines, 50 per cent in need of food assistance, 20 per cent of schools closed depriving around 70,000 children of education, and an average acute malnutrition rate reaching the emergency threshold of 15 per cent in six health sub-prefectures of the country. The ability of humanitarian actors to respond to critical and urgent needs has been hampered. Regrettably, the needs continued to grow over the years aggravating dangerously the vulnerability of those already affected by the crisis.",Central African Republic Humanitarian Fund - Annual Report 2017,https://reliefweb.int/report/central-african-republic/central-african-republic-humanitarian-fund-annual-report-2017
5,central+african+republic,"[JURIST] A UN human rights expert called for ""calm and for all sides to exercise restraint"" in the Central African Republic (CAR) Thursday, according to a UN statement [press release].

Marie-Thérèse Keita Bocoum, the Independent Expert on the situation of human rights in the CAR, ""urged authorities to strengthen the protection of civilians amid an upsurge in violence across the country."" The call came in response to a series of deadly attacks in the CAR, the latest on a church in the capital Bangui [NYT report] Tuesday that killed 26.

Keita Bocoum also said the ""upsurge in violence underscored the need to look at implementing a sub-regional strategy on the circulation of arms and the neutralization of armed groups"" and noted the forming of an action plan for implementing a UN Security Council resolution on women, peace and security.",UN rights experts call for restraint in Central African Republic,http://jurist.org/paperchase/2018/05/human-rights-experts-call-for-restraint-in-central-african-republic.php
6,central+african+republic,"Observers said the assault on the church was most likely in retaliation for the security operation.

“There were several dead on the Muslim side” in the early days of the operation, said Teddy Junior Magbe, country director for Search for Common Ground, an international peace-building organization. “On the day of burial, they warned they were going to take revenge.”

Lewis Mudge, a senior researcher for Human Rights Watch who specializes in the Central African Republic, said roughly 75 percent of the country was controlled by armed groups. Violence has been escalating nationwide since February, largely because earlier peace efforts failed to disarm militia groups, he said.

Former Seleka members have also been threatening to march on the capital. Local activists said they worried that the attack on Tuesday might signal the start of a new wave of instability.

The church attack also set off retaliatory violence in Bangui on Tuesday. Vladimir Monteiro, a spokesman for the United Nations mission in the country, said an “angry mob” had attacked several mosques, injured people on the streets, and damaged United Nations vehicles that were patrolling the city. A United Nations soldier was also injured, he said.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

It was the second time in four years that Notre Dame of Fatima has become a symbol of the violence that has cleaved the country, often along religious lines. In 2014, Seleka rebels followed the same pattern, first throwing grenades and then opening fire indiscriminately, targeting people who had sought protection at the church from ongoing clashes.

The ensuing violence has often followed a cycle of revenge attacks between religious communities, but local activists and international observers say that armed actors are manipulating religious identities for their own purposes.

“This is not a religious conflict as such,” said Mr. Mudge, the Human Rights Watch researcher. “Muslims and Christians have lived together there for generations.”

“This is about political leaders who never saw fit to create a functioning state, and who instead benefited from disorder,” he added.

Advertisement Continue reading the main story

At the same time, Ms. Ekomo-Soignet said, social media — particularly Facebook — has become a hotbed of hate speech, often expressed in religious terms, that is having dangerous consequences offline.

“You’ll see people writing, ‘We have to get revenge, we have to kill them all,’ and people will like and like and like those,” she said. “Then they meet at a bar somewhere in the city and they talk it all through again. It really feeds the perception of one group about the other.”

“After an attack, then you see people say, ‘I told you so. I told you we need to kill them, to get them first,’ ” she added. “We’re pretty sure there will be more revenge.”","Gunmen Attack Church in Central African Republic, and Warn of More Violence",https://www.nytimes.com/2018/05/02/world/africa/church-attack-central-african-republic.html
7,central+african+republic,"In Central African Republic, conflict and violence have affected people's access to birth registration and education.

Download report in French

Download briefing note in English

Promoting access to birth registration and education.

Violent crises in Central African Republic have effected access to birth registration and education. Birth registration needs to be facilitated and barriers removed to enrolling in school and sitting public exams.

Introduction

The Central African Republic (CAR) has experienced a succession of violent crises, the most serious taking place between 2013 and 2015. Further outbreaks of violence in May and June 2017 have pushed the number of internally displaced people (IDPs) to 600,000 and CAR refugees in neighbouring countries to 481,000. CAR remains extremely fragile with an estimated 2.4 million people in need of assistance.

Insecurity, violence and forced displacement have severely weakened civil registration and education systems in CAR. In 2010, before the crisis, only 61 percent of children under the age of five were registered at birth. Similarly, challenges in access to education are demonstrated by the 2015 primary net enrolment rate of 72 percent and achievement rate of only 48 percent.

NRC has carried out an assessment on access to birth registration for displacement-affected communities in CAR and its link to enrolling in school and sitting public exams. The results of this research indicate numerous challenges in registering births and that lack of a birth certificate limits access to education, in particular to secondary school and higher education, as well as access to diplomas and certificates.",Legal identity and education in Central African Republic - Briefing Note April 2018,https://reliefweb.int/report/central-african-republic/legal-identity-and-education-central-african-republic-briefing-note
8,central+african+republic,"CENTRAL AFRICAN REPUBLIC

TENSIONS HAMPER HUMANITARIAN MOVEMENTS

Humanitarian movements to and within several towns were disrupted following the 10 April crackdown by UN peacekeepers on armed vigilantes in the capital Bangui. The crackdown prompted sympathetic armed groups to urge retaliation against the UN mission. Armed groups also warned aid workers in some towns against venturing out. At least 145 people and eight peacekeepers were wounded and 31 others, including a peacekeeper, were killed in the skirmishes in Bangui’s PK5 neighbourhood.

DR CONGO

DONORS PLEDGE $528 MILLION FOR RELIEF RESPONSE

Donors pledged US$528 million during the first-ever humanitarian donor conference for the DRC held on 13 April. The conference was organised by the European Union, the Netherlands and OCHA to raise funds to address the deteriorating humanitarian emergency in the country. $1.68 billion are required to assist some 13 million people in country – nearly twice as many as in 2017. The humanitarian situation has drastically worsened over the last year. A surge of violence in 2017 uprooted hundreds of thousands of people and significantly heightened humanitarian needs.

MALI

AID WORKERS HIT BY A SERIES OF ROBBERIES

Armed individuals on 11 April robbed a vehicle rented by an NGO in Tessit area of the northern Gao region. Another NGO vehicle was robbed on the same day in Timbuktu region. Two days earlier, a UN 4x4 vehicle was stolen near the common UN compound in Gao. In a separate incident, robbers made away with two vehicles belonging to an international aid group in Douentza, Mopti region. On 8 April, another vehicle belonging to an international NGO was stolen in Gao. No injuries were reported in the incidents which are now frequent.

NIGER

HUMANITARIAN WORKER KIDNAPPED

Armed men on 11 April kidnapped an aid worker in Ayorou area in the western Tillaberi region near the border with Mali. He was seized by gunmen on motorcycles while on his way back from a field mission with colleagues. The incident prompted a 48-hour suspension of all humanitarian activities in Tillaberi. According to media reports, the aid worker – a German national – has likely been taken across the border to Mali. Niger’s western Tahoua and Tillaberi regions have been hit by several armed attacks that have forced more than 8,000 people to flee their homes. In October 2016, gunmen seized an American aid worker in Tahoua. His whereabouts and condition remain unknown

NIGERIA

OVER 1,000 CHILDREN ABDUCTED SINCE 2013

More than a thousand children have been abducted by armed groups in north-east Nigeria since 2013, UNICEF reported on 13 April, calling for the release of kidnapped children and an end to attacks on schools. On 19 February, over 100 girls were abducted from their school in Dapchi area in Yobe State, but freed weeks later. UNICEF said that 2,295 teachers have been killed and more than 1,400 schools destroyed over the past nine years in north-east Nigeria. Most of the schools have not reopened because of extensive damage or insecurity.",West and Central Africa: Weekly Regional Humanitarian Snapshot (10 - 16 April 2018),https://reliefweb.int/report/central-african-republic/west-and-central-africa-weekly-regional-humanitarian-snapshot-10-1
9,central+african+republic,"Employing the caisses de résilience approach in the Central African Republic, FAO helped to strengthen the social cohesion of vulnerable communities, while improving their food production capacity.

Almost 50 000 families were assisted through the creation of community groups and establishment of village savings and loan associations in 2 000 villages. Each village savings and loan association received kits for improved rotating savings and credit funds. Microcredit enabled members to invest in income-generating activities and restore small businesses.

FAO provided agricultural inputs (crop and vegetable seeds and tools), processing equipment (cassava mills and groundnut decorticators) and livestock (goats, pigs and poultry). FAO also provided training on good livestock and agricultural practices. Participants in the cash-for-work programme earned about USD 30 per family.

Thanks to the support provided, members of the village savings and loans associations strengthened their technical capacities for agricultural production, and their financial capacities to generate income and restore their livelihoods. They identified common challenges, sought solutions and took collective action to improve their living conditions. This participatory approach contributes to behavioural change, improves access to information for rural populations and strengthens organizational capacities.

Saving livelihoods saves lives",Enhancing resilience of crisis-affected families in the Central African Republic,https://reliefweb.int/report/central-african-republic/enhancing-resilience-crisis-affected-families-central-african
