,Concerning,Text,Title,URL
0,iraq,"BAGHDAD — Turkish troops in northern Iraq have begun building military bases to confront the Kurdistan Workers Party (PKK), according to an April 3 report by Al-Hurra TV that included video footage of construction. This comes after Turkish troops reportedly advanced about 6 miles into Iraqi territory last month in order to fight the PKK in the northern regions of Iraq.

On March 29, Turkish President Recep Tayyip Erdogan talked about eliminating the PKK fighters in the Iraqi city of Sinjar during a conference held by the Justice and Development Party in Ankara, despite the Turkish government’s earlier pledge to respect Iraqi sovereignty.

Erdogan also announced that Turkey “is gearing up to start cleansing Ain al-Arab [which the Kurds call Kobani], Tell Abyad, Ras al-Ain and Hasakah in Syria from terrorist elements and getting ready to enter Sinjar at any moment.”

Meanwhile, a high-level Iraqi delegation visited the Turkish capital to hold talks on the fight with the PKK, according to Jabbar al-Yawar the secretary-general of the peshmerga forces.

“The Iraqi delegation is trying to reach diplomatic solutions with the Turkish side to spare the region the scourge of military battles. The Sinjar crisis is the prerogative of the Baghdad-based central government that has sent the 15th Brigade there, fearing any interference on the part of the Turkish forces. We believe that the PKK problem must be dealt with comprehensively through Iraqi-Turkish coordination,” Yawar told Al-Monitor.

Yawar acknowledged the presence of PKK forces in the Qandil Mountains of the Kurdistan Region and some areas of Ninevah and Syrian Kurdistan.

“The peshmerga will not intervene in this crisis related to Iraqi sovereignty, especially after it withdrew from Sinjar following its liberation from the Islamic State,” he said.

Yawar ruled out any period of relative calm on the Iraqi-Syrian border before the end of the civil war in Syria. “Sinjar represents a triangle on the border between Iraq, Syria and Turkey. It is only normal for many armed factions to move in this area, taking advantage of the mountainous hinterlands,” he said.

Iraq’s concerns about Turkish threats are not limited to officials in the Kurdistan Region only. Turkmen member of parliament Jassem Mohammed Jaafar, a leader in the ruling Dawa Party in Iraq, said, “The Turkish threats are aimed at exerting pressure on the Iraqi side to speed up the process of exerting its control over Sinjar and to pressure Erbil to cut off support and contact with the PKK.”

Jaafar told Al-Monitor, “The Turkish forces have a lot to lose if they carry out a military operation in Mount Sinjar, giving the area’s rugged nature, located at hundreds of kilometers from the Turkish border. The Turkish forces will have to face the Iraqi security forces deployed there.”

He added, “Yet the Iraqi government is working on containing the crisis, and we believe the statements of Turkish Prime Minister Binali Yildirim about respecting Iraq's sovereignty [are genuine].""

Speaking at a press conference April 3, a member of parliament for Sinjar, Vian Dakhil, referenced a statement signed by a group of Iraqi lawmakers condemning Erdogan's threats to enter Sinjar. “We condemn and denounce the statements of the Turkish president threatening a military intervention in Sinjar. This violates all international laws and diplomatic norms,"" she noted.

Dakhil called on the Iraqi government to take all “necessary measures to preserve the sovereignty of Iraq and the security of its borders and its citizens.” She urged the government not “to coordinate with the Turkish side, away from the legislative authority in relations to the sovereignty and security of Iraq and to work on expelling PKK elements so as to avoid Sinjar becoming an international battlefield for neighboring countries. [The government] has to discredit all justifications by neighboring countries seeking to interfere in Iraq's domestic affairs.”

Dakhil also said that Iraqi parliament Speaker Salim al-Jabouri had repeatedly rejected to include the Sinjar crisis on the parliament’s agenda, citing only government measures, referring to his bias toward Ankara.

Nevertheless, the situation in Sinjar appears to be different from what the Kurds are witnessing in Afrin and the rest of the Kurdish areas in Syria. This disparity is mainly due to the American presence in Iraq, Washington’s good relations with Baghdad and the large amount of trade between Iraq and Turkey. Ankara, however, is playing at brinkmanship in a bid to get rid of the PKK, especially since it has already started military operations on the ground in Syria.

US Defense Secretary James Mattis said March 27 that the presence of the PKK in Iraq’s Sinjar is a threat to Turkey, and the United States is ""intending to see [the PKK] pull out of the Sinjar area.”

According to the US State Department, Tina Kaidanow, the principal deputy assistant secretary of state for political-military affairs, visited Turkey and Iraq March 28-April 3.

State Department spokeswoman Heather Nauert said in a press statement that the United States “understands the Turkish concerns about the PKK presence in the Kurdistan region and Iraq.”

Nauert stressed that any Turkish military operation in Sinjar must be with the approval of Iraq and in coordination with the Iraqi government.

As things stand now, there are two scenarios for Sinjar’s crisis. The first is the least likely: Turkey would launch a military operation in the Iraqi territories that might reach the Kurdish areas, namely Dahuk. However, this would affect bilateral relations in light of Baghdad’s rejection of the scenario and its likely economic repercussions. Ankara could instead opt for the second scenario: letting the Iraqi government eliminate the PKK. This means airstrikes and land operations in the Kurdistan Region, which is a big concern for the Iraqi Kurdish parties.","How will Sinjar crisis end as tensions mount between Baghdad, Ankara?",https://www.al-monitor.com/pulse/originals/2018/04/sinjar-iraq-kurdistan-turkey-pkk.html
1,iraq,"Much of the Iraqi city of Mosul remains in ruins after a four-year battle to retake it from so-called Islamic State ended last summer.

For residents there Saturday’s parliamentary election will focus on what politicians can do to help in its reconstruction, as much of the city is still without even basic services.

Mohammed Abdul Haq is a Mosul resident. ""We need water and electricity,"" he says.

""We have been visited by officials and they know what we need. They see that all these houses have been destroyed. And my father died just like many other people, because of the war and because of Daesh.

""We don't have ration cards. We want the officials to help us. We need water and electricity. And we received rations for a month only and for the next three months there is nothing.""

Political promises can be seen on posters and billboards throughout Iraq's largest Sunni city.

Sumaiya Ghanem is a candidate. She is a university lecturer and former humanitarian aid worker and wants compensation for people who lost their homes in last year's fighting.

""Today we are seeing that votes are being bought and sold for money,"" she explains.

""They have lots of money and they are able to spend millions of dollars in this election. And all this money that has been spent here, it has been stolen from your kids who are here today. And they will steal more and more.""

But she, along with other women candidates, has faced some resistance from more conservative elements.

The run-up to the elections has been marred by violence with one candidate being shot dead late on Sunday near to his home.

Voter registration is still low partly because many displaced people have been unable to return due the destruction.

But for ordinary citizens the importance of political stability is about laying stable foundations for the next generation.",Hope remains high ahead of Iraq election,http://www.euronews.com/2018/05/07/hope-remains-high-ahead-of-iraq-election
2,iraq,"Financial woes and the ongoing rivalry between Baghdad, Erbil have eroded faith in party politics in Iraq's Kurdish region





ERBIL, Iraq

In the run-up to May 12 parliamentary polls, would-be voters in northern Iraq’s Kurdish region appear apathetic -- due largely to an ongoing economic crisis and a lack of faith in their political leaders.

In Iraq’s last general election in 2014, political parties based in the Kurdish region clinched a total of 62 seats in the country’s national assembly.

Forty-four candidates from Kurdish parties were elected in the provinces of Erbil, Sulaymaniyah and Dohuk, while another 18 were elected in territories disputed between Baghdad and the Kurdish Regional Government (KRG), including Kirkuk, Mosul and Diyala.

Previously, Kurdish parties had enjoyed considerable influence in disputed areas, where standards of living had been relatively higher than in other parts of Iraq.

The situation, however, has taken a turn for the worse in recent years due to chronic economic problems, the emergence of the Daesh terrorist group and mounting tensions between the Erbil-based KRG and Baghdad.

First, Erbil suffered from budget cuts imposed by the central government. It sustained another major blow in 2013 with the emerge of Daesh, which overran much of northern and western Iraq the following year.

Already reeling from chronic financial problems and the new terrorist threat, the Kurdish region suffered another setback last year when the KRG conducted an unconstitutional referendum on regional independence.

Following the illegitimate poll, federal forces moved into disputed parts of Iraq -- including Kirkuk, Mosul and Diyala -- while Peshmerga forces loyal to the KRG withdrew from these areas.

Many people in the Kurdish region blame the referendum debacle on the region’s two main political parties: the Erbil-based Kurdistan Democratic Party (KDP) and the Sulaymaniyah-based Patriotic Union of Kurdistan (PUK).

Voter apathy

Anadolu Agency spoke to several would-be voters in the Kurdish region, most of whom voiced distrust in their politicians and put little stock in the upcoming polls.

Surkey Selim, the owner of a bookshop in Erbil, said most of the region’s people had lost faith in the regional government.

The KDP and PUK, he said, “incessantly attack one another rather than doing anything positive”.

Salah Abubakar, who manages a restaurant in Erbil, said that the region’s political parties lacked credibility.

“This is because the main Kurdish parties have failed to fulfill the promises they made to the people,” he said.

“They couldn't even protect the gains we made,” Abubakar asserted in reference to the recent loss of disputed areas.

“Kurdish political parties -- both on the left and the right -- have forfeited the people’s trust,” he added.

Shukru Mohamed, a painter who fled to the Kurdish region four years ago after Daesh overran Iraq’s western Anbar province, said there was little enthusiasm in Erbil -- unlike in other parts of Iraq -- for the upcoming polls.

He said the “savage” competition observed in Baghdad and Anbar was hardly in evidence in the Kurdish region.

“The crisis over [disputed] Kirkuk and the salary cuts [recently imposed by Baghdad on the Kurdish region’s public-sector employees] have led to a loss of trust among Kurds, both in the central government and Kurdish political parties,” Mohamed said.

Aydin Maruf, an Erbil-based lawmaker for the Iraq Turkmen Front, for his part, cited several reasons for the lack of electoral enthusiasm in the region.

“The economic crisis is a significant factor, as local people are having a hard time making ends meet,” he said.

“Another factor is the lack of trust in the [region’s] ruling parties, while the ongoing Daesh threat -- and the bitter dispute between Erbil and Baghdad -- have also served to dishearten the electorate,” Maruf added.

Yet another factor, the lawmaker said, is the fact that many people in the region care more about elections for the Kurdish parliament in Erbil, which are scheduled to be held in September.





Disputed areas

Murad Hakim Mohamed, a sociologist at the political science department at Erbil's Salahaddin University, said the loss of Kurdish influence in the disputed areas would likely have a negative impact on election results.

“Kurdish parties in Kirkuk, for example, can be expected to lose votes,” he said.

“Following the recent clashes [over disputed areas], Kurdish political influence in the region was severely diminished,” he explained.

“What’s more, many Kurds were displaced from their homes [in disputed areas],” Mohamed said. “Those who remained have lost faith in the political parties.”

Noting that Kurds previously had 18 elected MPs from the disputed areas, Mohamed predicted that this number would fall dramatically in the upcoming polls.

Of Iraq’s 24 million registered voters, 3.7 million are in the Kurdish region.

According to Iraq’s electoral districting, Erbil will elect 16 MPs, Sulaymaniyah 18 and Dohuk 12. As for the disputed parts of the country, Mosul will elect 34 MPs, Diyala 14, Kirkuk 13 and Saladin 12.

Reporting by Idris Okuducu:Writing by Ali Murat Alhas",Voters in Iraq’s Kurd region have little faith in polls,https://www.aa.com.tr/en/middle-east/voters-in-iraq-s-kurd-region-have-little-faith-in-polls/1138297
3,iraq,"



Baghdad (Iraqinews.com) – An Iraqi fisherman was arrested Sunday in Dhi Qar governorate as he was found implicated in killing two schoolgirls via his locally-made landmines, a security source was quoted as saying.

“A force from the Counter-Terrorism Service raided the fisherman’s house in al-Nasiriyah district in Dhi Qar and took him to a detention center as he will face charges of manufacturing landmines that killed two schoolgirls and injured another earlier in the day,” the source told Alghad Press.

“The three students were on their way to school when the landmine exploded.”

The suspect is believed to be “manufacturing the landmines to use them in his business,” and not for terrorist attacks, the source noted. “He was referred to the authorities concerned to be interrogated,” added the source.

Following decades of fierce conflicts between Iraqi government forces and armed groups, Iraq is still heavily contaminated with landmines and other unexploded materials. The UN says nearly five million people have been displaced since Islamic State militants took over large areas of Iraq in 2014 to proclaim a self-styled “Islamic Caliphate”.

The surge in violence between armed groups and government forces has resulted in over 5 million internally displaced persons across Iraq and left more than 11 million in need of humanitarian assistance, according to the UN Office for the Coordination of Humanitarian Affairs.

",Bomb maker arrested in Iraq over killing two schoolgirls,https://www.iraqinews.com/iraq-war/bomb-maker-arrested-in-iraq-over-killing-two-schoolgirls/
4,iraq,"BAGHDAD (Reuters) - Iraq on Saturday called on Arab leaders to “take a clear position” about Syria at a summit planned in Saudi Arabia on Sunday, Iraqi state television said, citing a foreign ministry statement.

Reporting by Maher Chmaytelli; editing by Jason Neely",Iraq calls on Arab summit to 'take clear position' on Syrian crisis,https://www.reuters.com/article/us-mideast-crisis-syria-iraq/iraq-calls-on-arab-summit-to-take-clear-position-on-syrian-crisis-idUSKBN1HL0KZ
5,iraq,"Erbil; Iraq. 11 April 2018 – On 10 April, the Kurdistan Regional Government together with the United Nations and its partners held a high-level joint conference on the priority needs in the Kurdistan Region.



Over one million internally displaced people and refugees have sought safety in Erbil, Dahuk and Sulaymaniyah governorates since January 2014. With the end of large-scale military offensives in late 2017, many families have been returning home and are trying to rebuild their lives. Close to 30 per cent of displaced Iraqis and nearly all of the 250,000 Syrian refugees in the country are living in the Kurdistan Region. This year, humanitarian partners estimate that approximately 736,000 people living in the Kurdistan Region, nearly half of them children, will require some form of humanitarian assistance.



In 2018, the humanitarian community, comprised of United Nations agencies, national and international NGOs and other partners, is requesting US$569 million through the Humanitarian Response Plan to respond to the needs of 3.4 million of the most vulnerable people in Iraq. In order to deliver humanitarian assistance to 600,000 of the most vulnerable people in the Kurdistan Region, the humanitarian community in Iraq is seeking US$156 million in financial support to implement activities outlined in the response plan.



“With the help of its international partners, the Kurdistan Regional Government has been able to provide critical humanitarian assistance, safety and security to over 1.5 million internally displaced Iraqis and 250,000 Syrian refugees” said Mr. Karim Sinjari, Minister of Interior of the Kurdistan Regional Government, while emphasising that “with continued support and collaboration of the international community, we can and are committed to do even more for the 1.1 million displaced people and 248,000 refugees still hosted in our region until safe, voluntary and dignified return is made possible.”



Additionally, Mr. Sinjari stated that “displacement is protracted and return might take years. An important step is therefore to recognize that the displaced people, refugees and the newly displaced as well as the host communities will continue to need assistance in 2018 and beyond.”



“The humanitarian crisis in Iraq has entered a new phase with the end of large-scale military operations. Nevertheless, protection continues to be the overriding humanitarian priority in Iraq, including in the Kurdistan Region; thousands of people have been already or are newly displaced and families have started returning to their homes,” said Mr Ramanathan Balakrishnan, the acting Humanitarian Coordinator for Iraq.



“Given the scale of the existing humanitarian needs, the United Nations and its partners in the Kurdistan Region remain committed to providing essential services and assistance packages to the vulnerable population, in particular those traumatised by the violence. Therefore, it is imperative that we continue to have strong international support for this year’s response plan,” added Mr Balakrishnan.



The Kurdistan Regional Government and the Joint Crisis Coordination Centre have provided a conducive environment for the work of the United Nations agencies and international NGOs towards meeting the humanitarian needs of Iraqis. However, local resources remain stretched.



The Kurdistan Regional Government and the humanitarian community will continue to coordinate assistance and respond to the needs and challenges faced by displaced people and returnees across the region.



For further information or media inquiries, please contact Aidan O’Leary, Head of OCHA Office, Iraq, oleary@un.org","High-level joint conference on the 2018 Humanitarian Response Plan, Regional Refugee and Resilience Plan and priority needs in the Kurdistan Region of Iraq",https://reliefweb.int/report/iraq/high-level-joint-conference-2018-humanitarian-response-plan-regional-refugee-and
6,iraq,"BAGHDAD (Reuters) - Air strikes carried out by the United States, France and Britain against Syrian military targets could give terrorism an opportunity to expand in the region, the Iraqi foreign ministry said on Saturday.

The air strikes marked a “a very dangerous development”, the ministry said in statement.

“Such action could have dangerous consequences, threatening the security and stability of the region and giving terrorism another opportunity to expand after it was ousted from Iraq and forced into Syria to retreat to a large extent,” it said.

The ministry called on Arab leaders to discuss the situation at a summit due to be held in Saudi Arabia on Sunday.

Iraq’s position is in line with those of Russia and Iran, the main backers of Syrian President Bashar al-Assad in the civil war which has raged in his country since 2011.

The United States, France and Britain have accused Assad of attacking the Douma suburb of Damascus with chemical agents on April 7. They say the air strikes on Saturday had been aimed at deterring his further use of chemical weapons.

Shi’ite-led Iraq has kept good relations with Assad’s government and Iran, while also receiving massive military and financial support from the United States, Britain and France.

A U.S-led military coalition provided key air and ground support to the Iraqi government forces last year to recapture Mosul and other cities seized by Islamic State in 2014.

Iraqi Prime Minister Haider al-Abadi last month said he wants “to keep away” from the conflict between the United States and Iran.",Western air strikes on Syria could let terrorism expand: Iraq,https://www.reuters.com/article/us-mideast-crisis-iraq-syria/western-air-strikes-on-syria-could-let-terrorism-expand-iraq-idUSKBN1HL0NR
7,iraq,"BAGHDAD (Reuters) - The Iraqi air force carried out a new strike on an Islamic State position inside Syria, Prime Minister Haider al-Abadi’s office said in a statement on Sunday.

Iraqi Prime Minister Haider al-Abadi speaks during the Tokyo Conference on Supporting Job Creation and Vocational Training to Facilitate Weapons Reduction for Iraqi Society in Tokyo, Japan, April 5, 2018. REUTERS/Toru Hanai

The strike targeted a position used by the commanders of the group, south of the town of Deshaisha, the statement said. “The position was completely destroyed,” it said.

The Iraqi air force has already carried out several air strikes against IS in Syria since last year, with the approval of the Syrian government of President Bashar al-Assad and the U.S.-led coalition fighting Islamic State.

Abadi last month said he would “take all necessary measures if they threaten the security of Iraq,” referring to the militants who just three years ago overran a third of Iraq.

The prime minister declared final victory over the ultra hardline group in December but it still poses a threat from pockets along the border with Syria and has continued to carry out ambushes, assassinations and bombings across Iraq.

Iraq has good relations with Iran and Russia, Assad’s main backers in the seven-year-old Syrian civil war, while also enjoying strong support from the U.S.-led coalition.",Iraqi air strike targets Islamic State position in Syria: PM,https://www.reuters.com/article/us-mideast-crisis-syria/iraqi-air-strike-targets-islamic-state-position-in-syria-pm-idUSKBN1I7041
8,iraq,"Water levels on four major reservoirs across the globe have reached such low levels they are threatening ‘Day Zero’ – the point at which the authorities have to turn off supplies.

Last month Cape Town was saved from reaching 'Day Zero' when a dramatic 60 per cent reduction in consumption warded off disaster.

But according to a report by the Resource Watch organisation, Morocco, India, Iraq and Spain are facing a similar crisis after water levels have fallen dramatically, threatening the livelihoods of millions of people.

Morocco:

The Al Massira dam in Morocco provides water for big cities as well as the country's vital agricultural sector

Resource Watch says the surface area of Al Massira dam, the second-largest reservoir in Morocco, has shrunk by more than 60 percent over the last three years.

The last time Al Massira was at this level was between 2005 and 2008, when more than 700,000 Moroccans were affected by drought and grain production fell by 50 percent.

In common with its north African neighbours, Morocco suffers from recurring droughts and in 2016 was hit by the worst drought in three decades.

As well as the agricultural sector, Al Massira supplies water to many cities, including Casablanca.

India:

In India, the falling water levels of two crucial reservoirs have led to fierce argument about how to allocate water.

The Narmada River flows from east to west through the Indian state of Madhya Pradesh, then through the state of Gujarat before emptying into the Arabian Sea.

Poor rains in 2017 have led to a clash how much water should be released from the Indira Sagar reservoir to the downstream Sardar Sarovar reservoir in Gujarat.

The Sardar Sarovar reservoir provides drinking water for 30 million people, almost half of Gujarat’s total population, and the irrigation for more than a million farmers.

Poor rainfall has led to a fierce argument about how much water to release from the Indira Sagar dam (pictured)

But releasing more water from the Indira Sagar dam would have further reduced the its reservoir’s supply during the critical summer period.

‘India is a highly water-stressed country and has suffered through many debilitating droughts in recent years,’ say Resource Watch.

‘These dry spells have devastated farmers, even driving some to commit suicide.'

Iraq:

The reservoir of the Iraq’s Mosul Dam has shrunk 60 percent in surface area from the late 1990s to present day.

According to Resource Watch, there are several reasons behind this including poor water resource management by the Iraqi government and intense regional droughts.

Water levels at the Mosul Dam reservoir have fallen by 60 per cent, with a Turkish hydroelectric project to blamed by many

But Turkey’s Southeast Anatolia Project and its 22 dams and 19 hydropower plants across the Tigris and Euphrates rivers are cited by many as a key driver behind the reduced river flow into Iraq.

Spain:

Spain, along with its neighbour Portugal, is fighting a drought that is drying up rivers, ruining crops and sparking wildfires.

The surface area of the Buendia dam reservoir shrunk by 60 percent over the last five years, says Resource Watch,

Levels that low were last seen in 2006, when the country was going through its worst drought in 60 years.

Experts warn that droughts will likely become more frequent and severe in this region, and water stress is projected to increase in many parts of Spain by 2040.","Morocco, India, Iraq, Spain could be next for Day Zero water crisis",http://www.dailymail.co.uk/news/article-5626133/Could-Morocco-India-Iraq-Spain-face-Day-Zero-water-crisis.html
9,iraq,"Famed Iraqi Humanitarian Visits Army Medical Center

An Iraqi humanitarian lauded as a national hero visited here March 26 to learn how the U.S. military cares for its wounded and injured warriors and their families.

Aliyah Khalaf Saleh, known as Umm Qusay in Iraq, toured Brooke Army Medical Center’s Warrior and Family Support Center.

The Warrior and Family Support Center provides coordinated services to patients, next of kin and extended family members.

As Umm Qusay walked through the center, she expressed her admiration for its recreational rooms, playgrounds and lush gardens.

“I don’t have enough words to say about this place,” Umm Qusay said through an interpreter as she settled in her chair, gathering her black robes trimmed in gold around her. “I’ve never seen this in Iraq before. I would love to help injured, sick, children who are sleeping in streets, widows who have nothing.

‘I See Great Courage Here’

“I see such great courage here helping injured soldiers and taking care of them, providing services,” she added. “I want to learn from you because of everything being offered here.”

Umm Qusay’s devotion to others came at great cost. The 62 year old was born in the Iraqi province of Salah al-Din, near Tikrit. She was not afforded the opportunity to attend school and was married at age 13.

In 2014, great tragedy struck her family, at the hands of Islamic State of Iraq and Syria terrorists.

“ISIS killed my husband, son and my nephew in front of my eyes,” Umm Qusay said. “They killed children, older people, women.”

On June 12, a group of Iraqi military cadets fleeing ISIS arrived. Umm Qusay and her family watched as young Iraqi military cadets jumped into the river to escape. Although still grief-stricken over the loss of her family, she set her emotions aside and took action.

Taking Action to Rescue Others

Umm Qusay rescued 58 recruits over a period of five months. She hid them, provided them with identification cards from the local university to hide their identities, and helped prepare their escape routes, according to her biography. She also taught the Shiites how to pray as Sunnis to prevent exposure to ISIS operatives.

“Umm Qusay, a Sunni, believed strongly that each young boy deserved her care whether Christian, Kurd, Turkmen, Yezidi, Sunni or Shiite,” according to her biography.

For her actions. Umm Qusay was one of 10 women from around the world honored with the 2018 Secretary of State’s International Women of Courage award. Established in 2007, the award honors women “who have exemplified exceptional courage and leadership in advocating for human rights, women’s equality and social progress, often at great personal risk,” according to the State Department’s website.

“It was difficult,” Umm Qusay said. “I sacrificed everything I had, but I was able to save lives and that was the reason I was given this honor by God’s grace.”

Caring for Wounded Iraqi Service Members

Four years later, Umm Qusay’s life is still devoted to others; she cooks for Iraqi soldiers and visits with wounded service members.

When asked why she put her life on the line four years ago, Umm Qusay said it all came down to family. “I saved 58 young men in order to return them to their wives, their mothers, their homes,” she said.

“A human being no matter nationality or background -- American, Saudi, Iraqi, Afghanistan -- in all of these religions and human beings, God created them; God put the breath of life in them,” she said, her passion evident despite the language barrier. “Any person that wants courage should trust God and go forward. If it’s to do good and serve others … go forward without fear. So any good deed a person wants to do will be supported and cared for by God.”

For Umm Qusay, courage is a simple concept.

“When asked for a robe for cover, give your robe. Courage is generosity and generosity is courage,” she said.

“We are all created by God,” Umm Qusay said in her biography. “We are all the same.”",Famed Iraqi Humanitarian Visits Army Medical Center,https://www.defense.gov/News/Article/Article/1489254/famed-iraqi-humanitarian-visits-army-medical-center/
