,Concerning,Text,Title,URL
0,mali,"Khadidia Maïga was frustrated by how Google searches of her country tended to throw out keywords like “terrorism,” “poverty” and “deprivation.” But she decided she wasn’t going to just sit back and criticize her country’s increasingly dysfunctional systems responsible for those word associations.

So, she helped create an online platform called Transformons le Mali (Let’s Transform Mali) that calls for ideas from the public and then processes them into a comprehensive plan for change. She and her friends, she says, have long discussed what kind of country they want to live in, and what needs to be done. Now they’re doing it.

And they’re not alone. Using the power of the internet, a new breed of cyber-activists is emerging in Mali, trying to connect citizens and urge them to move beyond living-room criticism into actual action for change. At their heart, these initiatives are about upturning a political culture that is disconnected from Mali’s citizens and a social culture of apathy born out of disillusionment.

We know that there’s another Mali, with young talent and the drive to turn our country into the Mali we’re dreaming about. Khadidia Maïga, cofounder, Transformons le Mali

The 2012 crisis was what pushed Fatouma Harber, a Timbuktu-based teacher and blogger, toward activism too. On her blog, Facebook page and Twitter account, she takes on Islamist forces she views as imposing an alien version of the religion on a city that for centuries has been a center of moderate Islamic teachings and science. And Transformons le Mali is planning to unveil a roadmap of action in June, a month before Mali’s presidential elections.

For Ousmane Maïga, who was born in Mali, has lived in New York and now shuffles between France and the country of his birth, the turning points were an armed rebellion and a coup — both in 2012 — that shook the nation to its core. The coup, which threatened to reverse Mali’s limited gains since its transition to democracy in 1991, left Ousmane and his friends feeling helpless. So, they devised and launched kouloubametre.com, a website and a discussion tool that tracks the current president’s election promises and the status of their implementation.

“We know that there’s another Mali, with young talent and the drive to turn our country into the Mali we’re dreaming about,” says Khadidia.

Almost everyone in this vast West African nation — the size of Alaska, Texas and Michigan combined — has a smartphone, so the emergence of cyber-activism isn’t surprising. But these initiatives aren’t limited to the country’s borders. They strive to include the vast diaspora — an estimated 1.2 million Malians live in France alone.

That diaspora connection is important. At the time of the 2012 coup, most of them weren’t in the country. “We had no say in the matter,” Ousmane recalls. That won’t happen again with others in the diaspora, if kouloubametre.com has its way. To overcome the challenge that many cannot read, write or express themselves in French, the official language, Ousmane and her colleagues send people apps on their smartphones that allow them to contribute ideas in any language.

For Harber, having her say online is critical, for the future of her city. ”I have to represent my city, as an integral part of Mali with its inclusive culture that others have been trying to take away from us,” she says. But she has also started a platform called Sankoré Labs that serves an incubator, a co-working space and a digital training school, all rolled into one. As a young girl, she found her family background and culture nourished her talents. She wants Sankoré Labs to play that role too. It’s a place “for the young,” she says, “where they can work, receive training in how to navigate the digital world and regain a sense of self-value.”

Will any of this work? These movements are emerging in a political context marked by a “very large” gap between citizens and politicians, says Baba Dakono, a researcher at the Institute for Security Studies, an Africa-wide research organization that looks into terrorism, justice and governance. “There is no space for debate,” he says. Mali has tried multiple experiments since adopting democracy, says Dakono. It has had citizens’ action and reflection circles. But leaders ultimately succumbed to political gamesmanship and lost the trust of citizens, he adds.

For the new digital initiatives to succeed, they need to “bridge that gap,” says Dakono. “They can do this by becoming wellsprings of ideas,” he says. “And by remaining independent.”

That’s what Transformons le Mali is trying to do. So far, the website has received around 200 ideas on subjects such as health care, agriculture, security, education, culture and identity. To avoid just being a receptacle of ideas, the group is working in thematic teams, each processing ideas related to a sector. A Transformation Plan for Mali, based on this work, will be unveiled publicly in June, says Mamadou Camara, the project’s coordinator. They will also share the plan with “all candidates and we’ll get them to pledge to carry it out if they get elected,” says Camara.

Won’t this pull them into exactly the kind of political game Dakono is warning against? Maybe. But the urgency of Mali’s predicament is such that the activists and their supporters worry more about the inevitable failure that comes from doing nothing. “We seem to be stuck with a political class that is incapable, some even say unwilling, to do anything about the crisis we’re in,” says Ousmane. “And so — it’s up to us.”

That urgency appears to be resonating. Sirandou Diawara is a young Franco-Malian architect who has embraced the new movement. “We’re in a time of crisis, and we must come up with solutions,” she says. She’s trying to figure out how best she can contribute, professionally and personally.

These disparate activities are only loosely connected, with limited contact with each other. But they’re part of a wider emergence of digital change agents across West Africa nations, who regularly meet — a conclave has been planned in Ouagadougou in June.

The movement may be spreading, but Malian cyber-activists are clear. They’re only starting out, and their journey is long. Khadidia Maïga mulls what it will take for her to feel content. That will be when Mali’s youth start acting on their own. “We’re a catalyst,” she says. “All we want to do is to change minds.”",Can Cyber-Activism Strengthen Mali's Democracy?,https://www.ozy.com/fast-forward/can-cyber-activism-strengthen-malis-democracy/86264
1,mali,"New Rochelle, NY, May 8, 2018--A multidisciplinary panel of experts discussed how medicinal cannabis can impact the opioid crisis, though clinical research to quantify this is difficult given strict federal laws. The expert roundtable, titled ""Cannabis and the Opioid Crisis,"" is published in Cannabis and Cannabinoid Research, a peer-reviewed journal from Mary Ann Liebert, Inc., publishers . The article is available open access on theCannabis and Cannabinoid Research website.

Moderated by Daniele Piomelli, PhD, University of California, Irvine, School of Medicine and Editor-in-Chief of Cannabis and Cannabinoid Research, the panel discussion covered the legal and financial barriers to understanding how cannabis can be used to alleviate chronic pain and potentially ease the opioid crisis, as well as how state laws allowing medicinal cannabis have impacted the communities most affected by opioid use. Participants included Susan Weiss, National Institute on Drug Abuse; Graham Boyd, New Approach PAC, ACLU Drug Law Reform Project; Rosalie Liccardo Pacula, BING Center for Health Economics, Drug Policy Research Center, Pardee RAND Graduate School; and Ziva Cooper, Department of Psychiatry, Columbia University Medical Center.

""Is medicinal cannabis helpful or detrimental in the current opioid crisis? This deceptively simple question has no answer yet. Setting a research agenda to answer it is both important and urgent,"" says Editor-in-Chief Daniele Piomelli, University of California-Irvine, School of Medicine.

###

About the Journal

Cannabis and Cannabinoid Research is the only peer-reviewed open access journal dedicated to the scientific, medical, and psychosocial exploration of clinical cannabis, cannabinoids, and the biochemical mechanisms of endocannabinoids. Led by Editor-in-Chief Daniele Piomelli, PhD, PharmD, the Journal publishes a broad range of human and animal studies including basic and translational research; clinical studies; behavioral, social, and epidemiological issues; and ethical, legal, and regulatory controversies. Complete information is available on the Cannabis and Cannabinoid Research website.

About the Publisher

Mary Ann Liebert, Inc., publishers is a privately held, fully integrated media company known for establishing authoritative peer-reviewed journals in many promising areas of science and biomedical research, including Journal of Medicinal Food, The Journal of Alternative and Complementary Medicine, and Journal of Child and Adolescent Psychopharmacology. Its biotechnology trade magazine, GEN (Genetic Engineering & Biotechnology News), was the first in its field and is today the industry's most widely read publication worldwide. A complete list of the firm's 80 journals, books, and newsmagazines is available on the Mary Ann Liebert, Inc., publishers website.",The role of cannabis in the opioid crisis is focus of new expert roundtable discussion,https://eurekalert.org/pub_releases/2018-05/mali-tro050818.php
2,mali,"Photo: P.Breu/ DW

The political situation in Mali is tense and the Malian army is currently too weak to guarantee stability and security. Many Timbuktu residents who fled the city in 2012 have not returned. They do not trust the uneasy peace and their city faces an uncertain future.

Dakar — Ethnic violence in central Mali has driven 3,000 people into northern Burkina Faso since February, straining dwindling food and medical supplies in that part of the West African nation, the United Nations said on Tuesday.

More refugees are expected to arrive, driven by a surge in fighting between Peul and Dogon communities in Mali's Mopti region, said a spokeswoman for the U.N. refugee agency UNHCR.

The influx is putting pressure on vulnerable host communities in Burkina Faso's north, which is facing its worst hunger in years coupled with growing violence, aid agencies said.

""We think that the influx of new asylum-seekers might aggravate the situation,"" UNHCR spokeswoman Marlies Cardoen told the Thomson Reuters Foundation.

Poor rains last year have left almost a million people in need of food aid in Burkina Faso, while attacks by a homegrown Islamist group are on the rise.

The new arrivals - including 2,000 Malians and 1,000 Burkinabe who had settled in Mali - are mostly staying with friends and relatives in volatile, hard-to-reach areas near the border, said UNHCR.

""We want them to come to Ouahigouya (the nearest town) or the refugee camp where we can register them all and give them food aid,"" said Cardoen by phone.

But some prefer to remain in the border area because they are expecting family to join them, hope to go home soon, or do not know of other options, she said.

While 3,000 people will not make a big difference on a national scale, it could have an impact in host communities, said Christian Munezero, head of mission for the International Committee of the Red Cross.

""It is worrying, especially if it's on the level of one community or a few villages,"" he said.

The refugees have no work opportunities, and parents fear sending their children to school because of attacks, said UNHCR.

The 3,000 new arrivals add to about 24,000 Malians who have fled to Burkina Faso since Islamists seized Mali's desert north in 2012. French troops intervened to push them back a year later, but Islamist attacks and ethnic fighting persist.

- Reporting by Nellie Peyton, Editing by Robert Carmichael",Mali: Ethnic Violence Pushes Malians Into Burkina Faso Crisis Zone,http://allafrica.com/stories/201804190637.html
3,mali,"CLOSE Malians woke up to a state of emergency after Friday's assault on the Radisson Blu Hotel in the capital killed 20 people plus two assailants, according to a military commander. An American woman from Maryland was among the dead. (Nov. 21 AP

A Facebook post by the Tuareg militia in Mali claims to show a vehicle used by U.S. soldiers who were killed in neighboring Niger in October 2017. This photo was taken April 20, 2018. (Photo: Soumaila T. Diarra)

BAMAKO, Mali — A militia in Mali claims it found the vehicle used by four American soldiers killed in an ambush by Islamist militants in neighboring Niger last fall. The discovery indicates how fighters linked to the Islamic State likely traveled between the two countries.

As the militia of ethnic Tuareg soldiers discuss how to return the vehicle to U.S. authorities, the Islamic State is pushing deeper into this poor, West African country and raising fears of more violence.

Mali's minister of foreign affairs, Tiéman Hubert Coulibaly, said he was concerned that the Islamic State, also known as ISIS, would redeploy to Africa as the U.S-led coalition quashes the terrorist group in Iraq and Syria.

""The current momentum in the Middle East can have consequences for the stability of Mali"" and the surrounding region here, Coulibaly said.

Mali already has an active chapter of al-Qaeda, which drove a car bomb into a military base near Timbuktu on April 14, killing a United Nations peacekeeper and wounding seven French soldiers.

""Three days don’t go by without hearing the news of an assassination by the terrorists,” said Hamady Touré, a commercial spice salesman. “The worst thing is that vehicles carrying civilians drive on explosive devices that the terrorists place.”

Those concerns mount despite an international response to the terrorist threat in Mali. The U.N. sent 15,000 peacekeepers to Mali five years ago. France has 4,000 troops in this former French colony. Five nearby countries — Burkina Faso, Chad, Mali, Mauritania and Niger — created a joint force of 5,000 troops to secure their borders against militants.

The Tuareg militia that claims it found the Americans’ four-wheel-drive Toyota in March also said it is an important defense against ISIS.

Damage is seen in this April1 6, 2018, photo at a military base near Mali's historic city of Timbuktu after a car bomb attack at the base on April14. (Photo: AFP/Getty Images)

“The main target of these armed terrorists is none other than the local authorities and religious leaders,” said Fahad Almahmoud, a Tuareg militia spokesman.

The Tuareg soldiers are now allies of Mali’s government, but until three years ago they fought against the regime for an independent country.

Tiébilé Dramé, an opposition politician, said the government shouldn’t depend on militias and needs to do more. He said more terrorists appear to be moving into Mali despite the international help, so ordinary citizens see little reason to believe in their leaders.

""The fault is the current governance is bad,” Dramé said. “More than 500 schools are closed in the center of the country because of poor security.”

Mali's security situation has been precarious the past several years. In November 2015, heavily armed gunmen stormed the Radisson Blu hotel in Bamako, the Mali capital, killing 20 people. A year ago, several local extremist groups announced they had banded into a bigger organization affiliated with al-Qaeda.

A U.N. report in March said the militias here have too much power. The report said the Tuaregs and another militia allied with the Malian government conducted extra-judicial executions, made illegal arrests, recruited child soldiers and had other human rights violations in northern Mali.

“It is necessary that both the government and the armed groups investigate serious violations and abuses of human rights and international humanitarian law,"" said Mongi Hamdi, a U.N. special representative in Mali when the report was published. “This is in the interest of victims’ rights and for the reconciliation and establishment of a lasting peace in Mali.”

In the south, Mali's army and the Dozo — traditional armed hunters who act as an independent defense force — have been accused of similar abuses against the Fulani ethnic community, a Muslim group often loyal to extremists.

""The Malian army is making summary executions of civilians suspected of terrorism,” said Nouhoum Cissé, a member of a Fulani defense organization. When a Fulani appears in the central part of the country, ""you can be suspected of terrorism,” he said.

Malians and Fulanis lived together in harmony for centuries but are now poised to kill each other, Cissé said. He said terror attacks have also driven the indigenous Dogon people to create self-defense militias. Dogon and Fulani groups have clashed as a result.

“The question is who benefits from this situation. It does not benefit the Dogon. It does not benefit the Fulani,” Cissé said. “Those who benefit are the terrorist groups.”

More: Mali resort attacked by gunmen; at least 2 dead

Read or Share this story: https://usat.ly/2rt8PpN","Mali ripe territory for ISIS, local militias — and they often clash",https://www.usatoday.com/story/news/world/2018/05/07/mali-isis-islamic-state-militias-violence/546985002/
4,mali,"In Numbers

350 mt of food assistance distributed

USD 527,681 in cash-based transfer made

USD 62.2 million six months (April-September 2018) net funding requirements, representing 48 percent of total

175,571 people assisted in March 2018

Operational Updates

Implementation of the Transitional Interim Country Strategic Plan (T-ICSP) began in January 2018. The T-ICSP is based on seven strategic outcomes and aims to support the Government in achieving its National Development Plan (CREDD 2016–2018), the Sustainable Development Goal (SDG) 2 of Zero Hunger and SDG 17, Partnership.

According to the March 2018 Cadre Harmonisé, 390 000 people are in urgent need of food assistance, with this number rising to 930,000 from June 2018. These figures are higher than the projection made in November 2017. The increase in food insecurity is due to a poor agricultural harvest in some areas, persistent insecurity in northern and central Mali, a basic food basket which is 20-30 percent higher than the same time last year, all of which affect the poorest and most vulnerable households. In addition, insufficient water and low levels of biomass have led to early transhumance, increasing the strain on natural resources and risks of conflicts over resources. These factors have resulted in a deterioration in the food security situation.

In line with the T-ICSP Strategic Result 1 and 2, WFP aims to provide emergency and seasonal assistance to 155,000 vulnerable people starting from March. To combat the deteriorating situation, from June WFP will increase food assistance to 504,000. A total of 197,000 children aged 6-23 months and pregnant and lactating women will be assisted to prevent malnutrition. WFP plans to provide nutritious foods to 298,000 children aged 6-59 months and pregnant and lactating women to treat acute malnutrition.

WFP continues to provide food assistance for assets creation in the food-insecure areas vulnerable to agro-climatic shocks.

WFP Mali manages the UN Humanitarian Air Service (UNHAS) as part of its T-ICSP on behalf of the humanitarian community. From the Bamako base, UNHAS provides humanitarian air services to seven destinations: Timbuktu,

Gao, Bourem, Niafunke, Goundam and Menaka. In March 2018, UNHAS served 963 passengers and transported 2,320 kg of light cargo.","WFP Mali Country Brief, March 2018",https://reliefweb.int/report/mali/wfp-mali-country-brief-march-2018
5,mali,"Across the Sahel region, more than five million people are facing the consequences of forced displacement. Persistent instability in northern Mali, violence and insecurity in the Lake Chad Basin, and the impact of the conflict in the neighbouring Central African Republic continue to cause new population displacements and hinder the return of displaced people to their homes",Sahel Crisis: Population Movement (as of 09 May 2018),https://reliefweb.int/map/mali/sahel-crisis-population-movement-09-may-2018
6,mali,"BURKINA FASO

AID ORGANISATION DRIVER REPORTED MISSING

A Burkina Faso Red Cross driver was reported missing on 3 May in the northern Soum province. The driver had been travelling between Djibo and Arbinda towns. His vehicle has also gone missing. Humanitarian access has been significantly hampered in Burkina Faso’s northern region since November 2017 due to armed attacks and military operations. More than 950,000 people, a third of them in the northern Sahel region, require urgent relief assistance across the country.

CENTRAL AFRICAN REPUBLIC

BANGUI UNREST RESTRICTS HUMANITARIAN MOVEMENT

On 4 May, UN and NGO staff restricted staff movement in the capital Bangui during a protest called to desert the city following the killing of 24 people in a violent attack three days earlier. Protesters barricaded main roads and most people stayed away from the city. Aid organisations are still facing difficulties providing emergency assistance such as ferrying injured people to hospitals due to the presence of armed elements. The unrest has also forced some people to flee for safety elsewhere.

DR CONGO

HEAVY RAINS LEAVE OVER 9,000 HOMELESS

Torrential rains over the past two weeks in Uvira in the eastern South Kivu province have left more than 9,000 people homeless and destroyed at least 6,500 houses. Several schools and health centres have been flooded. In total, around 32,000 people have been affected. Basic household items, shelter, water, health, sanitation and hygiene assistance are the urgent needs.

MALI

IED KILLS FOUR CHILDREN IN MOPTI

On 2 May, four children playing with an explosive device they thought was a toy died when the ordnance exploded. The accident happened in Dia town in the central Mopti region. Improvised explosive devices are among the biggest threats in central and northern Mali. Since 2013, 341 tons of obsolete, unsafe and unserviceable ammunition, including 85 obsolete surfaceto-air missiles, and nearly 11,500 fire arms were found and destroyed by UN Mine Action Support (UNMAS). This represents the world’s largest ammunition stockpile disposed of by a national authority with UNMAS assistance.

NIGERIA

CHOLERA OUTBREAK SPREADING IN NORTH-EAST

The cholera outbreak that erupted in February in Nigeria’s northeast is continuing to spread. Cases have now been confirmed in four local government areas (LGA) in Borno state and one LGA in Yobe state.

Suspected cases have also been reported in two other LGAs in Borno and four in Yobe.

The UN and partners are responding to the outbreak, including through surveillance, case management, water and sanitation services and raising awareness in the communities.

TWIN SUICIDE ATTACKS KILL 27 IN ADAMAWA

Twin suicide bombings at a mosque and at a market on 1 May killed at least 27 people and wounded dozens in Mubi town in the north-eastern Adamawa state. The attack was one of the deadliest witnessed in the town. Security has been tightened. Armed groups continue to launch violent attacks against civilians and military targets in northeast Nigeria.",West and Central Africa: Weekly Regional Humanitarian Snapshot (1 - 7 May 2018),https://reliefweb.int/report/nigeria/west-and-central-africa-weekly-regional-humanitarian-snapshot-1-7-may-2018
7,mali,"Gao – Since 10 April, 1,135 West African migrants – including 9 women and 30 children – have been assisted by IOM, the UN Migration Agency, in Gao, northern Mali. These migrants were apprehended by the Algerian authorities when they were attempting to reach Europe via Algeria.

The migrants entered Mali via Inkhalid, a small town along Algeria’s southern border with Mali, after they were deported by the Algerian authorities. Located in Mali’s desert region of Kidal and declared an area of insecurity since the country’s 2012 political crisis (as a result of a military coup and rebellion in the north) Inkhalid has no infrastructure to house the hundreds of returning migrants and no public transportation to Gao, the closest city under the Malian government’s control – and a 36-hour drive away, through the desert. Given the security situation in the area, assistance operations are also difficult.

In Gao, IOM and its partners, local civil society organizations, the Malian Red Cross, UNICEF and shelter centres (Regional Directorate of Civil Protection, Migrant Reception Centre, Direy Ben and La Maison des Migrants) work together to house the hundreds of migrants in need of immediate assistance (reception, profiling, food, accommodation, non-food item provision and health care) until they are transferred to the Civil Protection Transit Centre of Sokoniko, Bamako.

The rescued migrants mainly come from Mali but also from Guinea, Senegal, Côte d’Ivoire, Burkina Faso, Niger, the Gambia, Benin, Guinea-Bissau, Mauritania, Liberia, and Nigeria and are all in alarming health conditions.

“Some 488 migrants arrived in one day (23/4), but the IOM office in Gao can house a maximum of 300 people,” said Oscar Safari, head of the IOM sub-office in Gao. “To better assist these migrants and continue our work in good conditions, IOM in Bamako immediately deployed additional staff in Gao. However, even more staff and equipment are urgently needed to deal with daily arrivals to Gao.”

In Bamako, Malian authorities and IOM are facing the same difficulties. The Sokoniko Civil Protection Centre and other such reception centres have also reached their capacity even though the rescued migrants still need to receive immediate assistance. Private centres were contacted by IOM to respond to the housing needs of the next wave of returning migrants, before the opening of the Migrant Centre built by the Government of Mali.

“Since April 2018, large migration flows were observed at the border between Algeria and Mali,” said Bakary Doumbia, IOM Chief of Mission in Mali. “IOM works hard to provide immediate assistance to returning migrants. Given the conditions in which these migrants arrive and the immediate need to facilitate their return to their countries of origin, emergency response with adequate actions should be conducted. We should increase our response capacity to deal with these emergencies.”

To date, 509 people were transported by IOM to Bamako, and 242 have returned to their countries of origin. The consular services in Bamako are facilitating the safe return of the remaining migrants in their countries of origin across the region. Until their departure, migrants will be assisted by IOM and its partners.

Notably, since September 2017, IOM witnessed large migration flows at the border between Algeria and Niger. Since 1 January, over 3,000 migrants were rescued in the desert and 1,500 last week only. Most of the migrants assisted by IOM Niger were found in bad health conditions after they were brought to the Algerian border and left in the desert.

Nigerien authorities and IOM rescued and transported the 1,500 migrants to Arlit and then to the Transit centre in Agadez. IOM, through its Resource and Response Mechanism for Migrants (MRRM) programme and in collaboration with Niger authorities, UNICEF and NGOs, provides basic humanitarian assistance for these people upon their arrival in Niger and before they return to their place of origin. Voluntary return operations to their countries of origin are now underway under the EU-IOM Joint Initiative for Migrant Protection and Reintegration.

Since September 2017, IOM witnessed large migration flows at the border between Algeria and Niger. Since January 1, over 3,000 migrants were rescued in the desert and 1,500 last week only. Most of the migrants assisted by IOM Niger were found in alarming health conditions after they were brought to the Algerian border and left in the desert. Nigerien authorities and IOM rescued and transported the 1,500 migrants to Arlit and then to the Transit center in Agadez. IOM, through its Resource and Response Mechanism for Migrants (MRRM) programme and in collaboration with Niger authorities, UNICEF and NGOs, provides basic humanitarian assistance for these people upon their arrival in Niger and before they return to their place of origin. Voluntary return operations to their countries of origin are now underway under the EU-IOM Joint Initiative for Migrant Protection and Reintegration.

For more information please contact Seydou Tangara at IOM Mali, Tel: +223 76 42 63 59, Email: stangara@iom.int or Hamed Diallo, Tel: + 223 75 63 53 24, Email: hdiallo2@iom.int","UN Migration Agency in Mali Assists Over 1,100 Sub-Saharan Migrants at Algerian Border",https://reliefweb.int/report/mali/un-migration-agency-mali-assists-over-1100-sub-saharan-migrants-algerian-border
8,mali,"The influx is putting pressure on vulnerable host communities in Burkina Faso's north, which is facing its worst hunger in years coupled with growing violence

By Nellie Peyton

DAKAR, April 17 (Thomson Reuters Foundation) - Ethnic violence in central Mali has driven 3,000 people into northern Burkina Faso since February, straining dwindling food and medical supplies in that part of the West African nation, the United Nations said on Tuesday.

More refugees are expected to arrive, driven by a surge in fighting between Peul and Dogon communities in Mali's Mopti region, said a spokeswoman for the U.N. refugee agency UNHCR.

The influx is putting pressure on vulnerable host communities in Burkina Faso's north, which is facing its worst hunger in years coupled with growing violence, aid agencies said.

""We think that the influx of new asylum-seekers might aggravate the situation,"" UNHCR spokeswoman Marlies Cardoen told the Thomson Reuters Foundation.

Poor rains last year have left almost a million people in need of food aid in Burkina Faso, while attacks by a homegrown Islamist group are on the rise.

The new arrivals - including 2,000 Malians and 1,000 Burkinabe who had settled in Mali - are mostly staying with friends and relatives in volatile, hard-to-reach areas near the border, said UNHCR.

""We want them to come to Ouahigouya (the nearest town) or the refugee camp where we can register them all and give them food aid,"" said Cardoen by phone.

But some prefer to remain in the border area because they are expecting family to join them, hope to go home soon, or do not know of other options, she said.

While 3,000 people will not make a big difference on a national scale, it could have an impact in host communities, said Christian Munezero, head of mission for the International Committee of the Red Cross.

""It is worrying, especially if it's on the level of one community or a few villages,"" he said.

The refugees have no work opportunities, and parents fear sending their children to school because of attacks, said UNHCR.

The 3,000 new arrivals add to about 24,000 Malians who have fled to Burkina Faso since Islamists seized Mali's desert north in 2012. French troops intervened to push them back a year later, but Islamist attacks and ethnic fighting persist.

(Reporting by Nellie Peyton, Editing by Robert Carmichael. Please credit Thomson Reuters Foundation, the charitable arm of Thomson Reuters, that covers humanitarian news, women's rights, trafficking, property rights, and climate change. Visit www.trust.org)

Our Standards: The Thomson Reuters Trust Principles.",Ethnic violence pushes Malians into Burkina Faso crisis zone,http://news.trust.org/item/20180417192205-iexm1/
9,mali,"A retired general who led Canadian troops in one of the biggest battles during the war in Afghanistan says the government’s plan for a peacekeeping mission in war-torn Mali is focused too heavily on the military.

As the government readies more than 200 Canadian Forces personnel along with combat and troop-carrier helicopters, it should include civil engagement, says former Major-General David Fraser.

Fraser, commander of more than 2,000 Canadian troops and personnel during a fierce 2006 battle between Canadians and Taliban insurgents in Afghanistan, said Monday Canada’s Mali mission is “very military.”

In an appearance on CBC Radio’s The Current, Fraser said he supports the government decision to send Canadian forces on their first UN mission under the Trudeau Liberals.

But he said the government should learn from what Canadians accomplished on the non-military side of the war in Afghanistan.

“This was about talking, this was about building, what we brought to this conflict was a multicultural, multi-ethnic, a whole-of-government team Canada approach,” Fraser said of Canada’s Afghanistan mission.

No new details have emerged about the government’s plan for a UN mission to Mali since Defence Minister Harjit Sajjan and Foreign Affairs Minister Chrystia Freeland announced it in March.

The only confirmed components consist of two Chinook troop-transport helicopters to carry peacekeepers from other countries and four Griffon combat helicopters as escorts for the Chinooks. There has been at least one report another country, Ecquador, could supply two attack helicopters for more robust defence against attacks from Islamic groups battling the Mali government.

The government is expected to deploy up to 250 aircrew and other support personnel.

The war has been deadly for UN peacekeepers from African countries since it began in 2013, with more than 160 killed in the warring.

As of Monday, Canada’s Global Affairs international risk level advisory for Mali was (in capital letters) “AVOID ALL TRAVEL.”

Fraser, commander of the Canadian troops in Kandahar when four Canadian soldiers died in one day during direct combat against hundreds of Taliban fighters, said Canada should apply the methods of civilian engagement it used in Afghanistan to Mali.

“When we go to Mali, let’s take that whole of government approach, it’s all of the stuff that we’ve done in Afghanistan. You can apply the same template to our UN missions,” he said.

“Right now, it seems very penny-packeted, it seems very military and it’s not in keeping with the totality of what Canadians are coming out of Afghanistan, how we had a whole of government approach” Fraser said.

“Why are we not applying that in a more cohesive fashion where you take the helicopters, the C-130 Hercules aircraft, put some CIDA (Canadian International Development Agency) in there, put some foreign affairs in there?” he told The Current Host Anna-Maria Tremonti.

The Canadians won a tactical victory during the two-week 2006 battle against Taliban soldiers in Operation Medusa, but the Taliban forces who were forced out of the region eventually returned to resume hit-and-run attacks against NATO soldiers.

“I’m suggesting that we look at the lessons of operation Medusa and what we got out of that,” Fraser said. “Our 12, 14 years of Afghanistan, and we could probably apply that to every other mission when we go around the world, including Mali.”

The Canadian Forces personnel are expected to be deployed to the city of Gao, in the rebel-torn region of northern Mali and near a massive French military operation.

Canadian development and humanitarian assistance to Mali totalled $152 million in 2014-2015, government figures show.

Canadian mining investments in Mali were estimated at more than one billion dollars in 2014, says the Global Affairs site.",Canada’s ‘very military’ Mali mission should learn from Afghan lessons: general,https://ipolitics.ca/2018/05/07/canadas-very-military-mali-mission-should-learn-from-afghan-lessons-general/
