,Concerning,Text,Title,URL
0,niger,"Speaking to reporters in Abuja, he alleged that Usani compromised the Stan Ekeje-led committee sent to the state to conduct the congress. He also accused Usani of attempting to hijack the party structure, insisting that the ward congress did not hold in the 196 wards of the state.

Eno enjoined the John Odigie-Oyegun-led national working committee (NWC) to constitute an independent panel to conduct the congresses in the state.He added that key stakeholders of the party would resist any attempts by Usani to submit any results that could convey the impression that the ward congresses actually held. He said when it was obvious that the ward congress could not hold on Saturday, all the stakeholders including him drove to the office of the Commissioner of Police in the state where they signed to keep the materials sent from the national secretariat with the police.

“It will be shameful that any list of delegates and elected people comes out of the last Saturday’s exercise in Cross Rivers when the result sheets and other materials from the national headquarters are in the custody of the Nigerian Police.“I don’t think it will happen but if it does happen, I believe the stakeholders will meet to agree on a line of action,” he added.

But when contacted on telephone, Usani declined to comment on the issue adding: “Go and talk to the congress chairman and the state chairman of the party.”Meanwhile, some members of the party from Kaduna State protested to the national secretariat of APC, saying the party was dying in the state.They carried placards with inscriptions such as: Baba, Please Call Kiriku To Order, APC Is Dying In Kaduna, EFCC, Investigate John Odigie-Oyegun And Return Our Money, Congress Must Hold In Kaduna and Affirmation Is Undemocratic, among others.","Senator blames Usani for crisis in Cross River, Kaduna protesters storm secretariat",https://guardian.ng/politics/senator-blames-usani-for-crisis-in-cross-river-kaduna-protesters-storm-secretariat/
1,niger,"Amid questions over the role of the U.S. military in this part of the world, there is a renewed focus on training local law enforcement officers in the hopes that extremism can be better countered at the community level and along borders. The challenges are great in Niger, where residents of its vast, largely ungoverned spaces say they are losing confidence in authorities.

The police training in one of Africa’s most remote, impoverished countries is crucial as extremists linked to Daesh and Al Qaeda carry out increasingly bold attacks in West Africa’s vast Sahel region. In October, four U.S. soldiers and five Nigeriens were killed in an ambush claimed by Islamic State group-linked fighters in rural Niger.

NIAMEY, Niger—Under the watchful eyes of U.S. authorities, an elite group of local police officers in Niger’s capital slipped into a home, rescued a “hostage,” detained an “extremist” and pretended to kill another.

As extremism grows “it’s important not to lose sight of the issues at the core of their proliferation and recruitment success, notably bad and often abusive governance,” said Corinne Dufka, Human Rights Watch’s West Africa director. “The Islamist groups are cleverly exploiting local grievances to make inroads with local populations.”

That includes abusive practices by local security forces, she said, calling efforts to professionalize them key.

The U.S. ambassador to Niger, Eric P. Whitaker, said the U.S. is addressing the “factors that create an environment for extremism” by investing more than $500 million (U.S.) over the next few years into local programs for better governance, education, health, agriculture, security and more.

The State Department’s Antiterrorism Assistance Program also is addressing such concerns by training local security forces in everything from border control and investigations to human rights and justice.

After an attack killed 20 people at a luxury hotel in Mali’s capital in November 2015, the U.S. invested $15 million in training nearly 100 local police in crisis response. They also were given the necessary equipment to respond to further attacks, according to Samuel L. Pineda, director in the office of programs with the department’s Bureau of Counterterrorism.

The program has paid off, he said. Several of the trained officers responded during the March 2016 attack on the European Union military training mission’s headquarters in Bamako. And during the June 2017 attack on a resort popular with foreigners outside the capital they helped to kill attackers and rescue victims.

“We want to create transparent forces and we want the people to trust those forces,” Pineda said. “Nobody wants their local market blown up … so if they have the trust of the population, the information comes back in.”

In 2018, the Bureau of Counterterrorism will invest an estimated $106 million in sub-Saharan Africa.

About $50 million of that is dedicated to State Department counterterrorism programs in West and Central Africa, including ones in Burkina Faso, Cameroon, Chad, Nigeria and Mauritania.

The crisis response program in Mali eventually will be replicated in Niger, where the Antiterrorism Assistance Program has dedicated roughly $10 million to training and equipment this year.

During the U.S. military’s annual Flintlock counterterrorism exercises this month in Niger, local officers put their training to the test, collaborating with Niger’s gendarmerie and military as well as security forces from other West African nations.

The officers who participated in the raid in the capital, Niamey, are part of the Special Program for Embassy Augmentation and Response, known as SPEAR, which was created after the 2012 attack on the U.S. consulate in Benghazi, Libya, to train and equip host-nation police units designated as first responders to U.S. diplomatic facilities in crisis. They also can respond to other attacks.

“We train them for an eventuality,” said Diplomatic Security Service Special Agent Kent Miller, who manages the Antiterrorism Assistance Program in Niger. “In the current year and last year there has been a focus on rural environments.”

The goal is to disrupt extremists at borders so they don’t make it into more populated areas, he said.

In cities, the hope is that crisis response units and SPEAR officers will respond. They are provided with arms, ammunition, equipment, facilities for practicing raids, a gun range and mentorship.

“The importance of training is that it puts the elements of knowledge for reaction in our hands, and we can then apply them in real-world situations,” said Djibril Ousmane, an assistant police commander in the capital.

The challenge, however, is that extremists also are giving money to communities to win them over, he said.

“It’s difficult to fight poverty,” Ousmane said. “With the right means, more can be done.”","U.S. includes local police in counterterror fight in Niger, across Africa",https://www.thestar.com/news/world/2018/04/28/us-includes-local-police-in-counterterror-fight-in-niger-across-africa.html
2,niger,"E-mail address *

A valid e-mail address. All e-mails from the system will be sent to this address. The e-mail address is not made public and will only be used if you wish to receive a new password or wish to receive certain news or notifications by e-mail.",Log in or Register,https://reliefweb.int/report/world/humanitarian-support-crises-africa
3,niger,"SITUATION

Prolonged conflict perpetuated by Boko Haram in northeast Nigeria has spurred massive displacement and undermined food security. To date in 2018, the insurgency has displaced more than 1.7 million people within Adamawa, Borno and Yobe states and forced an estimated 206,000 Nigerians to flee into neighboring Cameroon, Chad and Niger, according to the UN.

A recent Cadre Harmonisé (CH) analysis—a tool used in West Africa for the classification and quantification of food insecurity—projected that nearly 3 million people in Adamawa, Borno and Yobe will likely face Crisis (Phase 3) or worse levels of acute food insecurity during the June–August lean season, the period of the year when food is scarcest.","Nigeria: Food Assistance Fact Sheet - May 7, 2018",https://reliefweb.int/report/nigeria/nigeria-food-assistance-fact-sheet-may-7-2018
4,niger,"""According to the Grand Bargain commitments, there is a need for more direct support and funding to local and national responders. Through this project, we will strengthen civil society organisations' capacity to respond professionally to humanitarian crises, and better help people affected,"" says Felix Muhigana, NORCAP Project Manager.

Close to 17 million people are affected by the humanitarian emergency across the four Lake Chad basin countries; Chad, Nigeria, Niger and Cameroon. The crisis is characterised as one of the world's most severe. More than 2.3 million people are displaced, and communities are suffering from violence, food insecurity and malnutrition.

""Unchartered terrain""

Four NORCAP experts are already on their way to Niger and Chad. They are hosted by World Food Programme and UNICEF, but will work independently from their host agencies.

""We are very excited to do a completely new project. This is unchartered terrain for us, and for NORCAP"", says Slim Florian Bacha, Monitoring and Evaluation Specialist and deployee to UNICEF in N'Djamena, Chad.

According to Muhigana, the deployees will map and identify those civil society organisations that are most in need of capacity building and help them develop skills and expertise in areas such as financial management, organisational development and monitoring and evaluation.

""This is the kind of expertise that the organisations said they needed the most. In addition, deployees will link up with existing donors in Chad and Niger, to advocate and enable organisations to get direct access to donors and funds. With a better knowledge of how these things work, they will be able to better serve people in need, says Felix Muhigana.

""This project has a lot of potential, because we are able to set an example of how this can and should be done. At the same time, it is a huge responsibility. We will communicate closely across the region and with our Project manager, to make sure we get off to a good start"", explains Karolina Olofsson, Organisational Development Coordination Expert. She is going to work from Diffa, in Niger, with WFP.

Stepping stone for the future

NORCAP's collaboration with the Civil Society Network begun with the Lake Chad Donor Conference in Oslo, February 2017. The conference raised awareness about the deteriorating humanitarian crisis in the Lake Chad Basin, aiming to ensure donors pledged money and commitment to scale up humanitarian interventions and alleviate human suffering.

During the conference, the Civil Society Network, an organisation with representatives from the Lake Chad Basin countries, approached NORCAP for a possible partnership. NORCAP did a scoping mission to Chad and Niger, which in turn secured funding from the Norwegian Ministry of Foreign Affairs.

""This project is very different from what we've done before, but it speaks to NORCAP's strategic commitments. During the project's pilot phase, we will actively explore additional partnerships to further develop local capacity in the Lake Chad basin, including with relevant donors,"" says Ulf Flink, Head of the NORCAP Unit in NORCAP.",Empowering the first responders,https://www.nrc.no/expert-deployment/2016/2018/empowering-the-first-responders2/
5,niger,"



Stunning Nollywood actress, Philanthropist and mother of one, Tonto Dikeh was recently honoured with the Peace Ambassador Awards by the Niger-Delta Peace Ambassador Initiative.

The organization is one that promotes peace and integration – according to a recent report, the actress received the awards at the 2018 Edition of the annual Niger-Delta Peace for Development Youth Summit/ Niger Delta Ambassador Awards held at Presidential Hotel in Port-Harcourt, Rivers State.

While receiving her award, the actress could be seen in a cleavage bearing outfit… all smiles as she collected her plaque on the stage.

Photos below:





Leave a Comment…

comments



",Tonto Dikeh flaunts major cleavage as she’s honoured as Niger Delta Humanitarian Peace Ambassador,http://www.informationng.com/2018/04/tonto-dikeh-flaunts-major-cleavage-as-shes-honoured-as-niger-delta-humanitarian-peace-ambassador.html
6,niger,"CLOSE Malians woke up to a state of emergency after Friday's assault on the Radisson Blu Hotel in the capital killed 20 people plus two assailants, according to a military commander. An American woman from Maryland was among the dead. (Nov. 21 AP

A Facebook post by the Tuareg militia in Mali claims to show a vehicle used by U.S. soldiers who were killed in neighboring Niger in October 2017. This photo was taken April 20, 2018. (Photo: Soumaila T. Diarra)

BAMAKO, Mali — A militia in Mali claims it found the vehicle used by four American soldiers killed in an ambush by Islamist militants in neighboring Niger last fall. The discovery indicates how fighters linked to the Islamic State likely traveled between the two countries.

As the militia of ethnic Tuareg soldiers discuss how to return the vehicle to U.S. authorities, the Islamic State is pushing deeper into this poor, West African country and raising fears of more violence.

Mali's minister of foreign affairs, Tiéman Hubert Coulibaly, said he was concerned that the Islamic State, also known as ISIS, would redeploy to Africa as the U.S-led coalition quashes the terrorist group in Iraq and Syria.

""The current momentum in the Middle East can have consequences for the stability of Mali"" and the surrounding region here, Coulibaly said.

Mali already has an active chapter of al-Qaeda, which drove a car bomb into a military base near Timbuktu on April 14, killing a United Nations peacekeeper and wounding seven French soldiers.

""Three days don’t go by without hearing the news of an assassination by the terrorists,” said Hamady Touré, a commercial spice salesman. “The worst thing is that vehicles carrying civilians drive on explosive devices that the terrorists place.”

Those concerns mount despite an international response to the terrorist threat in Mali. The U.N. sent 15,000 peacekeepers to Mali five years ago. France has 4,000 troops in this former French colony. Five nearby countries — Burkina Faso, Chad, Mali, Mauritania and Niger — created a joint force of 5,000 troops to secure their borders against militants.

The Tuareg militia that claims it found the Americans’ four-wheel-drive Toyota in March also said it is an important defense against ISIS.

Damage is seen in this April1 6, 2018, photo at a military base near Mali's historic city of Timbuktu after a car bomb attack at the base on April14. (Photo: AFP/Getty Images)

“The main target of these armed terrorists is none other than the local authorities and religious leaders,” said Fahad Almahmoud, a Tuareg militia spokesman.

The Tuareg soldiers are now allies of Mali’s government, but until three years ago they fought against the regime for an independent country.

Tiébilé Dramé, an opposition politician, said the government shouldn’t depend on militias and needs to do more. He said more terrorists appear to be moving into Mali despite the international help, so ordinary citizens see little reason to believe in their leaders.

""The fault is the current governance is bad,” Dramé said. “More than 500 schools are closed in the center of the country because of poor security.”

Mali's security situation has been precarious the past several years. In November 2015, heavily armed gunmen stormed the Radisson Blu hotel in Bamako, the Mali capital, killing 20 people. A year ago, several local extremist groups announced they had banded into a bigger organization affiliated with al-Qaeda.

A U.N. report in March said the militias here have too much power. The report said the Tuaregs and another militia allied with the Malian government conducted extra-judicial executions, made illegal arrests, recruited child soldiers and had other human rights violations in northern Mali.

“It is necessary that both the government and the armed groups investigate serious violations and abuses of human rights and international humanitarian law,"" said Mongi Hamdi, a U.N. special representative in Mali when the report was published. “This is in the interest of victims’ rights and for the reconciliation and establishment of a lasting peace in Mali.”

In the south, Mali's army and the Dozo — traditional armed hunters who act as an independent defense force — have been accused of similar abuses against the Fulani ethnic community, a Muslim group often loyal to extremists.

""The Malian army is making summary executions of civilians suspected of terrorism,” said Nouhoum Cissé, a member of a Fulani defense organization. When a Fulani appears in the central part of the country, ""you can be suspected of terrorism,” he said.

Malians and Fulanis lived together in harmony for centuries but are now poised to kill each other, Cissé said. He said terror attacks have also driven the indigenous Dogon people to create self-defense militias. Dogon and Fulani groups have clashed as a result.

“The question is who benefits from this situation. It does not benefit the Dogon. It does not benefit the Fulani,” Cissé said. “Those who benefit are the terrorist groups.”

More: Mali resort attacked by gunmen; at least 2 dead

Read or Share this story: https://usat.ly/2rt8PpN","Mali ripe territory for ISIS, local militias — and they often clash",https://www.usatoday.com/story/news/world/2018/05/07/mali-isis-islamic-state-militias-violence/546985002/
7,niger,"Highlights

▪ In the month of February, in the Diffa region, attacks by non-state armed groups and inter-community conflict continued, displacing 407 household.

▪ Following an attack on January 17th on the village of N’Zouett, Tillabery region, at the border with Mali, populations were forced by non-state armed groups to leave their village within 48 hours; 75 displaced families (506 people) arrived to the village of Tiloa, and received multisectoral assistance coordinated by the Intercluster. UNICEF provided NFI, WASH and education assistance.

▪ In February, 1,084 migrants expelled by Algeria arrived in the IOM Transit Center in Agadez. The group included 12 unaccompanied children (two girls), who were supported by UNICEF and the Regional Department for Child Protection with psychosocial support, food, health checkup, NFI, and family tracing/reunion.

▪ The dire nutrition situation in Niger could be further worsen given the drought affecting the Sahel region, the rise of prices and the strike affecting the health sector. Nutrition sector partners are working toward strengthening emergency preparedness and response planning for nutrition interventions

Situation Overview & Humanitarian Needs

According to the 2018 Humanitarian Needs Overview, 2.3 million people will be in need of humanitarian assistance in 2018 in Niger. The needs analysis shows the persistence of five major crises affecting the country: food insecurity (1.4 million people estimated in need), malnutrition (1.7 million people), epidemics (1,170,000 people), floods (170,000 people) and population movements due to conflict or migration (392,305 people).

The deterioration of the security situation in the districts bordering Mali caused the activation of the Intercluster contingency plan. Out of the 84,000-people estimated in the plan, over 40,000 were considered to be at risk of displacements due to threats of attacks and / or military operations. In January,the first 75 displaced families (506 people) arrived in Tiloa, Tillabery region. The protection cluster alerted on the risk of similar displacement for over 40,000 people.

In February, the Diffa region received the joint mission of the Humanitarian Coordinator, high Representative of the government, humanitarian country team members and donors. One of the keys discussion points focused on the nexus humanitarian and development.

The dire nutrition situation in Niger could be further worsen given the drought affecting the Sahel region, the rise of prices and the strike affecting the health sector. Nutrition sector partners are working toward strengthening emergency preparedness and response planning for nutrition interventions.","UNICEF Niger Humanitarian Situation Report, 28 February 2018",https://reliefweb.int/report/niger/unicef-niger-humanitarian-situation-report-28-february-2018
8,niger,"Members of Congress are expected to be briefed on the full report of the investigation into the deaths of four soldiers in Niger last year. The soldiers were part of special forces in that country when they came under attack by terrorist forces.

Congressman Steve Russell, R-Oklahoma, himself a combat veteran has reviewed the report that will be made public, as well as the 6,000 pages of classified material accompany the report. Representative Russell told FOX 25 the report backs up what he found in his own investigation.





Staff Sgt. Dustin Wright, 29, and Staff Sgt. Bryan Black, 35, Staff Sgt. Jeremiah Johnson, 39, and Sgt. La David Johnson, 25, died as a result of an ambush attack in the remote village of Tongo Tongo in Niger on October 4, 2017.

In February, Russell traveled to Niger and met with U.S. forces and local military leaders in the wake of the attack that killed four soldiers.

“I have read the classified report; it did not change my conclusions about the outcome,” Russell told FOX 25. The congressman said he believes the decisions made by the unit would not have changed the tragic outcome. However, the report does include some decisions Russell said that were made up the chain of command that could have been better. Though Russell still believes even improved times for support would not have changed the outcome.

“What you did not see in my investigation,” Russell said, “Was anything other than absolute sacrificial bravery.”

Critics of the administration and the military’s handling of the situation have said the mission was unprepared and a combination of bad choices and bad luck led to the deaths of the soldiers.

“I don't understand why members of Congress, and I suffered this while I was a soldier on battlefield, wondering how people in Washington could make their mouths say something so stupid sometimes when it comes to military operations,” Russell said.

Using his experience as a commander in battle, Russell said the report and his own ground investigation back up that the unit operating in Niger did act appropriately. He still believes some in Congress will not understand the realities of military operations.

“We'll point bony fingers and pound fists on tables and going how did you let this happen military?” Russell explained, “Failing to understand that sometimes a clever enemy gets a vote and sometimes you can surprise people in ambushes and sometimes people die.”

“The untold story here is they weren't all wiped out even though they were small in number,” Russell said. “They didn't give up and continued to fight.”

Russell said that was also true of the Niger soldiers who had been trained and were along on the mission.

The attack marked the first time the United States has lost military personnel in Niger. Critics of the expanded use of the nation’s military in countries around the world should not be a priority.

“I don't want to live in an America that is no longer a force for good,” Russell said in defense of U.S. operations abroad. “I mean if we are so selfish that we just sit here and say everybody else can go die and wither away...that's not a country we've ever been and I'm not sure it's one we want to become.”

Russell said critics of the military’s presence in countries like Niger fail to take into account the big picture. As terrorists lose their traditional strongholds they have been moving into Africa and threaten to destabilize nations that have long been peaceful.

“If we disengage it doesn't improve it actually gets worse,” Russell said. “In Africa what has made it more risky is frail economies. If they fail, then you've got disease, you've got famine and you've got refugee crisis; you've got human suffering on a by the millions scale.”",Report on ambush attack in Niger confirms Oklahoma Congressman's investigation,http://okcfox.com/news/connect-to-congress/report-on-ambush-attack-in-niger-confirms-oklahoma-congressmans-investigation
9,niger,"Governors from Lake Chad Basin will meet in Maiduguri, North-East Nigeria to discuss regional approach to addressing the Boko Haram Crisis.



Nearly a decade after Boko Haram commenced its insurgency activities in North-East, the crisis has taken a regional dimension leaving millions displaced, billions worth in damages to property across the region.



Reuters reported within the week that insurgents were holding territories while also taking taxes in the Lake Chad region.



This has prompted international calls for addressing the crisis using a regional approach.



Following the visit by the UN Security Council in March 2017, Resolution 2349 on Boko Haram and Lake Chad was adopted.

The Resolution called upon Governments in the region to address the root-causes of the crisis.



READ ALSO: Army decorates troops fighting Boko Haram



In order to begin the process of designing a regional framework for addressing the crisis, 11 Governors from the affected States in Cameroun, Chad, Niger and Nigeria will gather in Maiduguri, the epicentre of the crisis, in Borno State, Nigeria from 8-9 May 2018.



According to the United Nations, President Muhammadu Buhari as well as Ibn Chambas, UN Special Representative of the Secretary General for West Africa and the Sahel will be part of the meeting.



Also, François Louncény Fall; UN Special Representative of the Secretary-General for Central Africa, Ambassador Zaina Nyiramatama; Special Representative of the African Union to the Lake Chad Basin and Edward Kallon; UNDP Resident Representative in Nigeria are expected to grace the meeting.","Governors from Nigeria, Cameroon, Chad and Niger meet over Boko Haram",https://www.dailytrust.com.ng/governors-from-nigeria-cameroon-chad-and-niger-meet-over-boko-haram.html
