,Concerning,Text,Title,URL
0,somalia,"The speaker of Somalia's parliament, Mohamed Sheikh Osman Jawari, attends his election process in Mogadishu, Somalia, January 11, 2017. Picture taken January 11, 2017. REUTERS/Feisal Omar

By Abdi Sheikh | Reuters

MOGADISHU: The speaker of Somalia's parliament resigned on Monday after a dispute with President Mohamed Abdullahi Mohamed that analysts said was fuelled in part by a crisis in the Gulf spilling into the politics of the volatile Horn of Africa nation.

The resignation of Mohamed Osman Jawari came the day after the seizure of $9.6 million in cash at Mogadishu airport from a plane that had landed from the United Arab Emirates, according to police and government sources.

The Mogadishu government confirmed the seizure but did not say what the money was for.

The mystery cash has fuelled a widespread view among Somalis that the political problems in their country are the work of foreign powers, said Rashid Abdi of the think-tank International Crisis Group.

The speaker's dispute with the president had simmered for weeks and came close to violence. Last week a no-confidence vote against him did not go ahead after he and his opponents arrived at parliament with armed guards.

The president and speaker have long been rivals, analysts said.

The Arab states have strong trading links with and influence in Somalia, which lies across the Gulf of Aden, although this clout is offset by the sway of Turkey, one of Somalia's biggest foreign investors and the owner of an in-country military base.

""Somalia is vulnerable and the Gulf crisis is a catalyst,"" Abdi said. ""The executive was concerned (about) where this speaker was headed.""

It was unclear if Jawari's resignation would ease the recent tension, and there was no immediate comment from the president, whose fragile administration is partly propped up by African Union peacekeepers.

Somalia has been in a state of lawlessness since the early 1990s, when dictator Mohammed Siad Barre was toppled by warlords.",Somalia parliament speaker quits as $9.6m cash seized off plane from Dubai,https://thepeninsulaqatar.com/article/10/04/2018/Somalia-parliament-speaker-quits-as-$9.6m-cash-seized-off-plane-from-Dubai
1,somalia,"How Turkey is winning hearts and minds in Somalia

In 2011, Western donors sat back while 250,000 Somalis died of starvation. Then Turkey stepped in. Jamal Osman reports on the rise of aid from the Muslim world.

Abdifatah Mahad stands tall in the middle of his farm on the outskirts of Baidoa, Somalia. He boasts about how well he’s doing and the variety of his produce: maize, beans and vegetables such as peppers and onions.

Farmers here used to stare at the sky and wait for a drop of rain. Now they look under their feet – to where they have dug wells. They are ambitious; the reliable water source means farming is possible all year round and they hope to supply nearby towns. ‘We want to meet the demands of the local people,’ says Abdifatah.

‘They call it humanitarian aid but we call it dead aid; meaning it’s intended to kill’

Six years earlier, this region was the epicentre of a famine that claimed the lives of 250,000 Somalis. Four million people were in danger of starvation, according to the UN. Successive natural disasters, and an apparent lack of compassion from rich nations, have taught Somalis a hard lesson: to strive for self-reliance.

‘They call it humanitarian aid but we call it dead aid; meaning it’s intended to kill,’ says Abdifatah. ‘They brag about helping us and take credit for things that are not even beneficial.’

His claim is not baseless. With regular US drone strikes terrorizing communities in this area, it’s also hard for Somalis to believe the same hand is giving out humanitarian aid.

Advert

Western nations make appealing promises but help does not always materialize. The famine of 2011, which I covered for British TV network Channel 4 News, is a prime example.

We had finally arrived in Baidoa, south­western Somalia in August, after more than a week travelling through famine-affected areas controlled by the al-Qaeda linked group al-Shabaab.

We headed to the main hospital, which was full of malnourished children. I met three very young patients Khadija, Mohamed and Safiya, who were suffering from acute malnutrition and dehydration. Their bones had decayed; they were too weak to cry. All they had for comfort was the heat of their mothers or siblings who had been left to care for them.

Families had walked miles from villages to get here. Desperate parents were competing for the attention of a goatee-bearded man with a white jacket, Dr Abdalla Bulle, who was struggling to cope with the influx. He told me that many children were dying soon after arrival, with five or six being buried every day.

Seven years later, I spoke again with families who had lost loved ones to the 2011 famine. They still struggle to understand why they were abandoned to their fate. ‘How is it that the world’s richest nations with so much wealth to spare couldn’t save our children?’ one woman asked. ‘What did we do to be disowned by fellow human beings?’ asked another.

Left to die

Why didn’t the pictures of starving Somalis convince politicians in the US and Europe to act? After all, aid workers on the ground had been raising the alarm for more than a year. The answer is that, led by the US, Western nations (with the exception of Nordic countries), stood back, withheld aid and watched Somalis – among them some 125,000 children – die.

Advert

The publicized narrative was that donors feared some of the food aid could fall into the hands of al-Shabaab – a proscribed terrorist group. For NGOs, this meant they were at risk of prosecution under the US Patriot Act.

But some humanitarian workers suspected a different motive. They told me the Western military planned to use starving Somalis as a cheap way to defeat the militants – by eroding their support and, eventually, provoking a local revolt.

While men and women in suits pondered over the outcome of their decision, and al-Shabaab blocked relief, aid workers on the ground were pleading for help. ‘We really need, sometimes, to put politics aside,’ said Hassan Ismael who I met in Baidoa distributing food aid from Islamic Relief, the only UK-registered organization operating in areas controlled by al-Shabaab at that time. ‘This is a humanitarian emergency. We need to save lives.’

His appeal was falling on deaf ears. By the time the declaration of famine spurred the West into action, shaming the US into lifting restrictions, it was too late. Many more people would have perished had it not been for the speedy mobilization of Somalis in the diaspora, and charities from the Muslim world.

Some humanitarian workers suspected a different motive. They told me the Western military planned to use starving Somalis as a cheap way to defeat the militants – by eroding their support and, eventually, provoking a local revolt

It was a lesson and a game changer for the humanitarian industry in Somalia. ‘New’ foreign actors came in – notably Turkey.

At the height of the famine in August 2011, Turkey’s leader Recep Erdoğan and his family arrived at the head of a huge delegation consisting of senior cabinet ministers, business leaders, NGOs, media and celebrities.

Erdoğan brought a sense of brotherhood and hope. Since 2011, Turkey has sent almost $1 billion in aid to Somalia. After the emergency was over, Turkish companies launched into major infrastructure projects, building roads, hospitals and the port. Turkish Airlines is the only international carrier that flies to Mogadishu. Turkey has cemented its place in the hearts of the Somali people, who watch its soap operas and buy its products.

Evidence suggests that Western nations sent more money than Turkey. For instance, the UK alone spent $148 million in Somalia in 2017-18. But while Somali elites may talk about money spent by the West on promoting democracy and security, ordinary Somalis are unlikely to be able to name one thing. Asked about Turkey, they would give a long list. Simply, ordinary citizens feel the Turkish presence in the country is improving their lives.

The US and European nations no longer have a monopoly on the humanitarian industry in Somalia. Arab charities have always been in Somalia doing things quietly, but the renewed, up-scaled commitment from the Muslim world in 2011 did much to break the mould.

The differences between the two are stark, according to Khalif Abdirahman, an independent researcher on humanitarian aid.

Muslim organizations, he says, operate on trust. They are based in-country. They focus on development and switch to emergency when necessary. They buy food-aid locally. They are pragmatic, quick to respond. They deal with people directly. And with much money flowing in direct from the faithful – obligatory charitable giving is one of the five pillars of Islam – they don’t waste time and resources on paperwork.

In contrast, he says, Western NGOs focus on ticking boxes. They operate out of Nairobi. They compete for funding for specific projects, which is not necessarily what people need. They usually import food. They do less on development. They are slow to respond to emergency situations. They concentrate most on proposal writing to capture more market share.

‘Western organizations seem to be emotionally disconnected,’ explains Khalif, ‘Somalis seem to better understand the rationale behind the Muslim organizations’ operations.’

I returned to Baidoa in 2017 to cover another drought. This time the aid community was better prepared – and so were the people themselves. In the past, Somalis would often say to me: ‘We ask donors to help us’. Today, I rarely hear that.

Somalia has a long way to go to feed its citizens. After all, the nation is still embroiled in a 30-year-long war. But attitudes are changing; people like Abdifatah have a stronger determination not to depend on foreign aid and ‘Muslim brothers’ are playing a critical role in improving people’s lives.

Jamal Osman is a Somali journalist and filmmaker based in London.

This article is from the April 2018 issue of New Internationalist.

You can access the entire archive of over 500 issues with a digital subscription. Get a free trial now »",How Turkey is winning hearts and minds in Somalia,https://newint.org/features/2018/04/01/turkey-somalia-humanitarian-aid
2,somalia,"Journalists in Somalia are reporting that the government has impounded an plane carrying an unspecified amount of money, even though some reports put the amount at $13 million cash.

According to Mohamed Moalimuu, Secretary General for the Union of Somali Journalists, the plane was from the United Arab Emirates and had been caught at the Mogadishu airport.

On his part, a VOA journalist, Harun Maruf, reported that the plane was believed to be carrying cargo for the UAE mission in the Somali capital. He, however, quotes sources as saying the amount was unknown adding “its final destination not yet clear.”

A plane carrying 13 million dollars of cash from United Arab Emirates has been caught, shortly after landing at Mogadishu airport.#Somalia pic.twitter.com/9DhPGt65fv — Mohamed Moalimuu (@MOALIMUU) April 8, 2018

The UAE has been on a diplomatic collision course with Somalia over the business dealings of a UAE-based company DP World with semi-autonomous Somaliland.

DP World entered Berebra Port deal with Somaliland along with Ethiopia. Somalia reported the incident to the United Nations weeks back. Somaliland government insists its parliament had okayed the deal even though Somalia’s lower house of parliament voted to declare it “null and void.”

Somalia has been riled by a political crisis that involves the lower house of the legislature and the executive. It is said that the Prime Minister is championing a cause to remove speaker Jawari who insists he is not going to resign.

Local journalists are already linking today’s incident to the political crisis. Legislators are said to vote on a no-confidence motion against the speaker on Monday.

Relation between Mogadishu & Dubai has been at “all time low” after #Somalia chose to remain neutral in z GCC crisis. UNSC was recently informed of UAE’s activities in z country that undermine Somalia’s sovereignty, inc a recent contract with DP_World that was terminated by FGS. — Abdulaziz Billow Ali (AbdulBillowAli) April 8, 2018

Kenya’s Majority leader, Aden B Duale, is on record to have singled out UAE for “undermining” sovereignty of Somalia. “What is going on in Somalia is a proxy war led by UAE mercenaries to undermine the sovereignty, legitimate government and institutions. Somalis must not allow foreign mercenaries to destabilize their country,” he is quoted to have said.",Somalia intercepts UAE plane carrying huge sums of money,http://www.africanews.com/2018/04/08/somalia-intercepts-uae-plane-carrying-huge-sums-of-money/
3,somalia,"Opinion A Humanitarian Crisis in Israel

Well-meaning citizens go out and protest the deportation of 30,000 asylum seekers from Israel, but when was there a meaningful demonstration for the children of Gaza?",A humanitarian crisis in Israel,https://www.haaretz.com/opinion/.premium-a-humanitarian-crisis-in-israel-1.5990487
4,somalia,"But lawmakers in Mogadishu, Somalia’s capital, objected, saying that bypassing federal officials violated the sovereignty of Somalia.

In March, Parliament voted unanimously to cancel the deal, in a motion that the speaker, Mohamed Osman Jawari, presided over.

The bill, which included language that forbids any foreign investment contracts without approval by the Parliament, was put forward without input from the president or prime minister. Observers said the vote was a sign of the growing political strength of Mr. Jawari.

Allies of the president and the prime minister put forward a no-confidence motion against Mr. Jawari, which has twice been delayed for security reasons. On Wednesday, Mr. Jawari’s backers accused opponents of having accepted money to vote against the speaker. “Down with bribetakers!” they chanted.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Parliamentary police officers loyal to Mr. Jawari lined up to protect the speaker’s podium.

In response, state security forces loyal to the president deployed outside Parliament, raising fear that tensions between the two men could lead to violence.

Soldiers from Danab, a Somali special forces contingent trained by the United States, were also deployed to secure the Parliament.

The standoff ended after Paul Lokech, who leads a Ugandan contingent of the African Union peacekeeping force in Somalia, brokered a deal between Mr. Jawari and Mr. Mohamed to talk through the dispute.

“They need to dialogue and get their problems sorted out,” Mr. Lokech said in a telephone interview. “That’s what we agreed upon.”

Advertisement Continue reading the main story

The port deal is one illustration of the growing disruption that an international dispute has created in domestic Somali politics.

That rift has pitted Saudi Arabia and the United Arab Emirates, which are major trading partners with Somalia, against Qatar, whose financial support was widely seen as critical factor in Mr. Mohamed’s victory in last year’s presidential election.

The vote against the DP World deal further strained relations between Somalia and the Emirates, which wants to see Mr. Mohamed distance himself from his Qatari patrons and their allies.

“The Emiratis are waging a campaign against Farmajo,” said Joshua Meservey, a senior policy analyst on Africa and the Middle East at the Heritage Foundation. “Farmajo has refused to join an embargo against Qatar, and that has really angered the Saudis and the Emiratis. They just don’t think Farmajo is playing ball as he should.”","Crisis Averted in Somalia’s Parliament, but Tensions Simmer",https://www.nytimes.com/2018/04/04/world/africa/somalia-parliament.html
5,somalia,"Highlights

In 2018, 44,790 severely malnourished children, including 2,516 children with medical complications, have been admitted in UNICEF supported treatment programmes. The number of admissions to date exceeds the number of admissions during the same period in 2017 by 33 percent. The increasing trend in admissions highlights a sustained risk to of malnutrition.

UNICEF and partners have launched a national measles vaccination campaign aiming to reach 4.7 million children. The campaign started in Puntland in January, where 933,406 children were reached (93 percent coverage). The campaign is now planned to continue in south and central states, as well as Somaliland where an additional 3.7 million children will be targeted.

In response to continued critical needs for emergency access to safe water, UNICEF and partners supported an additional 40,500 people from 28 displaced person settlements through emergency water trucking and water voucher provision in Nugaal, Bay, and Banadir regions.

UNICEF held inception workshops in Puntland and Somaliland for a new Children on the Move programme aimed at mitigating against the effects of child migration, and provide services for children at risk of violence, exploitation and abuse whilst on the move. The workshops trained ministry and civil society child protection workers on key strategies to identify children at risk and on the development of case management for children who are moving within Somalia and across borders.

Situation Overview & Humanitarian Needs

The humanitarian situation in Somalia remains critical due to ongoing impacts of drought, displacement and conflict. As per the FSNAU-FEWSNET 2017 Post Deyr findings, 5.4 million people are still in need of urgent assistance, including 2.8 million children. An estimated 1.2 million children are or will be acutely malnourished over the next year, including 232,000 children at risk of life-threatening severe acute malnutrition (SAM). Over 4.4 million people need humanitarian WASH services, with 3.5 out of 5 people without adequate water to meet basic needs. More than 5.7 million people require basic health services, including critical needs in maternal and child health, as one in seven Somali children die before the age of five. Disease outbreaks such as acute watery diarrhoea (AWD)/cholera and measles continue to represent a major threat to children, with over 1,000 cases of AWD/cholera (56 per cent children under 5) and 2,500 cases of measles reported in 2018. Over 3 million children, out of 4.9 million in country, are estimated to be out of school. More than 2.1 million people have been displaced, including over 1 million in the last year alone; and displacement flows continue at critical levels into areas such as Baidoa in Bay Region, which has received between 500 and 2,000 new arrivals per week since mid-January, 2018. 4 Exclusion and discrimination of socially marginalized groups continue to exacerbate high levels of acute humanitarian needs. More than 76 percent of recorded gender-based violence (GBV) survivors are reported to be from IDP communities. Grave violations against children continue at worrying rates, with 402 cases, mostly abductions, recruitment and use, and killing/maiming reported in January 2018.",UNICEF Somalia Humanitarian Situation Report #2: 1-28 February 2018,https://reliefweb.int/report/somalia/unicef-somalia-humanitarian-situation-report-2-1-28-february-2018
6,somalia,"CLUSTER SPECIFIC OBJECTIVES

SO1: Contribute to the protection of newly displaced people and those affected by natural hazards. (NFIs, ESKs)

SO2: Improve the living conditions of the protracted internally displaced persons (Transitional shelters, NFIs)

SO3: Facilitate access to durable solutions for IDPs that are willing to locally integrate or return (Permanent shelters)

NEEDS ANALYSIS

• New displacements are occurring daily in Somalia due to conflict, adverse climatic condition and evictions. Over 2.1 million people are internally displaced in Somalia, as a result of drought, conflict and evictions. Pressing needs include emergency shelter kits, sanitation facilities and access to clean water, as well as Emergency Assistant Packages (EAPs) for newly displaced peoples

GAPS / CHALLENGES

• There are not enough resources to cover the shelter needs of IDPs, whose number has almost doubled in the last year. A lack of funding means that pre-positioned stocks cannot be prepared, which delays the response to newly displaced populations.

RESPONSE

In February 2018:","Somalia: Shelter Cluster Factsheet, February 2018",https://reliefweb.int/report/somalia/somalia-fact-sheet-feb-2018
7,somalia,"The Somali army chief General Abdiweli Jama Gorod says a group of soldiers who entered parliament today with weapons has been “detained”.

Voice of America journalist, Harun Maruf, said on Twitter that about 45 soldiers had been arrested, according to a security source.

The detention is a climax to a dramatic day at the country’s parliament as the standoff between supporters of the speaker on one hand and those of the Prime Minister, Ali Hassan Khaire, continues.

How can I take over, I’ve 11 bodyguards...that is like saying president took over the Presidential Palace

Speaker Mohamed Osman Jawari has been accused by elected officials of abuse of power and obstruction of constitutional reform. He has, however, survived a motion of no-confidence.

Today’s parliamentary debate over the matter was cut short when lawmakers accused the speaker of violating security procedures of the house by bringing armed guards with him into the parliament.

The speaker denied the allegations, saying he only took his bodyguards into the parliament.

“How can I take over, I’ve 11 bodyguards…that is like saying president took over the Presidential Palace,” Jawari said.

BREAKING: Somali army chief Gen Abdiweli Jama Gorod says a group of soldiers who entered parliament today w/ weapons has been “detained”. According to a security source, about 45 soldiers were arrested. Earlier Speaker Jawari said he only took his bodyguards into the parliament. — Harun Maruf (@HarunMaruf) April 4, 2018

AMISOM takes over parliament security

At the height of the standoff, the African Union Mission in Somalia (AMISOM) offered to take over the security of the parliament until it’s secured and MPs can sit in an atmosphere where there is no intimidation.

AMISOM commander, Brig. Paul Lokech reportedly gave the Somali political leaders three options.

‘‘One option is that legislators accept with the executive that AMISOM takes charge of parliament’s security, or seek a neutral ground or in a worst case scenario, AMISOM pulls out and leaves the lawmakers to themselves,’‘ Brig Lokech said.

Amisom commander gives 3 options both the Executive and the Legislature



1 Accept with the executive that #Amisom takes charge of the parliament so MP’s can freely debate.

2 Look for a neutral ground (Another place)

3 Amisom to pull out & leave the MP’s to sort out their problems pic.twitter.com/ZszTNaePDE — Abdisalam Aato (@AbdisalamAato) April 4, 2018

Politicians have bemoaned the negative effect of the crisis on the country.

The Upper House of Parliament has tried to mediate in the impasse, the biggest political crisis since the government took office a little over a year ago. President Farmaajo has had to postpone several meetings and foreign travels to try and end this crisis.

The African Union, United Nations and other partners have voiced grave concern and also called for calm.",Somalia parliament crisis: Soldiers arrested as speaker denies violating security procedures,http://www.africanews.com/2018/04/05/somalia-parliament-crisis-soldiers-arrested-as-speaker-denies-violating/
8,somalia,"The speaker of Somalia's parliament resigned on Monday after a dispute with President Mohamed Abdullahi Mohamed that analysts said was fuelled in part by a crisis in the Gulf spilling into the politics of the volatile Horn of Africa nation.

The resignation of Mohamed Osman Jawari came the day after the seizure of $9.6 million in cash at Mogadishu airport from a plane that had landed from the United Arab Emirates, according to police and government sources.

The Mogadishu government confirmed the seizure but did not say what the money was for.

The mystery cash has fuelled a widespread view among Somalis that the political problems in their country are the work of foreign powers, said Rashid Abdi of the think-tank International Crisis Group.

The speaker's dispute with the president had simmered for weeks and came close to violence.

Last week a no-confidence vote against him did not go ahead after he and his opponents arrived at parliament with armed guards.

The president and speaker have long been rivals, analysts said, with much of their enmity fuelled by the perception that they back opposite sides in the dispute that erupted last year between Qatar and Turkey against Saudi Arabia and its ally, the United Arab Emirates (UAE).

The Arab states have strong trading links with and influence in Somalia, which lies across the Gulf of Aden, although this clout is offset by the sway of Turkey, one of Somalia's biggest foreign investors and the owner of an in-country military base.

""Somalia is vulnerable and the Gulf crisis is a catalyst,"" Abdi said. ""The executive was concerned (about) where this speaker was headed.""

It was unclear if Jawari's resignation would ease the recent tension, and there was no immediate comment from the president, whose fragile administration is partly propped up by African Union peacekeepers.

Somalia has been in a state of lawlessness since the early 1990s, when dictator Mohammed Siad Barre was toppled by warlords.

Click here for the latest political news",Somalia parliament speaker quits as Gulf rivalries boil,https://www.the-star.co.ke/news/2018/04/10/somalia-parliament-speaker-quits-as-gulf-rivalries-boil_c1741262
9,somalia,"SHF funds are prioritized and managed locally by those closest to people in need. This is one of the central pillars of the Fund, which was set up to support the highest-priority needs by the best-placed responders. The SHF thus works hand in hand with its implementing partners, with a view to support and understand their needs and expectations.

Consequently, the primary objective of the 2017 SHF Implementing Partners’ survey was to determine the non-governmental implementing partners’ satisfaction with the services provided by the SHF and factors that cause satisfaction or dissatisfaction, which may lead to changes and adjustments in the management of the Fund, where possible or necessary. In the future, the SHF may solicit similar feedback from other stakeholders.

The survey was carried out from 27th of December 2017 until 31st of January 2018. Of 109 eligible SHF non-governmental partners invited to respond, feedback was received from 82 non-governmental organizations.

Responses received indicate high level of satisfaction. More than 80 per cent of organizations are satisfied with the focus of the Fund’s 2017 allocations and almost 75 per cent participated in the strategic prioritization processes resulting in allocation strategies.

The overwhelming majority of respondents (96 per cent) are satisfied with documents guiding the application process; eight in ten organizations find it good or excellent. The vast majority of respondents – more than 90 per cent – stated that working with the SHF has an impact in the capacity strengthening of the organization.

These results confirm the importance of the SHF in the humanitarian response in Somalia, not only by providing timely and flexibly resources to respond to humanitarian needs, but also contributing to strengthening the capacity of implementing partners and, through this, to the overall effectiveness and accountability of humanitarian response in Somalia.

Some areas of improvement recommended by the respondents, touched on the communication process and the need for trainings on finance management, project submission, among others. Some measures are already being placed and the SHF team will conduct an in-depth/further analysis of the findings to make sure the majority of suggestions can be incorporate in the operation to strengthen the Fund.",Somalia Humanitarian Fund (SHF): 2017 Implementing Partners’ Survey Final Report,https://reliefweb.int/report/somalia/somalia-humanitarian-fund-shf-2017-implementing-partners-survey-final-report
