,Concerning,Text,Title,URL
0,sudan,"South Sudan's five-year civil war has forced many of its citizens, including unaccompanied children, to flee to neighboring Uganda. With more than half of these young refugees younger than 18, experts warn the situation is a ""ticking time bomb"" for a generation at risk of being lost. VOA Correspondent Mariama Diallo reports.","Experts: South Sudan Refugee Crisis, a 'Ticking Time Bomb'",https://www.voanews.com/a/south-sudan-refugee-crisis-a-ticking-time-bomb-experts-say/4377185.html
1,sudan,"Saudi Arabia has agreed to provide oil to Sudan for the next five years to fill Sudan’s fuel consumption gap, as the country needs 1.8m tons of fuel each year, Sudan’s Oil Minister Abdul Rahman Osman says to reporters after meeting with Sudan President Umar Al-Bashir.

Osman says agreement talks with Saudi Arabia will be completed within the coming days, and that the deal will be guaranteed on credit by Saudi Arabia’s development bank.

Sudan has been suffering from an acute fuel crisis since the beginning of last April, with long lines for oil appearing in the capital Khartoum and other states. The country is also facing economic problems including a shortage of hard currency since the beginning of 2018, which has led to sporadic protests.",Saudi Arabia to Supply Sudan With Oil in Midst of Fuel Crisis,https://www.bloomberg.com/news/articles/2018-05-07/saudi-arabia-to-supply-sudan-with-oil-amid-fuel-crisis
2,sudan,"E-mail address *

A valid e-mail address. All e-mails from the system will be sent to this address. The e-mail address is not made public and will only be used if you wish to receive a new password or wish to receive certain news or notifications by e-mail.",Log in or Register,https://reliefweb.int/report/world/humanitarian-support-crises-africa
3,sudan,"CONTEXT AND METHODOLOGY

Nyal town is located in Northern Panyijiar County, Unity State, along the banks of the Sudd, the third largest swamp in the world. Since the beginning of the crisis, IDPs from Unity and Jonglei States have perceived Nyal as a safe location with ample resources. Recently, Nyal has also become a key location for people travelling to and from nearby islands.

Since 1 November 2016, REACH has monitored three ports in Nyal - Gap Port, Nyal Port and Katieth Port - to record the arrivals and departures on a daily basis. The information gathered covers household (HH) demographics, key push and pull factors, health concerns, vulnerable populations, and general transportation routes. The daily data was synthesised to provide evidence for more effective humanitarian planning.

The REACH team collected information from 7:30 a.m. - 6:30 p.m. Monday through Friday to ensure complete coverage of Nyal’s three ports. REACH teams attempt to interview all arrivals and departures at the household level using a contextualised survey. However, the data presented here is not representative, rather indicative of movement trends for the assessed population. This factsheet is based on data on 626 people departing (150 HHs), 429 people arriving (103 HHs), and 8 people transiting (3 HHs), which was collected from 5 to 29 March 2018.","South Sudan Displacement Crisis: Nyal Port Monitoring - Panyijiar County, Unity State, South Sudan (March 2018)",https://reliefweb.int/report/south-sudan/south-sudan-displacement-crisis-nyal-port-monitoring-panyijiar-county-unity-6
4,sudan,"(Juba, 26 April 2018): Ten aid workers have gone missing outside South Sudan’s Yei town in Central Equatoria region.

Their convoy was en route to Tore from Yei town, early on 25 April to conduct a humanitarian needs assessment. Their whereabouts and well-being are unknown. The Humanitarian Coordinator for South Sudan, Alain Noudehou demanded their swift return.

“We are deeply concerned about the whereabouts of these humanitarian workers and are urgently seeking information about their well-being,” said Mr. Noudehou. “These individuals, UN and NGO staff, are here to help the people of South Sudan and should not be targeted. Our colleagues must be released without condition so that their work can continue.”

The ten humanitarian staff, all nationals, include one from UNOCHA, two from UNICEF, one from the South Sudanese Development Organisation, (SSDO), two from ACROSS, three from Plan International and one from Action Africa Help (AAH).

“I firmly condemn the latest attack against colleagues engaged in emergency humanitarian assistance in Central Equatoria and call on all parties to the conflict in South Sudan to ensure a safe and secure environment, conducive to the delivery of assistance,” said Mr. Noudehou.

This is the second incident involving aid workers being held by armed groups in April alone, and the third in six months.

For further information, please contact:

Frank Nyakairu, nyakairu@un.org/+211 922 4060 12

OCHA press releases are available at www.unocha.org/south-sudan or www.reliefweb.int",Ten aid workers missing in South Sudan,https://reliefweb.int/report/south-sudan/ten-aid-workers-missing-south-sudan
5,sudan,"Bashir has made the deep cuts despite sacking his foreign minister for highlighting the problem (AFP)

Sudan is to close 13 overseas diplomatic missions and will slash the number of staff at its foreign ministry, state media reported Thursday, as the government faces a crippling economic crisis.

A decree by Sudan's president, Omar al-Bashir, will also cut staff at seven other missions down to just one person. The move comes two weeks after Bashir sacked foreign minister Ibrahim Ghandour for highlighting his ministry’s problems in parliament.

“The decisions have been taken in order to cut costs given the economic situation in the country,” Bashir’s decree stated, according to official news agency SUNA.

The decisions have been taken in order to cut costs given the economic situation in the country - Presidential decree

According to SUNA, the foreign ministry’s entire administrative staff are being dismissed, with diplomats expected to take over their duties. Staff at all overseas missions will be cut by 20 per cent at least.

The total number of job losses was not provided and the missions affected were not named.

All of Sudan’s overseas trade and economic offices will also be shuttered, SUNA reported, except the one in Abu Dhabi responsible for finalising arrangements for the country’s participation in Dubai’s Expo 2020.

On 18 April, Ghandour asked MPs to step in and help cover the foreign ministry’s costs, complaining staff’s wages and rent on diplomatic missions could not be paid. The next day, Bashir relieved him of his position.

The Sudanese central bank denied at the time there was any problem funding state institutions, though recognised there was a paucity of foreign currency.

“The central bank has never delayed payment to the foreign ministry's employees,” it said in a statement at the time, “as it understands very well the importance of diplomacy for the future and stability of our country"".

Sudan has been experiencing economic problems since South Sudan’s breakaway in 2011, which stripped the East African country of some 75 per cent of its oil earnings.

More recently, an acute shortage of foreign currency has seen the Sudanese pound plummet against the US dollar.

In January, Sudan’s parliament passed a budget aiming to address the country’s economic woes, devaluing the Sudanese pound and cutting subsidies on essential goods.

Inflation rose to 56 per cent in March, while high prices and shortages of food and fuel provoked street protests that were quashed by a campaign of mass arrests.

Hopes Sudan’s economic situation would improve were raised in October when Washington lifted sanctions on the country that had stood for two decades, a coup that Ghandour had a large hand in.

A quick recovery has not emerged, however, with investment slow to come in and international banks wary of conducting business with their Sudanese counterparts.",Sudan shuts 13 diplomatic missions as cash crisis deepens,http://www.middleeasteye.net/news/cash-strapped-sudan-closes-13-diplomatic-missions-2007995028
6,sudan,"* Government says oil tankers arrived to ease shortage

* Drivers spent night in line at gas station to buy fuel

By Khalid Abdelaziz

KHARTOUM, April 24 (Reuters) - Vehicles queued for hours at gas stations in Sudan’s capital on Tuesday as a fuel shortage caused by the government’s difficulty in importing it due to a foreign currency crisis hit home.

Once an exporter of oil, Sudan was forced to begin importing it after the south seceded in 2011, taking with it three-quarters of what had been the country’s oil output and its main source of foreign currency.

“I have been waiting at the gas station from last night until midday today. This bus is my only source of income,” said Adam Abdullah.

The 45-year-old bus driver is one of many workers who spent the night at a gas station to refuel their vehicles.

“I have been waiting for hours to find transportation to return home. This is something we cannot stand. Where is the government?” asked Intesar Awad from a bus station in the heart of Khartoum.

Hundreds of others queued for rides home around her - joining lines that have built up since the end of last week as the currency crunch has bitten deeper.

The Sudanese pound has dropped to 35 to the dollar from 33 pounds earlier this week, a black market trader told Reuters. He expected the Sudanese pound to weaken further in coming days.

Inflation quickened to 55.6 percent in March year-on-year from 54.34 percent in February.

Prices have risen since the pound plummeted to record lows on the black market in recent months, prompting the central bank to make two steep devaluations since the start of the year.

It now officially trades at about 28 pounds to the dollar from 6.7 pounds in late December.

The Sudanese pound hit a record low of about 40 pounds to the dollar earlier this year on the black market, but the devaluations and a ban on deposits of dollars obtained from the black market have reversed this trend.

The central bank has also introduced restrictions on withdrawals, leaving many unable to take out cash from banks.

Minister of State for Finance Abdelrahman Drar said in a statement on Tuesday that five tankers carrying petroleum products had arrived at Sudan’s main port to alleviate the shortages.

Potentially increasing the short-term uncertainty, two Nigerian oil companies, Express and Misana, on Monday sold their 30 percent joint stake in Sudan’s al-Rawat oil field to Sudan National Petroleum Corporation or Sudapet, Khartoum’s state news agency SUNA reported.

Sudapet now owns all the shares in al-Rawat, which falls along the While Nile, 420 km south of Khartoum. It hopes to increase output in the long-term, reducing the dependence on imports, through increased exploration. (Reporting by Khalid Abdelaziz Writing by Arwa Gaballa Editing by Alison Williams)",Fuel shortage hits Sudan as dollar crisis hampers imports,https://www.reuters.com/article/sudan-energy/fuel-shortage-hits-sudan-as-dollar-crisis-hampers-imports-idUSL3N1S15R6
7,sudan,"What To Read Next

Black market fuel prices surged on Saturday in Khartoum and other Sudanese towns as petrol and diesel shortages forced residents to queue for hours outside gas stations.

Fuel supplies began dwindling in early April, with officials blaming maintenance delays at a key refinery, although foreign currency shortages have also played a role.

The crisis has since escalated despite official pledges to resolve it.

The shortage has hiked prices of petrol on the black market, with a gallon costing 150 pounds ($5.30) in Khartoum, over five times the official price of 27 pounds.

""I purchased two gallons at this high cost from the black market,"" said Mohamed Abbas, a resident of a working class neighbourhood in the capital.

""I bought it from someone who had filled his car tank after waiting the whole night at a fuel station.""

Another Khartoum resident told AFP that he too had waited through the night outside a fuel station to fill his tank.

""From 23:00 Friday until 07:00 today I was waiting in my car at a fuel station,"" he said.

Most petrol stations were receiving less than their alloted quotas of petrol and diesel, with attendants often keeping the outlets shut once they sold their stock.

Farmers too complained that they were unable to transport their products to market as hundreds of trucks had been grounded.

""My entire crop of tomatoes is destroyed,"" said Ali Khider, a farmer from the state of Jazira.

""For a week now I have been unable to transport it to the main market because there is no vehicle.""

Officials promised a quick end to the crisis, saying it was caused by a delay in maintenance work at the country's main refinery north of Khartoum.

But an acute shortage of foreign currency has also aggravated the situation.

""There are some oil tankers waiting at Port Sudan to be unloaded but there's a delay in paying them,"" Minister of State for Oil Saadeddin Bushra told lawmakers this week.

The crisis comes amid surging inflation that has triggered sporadic anti-government protests in Khartoum and other towns.

Sudan's overall economy has been hit hard, particularly after the south separated from the north in 2011, taking with it about 75% of the country's overall oil revenues.

* Sign up to News24's top Africa news in your inbox: SUBSCRIBE TO THE HELLO AFRICA NEWSLETTER

FOLLOW News24 Africa on Twitter and Facebook.",Sudan fuel shortage hikes black market prices,https://www.news24.com/Africa/News/sudan-fuel-shortage-hikes-black-market-prices-20180505
8,sudan,"SITUATION IN NUMBERS

2.6 million children in need

5.5 million people

# of people who need Humanitarian Assistance

(Source: Sudan Humanitarian Needs Overview 2018)

960,000 children internally displaced

2 million people

# of internally displaced people

(Source: Sudan Humanitarian Needs Overview 2018)

468,475 South Sudanese refugee children

767,992 people

# of South Sudanese refugees in Sudan in total

UNICEF Appeal 2018 US$ 115.14 million

Highlights

• In response to the Jebel Marra nutritional situation in Central Darfur, 1,353 children suffering from severe acute malnutrition (SAM) received life-saving treatment combined with Integrated Management of Childhood Illnesses (IMCI), through delivery of 500 cartons of Ready-to-Use Therapeutic Food (RUTF) and 5 IMCI kits transported on the backs of donkeys, horses and camels as vehicle transportation is not possible in the area, due to the mountainous topography.

• In Central Darfur, North Jebel Marra locality, a joint government and interagency assessment mission including UNICEF was conducted in seven villages. The estimated total population in the locality is 264,000, 60 per cent of whom are women and children. Significant needs have been identified and preparation for an integrated response plan is ongoing.

• The State Ministry of Health in Central Darfur, and Water and Environmental Sanitation project (WES) together with health and WASH partners, have developed a six-month (9 Feb – 31 Aug, 2018) integrated health and WASH response plan to address the current and ongoing outbreak and better prepare for future outbreaks.

• UNICEF supported the transportation of 1,110 children to attend their basic education grade eight exams, a test to transit from primary to secondary education, in East and South Jebel Marra

Situation Overview and Humanitarian Needs

In Central Darfur, a joint government, UN and NGOs assessment mission with UNICEF participation was conducted in Rokero town and six other villages in North Jebel Marra locality between 14 and 21 February 2018. The assessment covered an area inhabited by residents, internally displaced persons (IDPs) and returnees from Sortony, Tawila and El-Fasher. An estimated 60 per cent of the population are women and children. Only 37 per cent of health facilities (9 out of 24) are functioning, out of which only four were providing integrated treatment for Severe Acute Malnutrition (SAM) and Moderate Acute Malnutrition (MAM). In the assessed areas, only four out of seven health facilities provide nutritional services and the remaining health facilities only deliver health services, with malnourished cases either referred to the far distant North Darfur or Rokero. Also, only 25 per cent of households (HH) have latrines, and only two health facilities have incinerators. The available schools in the area are poorly constructed, using local materials, and it was observed that around 85 per cent of children are out of school in the villages covered by the assessment. Five out of seven communities reported cases of violence against children and issues regarding child labour and abduction. UNICEF, together with partners, is working on the preparation of an integrated response plan that will cover, among others, the Child Protection, Education, Nutrition and Water, Sanitation, and Hygiene (WASH) interventions.

Since the start of 2018, the deteriorating economic situation in Sudan continues to impact on the population especially the most vulnerable, including 2.6 million children in need of humanitarian assistance. An inter-agency assessment to identify the effect on the most vulnerable population is ongoing. Also, UNICEF Sudan office has requested technical support from a social policy specialist in the Middle East and North Africa Regional Office to help with analysing the potential impact of the crisis on the Sudanese population, particularly children in a more comprehensive and integrated way, in addition to other relevant areas of support.","UNICEF Sudan Humanitarian Situation Report, March 2018",https://reliefweb.int/report/sudan/unicef-sudan-humanitarian-situation-report-march-2018
9,sudan,"Spotlight

Despite the continued conflict in South Sudan, accountability for human rights violations can be initiated drawing on the recent UN Commission on Human Rights in South Sudan investigative report.

An air of impunity pervades the conflict in South Sudan, which shows no sign of ending while the humanitarian costs continue to mount. To counter this perception, observers should keep in mind that the UN Commission on Human Rights in South Sudan announced in February that it had collected enough evidence to hold more than 40 South Sudanese officials accountable for war crimes and crimes against humanity. Drawing from events in four of South Sudan’s original 10 states (Western Bahr el Ghazal, Central Equatoria, Eastern Equatoria, and Upper Nile) from 2016 and 2017, the report found egregious violations of human rights, humanitarian law, and international criminal law committed primarily by government forces and its affiliated militia, but also by armed opposition.

The Commission’s conclusion that war crimes and crimes against humanity are still occurring affirms earlier findings by the Commission, UN Mission in South Sudan (2014), the African Union (2015), the UN Office of the High Commissioner for Human Rights (2015), and several nongovernmental organizations. The report contains harrowing stories of crimes including:

Killing of civilians

Sexual violence including rapes of men and women, gang rape, castration, forced nudity, and genital mutilation

Pillaging and destruction of property

Forced displacement

Denial of due process

Censoring of speech and media

Attacks on humanitarian workers including killing, harassment, and looting; in 2017, 30 aid workers were killed

The searing brutality of these decidedly ethnically targeted crimes leaves little to the imagination. For instance, the Commission recounts through the words of a surviving son, the story of a woman whose eyes were gouged out by SPLA soldiers with a spear when she sought to protect her 17-year-old daughter from being gang raped. After being blinded, she was gang raped by 17 soldiers. Her husband was then castrated, his genitals were mutilated, and then he was beheaded.

The Commission identifies, for the first time, individuals suspected of planning, ordering, facilitating, and abetting international crimes and human rights violations. In particular, the report adopts command responsibility as a legal framework for establishing the criminal responsibility of military and political leaders. This framework is used to apportion responsibility to individuals named in a confidential list submitted to the UN Office of the High Commissioner for Human Rights (OHCHR) to be maintained pending legal action. This list will be transmitted to the prosecutor of the hybrid court for South Sudan once he or she is appointed. The resolution that authorized the Commission allows individual states to access preserved evidence should they wish to prosecute individuals in their national courts.

The report findings highlight that the conflict is marked by a progressive deterioration of the humanitarian situation. Tens of thousands of people were dislodged—repeatedly in some cases—by the counterinsurgency operations launched by the SPLA and affiliated militia in each of the four areas assessed. According to the Commission, the number of people displaced has passed 2.4 million refugees and 1.9 million internally displaced. Of these, over 1 million have taken refuge in Uganda alone.

Humanitarian agencies reported systematic impediments to access that have exacerbated food insecurity, resulting in some deaths by starvation. Barriers to access include exorbitant work visa fees, denial of permits to access areas of need, bureaucratic obfuscation, roadblocks, looting of supplies and facilities, and the killing and harassment of aid workers. There were 1,159 humanitarian access incidents in 2017 alone. Forty-seven percent of these involved violence. According to the Commission, humanitarian aid has become a “political football,” with multiple sides in the fragmented conflict seeking to manipulate distribution of assistance in favor of certain communities or toward themselves.

Action Points

The Commission’s report demonstrates that the peace agreement signed in 2015 has failed to end egregious abuses and create conditions that allow the implementation of measures to return the country to normalcy. To protect civilians and humanitarian workers from continuing intimidation, the African Union Peace and Security Council (AUPSC) has called for adherence to the Agreement on the Cessation of Hostilities, Protection of Civilians, and Humanitarian Access signed by the parties on December 21, 2017.

Ceasing attacks on humanitarian workers by all parties is imperative and should be backed up by punitive measures in case of violations. The Terrain Hotel trial involving the prosecution in a military court of 12 soldiers who had gang raped several foreign aid workers and killed John Gatluak, a Nuer journalist, in July 2016 is instructive in this regard. The case was brought to trial after strong international pressure compelled the Government of South Sudan (GOSS) to take action. The case shows that even in a context of limited capacity to pursue justice domestically, ways can be found to hold trials for egregious crimes committed during the course of the conflict. It also demonstrates the importance of external pressure to facilitate domestic action to ensure accountability for abuses.

A future hybrid court should prioritize investigation and prosecution of war crimes against the humanitarian sector, including the killings of 97 aid workers since the fighting began in 2013. The GOSS should also facilitate the delivery of assistance by eliminating permit fees and removing bureaucratic red tape and other impediments to access.

Attacks on the humanitarian sector have taken place in a context of increased intimidation of civil society and the media through murder, detention, and dismissals. Some of the abuses documented in a recent UNMISS-OHCHR report include censorship of articles, confiscation of newspapers, closure of media houses, and blocking of websites. The GOSS intelligence organization, the National Security Services, is responsible for more abuses than any other institution, committing 33 percent of incidents. Other institutions cited are the police, SPLA, local officials, and the South Sudan Media Authority.

Given the government’s continued perpetuation of these actions, the process of establishing the proposed hybrid court should be accelerated. The AU should consider appointing the prosecutor prior to the signing of the memorandum of understanding envisaged in the peace agreement between the AU and GOSS. Juba should fast track national legislation that affirms cooperation between the hybrid court and the GOSS, including with regard to access to witnesses, review of documents in the custody of the government, and sites of burials, among other issues. Should the AU’s Peace and Security Council’s calls for the adoption of national legislation fail to elicit a response, and if the prosecutor is unable to proceed for lack of cooperation, consideration should be given to establishing an UN-backed ad hoc international tribunal or triggering the jurisdiction of the International Criminal Court.

The GOSS has also delayed establishing the Commission on Truth, Reconciliation, and Healing and the Reparations Authority provided for in the 2015 peace agreement. Accordingly, donor support for civil society efforts to document violations and crimes should be enhanced.

In the face of the continuing GOSS obfuscation, despite the serious criminal allegations and deteriorating humanitarian conditions, the international community, primarily consisting of the UN, AU, and Inter-Governmental Authority on Development, must exert maximum leverage—diplomatic, political, and military—to precipitate remedial action on human rights, humanitarian access, and justice. The GOSS’s active suppression of these tenets of the rule of law, as documented by the Commission’s assessment, compels regional actors to enforce sanctions adopted by the UN, EU, and bilaterally to exert pressure on political and military decisionmakers in South Sudan to change course.

Africa Center Experts

Godfrey Musila, Research Fellow

Kate Almquist Knopf, Director

Luka Kuol, Professor of Practice for Security Studies

More on: Conflict Prevention or Mitigation​ Identity Conflict​ Stabilization of Fragile States​ South Sudan​",Instituting Accountability for Human Rights Violations in South Sudan – Africa Center for Strategic Studies,https://africacenter.org/spotlight/instituting-accountability-for-human-rights-violations-in-south-sudan/
