,Concerning,Text,Title,URL
0,syria,"Gain a global perspective on the US and go beyond with curated news and analysis from 600 journalists in 50+ countries covering politics, business, innovation, trends and more.",Subscribe to read,https://www.ft.com/content/75995068-512f-11e8-b3ee-41e0209208ec
1,syria,"President Trump delivered a disturbing tweet this morning regarding a U.S. military strike in Syria, which is reportedly impending:

Russia vows to shoot down any and all missiles fired at Syria. Get ready Russia, because they will be coming, nice and new and “smart!” You shouldn’t be partners with a Gas Killing Animal who kills his people and enjoys it! — Donald J. Trump (@realDonaldTrump) April 11, 2018

This amounts to an embrace of Russia’s challenge and it risks a significant escalation of the U.S. role in Syria. It is a profoundly dangerous example of brinkmanship. Americans are now supposed to ready themselves for a military clash with a nuclear power over a U.S. military strike against the Assad regime that has no legitimate justification.

First, any U.S. strike against Syria will be illegal unless it first receives explicit authorization from Congress. As was the case with Trump’s previous missile strike against the Assad regime last April, he will be acting unlawfully if he takes this action.

Second, what does the administration expect to accomplish here? No U.S. military action short of all-out regime change is going to deter the Assad government from committing future atrocities. The strike in April 2017 had zero strategic or tactical utility. It did nothing to resolve the Syrian civil war. It did not serve U.S. national interests in any tangible way. Nor did it serve any humanitarian objective. The Assad regime has continued to use violence against its own people.

Third, it strains common sense that we would take an illegal military action with virtually no chance of success and with high risks of escalation because roughly 40 people were killed by chlorine in a civil war that has killed 500,000 people by bullets and bombs. Chemical weapons occupy a special place in our minds as a particularly cruel form of violence, but there is nothing special about them, except perhaps that they are less lethal than the conventional military means by which most Syrians have been killed or maimed in this war.

Reports indicate that the Trump administration is trying to find a Goldilocks military option that would be more damaging than the pin-prick punitive strike last April, but not big enough to entangle the United States in another Middle East quagmire by toppling the Assad government or clashing directly with Russian or Iranian forces in a way that triggers escalatory measures. This is a farcical exercise that ignores the utter lack of strategic, tactical, legal, or humanitarian rationale for military action.

Just days prior to news of this recent chemical weapons attack in Syria, President Trump articulated his desire to withdraw U.S. forces from the country. His instincts were correct.","No Strategic, Tactical, Legal, or Humanitarian Justification for US Strikes in Syria",https://www.cato.org/blog/no-strategic-tactical-legal-or-humanitarian-justification-us-strikes-syria
2,syria,"Armenian Prime Minister Serzh Sargsyan has been ousted only six days into his term, and protests have been voluntarily suspended while the National Assembly decides on his successor.

But political uncertainty in Armenia jeopardises a fragile ceasefire with Azerbaijan over an unresolved conflict in Nagorno-Karabakh, and this in turn has broad strategic implications.

Russia is treaty-bound to aid Armenia in the event of a conflict, while Turkey enjoys close cultural and economic ties with Azerbaijan. Conflict in Nagorno-Karabakh could therefore threaten relations between Russia and Turkey as they gradually learn to coexist in the Middle East, especially in Syria.



Russia and Turkey: Syria

Russian involvement in the Syrian civil war is focused on preserving the rule of President Bashar al-Assad. Russia sees the conflict as an opportunity to support Assad and his backers in Iran to challenge the hegemony of US allies in the Middle East, particularly Saudi Arabia.

Turkey, however, is focused on containing the Kurdish militia groups who support Assad, specifically the People’s Protection Units (YPG). Turkey views the YPG as an offshoot of the Kurdistan Workers’ Party (PKK), a Kurdish nationalist organisation that has previously taken up arms against the Turkish state, and it has supported the Syrian Free Army to seek regime change in Syria.

Russia and Turkey, therefore, appear to have competing interests in Syria, and the two countries have already experienced direct confrontation: Turkish fighter jets downed a Russian warplane in 2015, accusing it of violating Turkish airspace during a sortie near its border with Syria.

But as the Syrian civil war is winding down, both Russia and Turkey are responding pragmatically to changes on the ground. Islamic State has been eradicated from much of the country, and the Syrian Government has retaken control of key cities from rebel groups. Turkey has sought – and received – Russian approval for airstrikes against the YPG in northern Syria, and the two countries met with Iran in April to cooperate on a post-war plan for stability.

This cooperation, however, could well be threatened by their opposing positions in the Armenia–Azerbaijan conflict: Russia and Turkey have previously traded stern words over Nagorno-Karabakh.



Russia and Turkey: Nagorno-Karabakh

Nagorno-Karabakh is a mountainous, forested region surrounded by Azerbaijan yet populated mostly by ethnic Armenians. Several years of interethnic conflict between Armenians and Azerbaijanis at the end of the 1980s led a full-scale war between the two countries after the fall of the Soviet Union. The Organisation for Security and Cooperation in Europe (OSCE) Minsk Group brokered a ceasefire in 1994, but only a handful of monitors continue to police what is known as the “line of contact”.

The conflict has flared-up several times in the last decade, most recently in April 2016 with an Azerbaijani offensive in the northern part of Nagorno-Karabakh. Turkish President Recept Tayyip Erdogan stated that Turkey would back Azerbaijan “to the end” against Armenia, to which Russian Foreign Minister Sergei Lavrov responded by accusing Turkey of one-sidedness in the conflict.

With the stability of the Armenian Government now in question, nervous Armenian commanders in Nagorno-Karabakh or emboldened Azerbaijani troops could trigger a new wave of violence and force Russia and Turkey to again take opposing sides, jeopardising their cooperation in Syria.



Armenia: 8 May

Sargsyan resigned on 23 April. He had reneged on a promise to step down from politics by taking the office of Prime Minister, an office he had created as part of Armenia’s constitutional reforms in 2015. His tenure had been marked by economic stagnation, a failure to address the tension in Nagorno-Karabakh, and accusations of corruption.

The National Assembly is widely expected to nominate protest leader and vocal opposition leader Nikol Pashinyan as Sargsyan’s replacement on 8 May. But if Pashinyan cannot gain enough support in the National Assembly, Armenia will go to the polls in a snap election and Nagorno-Karabakh will likely be a campaign issue.

Sargsyan was born there, and his supporters in the area may be extra-sensitive to perceived provocation from Azerbaijan. Pashinyan, for his part, has taken a hard-line attitude toward Azerbaijan as a way to burnish his security credentials, and an election campaign may force him to further clarify his plans for the region.

The best way for Russia and Turkey to avoid being placed into direct confrontation over Nagorno-Karabakh is to collaborate with Armenia and Azerbaijan on the issue through the OSCE Minsk Group. A commitment from all parties to attend further talks once the political crisis in Armenia is resolved may be sufficient; inviting OSCE election monitors to oversee snap elections may be an important next step if a unifying leader cannot be chosen on 8 May.

Even if there is no room for inclusive democratic reform in post-war Syria, it is important that the next development in Armenian politics and Armenia–Azerbaijan relations is not a step backwards for Syria.

Luke Dawes",How political crisis in Armenia could upset Russia and Turkey in Syria,https://www.lowyinstitute.org/the-interpreter/how-political-crisis-armenia-could-upset-russia-and-turkey-syria
3,syria,"2017 IN REVIEW

HUMANITARIAN CONTEXT

Civilians in Syria continue to face an ongoing protection crisis. Amid active hostilities in many parts of the country, humanitarian actors remain concerned by the high levels of civilian casualties that continue to be reported and point to violations of international humanitarian law (IHL) and international human rights law (IHRL),

An estimated 1.7 million people were displaced in the first nine months of 2017 alone, many multiple times. An estimated 721,000 spontaneous/self-organized IDP and refugee returns also took place in 2017, including approximately 66,000 refugees. While the number of people in besieged areas decreased compared to last year, the humanitarian situation for those trapped in the remaining areas is dire. Amid the disruption caused by prolonged hostilities, extensive displacement, family separation and disruption of community networks, access to basic services as well as livelihood opportunities remain scarce. Prices and availability of basic commodities, also affected by unilateral coercive measures, remain a factor of need. As a result, people’s ability to cope is strained and many are unable to meet their basic needs.

In 2017, 6.1 million people were internally displaced with 750,000 people living in last resort sites, and a daily average of 6,550 people displaced each day. 5.3 million people were registered as refugees in neighbouring countries. Throughout most of 2017, 2.98 million people lived in besieged and hardto-reach areas, including 419,920 people in 10 UN-declared besieged areas. Lack of civil status documentation remained a serious concern across Syria. 8.2 million people were exposed to explosive hazards in contaminated areas with 33 per cent of hazards located on agricultural land. Some 6.5 million people were food insecure and face large food consumption gaps or are at risk of extreme loss or depletion of livelihood assets that will lead to food consumption gaps. A further 4 million people were at risk of becoming food insecure because of exhaustion of productive assets to maintain food consumption.

Less than half of Syria’s health facilities are fully operational. The protracted nature of the crisis has negatively affected immunization coverage rates, reducing immunity and increasing the risk of outbreaks of vaccine preventable diseases such as polio (74 cases of cVDPV2 mainly in Deir Ez-Zor and ArRaqqa).

Economic losses are estimated at more than $254 billion. The conflict has damaged or destroyed Syria ‘s infrastructure, impeded access to sources of income, disrupted markets, and triggered currency depreciation. Economic losses from the disruption to the education system are estimated at around $11 billion, equivalent to about 18 per cent of Syria’s 2010 gross domestic product (GDP) further damaging long term economic prospects.

Food production has been drastically reduced, with the total area of land under cultivation having shrunk by 40 per cent. Compounded by difficulties in distributing food staples, a third of the population is now food insecure. Government revenues have plummeted largely due to the decrease in oil exports and disruption of trade. As a result, the country’s GDP has contracted by 55 per cent with further contraction expected.

Hostilities have characterized 2017 and are expected to continue in 2018 concentrated in certain areas. As a result, displacement is anticipated to continue. Based on displacement trends in 2017, an estimated 1.5 million people may be displaced over the course of 2018, some multiple times, in addition to the 6.1 million IDPs in protracted displacement. Approximately one million IDPs may spontaneously return to their areas of origin. Humanitarian access challenges continue to limit humanitarian organizations from regularly reaching the most vulnerable people. Humanitarian needs in Syria remain – according to recent humanitarian analyses – similar in scale and severity to those of last year Humanitarian assistance should be available to millions of people striving to meet their basic needs",Syria Humanitarian Fund - Annual Report 2017,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-fund-annual-report-2017
4,syria,"The Iraqi air force has attacked ISIL positions in Syria that were reportedly used by the group's commanders.

Iraqi Prime Minister Abadi's office confirmed the attack in a statement released on Sunday morning.

One of the strikes targeted a position south of the town of Deshaisha, the statement said.

ISIL commanders, according to Abadi, used the base, situated near the city of Deir Az Zor in the country's east.

Iraq launched air raids on Islamic State of Iraq and the Levant (ISIL, also known as ISIS) positions several times over the past year with the support of the Syrian government and the US-led coalition fighting ISIL.

بأمر رئيس مجلس الوزراء القائد العام للقوات المسلحة الدكتور العبادي ابطال القوة الجوية العراقية يوجهون ضربة موجعة ضد موقع لقيادات الارهاب الداعشية جنوب الدشيشة داخل الاراضي السورية

PM Al-Abadi orders the Air Force to strike Daesh leadership near Al-Dashisha in Syrian territory — Haider Al-Abadi (@HaiderAlAbadi) May 6, 2018

ISIL, also known by its Arabic acronym ""Daesh,"" controlled significant portions of Iraq and Syria. At its peak, the group ruled over roughly 110,000sq km between the two countries.

By October 2017, the group's territory had been reduced to about 10,000sq km, mostly in Syria's east.

ISIL's administrative capital was once in Mosul, a large city in western Iraq. Mosul was freed by the Iraqi military and militias collaborating with the US-led coalition in July 2017 after nearly a year of battles.

Abadi stated at an April meeting of his ruling Darwa party that Iraq's ""land war with Daesh has ended. We have saved all the land of our country and taken control of the Syrian border.

""But the danger of Daesh's ideology and sleeper cells remains. I should warn everyone about that,"" he said.",Iraqi air force attacks ISIL targets in Syria,https://www.aljazeera.com/news/2018/05/iraqi-air-force-strikes-isil-targets-syria-180506072850413.html
5,syria,"This conference will be chaired by the EU and the UN and follows on from the conferences in London (February 4, 2016) and Brussels (April 5, 2017). It will reaffirm the international community’s support for a political solution to the Syrian conflict and will aim to strengthen the international response to the humanitarian consequences of the crisis and support for the refugees and host countries.

The humanitarian situation in Syria remains tragic. 13.1 million Syrians, including 6 million children are in need of humanitarian assistance. More than half the Syrian population has been forced to leave their homes: 6.1 million have been internally displaced and 5.6 million are refugees in neighboring countries (Turkey, Lebanon, Jordan, Iraq, Egypt). The delivery of humanitarian assistance continues to be subject to unacceptable blockades, notably on the part of the regime.

The humanitarian situation in Syria is a priority for France. Jean-Baptiste Lemoyne will reaffirm France’s support for the Syrian people and Syria’s neighboring countries. He will reaffirm our commitment to providing €200 million in grants to Syria and its neighboring countries for the period 2016-2018. The aim is to support the host countries, help the Syrian population and establish conditions in Syria conducive to the voluntary, safe and sustainable return of the refugees. This commitment is supplemented by the €50 million emergency response program for Syria announced on April 16 by President Macron. Lastly, Jean-Baptiste Lemoyne will announce the French contribution for the three-year period 2019-2021.

Moreover, Brussels II is the third ministerial conference in support of the Lebanese state and its institutions announced for 2018 by President Macron during the meeting of the International Support Group for Lebanon on December 8, 2017. It follows on from the Rome II conferences on the security aspects and the CEDRE conference in Paris on the economic aspects. During the first conference, France opened a €400 million line of credit for the purchase of French military equipment. During the second conference it pledged to provide €550 million in grants and concessional loans. Thanks to the CEDRE conference, Lebanon will benefit from a leverage effect amounting in total to 11 billion in grants and loans, which will enable it to upgrade its infrastructure and bolster its economic resilience.",Syria – Humanitarian assistance - Jean-Baptiste Lemoyne’s participation in the Brussels II conference (April 25,https://www.diplomatie.gouv.fr/en/country-files/syria/events/article/syria-humanitarian-assistance-jean-baptiste-lemoyne-s-participation-in-the
6,syria,"Zahraa Harb, left, casts her vote at a polling station during Lebanon’s parliamentary elections in a southern suburb of Beirut, Lebanon, Sunday, May 6, 2018. Harb is voting for the first time in her life and the young Shiite Muslim woman is giving her vote to the militant Hezbollah group. Her relative was killed fighting near the border with Syria against militants, and she wanted to recognize those sacrifices in her vote Sunday. (Bassem Mroue/Associated Press)

BEIRUT — Voting Sunday for the first time in her life, the young Shiite Muslim woman said she was casting her ballot for the Shiite militant Hezbollah group. One of her relatives was killed while fighting Sunni militants near the border with Syria and she wanted to honor that sacrifice with her vote.

“Had it not been for the resistance we wouldn’t be here,” said Zahraa Harb, 24, as she and her husband entered a polling station in the southern Beirut suburb of Burj al-Barajneh. “The arms of the resistance protected Lebanon. Had it not been for the resistance all of Lebanon would have fallen into the hands of the terrorists.”

Sunday’s parliamentary election was the first in nine years — and the first since the catastrophic civil war in Syria broke out seven years ago. The conflict has nearly torn apart this tiny Arab nation with bouts of spillover violence and sent more than a million Syrian refugees — a quarter of Lebanon’s population — pouring across the border.

The war next door has divided Lebanese, with some supporting Syrian President Bashar Assad and others sympathizing with the rebels trying to bring him down. In May 2013, the Iranian-backed Hezbollah began openly sending its fighters to back Assad and since then has taken part in almost every major battle in the country. Hundreds of its fighters have been killed and wounded while fighting in Syria, an intervention that Hezbollah says was necessary to protect Lebanon from the Sunni militants that proliferated across the border in the chaos of Syria’s civil war.

The divisions and open hostility were on display Sunday among Hezbollah supporters and opponents of the Shiite militants. As polls closed, fist fights broke out in the Beirut district of Tareeq Jdideh, a bastion of support for Saad Hariri, Lebanon’s Western-backed Sunni prime minister, with both sides throwing stones at each other as security forces rushed to contain the violence.

Hariri, who heads a national unity government that includes members of Hezbollah, is widely expected to return as prime minister and recreate that coalition following Sunday’s election. But that political alliance, seen as necessary to keep the peace, is not often translated into harmony on the street.

For Harb and her husband, Ashraf Harake, casting their ballots for Hezbollah came down to a matter of survival.

She recalled how her parents’ home shook when twin suicide bombings claimed by the Islamic State group targeted their hometown of Burj al-Barajneh on Nov. 12, 2015, killing 43 people in the deadliest attack by extremists in Lebanon since the war in Syria broke out. Harake, who was her fiance back then, rushed from the house to help dozens of people wounded in the streets.

“The Burj al-Barajneh blasts made us more determined,” said Harb, her face framed by a black traditional Islamic head scarf. Her husband’s cousin, Ali Harake, had been killed a year earlier when IS militants sent explosives-rigged vehicles into Hezbollah strongholds in the Qalamoun mountains on Lebanon’s border with Syria.

“I will raise my children on the ideology of the resistance,” said Harb, who is six months pregnant with her first child, and sees Hezbollah as a group that once fought to liberate Lebanon from Israeli occupation and now protects the country from Syria-based militant groups.

For 60-year-old Sami Kara, who is a strong supporter of Hariri, the Iranian-backed Hezbollah’s involvement in the war in Syria is to blame for the militant attacks in Lebanon.

“Hezbollah attracted explosions to this country. Had we kept our distance from (regional) conflicts we wouldn’t have reached this point,” said the clothes merchant, standing near a tent decorated with the blue flags of Hariri’s Future Movement in Beirut’s Sunni stronghold of Tareeq Jdideh.

He said Hariri will always stand against Hezbollah and prevent the Shiite militants from dominating Beirut, adding that his city will not become the fourth Arab capital dominated by Iran — a reference to Iran’s influence in Syria’s Damascus, Yemen’s Sanaa and Baghdad.

Wissam Shqifi, 44, another Hezbollah critic, said the group’s intervention in Syria “is an aggression on another country. Hezbollah is ruining our relations with regional countries” — a reference to Hezbollah’s military intervention in Yemen, Iraq and Syria that has led several oil-rich Gulf states to join the United States in naming it as a terrorist organization.

Casting his ballot in the capital on Sunday, Hezbollah’s deputy leader, Sheik Naim Kassem, countered the charges that Hezbollah was trying to turn Lebanon into a state controlled by Iran. Beirut, he said, “is an Arab city and is not Persian.”

Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.","Lebanon votes in shadow of Syria war, reflecting divisions",https://www.washingtonpost.com/world/middle_east/lebanon-votes-in-shadow-of-syria-war-reflecting-divisions/2018/05/06/e4d0d07a-5164-11e8-a6d4-ca1d035642ce_story.html
7,syria,"Israel Braces for Iran Missile Attack From Syria Over Last Month's Deadly Strike

Officials believe Iran is determined to retaliate for the April 9 strike on Syria’s T4 base, which killed 7 Iranian military advisers and members of the Revolutionary Guards ■ Israel's anti-missile defense systems 'prepared' to handle strike from Syria, sources say",Israel Braces for Iran Missile Attack From Syria Over Last Month's Deadly Strike,https://www.haaretz.com/israel-news/.premium-israel-braces-for-iran-missile-attack-from-syria-over-t4-airstrike-1.6060719
8,syria,"A family displaced from Eastern Ghouta by fighting lives in a small shelter they put up themselves in Herjalleh, Syria. © UNHCR/Ola Kabalan

With violence in several areas of Syria UNHCR, the UN Refugee Agency today expresses its alarm at the civilian deaths this is causing as well as spiralling new displacement. This is on top of a humanitarian situation that is already desperate; Syrian civilians have more than suffered enough.

Of particular concern is the situation in Douma in Eastern Ghouta where tens of thousands of civilians remain trapped. We estimate that more than 133,000 people have fled Eastern Ghouta over the past four weeks. This is almost three times the number we reported on 20 March and includes some 45,000 people who are currently being accommodated in eight collective shelters in Rural Damascus. An estimated 44,000, mainly women, children and elderly have so far been allowed to leave the collective shelters after completion of their security screening. UNHCR teams are working with UN and NGO partners to help improve the conditions at these collective shelters, which remain congested. We continue to appeal to all parties to the conflict for proper protection of civilians, including freedom of movement and free choice over where to stay. Family unity must also be respected.

Since the outset of this emergency, as part of the wider UN response, UNHCR has been working to address the needs of the displaced. Our staff are paying daily visits to all the collective shelters where displaced people from Eastern Ghouta are accommodated, to assess needs and help address them. Overcrowded shelters and insufficient sanitation facilities are posing serious health risks. Common concerns we are hearing are a lack of civil documentation, restrictions on freedom of movement, family separation and SGBV risks.

UNHCR’s response to the Eastern Ghouta emergency encompasses the delivery of core relief items, shelter support and protection services. Nearly a quarter or a million urgently need aid, and more than 60,000 people have been reached so far. UNHCR is purchasing clothes locally as many people fled with nothing more than what they were wearing. In addition to a massive shelter effort, UNHCR protection partners have provided legal counseling to 22,000 people.

Meanwhile, we are facing similar challenges and concerns in responding to the humanitarian needs of more than 137,000 Syrians displaced from the Afrin region. Most are scattered across Tal Rifaat, Nubol, Zahraa and surrounding villages in northwest Aleppo, living in makeshift shelters, damaged or unfinished buildings, mosques, warehouses and open-spaces. Some 3,500 people are being accommodated in a tented camp in Fafin to the north of Aleppo. In addition we have distributed more than 1,400 kits for shelter rehabilitation and redeployed 1,000 UNHCR family-sized tents, for use as needed.

Displacement from Afrin has subsided and some returns to the city are taking place. The challenging journey back home for the displaced may take up to four days in some cases. Movements of displaced people towards Aleppo and other government-controlled areas continues to be constrained.

For more information on this topic, please contact:",UNHCR alarm at escalating Syria humanitarian needs,http://www.unhcr.org/news/briefing/2018/4/5acc75974/unhcr-alarm-escalating-syria-humanitarian-needs.html
9,syria,"The U.S. has a number of actions in responding to the alleged chemical attack in Syria, but it's a more difficult challenge than ""just kind of firing ready, aim here,"" said CBS News Radio military analyst Mike Lyons. But most importantly, Mr. Trump's ""got to be careful not to get goaded into doing something that's not in the best interest of the United States,"" Lyons told CBSN's Meg Oliver Tuesday.

""I think as more time is going on, that window is closing for some kind of response that's going to make any difference on the ground,"" Lyons said, noting that it still needs to be proven if it was a chemical attack.

Reports out of Syria suggest dozens of people were killed in rebel stronghold Douma, near Damascus, on Saturday in attack using chemical weapons. Initial reports from the humanitarian group known as the White Helmets and Syrian American Medical Society indicated that chlorine gas might have been the agent used.

Last year, the U.S. launched 59 tomahawk missiles on a Syrian base that was believed to have launched a chemical attack. Lyons called that response ""small"" and recommended Mr. Trump think ""through whether he wants a tactical response, something quick on the ground, or he's got to think through the strategy hopefully involving our allies.""

The U.S. is still trying to determine what happened in Syria. Mr. Trump, though, tweeted on Sunday ""many dead, including women and children, in mindless CHEMICAL attack in Syria. Area of atrocity is in lockdown and encircled by Syrian Army, making it completely inaccessible to outside world. President Putin, Russia and Iran are responsible for backing Animal Assad. Big price to pay. Open area immediately for medical help and verification. Another humanitarian disaster for no reason whatsoever. SICK!""

International chemical watchdog groups are on their way into Syria, but Lyons warned that it could be difficult to find remnants of the alleged attack. ""It's hard to make a chemical weapons strike – in most cases, they've come out of helicopters, or planes – you don't want a rocket delivery because it endangers the crew,"" Lyons said.

Lyons said the U.S. is searching for that ""Cuban Missile Crisis moment, where they show the world that Russia is involved."" But, he cautioned, Russia will most likely deny any involvement, and the longer the wait for a response, the less likely remnants will be around.

To see the full interview with CBS News Radio military analyst Mike Lyons, watch the video in the player at the top of the page.","Syria crisis: ""Window is closing"" for response that makes difference, military analyst says",https://www.cbsnews.com/news/syria-crisis-military-analyst-mike-lyons/
