,Concerning,Text,Title,URL
0,ukraine,"As UNIAN reported earlier, the TCG's humanitarian subgroup, which deals with prisoner swaps, also met in Minsk on May 4.

The next session of the Trilateral Contact Group on the Donbas settlement will be held in Minsk on May 16, according to Darka Olifer, a press secretary for Ukraine's representative to the TCG, Leonid Kuchma.

""The next meeting of the Trilateral Contact Group in Minsk is scheduled for May 16,"" Olifer told UNIAN.

On May 4, OSCE's envoy to the group, Martin Sajdik, said that the previous week, he had presented results of the TCG's efforts before the OSCE Permanent Council in Vienna, according to BelTA.

""I would like to use this opportunity to once again thank the OSCE member states for assistance, in particular, for supporting and financing the OSCE Special Monitoring Mission to Ukraine,"" he said.

As UNIAN reported earlier, the TCG's humanitarian subgroup, which deals with prisoner swaps, also met in Minsk on May 4.

""We haven't heard a feedback from Russian representatives to the offer to hand over to them 23 Russians convicted of crimes against the Ukrainian state so that Ukrainians who are political prisoners of the Kremlin could be freed,"" Ukraine's humanitarian envoy to the TCG reported.

She added that Russian proxies in Donbas demanded that Ukraine release 80 militants in exchange for 15 Ukrainian hostages held in the temporarily-occupied territory in eastern Ukraine.",Contact group on Ukraine to reconvene in Minsk on May 16,https://www.unian.info/politics/10105772-contact-group-on-ukraine-to-reconvene-in-minsk-on-may-16.html
1,ukraine,"The April revolution in Armenia came as a huge surprise to the Russian leadership, as it did for most stakeholders in the multiple conflicts in the Caucasus. But you’d expect that Moscow would have been better informed. There had been expert warnings about the brewing discontent in this impoverished South Caucasian state, but the Kremlin is not generally interested in even moderately independent expertise. President Vladimir Putin called and “warmly congratulated” the Moscow-friendly Serzh Sargsyan when he was appointed prime minister in mid-April (although by protocol, he didn’t have to), and from that moment, the Russian official and mainstream media completely ignored the street protests in the Armenian capital of Yerevan.

That silence stimulated rather than tempered fierce debates on this turmoil in Russian social media networks. Putin pays scant attention to these sources, but his briefings tell him mostly what he wants to hear, and this tightly managed information flow possibly reinforced the self-deception in the proverbial Kremlin corridors that nothing of import was happening. Sargsyan’s resignation on April 23 came, therefore, as a shock, and while the propaganda machine scrambled to explain it away, Putin was—not for the first time during his long reign—paralyzed into inaction. In the crucial two weeks when opposition leader Nikol Pashinyan advanced his claim for the position of prime minister, Moscow remained indifferent and uncharacteristically aloof, which will definitely have serious repercussions not only for the Russian-Armenian relations, but also for Russia’s profile in the international arena.

Abandoning the “principled” stance against revolutions

The dominant discourse in Russia on the subject of revolutions has been strongly negative, in contrast with the Soviet glorification of this phenomenon as an “engine of progress.” The proposition that a forceful overthrow of legitimate order brings only chaos and violence is accepted as a political axiom, while discussions on such politically incorrect issues as the “right for rebellion” are reduced to the margins of blogosphere. This fierce condemnation goes beyond the rational stance of an authoritarian regime, which firmly controls the elections and finds street protests a threat to its existence. Vladimir Putin tends to take this issue personally, still feeling the old profound shock from watching helplessly as angry crowds marched by the Dresden KGB headquarters back in November 1989 and, more recently, reflecting on the horrible end of Muammar Gadhafi.

What makes this natural rejectionism particularly aggressive is the assertion that the so-called “color revolutions” in Russia’s neighborhood—as well as the hopeful Arab Spring in the Middle East—were instigated and manipulated by the United States and the European Union. The elevation of conspiracy theories to the level of state policy makes Russia’s opposition to various attempts at forceful “regime change” a part of its fast-evolving confrontation with the West. In portraying himself as a champion of counter-revolution, Putin claims leadership in the global resistance against the U.S. policy of preserving its eroding “hegemony.” The “color revolutions” were even defined as a new form of warfare, despite scant enthusiasm among the top brass for elaborating on this theoretical innovation.

Moscow’s lack of response to the explosion of street protests in Yerevan goes strikingly against this ideological counter-revolutionary stance. For sure, there were no anti-Russian or pro-EU slogans in the peaceful rallies across Armenia, and Pashinyan asserted that the alliance with Russia would remain strong—this allowed opinion-influencers in Moscow to venture that the unfolding crisis was different from “color revolutions.” In the previous series of street protests in summer 2015, friendship with Russia was also never questioned, but it didn’t stop Moscow from inventing Western interference. Explaining the new Russian passivity is hard to find, but Syria may well be a part of it. Related Content Order from Chaos Russia stumbles in the fog of Syrian war Order from Chaos Putin’s road from Damascus: After the “victory,” what?

The long shadow of Syrian “victory”

Many intentions and ambitions determined Putin’s risky decision to launch a military intervention into the Syrian civil war in September 2015, and a prominent one among them was the perceived need to stop and push back the wave of revolutions. The explosion of social anger in the Arab world and the uprising in Ukraine were caused by vastly different drivers, but from Moscow’s perspective, the Tahrir and the Maidan were parts of the same Western conspiracy. By early 2018, however, the Arab Spring retreated, leaving behind two collapsed states (Libya and Yemen), two forcefully suppressed upheavals (Bahrain and Egypt), and only one success story (Tunisia), while the Ukrainian breakthrough degenerated into political squabbles in Kiev and military deadlock in Donbass. Syria is no longer a key battlefield in the struggle against revolutions, but just a permanently mutating violent disaster. Putin declared “victory” in the war against the rebels of various persuasions, only to find Russian forces entrapped in new spasms of fighting.

Moscow is stuck with an ostracized dictator who can only sustain his grasp on power with large-scale military support from Russia and Iran, but this “brotherhood-in-arms” involves all sorts of troubles. The Russian forces stay clear from the escalating conflict between Iran and Israel in Syria, as well as from the fighting between the Turkish army and the Kurdish forces, while trying to preserve the “de-conflicting” mode with U.S. forces. This complicated maneuvering means that Putin’s order to reduce Russian forces cannot be executed, because without a good many boots on the ground, Russia cannot influence the new post-ISIS phase of the Syrian war and cannot ensure security of its two bases (Khmeimin and Tartus). This imperative to sustain the intervention signifies a protracted stress for the Russian navy and air-space forces—and undercuts the ability to launch new military interventions.

Overload results in mistakes

At the moment when politics were heating up in Armenia, Russia’s Syrian engagement was not only demanding more resources from Moscow (for instance, for rebuilding the Syrian air defense system), but was also demanding attention to the fast-transforming crisis. Meanwhile, there were escalating tensions in U.S.-Russia relations after the U.S. Treasury enforced new heavy-hitting sanctions, which compelled some mainstream Moscow experts to question whether the Trump administration really aimed at undermining the elite support for Putin’s regime. The need to monitor the developments on the Korean peninsula, where Russia’s exposure is high but the impact is low, was another source of stress, so the system of political decisionmaking in Moscow faced significant overload, which inevitably results in miscalculations and procrastinations.

Russia’s political system is centralized to the extreme—and that the attention span of the “decider” is inevitably limited.

The proposition that the non-response to the crisis in Armenia was a mistake might appear far-fetched, but it rests on the fact that Russia’s political system is centralized to the extreme—and that the attention span of the “decider” is inevitably limited. Since the start of the Ukraine crisis in early 2014, Putin has shown little interest in the conflict transformations in the Caucasus, and never developed a particular chemistry with Sargsyan. The quick end to the escalation of fighting in Nagorno Karabakh in April 2016 was taken as proof positive of Russia’s capacity for controlling the status quo. The Kremlin administration was also quite preoccupied with ensuring that no undesirable disturbance would upset Putin’s presidential inauguration on May 7. It is quite possible that Putin’s aids dismissed Pashinyan’s Gandhi-style march across Armenia in early April as a mere theater by a marginal trouble-maker.

While a military intervention was certainly out of the question, Moscow has mastered the application of a wide range of hybrid means that could have been effectively deployed in support of the friendly dictator-in-distress in Yerevan. But Moscow missed the right moment for such indirect power projection, and even Pashinyan’s high-impact posts on Facebook were not attacked by the infamous Russian troll factories. Corruption, which is the main irritant for Armenians, has produced many profitable links between Moscow and Yerevan that are ideally suited for manipulating elites and crowds; yet, they remained idle. That Sargsyan made the hard decision to say “I was wrong,” rather than ask Moscow for emergency support, is testament to the strength of a very particular war-forged Armenian political culture that remains profoundly incomprehensible for the Kremlin. His astounding resignation could have triggered an over-reaction from Russia, but Putin couldn’t find a counterpart to connect with and wasn’t inclined to grace the intrigues of the beleaguered Republican party with his attention.

Russia’s ability to provide security guarantees to post-Soviet autocrats is seriously compromised.

Conclusions

In hindsight, a wise analyst might suggest that if Moscow had attempted a hybrid intervention in the Armenian crisis and failed, the damage to its international positions would have been significantly greater. The chances for forcefully suppressing the protests at their early stages were, however, as good as in Moscow, where peaceful rallies on May 5 were brutally dispersed, so the Kremlin’s rather unconvincing pose of “non-interference in internal affairs” is dubious. It is possible that the unsatisfactory experiences from Syria informed Moscow’s self-restraint, as resources for proactive foreign policy moves are now assessed with greater care. The Occam’s razor explanation, however, leaves an observer with the notion that Putin and his court made the mistake of ignoring the beginning of the explosive crisis—but avoided the more serious blunder of attempting a belated intervention. Russia’s ability to provide security guarantees to post-Soviet autocrats is seriously compromised, but a reproduction in Moscow of a joyful triumph of street democracy in Yerevan remains rather improbable.",What explains Russia’s uncharacteristic indifference to the revolution in Armenia?,https://www.brookings.edu/blog/order-from-chaos/2018/05/07/what-explains-russias-uncharacteristic-indifference-to-the-revolution-in-armenia/
2,ukraine,"DUESSELDORF, Germany, May 7 (Reuters) - Metro has appointed Philippe Palazzi as its new chief operating officer, replacing Pieter Boone, who was responsible for the Russia business that prompted the German retailer to cut its guidance last month.

Metro said Palazzi, 46, who previously ran Metro’s cash and carry business in Italy, was taking over with immediate effect.

“He has demonstrated that he is able to realise successful repositionings with a clear earnings increase. He identifies our customers’ needs, addresses them and aligns the business accordingly,” Chairman Juergen Steinemann said in a statement on Monday.

Metro said Boone, who joined as operations director of the Russian cash and carry business in 2011 and took over as its managing director in 2012, was leaving by “mutual consent”.

Boone retained operational responsibility for the Russian business after becoming COO in July 2017.

Metro shares tumbled last month after it cut its earnings and sales forecast for its 2017/18 financial year, blaming an expected fall in sales at its Russia business in the second half of the year, and higher-than-forecast restructuring costs.

Metro, which runs wholesale stores in 35 countries as well as Real hypermarkets in Germany, is due to publish results for the first half of the 2017/18 financial year on May 15.

The business in Russia was long a major contributor to profits and Metro had planned to separately list the unit until the Ukraine crisis and sanctions on Moscow dampened the Russian economy.",Metro appoints new chief operating officer after Russia woes,https://www.reuters.com/article/metro-moves/metro-appoints-new-chief-operating-officer-after-russia-woes-idUSL8N1SE44C
3,ukraine,"RN breakfast program under fire for introducing Mark Sleboda as a ‘Moscow-based political analyst’ but not disclosing his work for the state-owned RT

A political analyst interviewed on ABC radio about the weekend protests against Russian president Vladimir Putin is a mouthpiece for the Kremlin, Russia experts have said.



Mark Sleboda, described by the ABC simply as a “Moscow-based political analyst”, was interviewed on Monday morning by Radio National host Fran Kelly.

Asked for his views on the anti-Putin demonstrations and the release of Russian opposition leader Alexei Navalny from custody, Sleboda said the protests were small and “lucky to have pulled 6,000 people”. He dismissed the suggestion people had stayed away due to fear. “I don’t think there’s any cause for people to be frightened,” he said.



Mark Sleboda (@MarkSleboda1) Better question. Why do we even allow Western state media to broadcast in Russia and the Rest of the world? https://t.co/OPQofKxZph

“Putin’s approval has increased since the last election due to his handling of the economy and foreign policy,” he said. He defended the arrest of Navalny on the grounds he had broken the law by demonstrating and he said the opposition leader had been barred from running in the election because he had “twice been convicted of fraud”.

Alexey Muraviev, associate professor of national security and strategic studies at of Curtin University, said he fundamentally disagreed with much of what Sleboda said and he did not sound like an independent analyst.

• Sign up to receive the top stories in Australia every day at noon

“When he says that Navalny broke the law by protesting, that’s the official government line and the reality is every time something happens Navalny just gets neutralised by Putin forces.”

The ABC did not disclose during the nine-minute interview or on its website that Sleboda is an analyst for the state-owned English-language television channel Russia Today, now known as RT.

RT is a powerful PR arm of the Russian government which is used as a weapon in the global information war.



Antfarmer (@antfarmer) This guy had the gall to equate Putin fixing elections and the constitution to stay in power to Germany’s Angela Merkel actually...you know.. winning elections! 4 terms as Chancellor...

Kelly noted that Navalny’s supporters had chanted “Out with the Tsar”, a reference to the fact that Putin has been either prime minister or president of Russia “for almost 20 years and will be in until 2024”.

Sleboda responded that it was “exactly the same amount of time that Angela Merkel has been the leader of Germany”.

Kelly: “Will Angela Merkel be in for 24 years?”

Sleboda: “She just renewed for her fourth term, so 23 or 24, yes.”

Merkel, who was sworn in for a fourth term earlier this year despite her CDU party losing ground in September’s election, has been chancellor of Germany since 2005 – 13 years.

Muraviev said Sleboda did not utter “a single discordant note in terms of the official positions of the Putin administration”.

He said it was surprising to hear the US-born commentator expressing views that were “effectively reflective of the official position of the Kremlin”.

Russia's Alexei Navalny arrested as 1,600 detained nationwide Read more

“He spoke as the promoter and the defender of the official position of Putin’s government,” Muraviev told Guardian Australia.



“Some of the statements he made were way too categorical, he debated, he argued, he advocated.

“To me he sounds either incredibly ill-informed or incredibly naive or somehow politically biased.”

Kyle Wilson, a visiting fellow at the Australian National University’s Centre for European Studies, said Sleboda was not a critical source the public broadcaster should rely on.



“In my view there is a question mark about the credibility of Sleboda as a commentator for two reasons,” Wilson told Guardian Australia. “Firstly he has for some years been a commentator for Russia Today and he represents the more extreme end of the spectrum in terms of offering the Kremlin view.

“Second he has an association with Alexander Dugin, who is a xenophobic, hard-right, nationalist ideologue about whom even the Kremlin has some doubts.

“So it seems to be reasonable to assume that Mark Sleboda is an apologist, a blatantly pro-Kremlin apologist.

“ABC radio is far more effective in dealing with matters that are extremely controversial when it offers a range of opinion.



“But to give a platform on a mainstream program to a Kremlin apologist doesn’t seem to be the most effective way of presenting controversial issues.”

The ABC said in a statement: “This was just one interview in the ABC’s long-term and comprehensive coverage of this area, which has involved interviewing a variety of analysts from a range of different perspectives. We will continue to cover these issues from an array of viewpoints.”

In 2014 Russia Today’s British channel was censured by the UK media regulator for coverage involving Sleboda. It was found to have breached the broadcasting code on impartiality over its coverage of the Ukraine crisis, including for one report in which Sleboda described the Ukrainian administration as a “putsch government” that came to power with the help of “a number of extremists”.",Russia analyst interviewed by ABC a 'blatantly pro-Kremlin apologist',https://www.theguardian.com/media/2018/may/08/russia-analyst-interviewed-by-abc-a-blatantly-pro-kremlin-apologist
4,ukraine,"The Russia press made a note of it. But it hardly got covered in the U.S., largely because Ukraine never was part of the American sphere of influence. Ukraine remains an afterthought except for a (boisterous) minority in Washington foreign policy circles who use it as a wedge between Moscow and Washington. And so on April 26, when the Trump Administration removed Ukraine from favored nation trade status, no one went all that ballistic about the decision. Over the weekend, the Ukrainian government made a note of the decision by Washington and hinted that they will try to persuade Trump's trade policy team to change their mind.

It was the U.S. Trade Representative Office that suspended the operation of the Generalized System of Preferences for 155 Ukrainian imports, including electrical appliances and food products two weeks ago. Despite the change, Ukraine is still part of the Generalized System of Preferences , so they are allowed to sell here duty-free for around 3,500 items.

Nevertheless, Ukraine was unhappy with the decision and the Ministry of Economic Development said Saturday that they are talking with Washington about a possible ""solution to the problem."" Ukraine's government believes that some of the tariffs are due to intellectual property concerns by Washington. Their parliament is addressing that issue.

Ukraine has been the main source of Washington's ire against Vladimir Putin. Although that has now shifted to Putin's railroading another shot at regime change in Syria, and alleged meddling in the 2016 election, Ukraine has definitely suited U.S. foreign policy interests. Siding with Ukraine has been a great way to get Washington to sanction Nord Stream II, known as the anti-Ukraine pipeline to Ukraine supporters. Washington gets to give Ukraine some attention by threatening fines against the Russia-to-German gas line, while pressuring powerful European companies like Royal Dutch Shell with hefty fines if they buy gas from Gazprom through those pipes, instead of -- perhaps -- LNG from Poland or, better yet, the U.S.

Getting 155 items cut from the generalized preference on tariffs and trade is a small price to pay for a guillotine hanging over the heads of Shell, Wintershall, OMV and Basf for their work on Nord Stream II with the Russians.

It is unclear how long those items will be tariffed. It could very well be averted this week seeing how Ukraine's Economic Ministry is now on Washington's case about it.

Ukraine has been through turmoil for much of the past 20 years. The fall of the Soviet Union did not go as well in Ukraine as it has in Russia, with some arguing that it is because Ukraine is more democratic. Its leaders are allowed to be toppled. Russia has had the same, leading governing party now -- United Russia -- since it merged with two other parties in 2001. And Putin has been president or Prime Minister since 1999. Without that steady hand, one could argue that Russia would have gone through the same series of revolution as Ukraine.

Ukraine's government is stuck in perennial crisis. President Petro Poroshenko is less popular than Donald Trump is here in the U.S. He is up for re-election in March 2019.

Poroshenko, also known as the Chocolate King for the wealth he has built up from this Roshen brand of chocolates, has been a more calming force for Ukraine than Arseniy Yatsenyuk, the defacto leader of the new government following the ouster of Viktor Yanukovych by extra-legal means in February 2014.

Poroshenko has tried to bring Ukraine closer to the European Union, something his predecessor also tried to do but was cut short by Russia. Yanukovych rejected a customs union with the E.U. in exchange for better natural gas terms with the Russian state. Protest erupted and Ukraine was once again home to mass protest, the most recent one referred to as the Euromaidan.

Russia saw Yatsesnyuk as the leader of a new vassal state controlled by Washington and quickly moved to protect its interests in Ukraine. With the help of the autonomous regional government of Crimea, consisting of a Russian ethnic majority, Crimeans voted to secede from Ukraine in March 2014 and Russia immediately annexed it. Shortly after, Russia began its backdoor support of separatists, also led by ethnic Russians, in industrial hubs like the Donbass. Ukraine's economy has suffered since.

Nevertheless, Ukraine's currency, the hryvnia, has remained stable for the last 12 months despite some weakness at the start of the year. Its local bonds are still junk and yield over 16.5% in the local currency. The country's GDP is forecast to grow by 3.2% this year, according to the most recent government forecast.

Ukraine remains a thorn in Russia's side. Its gas firm Naftogaz is fighting Gazprom in international courts over gas delivery contracts. Naftogaz absolutely despises Nord Stream II.

The bitter divorce between Russia and Ukraine has everything to do with Naftogaz and Gazprom.

The U.S. keeps siding with Ukraine while Europe is largely wish-washy about picking sides due to its proximity and trade relationship with Russia. Germany is a key player in Nord Stream II, with Wintershall and Basf both part of the consortium that wants to build it, regardless of Washington's opinions.

France has also been ignoring the Anglo-American push to isolate Russia, only throwing them anti-Putin rhetoric now and again.

Over the weekend, French president Emmanuel Macron sounded more like 2016 Donald Trump when he said it is better to work with Russia than to box them in behind an iron curtain. Macron is scheduled to meet with Putin this month. Both are in favor of cooler heads prevailing in the Iran nuclear deal which is under serious review this month. French oil giant Total SA has tens of millions of dollars at stake in Iran.

Macron's ambassador to Russia, Sylvie Bermann, said in an interview with the Kommersant business daily that France's siding with the Brits and Americans to bomb Syria last month was not a slight against Russia.

""This is not the start of World War III,"" she says. ""One must be extremely careful with war rhetoric.""",Did Trump Just Hit Ukraine With Trade Tariffs?,https://www.forbes.com/sites/kenrapoza/2018/05/07/did-trump-just-hit-ukraine-with-trade-tariffs/
5,ukraine,"Researchers in Ukraine have concluded that 94% of coverage concerning Irish affairs on Russia’s largest television channels is either negative or designed to create a misleading impression of the country and its position in the EU.

Ireland ranked higher than Britain, France and Germany in terms of the negative commentary contained in individual broadcasts, though Russian television paid more attention to other EU countries, according to the research by the Ukraine Crisis Media Centre (UCMC), which monitors propaganda and misinformation in the Russian Federation.

The study examined broadcasts between July 2014 and December last year on three Russian channels. It found most negative broadcasts focused on the “horrors of life” in the EU, which was “falling apart” as a result of Brexit and Catalonia’s attempts…","Russia 'purposely gives Irish affairs a negative slant', says Ukraine Crisis Media Centre",https://www.thetimes.co.uk/article/russia-purposely-gives-irish-affairs-a-negative-slant-says-ukraine-crisis-media-centre-jtswkcptt
6,ukraine,"Stress, neglect take deadly toll on Donbas veterans

Stress, neglect take deadly toll on Donbas veterans 58

Honest History: Heat from Hungary. How Transcarpathia’s Hungarian past set up …

Honest History: Heat from Hungary. How Transcarpathia’s Hungarian past set up … 73

With the conflict in eastern Ukraine entering its fifth year, 1.5 million people are registered as IDPs.

Read more here.",UNIAN: IOM reports ‘shocking’ 97 percent shortfall in humanitarian funding for Ukraine’s conflict-affected,https://www.kyivpost.com/ukraine-politics/unian-iom-reports-shocking-97-percent-shortfall-humanitarian-funding-ukraines-conflict-affected.html
7,ukraine,"For four years armed conflict has consumed eastern Ukraine. Civilians continue to be killed and injured, and critical civilian infrastructure is routinely targeted and damaged. Today, 3.4 million people in Ukraine urgently require humanitarian assistance and protection, but the international humanitarian appeal to help address these needs is shockingly only 3 per cent funded. The humanitarian response plan urgently needs US$181 million to close the funding gap.

Read more on OCHA",Six things you need to know about the crisis in Ukraine,https://reliefweb.int/report/ukraine/six-things-you-need-know-about-crisis-ukraine
8,ukraine,"Sea state

The US Navy plans reactivated its 2nd Fleet in response to a more assertive Russia. The fleet was disbanded in 2011 for cost saving and structural reasons. US Navy Chief of Naval Operations, Admiral John Richardson, made it clear that the move is intended to counter Russia: ‘Our National Defense Strategy makes clear that we’re back in an era of great power competition as the security environment continues to grow more challenging and complex.’

Australia and Indonesia joined forces on a coordinated maritime patrol exercise called AUSINDO CORPAT 2018. HMAS Broome and Indonesian vessels KRI Layang and Kakap departed Darwin on 16 April and sailed to Indonesia over nine days. The eighth iteration of AUSINDO CORPAT aimed to enhance the ability of both countries to combat illicit activity in a shared maritime territory.

Sea Shield 18, Romania’s premier military exercise, is underway in the Black Sea. More than 2,300 troops from Bulgaria, Greece, the United Kingdom, Spain, the United States, Turkey and Ukraine are participating alongside a vast contingent from the Romanian Navy. Two Romanian frigates, two corvettes, two missile-carrying ships and two sea dredgers are leading the maritime element of the NATO exercise. NATO has been enhancing its presence in the Black Sea since the Ukrainian crisis in 2013.

Flight path

Pakistan tested its joint air and land capabilities in a Central Command exercise over the weekend. The exercise was the culmination of a process to integrate firepower assets in the two domains. Each of Pakistan’s armed branches—air, land and naval—is highly autonomous. The air force has tended to be particularly poorly integrated into military planning. With last year’s increase in defence spending and air force procurement, the exercise suggests that Pakistan is placing a renewed emphasis on air power.

The Diplomat did an extensive analysis of a mysterious Chinese stealth bomber that was featured on a prominent Chinese aerospace magazine last month. The article argues that the pictured plane isn’t the highly secret H‑20 project, but rather the so-called JH-XX, said to combine supersonic, stealthy deep-strike capabilities with long range. Such technology is distant though, so it’s possible that the magazine was deliberately obscuring information about the more imminent H‑20.

The US granted asylum to Afghanistan’s first female air force pilot. Nilofar Rahmani was trained by the US and qualified as a pilot in 2013. She fled to the US in 2015 after Taliban death threats. Afghanistan had only two female pilots. Low wages, harassment and a lack of facilities contribute to the ongoing gender imbalance. Rahmani wants to continue flying, helping the US with its own pilot shortage.

Rapid fire

Estonia is undertaking its largest military exercise since restoring its independence in 1991. Involving 15,000 troops from 16 states, Exercise Siil will demonstrate the readiness of Estonian reserves. In March, more than 20,000 Russians participated in military exercises in the three regions adjacent to the Baltic States: Kaliningrad, Pskov and Leningrad oblasts. In April, Russia fired shipborne missiles over Latvia’s exclusive economic zone. However,this piece from The National Interest questions the exercise’s size.

More than 50 UAE troops landed on Yemen’s strategic Socotra Island on Wednesday without the knowledge of the Yemeni government. Socotra’s airport and seaport were seized, and Yemen’s prime minister and 10 other ministers were prevented from leaving the island. Prime Minister Ahmed Bin Dagr claimed that the deployment was an ‘unjustified’ assault on Yemen’s sovereignty, a rare criticism of its military ally in the war against Houthi rebels. The Emiratis have long been expanding their influence in southern Yemen, backing anti-government separatists in southern Yemen since January, while the UAE flag and images of the UAE Crown Prince adorn many official buildings in Socotra.

The US has also proven to be a controversial ally in Yemen. This report by the New York Times reveals that a dozen US Army Green Berets have been stationed on the Saudi border without congressional authorisation. The revelation comes amid criticisms that the Trump administration has repeatedly blurred the lines between train-and-equip missions and combat.

Zero gravity

In today’s budget release we can expect the government to commit $50 million to Australia’s new space agency. Australia’s 2016 Defence White Paper highlights the importance of space-based satellite systems to policing and security agencies. Given the range of critical data that satellites provide, Kim Carr argues that there’s significant risk in relying on foreign technologies. Currently 24 countries have either a national space agency or a space research institute.

Are there laws in space? A group of international experts are creating a manual of how international law applies to space operations. The Woomera manual on the international law of military space operations aims to clarify how the law of armed conflict would apply to warfare in space. As warfare domains expand, so too does the need for international regulations, as seen by the creation of a similar manual for cyber operations in 2013, the Tallinn manual.

The US Air Force will procure new satellites from Lockheed Martin and Northrop Grumman to improve its missile-warning capabilities. The new satellites will replace the current space-based infrared system. The Air Force will use ‘rapid procurement authorities’ to speed the acquisition process. This reveals an awareness in US policymaking of the need to respond to growing challenges in space. As private companies such as SpaceX continue to develop rockets, satellites and space technologies at a much faster pace than nation-states, the space race is now between companies, not just countries.

Wired watchtower

Locked Shields 2018, the world’s largest live-fire cyber defence exercise, took place in Estonia last week under the auspices of the NATO Cooperative Cyber Defence Centre of Excellence. The exercise featured parallels with actual Russian cyber threats, such as when Latvia’s 4G cellular network was disrupted while Russia conducted naval exercises nearby, as well as recent Russian attacks on the US power grid.

A Canadian government memo obtained by the Globe and Mail accuses Moscow and Beijing of attempting to compromise Canada’s critical infrastructure. The 2016 memo doesn’t go into detail but says that cyberattacks for strategic reasons are ‘focused on gaining access and control of key assets’. It continues, ‘For example, Russia and China have compromised vital cyber systems in Canadian critical infrastructure, placing the safety and security of Canadians at risk.’ The Russian embassy in Ottawa claimed that these ‘groundless allegations’ are part of a conspiracy to promote a ‘Russophobic narrative’.

Implementing cybersecurity strategies involves costs, particularly in ensuring that technologies are kept up-to-date and secure, and in ensuring there’s technical expertise to manage critical ICT systems and data. Equally there’s a cost for not having adequate security measures in place. AIG’s ‘value-at-risk modelling’ project analyses the costs a business would incure if it were victim to a data breach or ransomware attack. The project also analyses how investing in different security measures can reduce potential losses.",The five-domains update,https://www.aspistrategist.org.au/the-five-domains-update-13/
9,ukraine,"Despite the ‘Spring’ and ‘Easter’ ceasefires which began on 5 and 30 March respectively, clashes continued along both sides of the ‘contact line’ with severe impact on civilians. In March, shelling, mines and Explosive Remnants of War (ERW) killed 5 civilians and injured 13. Key infrastructure, such as water and electricity facilities continued to be regularly affected by shelling and harsh weather conditions. On several occasions, over 400 000 people were left without water, electricity and heat for over 24 hours, due to the harsh weather conditions. With the arrival of spring, protection of civilians is a growing concern. Millions of civilians, including farmers and children are being exposed to heightened dangers due to mine contamination. Prolonged hostilities continue to stretch coping capacities of millions of people affected with increased food insecurity. According to the new Trend Analysis on Food Security and Socio-Economic Situation, after four years of armed conflict, one in five households (Government controlled area, GCA) experiences worsened food insecurity. The analysis further suggests that some 80 per cent of households reported applying negative coping strategies, including exhausting their meagre savings or spending their health expenditures, to afford food[1]. Against this background, the 2018 HRP remains severely underfunded. As of 19 April, only 3 per cent of the 2018 HRP was funded (US$ 6 million received out of US$ 187 million requested).",Ukraine: Humanitarian Snapshot (as of 19 April 2018),https://reliefweb.int/report/ukraine/ukraine-humanitarian-snapshot-19-april-2018
