,A_Polarity,A_Subjectivity,Characters,Dale_Chall,Dale_Chall_Percentage,Flesch,S_Polarity,S_Subjectivity,Spache_Percentage,Weasel_Percentage,Word_Count,bin
3,0.07215608465608465,0.30262854429521097,4.7558823529411764,10.924865546218488,0.6147058823529412,47.301811926605524,0.06480463980463981,0.2676317272471119,0.5911764705882353,0.03235294117647059,340,0
4,0.12774193548387097,0.3736021505376344,5.6271844660194175,13.080078526556253,0.4970873786407767,18.214450479602476,0.0492436974789916,0.2731477591036415,0.47572815533980584,0.027184466019417475,515,0
5,0.05945498676081201,0.3825288250045531,4.909218859957776,11.100026459188925,0.5939479239971851,45.9050257257546,0.03921720392702536,0.29432636312100596,0.5496129486277269,0.04011259676284307,1421,0
6,0.14014378478664194,0.4412105751391466,5.082236842105263,12.372507017543859,0.5263157894736842,46.070660919540245,0.11446608946608945,0.38009860509860505,0.47368421052631576,0.019736842105263157,304,0
7,0.1230806608357629,0.36566613658450386,5.473684210526316,13.143221578947369,0.4934210526315789,8.70017615793472,0.10480699855699856,0.31699987974987975,0.4692982456140351,0.03728070175438596,456,0
10,0.08781487716672902,0.40644718792866935,4.666666666666667,10.577848636739605,0.62944582299421,54.77773728680961,0.06714818997427693,0.2874654934437543,0.5889164598842018,0.03970223325062035,1209,0
11,-0.07354497354497354,0.36091269841269846,4.356862745098039,10.253196832579187,0.611764705882353,70.86136562804286,-0.06897321428571429,0.21021825396825397,0.5411764705882353,0.054901960784313725,255,0
12,0.0247216308281882,0.3162071535022355,4.918202764976958,11.17312396313364,0.5783410138248848,52.29584757347919,0.026103065428723312,0.2675368819776714,0.5172811059907834,0.03917050691244239,868,0
13,0.10357481060606062,0.30508996212121203,5.073593073593074,11.935903751803751,0.5281385281385281,41.90334834834837,0.10286096256684495,0.26090314913844326,0.461038961038961,0.010822510822510822,462,0
14,0.12965367965367963,0.3817460317460317,4.636792452830188,9.808080139026814,0.6792452830188679,51.70084517864004,0.0567085326953748,0.1819078947368421,0.6297169811320755,0.04245283018867924,424,0
15,0.10759928477319786,0.4278999623564843,4.868006993006993,10.948395834412501,0.5812937062937062,55.131629110049374,0.10325418298632585,0.4154328145399574,0.5402097902097902,0.05332167832167832,1144,0
16,0.008578431372549022,0.27223389355742295,5.2266355140186915,12.393365482866045,0.5350467289719626,31.057621841890807,-0.016624149659863943,0.22356859410430838,0.4883177570093458,0.02570093457943925,428,0
18,0.10761363636363634,0.4220454545454545,5.200270635994587,12.976840488569191,0.469553450608931,48.375385418219764,0.09800426136363635,0.3239464962121212,0.4181326116373478,0.023004059539918808,739,0
20,-0.07719298245614034,0.2026315789473684,4.99601593625498,11.153528419654716,0.5896414342629482,40.58814738292014,-0.03194444444444444,0.2042824074074074,0.5258964143426295,0.02390438247011952,251,0
21,0.11954850704850703,0.3159451659451659,4.374384236453202,10.597805911330049,0.604679802955665,68.40058023872682,0.0988938659077548,0.22951161749772858,0.5541871921182266,0.046798029556650245,812,0
22,0.1308008658008658,0.4284632034632035,5.0,12.14295246449457,0.5380116959064327,47.65219230769233,0.10301948051948051,0.36708874458874463,0.4824561403508772,0.017543859649122806,342,0
3,-0.01730769230769231,0.09935897435897435,4.9358108108108105,12.32820990990991,0.527027027027027,43.699953051643206,-0.008125,0.07854166666666666,0.46621621621621623,0.04054054054054054,296,0
4,0.09307264200446017,0.4543535681490227,5.145641025641026,12.623255957767723,0.4758974358974359,54.59659736308319,0.04071204605579605,0.44776410233285224,0.4584615384615385,0.029743589743589743,975,0
5,0.1276017316017316,0.41684477427334576,5.2646048109965635,12.643863181148749,0.4948453608247423,33.70866607773851,0.08903346653346653,0.36465139027639026,0.4536082474226804,0.02577319587628866,582,0
6,0.06865079365079364,0.23253968253968246,4.879049676025918,12.880067926565875,0.46004319654427644,47.84556019585253,0.04805555555555555,0.14777777777777779,0.44924406047516197,0.01511879049676026,463,0
7,0.043927368927368926,0.3451238576238576,4.753295668549906,10.562223917137478,0.6308851224105462,51.53806034482761,0.046562545747328356,0.24889474454691846,0.5461393596986818,0.026365348399246705,531,0
8,0.04651384759818495,0.5178153305864148,4.8002125398512225,10.645280060796283,0.6248671625929861,47.45488372093024,0.03079889670514671,0.4100494528619529,0.5430393198724761,0.040382571732199786,941,0
9,0.06206896551724137,0.2738505747126437,4.891812865497076,11.646649005847953,0.564327485380117,45.334432432432465,0.045714285714285714,0.27053571428571427,0.5087719298245614,0.03508771929824561,342,0
11,0.07960952811699078,0.43558344640434193,5.082474226804123,12.089191408934708,0.5154639175257731,45.14401471770145,0.04071976911976912,0.4435280663780663,0.4965635738831615,0.027491408934707903,582,0
12,0.054326173328415474,0.38108042306472784,5.116150911403137,12.101404320012334,0.5481136074607885,31.704941594579594,0.04357300770830601,0.3445549941036448,0.4930055108096651,0.041966935142009325,2359,0
13,0.22467095194367925,0.4115910184092002,4.481553398058252,10.708978039759593,0.629126213592233,59.800835003340026,0.12006493506493505,0.276897804576376,0.5864077669902913,0.031067961165048542,515,0
15,0.06206896551724137,0.2738505747126437,4.958448753462604,11.959763453370268,0.5484764542936288,43.46651369216244,0.045714285714285714,0.27053571428571427,0.4930747922437673,0.0332409972299169,361,0
16,0.12275950999355255,0.4157801418439717,4.439688715953308,9.669450799827064,0.6627756160830091,62.66878572165484,0.08101422387136673,0.25552721088435376,0.6121919584954605,0.040207522697795074,771,0
